Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,205,8,328,hits,Ag-Ag-6kV,5.1826349
Cut,123,9,328,hits,Ag-Ag-6kV,3.109581
Cut,114,25,328,hits,Ag-Ag-6kV,2.8820506
Cut,113,29,328,hits,Ag-Ag-6kV,2.8567695
Cut,127,37,328,hits,Ag-Ag-6kV,3.2107055
Cut,124,38,328,hits,Ag-Ag-6kV,3.1348621
Cut,120,39,328,hits,Ag-Ag-6kV,3.0337375
Cut,111,41,328,hits,Ag-Ag-6kV,2.8062072
Cut,110,43,328,hits,Ag-Ag-6kV,2.7809261
Cut,124,44,328,hits,Ag-Ag-6kV,3.1348621
Cut,121,48,328,hits,Ag-Ag-6kV,3.0590187
Cut,118,70,328,hits,Ag-Ag-6kV,2.9831752
Cut,167,73,328,hits,Ag-Ag-6kV,4.2219514
Cut,121,78,328,hits,Ag-Ag-6kV,3.0590187
Cut,115,83,328,hits,Ag-Ag-6kV,2.9073318
Cut,116,93,328,hits,Ag-Ag-6kV,2.9326129
Cut,100,95,328,hits,Ag-Ag-6kV,2.5281146
Cut,123,99,328,hits,Ag-Ag-6kV,3.109581
Cut,109,108,328,hits,Ag-Ag-6kV,2.7556449
Cut,125,112,328,hits,Ag-Ag-6kV,3.1601432
Cut,131,122,328,hits,Ag-Ag-6kV,3.3118301
Cut,121,123,328,hits,Ag-Ag-6kV,3.0590187
Cut,145,133,328,hits,Ag-Ag-6kV,3.6657662
Cut,117,134,328,hits,Ag-Ag-6kV,2.9578941
Cut,114,145,328,hits,Ag-Ag-6kV,2.8820506
Cut,145,154,328,hits,Ag-Ag-6kV,3.6657662
Cut,112,157,328,hits,Ag-Ag-6kV,2.8314883
Cut,123,161,328,hits,Ag-Ag-6kV,3.109581
Cut,131,163,328,hits,Ag-Ag-6kV,3.3118301
Cut,148,177,328,hits,Ag-Ag-6kV,3.7416096
Cut,111,188,328,hits,Ag-Ag-6kV,2.8062072
Cut,124,189,328,hits,Ag-Ag-6kV,3.1348621
Cut,120,190,328,hits,Ag-Ag-6kV,3.0337375
Cut,118,200,328,hits,Ag-Ag-6kV,2.9831752
Cut,117,203,328,hits,Ag-Ag-6kV,2.9578941
Cut,129,204,328,hits,Ag-Ag-6kV,3.2612678
Cut,119,207,328,hits,Ag-Ag-6kV,3.0084564
Cut,199,209,328,hits,Ag-Ag-6kV,5.030948
Cut,135,215,328,hits,Ag-Ag-6kV,3.4129547
Cut,108,219,328,hits,Ag-Ag-6kV,2.7303638
Cut,105,224,328,hits,Ag-Ag-6kV,2.6545203
Cut,116,229,328,hits,Ag-Ag-6kV,2.9326129
Cut,117,230,328,hits,Ag-Ag-6kV,2.9578941
Cut,114,231,328,hits,Ag-Ag-6kV,2.8820506
Cut,139,234,328,hits,Ag-Ag-6kV,3.5140793
Cut,108,235,328,hits,Ag-Ag-6kV,2.7303638
Cut,109,241,328,hits,Ag-Ag-6kV,2.7556449
Cut,98,248,328,hits,Ag-Ag-6kV,2.4775523
Cut,120,249,328,hits,Ag-Ag-6kV,3.0337375
Cut,111,250,328,hits,Ag-Ag-6kV,2.8062072
Cut,120,257,328,hits,Ag-Ag-6kV,3.0337375
