Type,Energy,Counts
MPFIT,11,0.86319558
MPFIT,11.128753,0.86436984
MPFIT,11.257505,0.86554569
MPFIT,11.386258,0.86672314
MPFIT,11.51501,0.8679022
MPFIT,11.643763,0.86908285
MPFIT,11.772515,0.87026512
MPFIT,11.901268,0.87144899
MPFIT,12.03002,0.87263447
MPFIT,12.158773,0.87382157
MPFIT,12.287525,0.87501028
MPFIT,12.416278,0.87620061
MPFIT,12.54503,0.87739255
MPFIT,12.673783,0.87858612
MPFIT,12.802535,0.87978131
MPFIT,12.931288,0.88097813
MPFIT,13.06004,0.88217658
MPFIT,13.188793,0.88337666
MPFIT,13.317545,0.88457836
MPFIT,13.446298,0.88578171
MPFIT,13.57505,0.88698669
MPFIT,13.703803,0.88819331
MPFIT,13.832555,0.88940157
MPFIT,13.961308,0.89061147
MPFIT,14.09006,0.89182302
MPFIT,14.218813,0.89303622
MPFIT,14.347565,0.89425107
MPFIT,14.476318,0.89546758
MPFIT,14.60507,0.89668573
MPFIT,14.733823,0.89790555
MPFIT,14.862575,0.89912702
MPFIT,14.991328,0.90035015
MPFIT,15.12008,0.90157495
MPFIT,15.248833,0.90280142
MPFIT,15.377585,0.90402955
MPFIT,15.506338,0.90525936
MPFIT,15.63509,0.90649083
MPFIT,15.763843,0.90772399
MPFIT,15.892595,0.90895882
MPFIT,16.021348,0.91019533
MPFIT,16.1501,0.91143352
MPFIT,16.278853,0.91267339
MPFIT,16.407605,0.91391496
MPFIT,16.536358,0.91515821
MPFIT,16.66511,0.91640315
MPFIT,16.793863,0.91764979
MPFIT,16.922615,0.91889812
MPFIT,17.051368,0.92014815
MPFIT,17.18012,0.92139988
MPFIT,17.308873,0.92265332
MPFIT,17.437625,0.92390846
MPFIT,17.566378,0.9251653
MPFIT,17.69513,0.92642386
MPFIT,17.823883,0.92768413
MPFIT,17.952635,0.92894611
MPFIT,18.081388,0.93020981
MPFIT,18.21014,0.93147523
MPFIT,18.338893,0.93274237
MPFIT,18.467645,0.93401123
MPFIT,18.596398,0.93528182
MPFIT,18.72515,0.93655414
MPFIT,18.853903,0.93782819
MPFIT,18.982655,0.93910397
MPFIT,19.111408,0.94038149
MPFIT,19.24016,0.94166075
MPFIT,19.368913,0.94294174
MPFIT,19.497665,0.94422448
MPFIT,19.626418,0.94550897
MPFIT,19.75517,0.9467952
MPFIT,19.883923,0.94808318
MPFIT,20.012675,0.94937291
MPFIT,20.141428,0.9506644
MPFIT,20.27018,0.95195764
MPFIT,20.398933,0.95325265
MPFIT,20.527685,0.95454941
MPFIT,20.656438,0.95584794
