Cut?,Counts,eventNumber,runNumber
Raw,106,6,328
Raw,205,8,328
Raw,123,9,328
Raw,157,12,328
Raw,43,18,328
Raw,56,20,328
Raw,185,22,328
Raw,116,23,328
Raw,103,24,328
Raw,114,25,328
Raw,110,26,328
Raw,113,29,328
Raw,3,30,328
Raw,94,33,328
Raw,127,37,328
Raw,124,38,328
Raw,120,39,328
Raw,111,41,328
Raw,110,43,328
Raw,124,44,328
Raw,133,47,328
Raw,121,48,328
Raw,72,51,328
Raw,91,53,328
Raw,119,54,328
Raw,121,56,328
Raw,55,57,328
Raw,102,59,328
Raw,183,60,328
Raw,54,61,328
Raw,140,63,328
Raw,33,63,328
Raw,106,64,328
Raw,145,67,328
Raw,118,70,328
Raw,109,72,328
Raw,167,73,328
Raw,121,78,328
Raw,22,81,328
Raw,115,83,328
Raw,128,85,328
Raw,116,86,328
Raw,101,87,328
Raw,81,88,328
Raw,17,91,328
Raw,116,93,328
Raw,97,94,328
Raw,100,95,328
Raw,101,96,328
Raw,95,97,328
Raw,91,98,328
Raw,123,99,328
Raw,52,100,328
Raw,121,102,328
Raw,130,104,328
Raw,15,107,328
Raw,109,108,328
Raw,125,112,328
Raw,104,118,328
Raw,62,121,328
Raw,131,122,328
Raw,121,123,328
Raw,65,125,328
Raw,107,131,328
Raw,145,133,328
Raw,117,134,328
Raw,62,135,328
Raw,123,136,328
Raw,108,138,328
Raw,15,139,328
Raw,110,140,328
Raw,114,145,328
Raw,108,147,328
Raw,66,150,328
Raw,145,154,328
Raw,89,155,328
Raw,112,157,328
Raw,87,158,328
Raw,90,160,328
Raw,123,161,328
Raw,131,163,328
Raw,133,166,328
Raw,103,169,328
Raw,36,171,328
Raw,104,175,328
Raw,148,177,328
Raw,111,188,328
Raw,124,189,328
Raw,120,190,328
Raw,97,191,328
Raw,43,192,328
Raw,89,193,328
Raw,131,194,328
Raw,51,196,328
Raw,118,200,328
Raw,99,202,328
Raw,117,203,328
Raw,129,204,328
Raw,129,205,328
Raw,101,206,328
Raw,119,207,328
Raw,199,209,328
Raw,189,210,328
Raw,135,215,328
Raw,108,219,328
Raw,122,220,328
Raw,123,222,328
Raw,105,224,328
Raw,111,228,328
Raw,116,229,328
Raw,117,230,328
Raw,114,231,328
Raw,139,234,328
Raw,108,235,328
Raw,93,237,328
Raw,80,238,328
Raw,109,241,328
Raw,129,242,328
Raw,98,248,328
Raw,120,249,328
Raw,111,250,328
Raw,113,252,328
Raw,9,252,328
Raw,128,253,328
Raw,102,254,328
Raw,220,256,328
Raw,120,257,328
Raw,127,258,328
Raw,127,260,328
Raw,110,261,328
Raw,49,261,328
Raw,35,265,328
Raw,122,266,328
Raw,112,267,328
Raw,130,270,328
Raw,15,272,328
Raw,168,275,328
Raw,206,278,328
Raw,120,279,328
Raw,126,281,328
Raw,152,282,328
Raw,113,283,328
Raw,107,284,328
Raw,50,285,328
Raw,125,286,328
Raw,130,287,328
Raw,101,288,328
Raw,4,288,328
Raw,112,290,328
Raw,134,291,328
Raw,119,292,328
Raw,113,293,328
Raw,81,295,328
Raw,123,296,328
Raw,118,297,328
Raw,120,299,328
Raw,36,303,328
Raw,130,305,328
Raw,120,308,328
Raw,118,309,328
Raw,118,311,328
Raw,106,313,328
Raw,120,314,328
Raw,108,315,328
Raw,112,316,328
Raw,123,318,328
Raw,76,319,328
Raw,119,320,328
Raw,89,321,328
Raw,113,322,328
Raw,31,322,328
Raw,118,323,328
Raw,138,324,328
Raw,148,329,328
Raw,82,335,328
Raw,197,336,328
Raw,122,337,328
Raw,127,338,328
Raw,116,339,328
Raw,129,340,328
Raw,103,341,328
Raw,107,342,328
Raw,83,343,328
Raw,139,344,328
Raw,134,345,328
Raw,118,347,328
Raw,125,348,328
Raw,115,351,328
Raw,74,353,328
Raw,13,354,328
Raw,113,356,328
Raw,8,360,328
Raw,120,361,328
Raw,125,362,328
Raw,8,363,328
Raw,123,366,328
Raw,82,368,328
Raw,111,370,328
Raw,77,371,328
Raw,74,372,328
Raw,119,373,328
Raw,272,375,328
Raw,116,376,328
Raw,126,378,328
Raw,112,386,328
Raw,210,387,328
Raw,28,388,328
Raw,111,389,328
Raw,164,391,328
Raw,115,392,328
Raw,3,394,328
Raw,113,395,328
Raw,113,397,328
Raw,134,399,328
Raw,109,400,328
Raw,117,403,328
Raw,115,404,328
Raw,198,405,328
Raw,142,406,328
Raw,115,408,328
Raw,137,409,328
Raw,17,412,328
Raw,137,413,328
Raw,42,416,328
Raw,122,417,328
Raw,25,420,328
Raw,122,422,328
Raw,118,424,328
Raw,9,425,328
Raw,185,427,328
Raw,124,428,328
Raw,132,432,328
Raw,108,434,328
Raw,149,435,328
Raw,79,436,328
Raw,106,437,328
Raw,124,440,328
Raw,119,441,328
Raw,121,443,328
Raw,97,444,328
Raw,119,445,328
Raw,110,446,328
Raw,128,447,328
Raw,118,448,328
Raw,127,455,328
Raw,3,456,328
Raw,100,457,328
Raw,13,464,328
Raw,72,465,328
Raw,115,467,328
Raw,88,470,328
Raw,141,472,328
Raw,119,475,328
Raw,97,476,328
Raw,3,477,328
Raw,90,481,328
Raw,114,484,328
Raw,3,487,328
Raw,6,487,328
Raw,113,488,328
Raw,90,490,328
Raw,106,491,328
Raw,53,492,328
Raw,66,493,328
Raw,122,494,328
Raw,106,500,328
Raw,140,501,328
Raw,111,502,328
Raw,117,503,328
Raw,121,504,328
Raw,132,507,328
Raw,126,509,328
Raw,92,510,328
Raw,108,513,328
Raw,141,517,328
Raw,114,520,328
Raw,127,521,328
Raw,208,526,328
Raw,92,529,328
Raw,39,530,328
Raw,46,533,328
Raw,107,534,328
Raw,70,536,328
Raw,84,537,328
Raw,91,538,328
Raw,121,539,328
Raw,100,541,328
Raw,98,542,328
Raw,130,543,328
Raw,135,544,328
Raw,108,545,328
Raw,39,546,328
Raw,100,547,328
Raw,60,548,328
Raw,126,549,328
Raw,122,550,328
Raw,114,551,328
Raw,111,553,328
Raw,87,554,328
Raw,92,555,328
Raw,104,556,328
Raw,102,557,328
Raw,16,558,328
Raw,212,559,328
Raw,243,559,328
Raw,84,560,328
Raw,105,561,328
Raw,119,562,328
Raw,115,563,328
Raw,45,563,328
Raw,109,564,328
Raw,112,565,328
Raw,132,567,328
Raw,125,568,328
Raw,102,569,328
Raw,102,570,328
Raw,92,571,328
Raw,116,572,328
Raw,116,573,328
Raw,110,574,328
Raw,120,575,328
Raw,134,576,328
Raw,128,577,328
Raw,107,578,328
Raw,133,579,328
Raw,139,580,328
Raw,127,581,328
Raw,81,582,328
Raw,216,583,328
Raw,71,584,328
Raw,116,585,328
Raw,106,586,328
Raw,131,587,328
Raw,157,588,328
Raw,94,589,328
Raw,64,590,328
Raw,63,591,328
Raw,121,592,328
Raw,84,593,328
Raw,128,594,328
Raw,115,595,328
Raw,86,596,328
Raw,142,598,328
Raw,111,599,328
Raw,88,600,328
Raw,64,601,328
Raw,144,602,328
Raw,73,603,328
Raw,123,604,328
Raw,127,605,328
Raw,84,606,328
Raw,105,607,328
Raw,97,608,328
Raw,140,609,328
Raw,129,610,328
Raw,110,611,328
Raw,110,612,328
Raw,110,613,328
Raw,104,614,328
Raw,111,615,328
Raw,128,616,328
Raw,117,617,328
Raw,14,618,328
Raw,99,619,328
Raw,125,620,328
Raw,151,621,328
Raw,105,622,328
Raw,124,623,328
Raw,78,624,328
Raw,115,625,328
Raw,130,626,328
Raw,115,627,328
Raw,109,628,328
Raw,127,629,328
Raw,123,630,328
Raw,109,631,328
Raw,95,632,328
Raw,115,633,328
Raw,108,634,328
Raw,103,635,328
Raw,47,636,328
Raw,137,636,328
Raw,116,637,328
Raw,123,638,328
Raw,119,639,328
Raw,145,640,328
Raw,102,641,328
Raw,109,642,328
Raw,124,643,328
Raw,113,644,328
Raw,135,645,328
Raw,120,647,328
Raw,93,648,328
Raw,99,649,328
Raw,72,650,328
Raw,103,651,328
Raw,106,653,328
Raw,121,655,328
Raw,21,655,328
Raw,56,656,328
Raw,38,656,328
Raw,85,657,328
Raw,108,658,328
Raw,84,659,328
Raw,128,660,328
Raw,110,661,328
Raw,93,662,328
Raw,222,663,328
Raw,141,664,328
Raw,113,665,328
Raw,101,666,328
Raw,105,667,328
Raw,174,668,328
Raw,117,669,328
Raw,127,671,328
Raw,81,672,328
Raw,238,673,328
Raw,118,674,328
Raw,114,675,328
Raw,127,676,328
Raw,88,677,328
Raw,92,678,328
Raw,163,680,328
Raw,134,681,328
Raw,64,682,328
Raw,124,683,328
Raw,160,685,328
Raw,120,686,328
Raw,78,687,328
Raw,109,688,328
Raw,80,689,328
Raw,175,690,328
Raw,115,691,328
Raw,173,693,328
Raw,121,694,328
Raw,148,695,328
Raw,114,696,328
Raw,127,698,328
Raw,119,699,328
Raw,164,700,328
Raw,96,702,328
Raw,128,703,328
Raw,98,704,328
Raw,131,705,328
Raw,160,706,328
Raw,110,707,328
Raw,41,708,328
Raw,98,709,328
Raw,133,710,328
Raw,88,711,328
Raw,105,712,328
Raw,137,713,328
Raw,112,714,328
Raw,120,715,328
Raw,82,716,328
Raw,115,717,328
Raw,89,718,328
Raw,126,719,328
Raw,107,720,328
Raw,113,721,328
Raw,118,722,328
Raw,95,723,328
Raw,123,724,328
Raw,104,725,328
Raw,122,726,328
Raw,115,727,328
Raw,138,728,328
Raw,117,729,328
Raw,143,730,328
Raw,118,731,328
Raw,121,732,328
Raw,120,733,328
Raw,73,734,328
Raw,118,735,328
Raw,126,736,328
Raw,116,737,328
Raw,72,738,328
Raw,96,739,328
Raw,98,740,328
Raw,110,741,328
Raw,176,742,328
Raw,76,743,328
Raw,115,744,328
Raw,100,745,328
Raw,115,746,328
Raw,109,748,328
Raw,109,749,328
Raw,111,750,328
Raw,153,751,328
Raw,107,752,328
Raw,137,753,328
Raw,113,757,328
Raw,128,758,328
Raw,98,759,328
Raw,129,761,328
Raw,125,762,328
Raw,134,763,328
Raw,21,763,328
Raw,77,764,328
Raw,123,765,328
