Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,5.91566595e+05,8,328,charge,Ag-Ag-6kV,5.7371221
Cut,3.27921193e+05,9,328,charge,Ag-Ag-6kV,3.1802403
Cut,2.74681495e+05,25,328,charge,Ag-Ag-6kV,2.6639119
Cut,2.99901875e+05,29,328,charge,Ag-Ag-6kV,2.9085038
Cut,3.4426278e+05,37,328,charge,Ag-Ag-6kV,3.338724
Cut,3.13299596e+05,38,328,charge,Ag-Ag-6kV,3.0384374
Cut,2.79612842e+05,39,328,charge,Ag-Ag-6kV,2.711737
Cut,2.71309077e+05,41,328,charge,Ag-Ag-6kV,2.6312056
Cut,2.76294576e+05,43,328,charge,Ag-Ag-6kV,2.6795558
Cut,3.38911618e+05,44,328,charge,Ag-Ag-6kV,3.2868275
Cut,3.20336297e+05,48,328,charge,Ag-Ag-6kV,3.1066806
Cut,3.26037408e+05,70,328,charge,Ag-Ag-6kV,3.161971
Cut,4.80881686e+05,73,328,charge,Ag-Ag-6kV,4.6636794
Cut,3.22041958e+05,78,328,charge,Ag-Ag-6kV,3.1232224
Cut,3.12291436e+05,83,328,charge,Ag-Ag-6kV,3.02866
Cut,2.77804465e+05,93,328,charge,Ag-Ag-6kV,2.694199
Cut,2.18112794e+05,95,328,charge,Ag-Ag-6kV,2.1152982
Cut,2.95320122e+05,99,328,charge,Ag-Ag-6kV,2.8640691
Cut,2.67967641e+05,108,328,charge,Ag-Ag-6kV,2.5987997
Cut,2.9151049e+05,112,328,charge,Ag-Ag-6kV,2.8271226
Cut,3.46623603e+05,122,328,charge,Ag-Ag-6kV,3.3616197
Cut,2.89462355e+05,123,328,charge,Ag-Ag-6kV,2.8072594
Cut,3.32136998e+05,133,328,charge,Ag-Ag-6kV,3.221126
Cut,3.12084032e+05,134,328,charge,Ag-Ag-6kV,3.0266486
Cut,2.65681435e+05,145,328,charge,Ag-Ag-6kV,2.5766276
Cut,3.64414363e+05,154,328,charge,Ag-Ag-6kV,3.5341578
Cut,2.47915568e+05,157,328,charge,Ag-Ag-6kV,2.404331
Cut,3.06430818e+05,161,328,charge,Ag-Ag-6kV,2.9718227
Cut,3.43771431e+05,163,328,charge,Ag-Ag-6kV,3.3339589
Cut,3.58220237e+05,177,328,charge,Ag-Ag-6kV,3.474086
Cut,2.43304932e+05,188,328,charge,Ag-Ag-6kV,2.3596162
Cut,3.40495404e+05,189,328,charge,Ag-Ag-6kV,3.3021873
Cut,2.9731272e+05,190,328,charge,Ag-Ag-6kV,2.8833937
Cut,2.81226226e+05,200,328,charge,Ag-Ag-6kV,2.7273839
Cut,3.23069522e+05,203,328,charge,Ag-Ag-6kV,3.1331879
Cut,3.11134529e+05,204,328,charge,Ag-Ag-6kV,3.0174401
Cut,3.41859689e+05,207,328,charge,Ag-Ag-6kV,3.3154184
Cut,4.93558496e+05,209,328,charge,Ag-Ag-6kV,4.7866215
Cut,3.73133527e+05,215,328,charge,Ag-Ag-6kV,3.6187179
Cut,2.84405902e+05,219,328,charge,Ag-Ag-6kV,2.758221
Cut,3.4134326e+05,224,328,charge,Ag-Ag-6kV,3.31041
Cut,2.7194717e+05,229,328,charge,Ag-Ag-6kV,2.6373939
Cut,3.34377713e+05,230,328,charge,Ag-Ag-6kV,3.2428568
Cut,2.71139068e+05,231,328,charge,Ag-Ag-6kV,2.6295568
Cut,3.6377532e+05,234,328,charge,Ag-Ag-6kV,3.5279603
Cut,2.96081877e+05,235,328,charge,Ag-Ag-6kV,2.8714567
Cut,2.95020707e+05,241,328,charge,Ag-Ag-6kV,2.8611653
Cut,3.20746321e+05,248,328,charge,Ag-Ag-6kV,3.1106571
Cut,3.07488304e+05,249,328,charge,Ag-Ag-6kV,2.9820784
Cut,2.80946871e+05,250,328,charge,Ag-Ag-6kV,2.7246747
Cut,2.83527094e+05,257,328,charge,Ag-Ag-6kV,2.7496981
Cut,2.83214575e+05,266,328,charge,Ag-Ag-6kV,2.7466673
Cut,4.10768361e+05,267,328,charge,Ag-Ag-6kV,3.9837075
Cut,3.36684766e+05,270,328,charge,Ag-Ag-6kV,3.2652311
Cut,7.92982441e+05,275,328,charge,Ag-Ag-6kV,7.6904902
Cut,5.60315672e+05,278,328,charge,Ag-Ag-6kV,5.4340449
Cut,2.8992897e+05,279,328,charge,Ag-Ag-6kV,2.8117847
Cut,3.94675295e+05,282,328,charge,Ag-Ag-6kV,3.8276339
Cut,3.17571881e+05,292,328,charge,Ag-Ag-6kV,3.0798708
Cut,2.8736884e+05,293,328,charge,Ag-Ag-6kV,2.7869561
Cut,2.62248008e+05,309,328,charge,Ag-Ag-6kV,2.5433296
Cut,3.16937092e+05,311,328,charge,Ag-Ag-6kV,3.0737145
Cut,2.92296032e+05,314,328,charge,Ag-Ag-6kV,2.8347409
Cut,2.95872158e+05,316,328,charge,Ag-Ag-6kV,2.8694229
Cut,3.07808333e+05,318,328,charge,Ag-Ag-6kV,2.9851821
Cut,2.6395664e+05,322,328,charge,Ag-Ag-6kV,2.5599003
Cut,3.39198793e+05,324,328,charge,Ag-Ag-6kV,3.2896126
Cut,5.40149211e+05,336,328,charge,Ag-Ag-6kV,5.2384668
Cut,3.08220338e+05,338,328,charge,Ag-Ag-6kV,2.9891778
Cut,2.9887305e+05,339,328,charge,Ag-Ag-6kV,2.8985261
Cut,2.89969659e+05,341,328,charge,Ag-Ag-6kV,2.8121793
Cut,3.36903279e+05,345,328,charge,Ag-Ag-6kV,3.2673503
Cut,3.23236558e+05,348,328,charge,Ag-Ag-6kV,3.1348079
Cut,31528.244,354,328,charge,Ag-Ag-6kV,0.30576674
Cut,3.0668903e+05,356,328,charge,Ag-Ag-6kV,2.9743269
Cut,3.65453134e+05,361,328,charge,Ag-Ag-6kV,3.544232
Cut,3.56564495e+05,362,328,charge,Ag-Ag-6kV,3.4580284
Cut,3.31529605e+05,366,328,charge,Ag-Ag-6kV,3.2152354
Cut,3.3902359e+05,378,328,charge,Ag-Ag-6kV,3.2879134
Cut,2.62730463e+05,386,328,charge,Ag-Ag-6kV,2.5480086
Cut,2.7971367e+05,389,328,charge,Ag-Ag-6kV,2.7127149
Cut,2.9131206e+05,392,328,charge,Ag-Ag-6kV,2.8251982
Cut,2.93930745e+05,395,328,charge,Ag-Ag-6kV,2.8505947
Cut,3.10559277e+05,397,328,charge,Ag-Ag-6kV,3.0118613
Cut,2.95384791e+05,403,328,charge,Ag-Ag-6kV,2.8646963
Cut,2.96459823e+05,408,328,charge,Ag-Ag-6kV,2.8751221
Cut,3.73201925e+05,409,328,charge,Ag-Ag-6kV,3.6193812
Cut,3.88902173e+05,413,328,charge,Ag-Ag-6kV,3.7716451
Cut,3.21069875e+05,417,328,charge,Ag-Ag-6kV,3.113795
Cut,57243.971,420,328,charge,Ag-Ag-6kV,0.55516261
Cut,3.31713906e+05,422,328,charge,Ag-Ag-6kV,3.2170227
Cut,2.98763663e+05,424,328,charge,Ag-Ag-6kV,2.8974652
Cut,3.55046877e+05,428,328,charge,Ag-Ag-6kV,3.4433102
Cut,3.83184333e+05,435,328,charge,Ag-Ag-6kV,3.7161925
Cut,2.87983203e+05,437,328,charge,Ag-Ag-6kV,2.7929143
Cut,3.00705159e+05,440,328,charge,Ag-Ag-6kV,2.9162942
Cut,2.88511506e+05,441,328,charge,Ag-Ag-6kV,2.7980379
Cut,2.90468109e+05,443,328,charge,Ag-Ag-6kV,2.8170134
Cut,2.97730522e+05,444,328,charge,Ag-Ag-6kV,2.8874456
Cut,3.45575e+05,445,328,charge,Ag-Ag-6kV,3.3514502
Cut,2.73006571e+05,446,328,charge,Ag-Ag-6kV,2.6476682
Cut,3.60103167e+05,447,328,charge,Ag-Ag-6kV,3.492347
Cut,2.97694724e+05,448,328,charge,Ag-Ag-6kV,2.8870984
Cut,3.26540119e+05,455,328,charge,Ag-Ag-6kV,3.1668464
Cut,3.13724196e+05,467,328,charge,Ag-Ag-6kV,3.0425552
Cut,3.19239161e+05,470,328,charge,Ag-Ag-6kV,3.0960404
Cut,3.13586392e+05,475,328,charge,Ag-Ag-6kV,3.0412188
Cut,2.58304386e+05,491,328,charge,Ag-Ag-6kV,2.5050837
Cut,3.8710271e+05,500,328,charge,Ag-Ag-6kV,3.7541936
Cut,3.24891833e+05,501,328,charge,Ag-Ag-6kV,3.150861
Cut,3.22835107e+05,503,328,charge,Ag-Ag-6kV,3.1309145
Cut,2.95571034e+05,504,328,charge,Ag-Ag-6kV,2.8665025
Cut,3.67663184e+05,507,328,charge,Ag-Ag-6kV,3.5656655
Cut,2.83373858e+05,513,328,charge,Ag-Ag-6kV,2.748212
Cut,3.61901934e+05,517,328,charge,Ag-Ag-6kV,3.5097918
Cut,2.86866348e+05,534,328,charge,Ag-Ag-6kV,2.7820828
Cut,3.20173152e+05,539,328,charge,Ag-Ag-6kV,3.1050984
Cut,3.40615273e+05,544,328,charge,Ag-Ag-6kV,3.3033499
Cut,92759.879,546,328,charge,Ag-Ag-6kV,0.89960244
Cut,3.41862667e+05,549,328,charge,Ag-Ag-6kV,3.3154473
Cut,3.17944311e+05,550,328,charge,Ag-Ag-6kV,3.0834827
Cut,3.20729342e+05,551,328,charge,Ag-Ag-6kV,3.1104924
Cut,2.76108449e+05,553,328,charge,Ag-Ag-6kV,2.6777508
Cut,2.81086772e+05,561,328,charge,Ag-Ag-6kV,2.7260314
Cut,3.10850871e+05,562,328,charge,Ag-Ag-6kV,3.0146892
Cut,3.30483011e+05,563,328,charge,Ag-Ag-6kV,3.2050853
Cut,2.89750036e+05,564,328,charge,Ag-Ag-6kV,2.8100494
Cut,4.04413231e+05,567,328,charge,Ag-Ag-6kV,3.9220742
Cut,3.15176556e+05,568,328,charge,Ag-Ag-6kV,3.0566405
Cut,3.0544326e+05,570,328,charge,Ag-Ag-6kV,2.9622452
Cut,2.74040825e+05,573,328,charge,Ag-Ag-6kV,2.6576986
Cut,3.52775708e+05,575,328,charge,Ag-Ag-6kV,3.421284
Cut,3.69929169e+05,577,328,charge,Ag-Ag-6kV,3.5876414
Cut,3.47876797e+05,579,328,charge,Ag-Ag-6kV,3.3737735
Cut,3.33089592e+05,581,328,charge,Ag-Ag-6kV,3.2303644
Cut,5.39118213e+05,583,328,charge,Ag-Ag-6kV,5.228468
Cut,3.05728927e+05,585,328,charge,Ag-Ag-6kV,2.9650156
Cut,3.48756347e+05,587,328,charge,Ag-Ag-6kV,3.3823035
Cut,3.24212679e+05,595,328,charge,Ag-Ag-6kV,3.1442745
Cut,3.89308116e+05,598,328,charge,Ag-Ag-6kV,3.775582
Cut,3.08143636e+05,599,328,charge,Ag-Ag-6kV,2.9884339
Cut,3.73710862e+05,600,328,charge,Ag-Ag-6kV,3.624317
Cut,3.28656572e+05,604,328,charge,Ag-Ag-6kV,3.1873722
Cut,3.3254232e+05,606,328,charge,Ag-Ag-6kV,3.2250569
Cut,3.49606938e+05,609,328,charge,Ag-Ag-6kV,3.3905527
Cut,3.33667936e+05,610,328,charge,Ag-Ag-6kV,3.2359733
Cut,3.0362672e+05,615,328,charge,Ag-Ag-6kV,2.944628
Cut,3.35746695e+05,616,328,charge,Ag-Ag-6kV,3.2561335
Cut,2.38123271e+05,622,328,charge,Ag-Ag-6kV,2.3093635
Cut,3.31765471e+05,623,328,charge,Ag-Ag-6kV,3.2175228
Cut,2.89824613e+05,625,328,charge,Ag-Ag-6kV,2.8107726
Cut,3.29881236e+05,626,328,charge,Ag-Ag-6kV,3.1992492
Cut,2.9957278e+05,629,328,charge,Ag-Ag-6kV,2.9053122
Cut,3.4689471e+05,630,328,charge,Ag-Ag-6kV,3.364249
Cut,3.24597426e+05,631,328,charge,Ag-Ag-6kV,3.1480058
Cut,2.64064281e+05,632,328,charge,Ag-Ag-6kV,2.5609442
Cut,3.06956419e+05,633,328,charge,Ag-Ag-6kV,2.9769201
Cut,2.67788856e+05,634,328,charge,Ag-Ag-6kV,2.5970658
Cut,3.3001502e+05,639,328,charge,Ag-Ag-6kV,3.2005466
Cut,2.557186e+05,641,328,charge,Ag-Ag-6kV,2.4800062
Cut,2.83588331e+05,642,328,charge,Ag-Ag-6kV,2.750292
Cut,3.41626856e+05,643,328,charge,Ag-Ag-6kV,3.3131604
Cut,2.80900891e+05,644,328,charge,Ag-Ag-6kV,2.7242287
Cut,3.58123079e+05,651,328,charge,Ag-Ag-6kV,3.4731438
Cut,2.56848229e+05,653,328,charge,Ag-Ag-6kV,2.4909616
Cut,3.62045996e+05,656,328,charge,Ag-Ag-6kV,3.511189
Cut,2.28609203e+05,657,328,charge,Ag-Ag-6kV,2.2170943
Cut,3.08443398e+05,660,328,charge,Ag-Ag-6kV,2.9913411
Cut,3.90681584e+05,664,328,charge,Ag-Ag-6kV,3.7889022
Cut,2.71254339e+05,667,328,charge,Ag-Ag-6kV,2.6306747
Cut,3.21570923e+05,669,328,charge,Ag-Ag-6kV,3.1186542
Cut,3.29684854e+05,671,328,charge,Ag-Ag-6kV,3.1973446
Cut,7.28829299e+05,673,328,charge,Ag-Ag-6kV,7.0683212
Cut,3.48903955e+05,681,328,charge,Ag-Ag-6kV,3.383735
Cut,3.0359709e+05,683,328,charge,Ag-Ag-6kV,2.9443407
Cut,3.06448096e+05,686,328,charge,Ag-Ag-6kV,2.9719903
Cut,3.06345232e+05,688,328,charge,Ag-Ag-6kV,2.9709927
Cut,3.91896532e+05,695,328,charge,Ag-Ag-6kV,3.800685
Cut,3.16576594e+05,696,328,charge,Ag-Ag-6kV,3.0702183
Cut,3.29613005e+05,698,328,charge,Ag-Ag-6kV,3.1966478
Cut,3.47769511e+05,703,328,charge,Ag-Ag-6kV,3.372733
Cut,3.33715454e+05,704,328,charge,Ag-Ag-6kV,3.2364341
Cut,3.80369877e+05,705,328,charge,Ag-Ag-6kV,3.6888973
Cut,2.92677677e+05,707,328,charge,Ag-Ag-6kV,2.8384422
Cut,2.33728727e+05,709,328,charge,Ag-Ag-6kV,2.2667444
Cut,3.28332358e+05,710,328,charge,Ag-Ag-6kV,3.1842279
Cut,3.66963488e+05,713,328,charge,Ag-Ag-6kV,3.5588797
Cut,3.07106905e+05,714,328,charge,Ag-Ag-6kV,2.9783795
Cut,3.56012029e+05,717,328,charge,Ag-Ag-6kV,3.4526704
Cut,3.1216489e+05,719,328,charge,Ag-Ag-6kV,3.0274328
Cut,3.01738039e+05,722,328,charge,Ag-Ag-6kV,2.9263113
Cut,2.7104336e+05,724,328,charge,Ag-Ag-6kV,2.6286286
Cut,3.33556115e+05,726,328,charge,Ag-Ag-6kV,3.2348888
Cut,3.64392843e+05,728,328,charge,Ag-Ag-6kV,3.5339491
Cut,3.08193376e+05,729,328,charge,Ag-Ag-6kV,2.9889163
Cut,3.98602986e+05,730,328,charge,Ag-Ag-6kV,3.8657254
Cut,2.92959616e+05,732,328,charge,Ag-Ag-6kV,2.8411765
Cut,3.27058429e+05,733,328,charge,Ag-Ag-6kV,3.1718731
Cut,3.22960068e+05,735,328,charge,Ag-Ag-6kV,3.1321264
Cut,3.55411143e+05,736,328,charge,Ag-Ag-6kV,3.4468429
Cut,1.99074237e+05,738,328,charge,Ag-Ag-6kV,1.9306587
Cut,2.43534998e+05,745,328,charge,Ag-Ag-6kV,2.3618474
Cut,3.05334769e+05,748,328,charge,Ag-Ag-6kV,2.961193
Cut,2.53733483e+05,749,328,charge,Ag-Ag-6kV,2.4607542
Cut,2.73018565e+05,750,328,charge,Ag-Ag-6kV,2.6477845
Cut,2.89878045e+05,757,328,charge,Ag-Ag-6kV,2.8112908
Cut,3.4925129e+05,758,328,charge,Ag-Ag-6kV,3.3871035
Cut,4.04546788e+05,761,328,charge,Ag-Ag-6kV,3.9233695
Cut,3.33808666e+05,762,328,charge,Ag-Ag-6kV,3.2373381
Cut,3.4654775e+05,763,328,charge,Ag-Ag-6kV,3.3608841
Cut,1.77305966e+05,764,328,charge,Ag-Ag-6kV,1.719546
Cut,3.21509738e+05,765,328,charge,Ag-Ag-6kV,3.1180608
Cut,3.10537193e+05,766,328,charge,Ag-Ag-6kV,3.0116471
Cut,3.46103003e+05,767,328,charge,Ag-Ag-6kV,3.3565709
Cut,2.97422892e+05,770,328,charge,Ag-Ag-6kV,2.8844622
Cut,3.90886983e+05,774,328,charge,Ag-Ag-6kV,3.7908942
Cut,5.84741126e+05,776,328,charge,Ag-Ag-6kV,5.6709275
Cut,2.923777e+05,782,328,charge,Ag-Ag-6kV,2.835533
Cut,2.3594929e+05,785,328,charge,Ag-Ag-6kV,2.2882798
Cut,2.4739865e+05,786,328,charge,Ag-Ag-6kV,2.3993178
Cut,2.68009177e+05,787,328,charge,Ag-Ag-6kV,2.5992025
Cut,2.89173542e+05,788,328,charge,Ag-Ag-6kV,2.8044584
Cut,3.15748517e+05,790,328,charge,Ag-Ag-6kV,3.0621875
Cut,3.02928994e+05,791,328,charge,Ag-Ag-6kV,2.9378614
Cut,3.33529458e+05,794,328,charge,Ag-Ag-6kV,3.2346303
Cut,3.56204095e+05,798,328,charge,Ag-Ag-6kV,3.4545331
Cut,2.84945685e+05,800,328,charge,Ag-Ag-6kV,2.7634559
Cut,3.49950559e+05,807,328,charge,Ag-Ag-6kV,3.3938852
Cut,3.37863648e+05,810,328,charge,Ag-Ag-6kV,3.2766641
Cut,3.54345636e+05,812,328,charge,Ag-Ag-6kV,3.4365095
Cut,2.75103858e+05,816,328,charge,Ag-Ag-6kV,2.668008
Cut,2.97201015e+05,819,328,charge,Ag-Ag-6kV,2.8823104
Cut,3.41853927e+05,821,328,charge,Ag-Ag-6kV,3.3153625
Cut,3.07886542e+05,822,328,charge,Ag-Ag-6kV,2.9859406
Cut,2.79864873e+05,823,328,charge,Ag-Ag-6kV,2.7141813
Cut,2.99211911e+05,826,328,charge,Ag-Ag-6kV,2.9018124
Cut,2.5948493e+05,827,328,charge,Ag-Ag-6kV,2.5165328
Cut,3.35260841e+05,828,328,charge,Ag-Ag-6kV,3.2514216
Cut,3.71123813e+05,830,328,charge,Ag-Ag-6kV,3.5992273
Cut,3.42458791e+05,840,328,charge,Ag-Ag-6kV,3.3212286
Cut,3.12389067e+05,841,328,charge,Ag-Ag-6kV,3.0296069
Cut,3.31520428e+05,846,328,charge,Ag-Ag-6kV,3.2151464
Cut,2.66635966e+05,847,328,charge,Ag-Ag-6kV,2.5858849
Cut,3.49502026e+05,849,328,charge,Ag-Ag-6kV,3.3895352
Cut,2.32343373e+05,850,328,charge,Ag-Ag-6kV,2.253309
Cut,2.66441525e+05,851,328,charge,Ag-Ag-6kV,2.5839991
Cut,3.5054629e+05,853,328,charge,Ag-Ag-6kV,3.3996627
Cut,2.60719102e+05,854,328,charge,Ag-Ag-6kV,2.528502
Cut,3.37745915e+05,856,328,charge,Ag-Ag-6kV,3.2755223
Cut,2.69840916e+05,858,328,charge,Ag-Ag-6kV,2.6169671
Cut,3.13043612e+05,859,328,charge,Ag-Ag-6kV,3.0359548
Cut,3.57514706e+05,863,328,charge,Ag-Ag-6kV,3.4672437
Cut,3.48560509e+05,865,328,charge,Ag-Ag-6kV,3.3804042
Cut,3.84721788e+05,867,328,charge,Ag-Ag-6kV,3.731103
Cut,3.45894286e+05,868,328,charge,Ag-Ag-6kV,3.3545467
Cut,4.34311407e+05,870,328,charge,Ag-Ag-6kV,4.2120323
Cut,3.2183179e+05,871,328,charge,Ag-Ag-6kV,3.1211842
Cut,3.09980538e+05,875,328,charge,Ag-Ag-6kV,3.0062485
Cut,2.64639127e+05,876,328,charge,Ag-Ag-6kV,2.5665191
Cut,3.13830273e+05,882,328,charge,Ag-Ag-6kV,3.043584
Cut,3.11851765e+05,888,328,charge,Ag-Ag-6kV,3.024396
Cut,3.80100031e+05,889,328,charge,Ag-Ag-6kV,3.6862803
Cut,2.90606644e+05,893,328,charge,Ag-Ag-6kV,2.8183569
Cut,3.3438237e+05,897,328,charge,Ag-Ag-6kV,3.242902
Cut,3.55323839e+05,898,328,charge,Ag-Ag-6kV,3.4459962
Cut,3.17529257e+05,901,328,charge,Ag-Ag-6kV,3.0794574
Cut,2.80640544e+05,902,328,charge,Ag-Ag-6kV,2.7217039
Cut,3.38850682e+05,905,328,charge,Ag-Ag-6kV,3.2862365
Cut,2.36483706e+05,907,328,charge,Ag-Ag-6kV,2.2934627
Cut,44468.892,911,328,charge,Ag-Ag-6kV,0.43126753
Cut,3.46274686e+05,912,328,charge,Ag-Ag-6kV,3.3582359
Cut,3.08644348e+05,913,328,charge,Ag-Ag-6kV,2.9932899
Cut,2.80384783e+05,914,328,charge,Ag-Ag-6kV,2.7192234
Cut,3.50408022e+05,916,328,charge,Ag-Ag-6kV,3.3983217
Cut,2.35083715e+05,917,328,charge,Ag-Ag-6kV,2.2798853
Cut,2.47488858e+05,918,328,charge,Ag-Ag-6kV,2.4001927
Cut,3.43445921e+05,922,328,charge,Ag-Ag-6kV,3.330802
Cut,3.01516465e+05,924,328,charge,Ag-Ag-6kV,2.9241624
Cut,3.03580759e+05,925,328,charge,Ag-Ag-6kV,2.9441823
Cut,3.76898579e+05,927,328,charge,Ag-Ag-6kV,3.6552321
Cut,4.24226028e+05,928,328,charge,Ag-Ag-6kV,4.1142224
Cut,2.75549566e+05,929,328,charge,Ag-Ag-6kV,2.6723306
Cut,3.08950179e+05,935,328,charge,Ag-Ag-6kV,2.9962559
Cut,3.28660679e+05,937,328,charge,Ag-Ag-6kV,3.187412
Cut,3.42140389e+05,940,328,charge,Ag-Ag-6kV,3.3181407
Cut,3.94817091e+05,941,328,charge,Ag-Ag-6kV,3.8290091
Cut,1.946186e+05,942,328,charge,Ag-Ag-6kV,1.8874471
Cut,3.07621326e+05,943,328,charge,Ag-Ag-6kV,2.9833685
Cut,4.00174136e+05,945,328,charge,Ag-Ag-6kV,3.8809627
Cut,2.15239749e+05,946,328,charge,Ag-Ag-6kV,2.0874349
Cut,2.73865863e+05,951,328,charge,Ag-Ag-6kV,2.6560017
Cut,3.14673185e+05,952,328,charge,Ag-Ag-6kV,3.0517587
Cut,2.85288448e+05,959,328,charge,Ag-Ag-6kV,2.7667801
Cut,2.94559915e+05,961,328,charge,Ag-Ag-6kV,2.8566965
Cut,3.17657645e+05,963,328,charge,Ag-Ag-6kV,3.0807025
Cut,3.16961877e+05,966,328,charge,Ag-Ag-6kV,3.0739548
Cut,2.83391159e+05,969,328,charge,Ag-Ag-6kV,2.7483798
Cut,27213.485,970,328,charge,Ag-Ag-6kV,0.26392141
Cut,3.30963424e+05,971,328,charge,Ag-Ag-6kV,3.2097444
Cut,2.95426262e+05,973,328,charge,Ag-Ag-6kV,2.8650985
Cut,3.29150212e+05,976,328,charge,Ag-Ag-6kV,3.1921596
Cut,6.19774396e+05,977,328,charge,Ag-Ag-6kV,6.0106866
Cut,3.2562399e+05,979,328,charge,Ag-Ag-6kV,3.1579616
Cut,3.6603927e+05,980,328,charge,Ag-Ag-6kV,3.5499165
Cut,3.70134319e+05,983,328,charge,Ag-Ag-6kV,3.589631
Cut,3.48950293e+05,984,328,charge,Ag-Ag-6kV,3.3841844
Cut,2.70576012e+05,987,328,charge,Ag-Ag-6kV,2.6240962
Cut,3.64390777e+05,988,328,charge,Ag-Ag-6kV,3.5339291
Cut,3.41361414e+05,990,328,charge,Ag-Ag-6kV,3.3105861
Cut,3.72660175e+05,993,328,charge,Ag-Ag-6kV,3.6141272
Cut,3.10713463e+05,995,328,charge,Ag-Ag-6kV,3.0133566
Cut,3.25416392e+05,997,328,charge,Ag-Ag-6kV,3.1559483
Cut,1.97813955e+05,999,328,charge,Ag-Ag-6kV,1.9184363
Cut,3.1382576e+05,1000,328,charge,Ag-Ag-6kV,3.0435402
Cut,3.09800664e+05,1004,328,charge,Ag-Ag-6kV,3.0045041
Cut,3.20565033e+05,1008,328,charge,Ag-Ag-6kV,3.1088989
Cut,3.16776353e+05,1009,328,charge,Ag-Ag-6kV,3.0721556
Cut,3.3241659e+05,1010,328,charge,Ag-Ag-6kV,3.2238375
Cut,3.67868721e+05,1015,328,charge,Ag-Ag-6kV,3.5676588
Cut,3.08629071e+05,1017,328,charge,Ag-Ag-6kV,2.9931418
Cut,3.60295074e+05,1022,328,charge,Ag-Ag-6kV,3.4942082
Cut,2.60312467e+05,1025,328,charge,Ag-Ag-6kV,2.5245584
Cut,3.12368396e+05,1027,328,charge,Ag-Ag-6kV,3.0294064
Cut,1.88379789e+05,1028,328,charge,Ag-Ag-6kV,1.826942
Cut,3.50764756e+05,1029,328,charge,Ag-Ag-6kV,3.4017814
Cut,3.2904244e+05,1032,328,charge,Ag-Ag-6kV,3.1911144
Cut,2.72042999e+05,1036,328,charge,Ag-Ag-6kV,2.6383233
Cut,2.75150655e+05,1038,328,charge,Ag-Ag-6kV,2.6684619
Cut,3.67725585e+05,1039,328,charge,Ag-Ag-6kV,3.5662707
Cut,3.00249226e+05,1040,328,charge,Ag-Ag-6kV,2.9118725
Cut,3.52666675e+05,1041,328,charge,Ag-Ag-6kV,3.4202266
Cut,3.48131287e+05,1044,328,charge,Ag-Ag-6kV,3.3762415
Cut,3.08258617e+05,1048,328,charge,Ag-Ag-6kV,2.989549
Cut,3.26234074e+05,1051,328,charge,Ag-Ag-6kV,3.1638783
Cut,45676.77,1053,328,charge,Ag-Ag-6kV,0.44298176
Cut,3.5205153e+05,1063,328,charge,Ag-Ag-6kV,3.4142608
Cut,2.67242747e+05,1064,328,charge,Ag-Ag-6kV,2.5917695
