Type,Energy,Counts
MPFIT,30000,2.76844167e-09
MPFIT,30346.898,2.94322743e-09
MPFIT,30693.796,3.12880991e-09
MPFIT,31040.694,3.32584071e-09
MPFIT,31387.592,3.53500982e-09
MPFIT,31734.49,3.75704775e-09
MPFIT,32081.388,3.99272794e-09
MPFIT,32428.286,4.24286913e-09
MPFIT,32775.183,4.50833799e-09
MPFIT,33122.081,4.79005184e-09
MPFIT,33468.979,5.08898152e-09
MPFIT,33815.877,5.40615447e-09
MPFIT,34162.775,5.74265787e-09
MPFIT,34509.673,6.09964208e-09
MPFIT,34856.571,6.4783242e-09
MPFIT,35203.469,6.87999183e-09
MPFIT,35550.367,7.30600701e-09
MPFIT,35897.265,7.75781049e-09
MPFIT,36244.163,8.23692605e-09
MPFIT,36591.061,8.74496524e-09
MPFIT,36937.959,9.28363226e-09
MPFIT,37284.857,9.85472913e-09
MPFIT,37631.755,1.04601612e-08
MPFIT,37978.652,1.11019427e-08
MPFIT,38325.55,1.17822033e-08
MPFIT,38672.448,1.25031938e-08
MPFIT,39019.346,1.32672936e-08
MPFIT,39366.244,1.40770172e-08
MPFIT,39713.142,1.49350221e-08
MPFIT,40060.04,1.58441163e-08
MPFIT,40406.938,1.6807267e-08
MPFIT,40753.836,1.78276092e-08
MPFIT,41100.734,1.89084547e-08
MPFIT,41447.632,2.00533022e-08
MPFIT,41794.53,2.12658471e-08
MPFIT,42141.428,2.25499928e-08
MPFIT,42488.326,2.39098612e-08
MPFIT,42835.223,2.53498057e-08
MPFIT,43182.121,2.68744227e-08
MPFIT,43529.019,2.84885658e-08
MPFIT,43875.917,3.01973589e-08
MPFIT,44222.815,3.20062112e-08
MPFIT,44569.713,3.39208329e-08
MPFIT,44916.611,3.59472508e-08
MPFIT,45263.509,3.80918259e-08
MPFIT,45610.407,4.03612711e-08
MPFIT,45957.305,4.27626701e-08
MPFIT,46304.203,4.53034975e-08
MPFIT,46651.101,4.79916394e-08
MPFIT,46997.999,5.08354154e-08
MPFIT,47344.897,5.38436022e-08
MPFIT,47691.795,5.70254572e-08
MPFIT,48038.692,6.03907446e-08
MPFIT,48385.59,6.39497621e-08
MPFIT,48732.488,6.77133691e-08
MPFIT,49079.386,7.16930166e-08
MPFIT,49426.284,7.5900778e-08
MPFIT,49773.182,8.03493825e-08
MPFIT,50120.08,8.50522493e-08
MPFIT,50466.978,9.00235235e-08
MPFIT,50813.876,9.52781148e-08
MPFIT,51160.774,1.00831737e-07
MPFIT,51507.672,1.06700951e-07
MPFIT,51854.57,1.12903206e-07
MPFIT,52201.468,1.19456891e-07
MPFIT,52548.366,1.26381379e-07
MPFIT,52895.264,1.3369708e-07
MPFIT,53242.161,1.41425493e-07
MPFIT,53589.059,1.49589266e-07
MPFIT,53935.957,1.58212251e-07
MPFIT,54282.855,1.67319571e-07
MPFIT,54629.753,1.76937679e-07
MPFIT,54976.651,1.87094431e-07
MPFIT,55323.549,1.97819159e-07
MPFIT,55670.447,2.0914274e-07
MPFIT,56017.345,2.21097683e-07
MPFIT,56364.243,2.33718206e-07
MPFIT,56711.141,2.47040327e-07
MPFIT,57058.039,2.61101953e-07
MPFIT,57404.937,2.75942976e-07
MPFIT,57751.835,2.91605375e-07
MPFIT,58098.732,3.08133321e-07
MPFIT,58445.63,3.25573287e-07
MPFIT,58792.528,3.43974164e-07
MPFIT,59139.426,3.63387383e-07
MPFIT,59486.324,3.83867042e-07
MPFIT,59833.222,4.05470041e-07
MPFIT,60180.12,4.28256219e-07
MPFIT,60527.018,4.52288504e-07
MPFIT,60873.916,4.77633065e-07
MPFIT,61220.814,5.04359475e-07
MPFIT,61567.712,5.32540879e-07
MPFIT,61914.61,5.62254167e-07
MPFIT,62261.508,5.93580168e-07
MPFIT,62608.406,6.26603838e-07
MPFIT,62955.304,6.61414462e-07
MPFIT,63302.201,6.98105874e-07
MPFIT,63649.099,7.36776675e-07
MPFIT,63995.997,7.77530466e-07
MPFIT,64342.895,8.20476097e-07
MPFIT,64689.793,8.6572792e-07
MPFIT,65036.691,9.13406058e-07
MPFIT,65383.589,9.63636685e-07
MPFIT,65730.487,1.01655232e-06
MPFIT,66077.385,1.07229214e-06
MPFIT,66424.283,1.1310023e-06
MPFIT,66771.181,1.19283625e-06
MPFIT,67118.079,1.25795511e-06
MPFIT,67464.977,1.32652806e-06
MPFIT,67811.875,1.39873266e-06
MPFIT,68158.773,1.47475531e-06
MPFIT,68505.67,1.55479167e-06
MPFIT,68852.568,1.63904705e-06
MPFIT,69199.466,1.72773695e-06
MPFIT,69546.364,1.82108745e-06
MPFIT,69893.262,1.91933581e-06
MPFIT,70240.16,2.02273093e-06
MPFIT,70587.058,2.13153393e-06
MPFIT,70933.956,2.24601872e-06
MPFIT,71280.854,2.36647259e-06
MPFIT,71627.752,2.49319687e-06
MPFIT,71974.65,2.62650757e-06
MPFIT,72321.548,2.76673605e-06
MPFIT,72668.446,2.91422977e-06
MPFIT,73015.344,3.06935303e-06
MPFIT,73362.241,3.23248775e-06
MPFIT,73709.139,3.40403427e-06
MPFIT,74056.037,3.58441226e-06
MPFIT,74402.935,3.77406154e-06
MPFIT,74749.833,3.97344307e-06
MPFIT,75096.731,4.18303992e-06
MPFIT,75443.629,4.40335824e-06
MPFIT,75790.527,4.63492836e-06
MPFIT,76137.425,4.87830591e-06
MPFIT,76484.323,5.13407295e-06
MPFIT,76831.221,5.40283915e-06
MPFIT,77178.119,5.68524313e-06
MPFIT,77525.017,5.9819537e-06
MPFIT,77871.915,6.29367126e-06
MPFIT,78218.813,6.62112923e-06
MPFIT,78565.71,6.96509554e-06
MPFIT,78912.608,7.32637419e-06
MPFIT,79259.506,7.70580687e-06
MPFIT,79606.404,8.10427464e-06
MPFIT,79953.302,8.52269972e-06
MPFIT,80300.2,8.96204731e-06
MPFIT,80647.098,9.42332753e-06
MPFIT,80993.996,9.90759738e-06
MPFIT,81340.894,1.0415963e-05
MPFIT,81687.792,1.0949581e-05
MPFIT,82034.69,1.1509663e-05
MPFIT,82381.588,1.2097475e-05
MPFIT,82728.486,1.2714341e-05
MPFIT,83075.384,1.3361647e-05
MPFIT,83422.282,1.4040842e-05
MPFIT,83769.179,1.475344e-05
MPFIT,84116.077,1.5501028e-05
MPFIT,84462.975,1.628526e-05
MPFIT,84809.873,1.710787e-05
MPFIT,85156.771,1.7970666e-05
MPFIT,85503.669,1.8875543e-05
MPFIT,85850.567,1.9824477e-05
MPFIT,86197.465,2.0819536e-05
MPFIT,86544.363,2.1862881e-05
MPFIT,86891.261,2.2956768e-05
MPFIT,87238.159,2.4103557e-05
MPFIT,87585.057,2.5305711e-05
MPFIT,87931.955,2.6565806e-05
MPFIT,88278.853,2.7886529e-05
MPFIT,88625.751,2.927069e-05
MPFIT,88972.648,3.0721222e-05
MPFIT,89319.546,3.2241189e-05
MPFIT,89666.444,3.3833789e-05
MPFIT,90013.342,3.5502363e-05
MPFIT,90360.24,3.7250398e-05
MPFIT,90707.138,3.9081535e-05
MPFIT,91054.036,4.0999573e-05
MPFIT,91400.934,4.3008481e-05
MPFIT,91747.832,4.5112397e-05
MPFIT,92094.73,4.7315643e-05
MPFIT,92441.628,4.9622727e-05
MPFIT,92788.526,5.2038353e-05
MPFIT,93135.424,5.4567431e-05
MPFIT,93482.322,5.721508e-05
MPFIT,93829.219,5.9986643e-05
MPFIT,94176.117,6.2887691e-05
MPFIT,94523.015,6.5924035e-05
MPFIT,94869.913,6.9101737e-05
MPFIT,95216.811,7.2427117e-05
MPFIT,95563.709,7.5906763e-05
MPFIT,95910.607,7.9547549e-05
MPFIT,96257.505,8.3356636e-05
MPFIT,96604.403,8.7341492e-05
MPFIT,96951.301,9.1509901e-05
MPFIT,97298.199,9.5869976e-05
MPFIT,97645.097,0.00010043017
MPFIT,97991.995,0.0001051993
MPFIT,98338.893,0.00011018654
MPFIT,98685.791,0.00011540146
MPFIT,99032.688,0.00012085402
MPFIT,99379.586,0.00012655461
MPFIT,99726.484,0.00013251405
MPFIT,1.00073382e+05,0.00013874358
MPFIT,1.0042028e+05,0.00014525496
MPFIT,1.00767178e+05,0.00015206038
MPFIT,1.01114076e+05,0.00015917258
MPFIT,1.01460974e+05,0.0001666048
MPFIT,1.01807872e+05,0.00017437083
MPFIT,1.0215477e+05,0.00018248501
MPFIT,1.02501668e+05,0.00019096231
MPFIT,1.02848566e+05,0.00019981826
MPFIT,1.03195464e+05,0.00020906906
MPFIT,1.03542362e+05,0.00021873154
MPFIT,1.0388926e+05,0.00022882325
MPFIT,1.04236157e+05,0.00023936241
MPFIT,1.04583055e+05,0.00025036801
MPFIT,1.04929953e+05,0.00026185977
MPFIT,1.05276851e+05,0.00027385825
MPFIT,1.05623749e+05,0.00028638478
MPFIT,1.05970647e+05,0.00029946158
MPFIT,1.06317545e+05,0.00031311176
MPFIT,1.06664443e+05,0.00032735934
MPFIT,1.07011341e+05,0.00034222928
MPFIT,1.07358239e+05,0.00035774756
MPFIT,1.07705137e+05,0.00037394116
MPFIT,1.08052035e+05,0.00039083816
MPFIT,1.08398933e+05,0.00040846771
MPFIT,1.08745831e+05,0.00042686012
MPFIT,1.09092728e+05,0.0004460469
MPFIT,1.09439626e+05,0.00046606079
MPFIT,1.09786524e+05,0.00048693578
MPFIT,1.10133422e+05,0.00050870722
MPFIT,1.1048032e+05,0.00053141182
MPFIT,1.10827218e+05,0.00055508772
