Cut?,Counts,eventNumber,runNumber
Raw,2.15355755e+05,0,351
Raw,2.33958618e+05,1,351
Raw,1.08347619e+05,1,351
Raw,2.35845354e+05,3,351
Raw,3.19159806e+05,4,351
Raw,1.23659306e+05,5,351
Raw,2.53680363e+05,6,351
Raw,2.00507491e+05,7,351
Raw,1.24136467e+05,8,351
Raw,2.2237813e+05,9,351
Raw,2.22832007e+05,10,351
Raw,2.32586927e+05,11,351
Raw,2.3700671e+05,12,351
Raw,2.87935974e+05,13,351
Raw,3.44070346e+05,14,351
Raw,2.50959952e+05,15,351
Raw,2.88263724e+05,16,351
Raw,2.6721482e+05,18,351
Raw,2.93445414e+05,19,351
Raw,2.49795314e+05,20,351
Raw,2.94785232e+05,21,351
Raw,3.00692463e+05,22,351
Raw,1.64843526e+05,23,351
Raw,2.62062026e+05,24,351
Raw,2.70353952e+05,25,351
Raw,2.75305376e+05,26,351
Raw,2.23242683e+05,27,351
Raw,1.79728502e+05,28,351
Raw,7.14067274e+05,29,351
Raw,2.28989142e+05,30,351
Raw,2.97110787e+05,31,351
Raw,2.58798658e+05,32,351
Raw,3.07602992e+05,34,351
Raw,2.73768623e+05,35,351
Raw,2.68681592e+05,36,351
Raw,1.96578053e+05,37,351
Raw,1.14821002e+05,38,351
Raw,2.89714233e+05,39,351
Raw,2.04695347e+05,40,351
Raw,2.28551144e+05,41,351
Raw,2.36533695e+05,42,351
Raw,2.64420445e+05,43,351
Raw,68164.435,44,351
Raw,3.14285435e+05,45,351
Raw,2.29323682e+05,46,351
Raw,2.67457797e+05,47,351
Raw,2.5379963e+05,48,351
Raw,2.46146159e+05,49,351
Raw,1.45568328e+05,50,351
Raw,1.33679929e+05,51,351
Raw,3.09647159e+05,52,351
Raw,1.56557103e+05,53,351
Raw,2.63038633e+05,54,351
Raw,2.18906705e+05,55,351
Raw,2.42966605e+05,56,351
Raw,2.35472206e+05,57,351
Raw,5.54439908e+05,58,351
Raw,1.64681207e+05,59,351
Raw,2.99260475e+05,60,351
Raw,3.21714091e+05,61,351
Raw,2.52541647e+05,62,351
Raw,3.79969042e+05,63,351
Raw,2.15071642e+05,64,351
Raw,2.38743672e+05,65,351
Raw,3.15448353e+05,66,351
Raw,1.95218161e+05,67,351
Raw,1.75732561e+05,68,351
Raw,1.92509019e+05,69,351
Raw,2.59489791e+05,71,351
Raw,2.66702431e+05,72,351
Raw,3.14083649e+05,73,351
Raw,3.49152654e+05,74,351
Raw,1.84864597e+05,75,351
Raw,2.98532778e+05,76,351
Raw,2.48993307e+05,77,351
Raw,3.14255364e+05,78,351
Raw,2.91908683e+05,79,351
Raw,3.17062778e+05,80,351
Raw,2.33994625e+05,81,351
Raw,2.23815489e+05,82,351
Raw,3.06890456e+05,83,351
Raw,2.21965525e+05,84,351
Raw,2.16220438e+05,85,351
Raw,1.40094303e+05,86,351
Raw,2.45143682e+05,87,351
Raw,2.6890384e+05,88,351
Raw,3.51911446e+05,89,351
Raw,2.96406065e+05,90,351
Raw,28844.846,90,351
Raw,2.39659594e+05,91,351
Raw,3.32693776e+05,92,351
Raw,2.42944012e+05,93,351
Raw,2.77386336e+05,94,351
Raw,2.57061477e+05,95,351
Raw,1.22849566e+05,96,351
Raw,3.36462903e+05,97,351
Raw,2.87131382e+05,98,351
Raw,2.947537e+05,99,351
Raw,4.45820475e+05,100,351
Raw,2.69484491e+05,101,351
Raw,2.5883662e+05,102,351
Raw,2.71600627e+05,103,351
Raw,3.97491985e+05,105,351
Raw,2.38357131e+05,106,351
Raw,3.26753967e+05,108,351
Raw,3.27800741e+05,109,351
Raw,2.75902467e+05,110,351
Raw,3.01330499e+05,111,351
Raw,2.72532158e+05,112,351
Raw,3.45146453e+05,113,351
Raw,2.33439562e+05,114,351
Raw,2.57307079e+05,115,351
Raw,84293.792,116,351
Raw,2.64283634e+05,117,351
Raw,2.31830798e+05,118,351
Raw,63951.736,118,351
Raw,2.40592483e+05,119,351
Raw,1.36228835e+05,120,351
Raw,2.74460763e+05,121,351
Raw,2.10452878e+05,122,351
Raw,4.98049329e+05,123,351
Raw,2.80474871e+05,124,351
Raw,1.99496087e+05,125,351
Raw,1.20958158e+05,126,351
Raw,2.6729075e+05,127,351
Raw,1.52740572e+05,129,351
Raw,3.8634709e+05,130,351
Raw,2.89909484e+05,131,351
Raw,3.14016289e+05,132,351
Raw,2.40920535e+05,133,351
Raw,2.86245909e+05,134,351
Raw,3.04851316e+05,135,351
Raw,1.23958402e+05,136,351
Raw,75170.746,136,351
Raw,3.04762587e+05,137,351
Raw,2.63387671e+05,138,351
