eccentricity,run
1.0720395,328
1.1667942,328
1.1366447,328
1.0579786,328
1.186803,328
1.1536549,328
1.1218529,328
1.030714,328
1.1901009,328
1.1235901,328
1.0866735,328
1.1232844,328
1.2709921,328
1.1523822,328
1.0709393,328
1.0395157,328
1.0961101,328
1.0863801,328
1.1170941,328
1.1737519,328
1.0359013,328
1.1647939,328
1.1271268,328
1.075164,328
1.1486751,328
1.0726235,328
1.1240197,328
1.0355002,328
1.2855602,328
1.0368191,328
1.2825543,328
1.024942,328
1.1668802,328
1.0252002,328
1.206019,328
1.2436591,328
1.0985341,328
1.2895754,328
1.0676606,328
1.2310004,328
1.0633578,328
1.1348348,328
1.1651526,328
1.1683179,328
1.0581065,328
1.1656393,328
1.1673393,328
1.308211,328
1.0712417,328
1.0637647,328
1.0566409,328
1.0981855,328
1.1388136,328
1.0802292,328
1.0948491,328
1.0479792,328
1.0591637,328
1.0541469,328
1.1199772,328
1.1134725,328
1.2581524,328
1.0368432,328
1.1622242,328
1.0572989,328
1.1785079,328
1.1213653,328
1.1250031,328
1.1404332,328
1.0611288,328
1.1788477,328
1.2506123,328
1.0716917,328
1.0850091,328
1.1824773,328
1.0885236,328
1.1289644,328
1.0318176,328
1.0235523,328
1.0965062,328
1.1803003,328
1.052202,328
1.0623063,328
1.2261071,328
1.1633986,328
1.1793282,328
1.2356864,328
1.0365344,328
1.2079661,328
1.176798,328
1.2180368,328
1.3922728,328
1.0532637,328
1.2063274,328
1.1169756,328
1.3279743,328
1.1441025,328
1.1587572,328
1.1218118,328
1.0741743,328
1.1510321,328
1.1959697,328
1.0909075,328
1.1692456,328
1.1324608,328
1.0372014,328
1.2646573,328
1.1695028,328
1.1812464,328
1.282314,328
1.0515501,328
1.0705804,328
1.261823,328
1.2316007,328
1.0660729,328
1.1988948,328
1.0549463,328
1.2298593,328
1.1225094,328
1.2136874,328
1.1895794,328
1.1155712,328
1.0474721,328
1.3178002,328
1.2092264,328
1.2997316,328
1.2188702,328
1.1367514,328
1.0312438,328
1.1508006,328
1.0369005,328
1.0306575,328
1.2338532,328
1.1110937,328
1.1511478,328
1.1193584,328
1.0980581,328
1.1905135,328
1.2577608,328
1.2848321,328
1.0268365,328
1.0255951,328
1.0742278,328
1.1116111,328
1.1024409,328
1.0754956,328
1.1798372,328
1.162368,328
1.0636944,328
1.2040813,328
1.0803286,328
1.2356552,328
1.0481564,328
1.2109529,328
1.1489019,328
1.3321239,328
1.0741991,328
1.0248741,328
1.2023913,328
1.088543,328
1.0750935,328
1.17225,328
1.035628,328
1.186772,328
1.2627653,328
1.04584,328
1.3462992,328
1.1717481,328
1.0519525,328
1.146812,328
1.1764386,328
1.0470616,328
1.219425,328
1.0876075,328
1.1496352,328
1.2045548,328
1.0991029,328
1.2267278,328
1.0699168,328
1.2228686,328
1.1823789,328
1.0271182,328
1.2328903,328
1.1938014,328
1.1203645,328
1.0816799,328
1.1227947,328
1.1771567,328
1.0607153,328
1.2392343,328
1.2210582,328
1.2204954,328
1.2504886,328
1.1517137,328
1.2653092,328
1.2168042,328
1.0797401,328
1.0912652,328
1.1165026,328
1.068857,328
1.3253409,328
1.1557489,328
1.2631586,328
1.0167382,328
1.0922588,328
1.148313,328
1.0775309,328
1.2899088,328
1.1786419,328
1.2033486,328
1.064796,328
1.1179735,328
1.0612287,328
1.0068689,328
1.1278543,328
1.2460147,328
1.0639644,328
1.0966286,328
1.1711553,328
1.2008798,328
1.1447759,328
1.1467579,328
1.3963635,328
1.0908198,328
1.1052735,328
1.15369,328
1.132053,328
1.0772838,328
1.0866548,328
1.093542,328
1.1398427,328
1.0165609,328
1.0831556,328
1.0981815,328
1.1944527,328
1.2509149,328
1.3171315,328
1.2037128,328
1.07007,328
1.1825875,328
1.1037862,328
1.0275587,328
1.1748472,328
1.1604668,328
1.0325825,328
1.0940032,328
1.1913641,328
1.104646,328
1.1731078,328
1.1026049,328
1.2409017,328
1.1476383,328
1.0705378,328
1.1002072,328
1.1598239,328
1.1069322,328
1.0522038,328
1.0708061,328
1.1607776,328
1.2143206,328
1.2860474,328
1.2379726,328
1.1371893,328
1.113096,328
1.1590338,328
1.0814765,328
1.1402521,328
1.2172837,328
1.2347854,328
1.1144653,328
1.2103682,328
1.3081486,328
1.0404719,328
1.3120644,328
1.0569306,328
1.1157057,328
1.1914253,328
1.1752616,328
1.1787683,328
1.1389735,328
1.0908336,328
1.2066367,328
1.1347596,328
1.2120394,328
1.0151464,328
1.1807246,328
1.1451805,328
1.1766691,328
1.2153148,328
1.2544892,328
1.2090812,328
1.2534065,328
1.1052822,328
1.0091201,328
1.0423276,328
1.1180175,328
1.1694867,328
1.1578511,328
1.2688392,328
1.3760608,328
1.1917051,328
1.083058,328
1.1464376,328
1.0616554,328
1.209277,328
1.039227,328
1.0515995,328
1.1234416,328
1.1112817,328
1.0741495,328
1.0295978,328
1.2236958,328
1.0997814,328
1.1094221,328
1.3587778,328
1.16895,328
1.1409436,328
1.1143256,328
1.1568582,328
1.2494187,328
1.1989157,328
1.0723186,328
1.0959138,328
1.1154168,328
1.134638,328
1.1265175,328
1.2901956,328
1.1177163,328
1.2476592,328
1.1313174,328
1.0602588,328
1.17572,328
1.1168483,328
1.0943743,328
1.2158973,328
1.2346995,328
1.3131033,328
1.0838446,328
1.1920786,328
1.1949783,328
1.0641172,328
1.1040239,328
1.1834843,328
1.1605025,328
1.0899786,328
1.0884644,328
1.1777244,328
1.1492349,328
1.0967814,328
1.1460234,328
1.2303402,328
1.2666801,328
1.1758845,328
1.111306,328
1.0847736,328
1.1158466,328
1.2321047,328
1.2490773,328
1.049787,328
1.3027049,328
1.2069557,328
1.0528,328
1.1875301,328
1.2277812,328
1.0396454,328
1.0507732,328
1.0317776,328
1.0968127,328
1.3248309,328
1.2696716,328
1.0556116,328
1.1128478,328
1.1709563,328
1.1343055,328
1.1079339,328
1.2797681,328
1.1137849,328
1.1130541,328
1.1643027,328
1.2613362,328
1.1730933,328
1.0143058,328
1.1455093,328
1.2066698,328
1.2690981,328
1.1459976,328
1.1847243,328
1.0926081,328
1.1636283,328
1.0878698,328
1.0707271,328
1.1058776,328
1.0901135,328
1.1373987,328
1.2260256,328
1.1116014,328
1.1698975,328
1.1982459,328
1.1560344,328
