fractionInTransverseRms,run
0.29268293,328
0.35772358,328
0.39473684,328
0.34513274,328
0.2992126,328
0.25806452,328
0.25833333,328
0.37837838,328
0.39090909,328
0.33870968,328
0.36363636,328
0.39830508,328
0.31137725,328
0.30578512,328
0.35652174,328
0.31896552,328
0.31,328
0.26829268,328
0.36697248,328
0.28,328
0.41984733,328
0.36363636,328
0.37241379,328
0.32478632,328
0.3245614,328
0.37241379,328
0.33035714,328
0.35772358,328
0.32824427,328
0.38513514,328
0.25225225,328
0.42741935,328
0.35,328
0.43220339,328
0.36752137,328
0.31782946,328
0.39495798,328
0.30653266,328
0.34814815,328
0.40740741,328
0.35238095,328
0.34482759,328
0.28205128,328
0.4122807,328
0.4028777,328
0.34259259,328
0.29357798,328
0.23469388,328
0.43333333,328
0.40540541,328
0.35833333,328
0.37704918,328
0.33035714,328
0.36153846,328
0.31547619,328
0.39320388,328
0.35833333,328
0.39473684,328
0.34453782,328
0.31858407,328
0.3220339,328
0.34745763,328
0.36666667,328
0.34821429,328
0.2601626,328
0.38938053,328
0.44927536,328
0.33502538,328
0.40944882,328
0.35344828,328
0.21359223,328
0.3358209,328
0.376,328
0.23076923,328
0.36283186,328
0.38333333,328
0.368,328
0.38211382,328
0.35714286,328
0.33928571,328
0.38738739,328
0.39130435,328
0.26548673,328
0.39823009,328
0.35897436,328
0.33913043,328
0.38686131,328
0.34306569,328
0.36885246,328
0.2,328
0.32786885,328
0.38135593,328
0.31451613,328
0.34228188,328
0.33962264,328
0.32258065,328
0.39495798,328
0.37190083,328
0.32989691,328
0.37815126,328
0.36363636,328
0.3984375,328
0.36440678,328
0.2992126,328
0.43478261,328
0.375,328
0.31092437,328
0.3490566,328
0.29245283,328
0.35714286,328
0.4017094,328
0.32231405,328
0.31818182,328
0.38888889,328
0.33333333,328
0.40186916,328
0.2892562,328
0.42222222,328
0.25641026,328
0.33333333,328
0.33606557,328
0.31578947,328
0.36936937,328
0.3047619,328
0.31092437,328
0.32173913,328
0.31192661,328
0.34090909,328
0.304,328
0.43137255,328
0.37068966,328
0.36666667,328
0.3671875,328
0.32330827,328
0.32283465,328
0.39814815,328
0.32758621,328
0.32061069,328
0.26956522,328
0.3943662,328
0.34234234,328
0.36363636,328
0.37398374,328
0.30952381,328
0.35714286,328
0.31007752,328
0.37837838,328
0.4453125,328
0.3047619,328
0.35483871,328
0.39130435,328
0.42307692,328
0.33070866,328
0.35772358,328
0.27522936,328
0.42105263,328
0.45217391,328
0.32407407,328
0.34453782,328
0.37254902,328
0.30275229,328
0.34677419,328
0.31858407,328
0.2815534,328
0.36792453,328
0.26315789,328
0.31764706,328
0.34375,328
0.31205674,328
0.35238095,328
0.37606838,328
0.31496063,328
0.34033613,328
0.35074627,328
0.41129032,328
0.33333333,328
0.27522936,328
0.34459459,328
0.33333333,328
0.36220472,328
0.3671875,328
0.31632653,328
0.32061069,328
0.31818182,328
0.36734694,328
0.28571429,328
0.33576642,328
0.41071429,328
0.35652174,328
0.36507937,328
0.28813559,328
0.3495935,328
0.36065574,328
0.27536232,328
0.30769231,328
0.33566434,328
0.31404959,328
0.35833333,328
0.36440678,328
0.3015873,328
0.22222222,328
0.33,328
0.42201835,328
0.34862385,328
0.30630631,328
0.42477876,328
0.2734375,328
0.3255814,328
0.344,328
0.30597015,328
0.25974026,328
0.3495935,328
0.3442623,328
0.41353383,328
0.36521739,328
0.40310078,328
0.36073059,328
0.304,328
0.34444444,328
0.30337079,328
0.30434783,328
0.23478261,328
0.30172414,328
0.375,328
0.33587786,328
