hits,run
205,328
123,328
114,328
113,328
127,328
124,328
120,328
111,328
110,328
124,328
121,328
118,328
167,328
121,328
115,328
116,328
100,328
123,328
109,328
125,328
131,328
121,328
145,328
117,328
114,328
145,328
112,328
123,328
131,328
148,328
111,328
124,328
120,328
118,328
117,328
129,328
119,328
199,328
135,328
108,328
105,328
116,328
117,328
114,328
139,328
108,328
109,328
98,328
120,328
111,328
120,328
122,328
112,328
130,328
168,328
206,328
120,328
152,328
119,328
113,328
118,328
118,328
120,328
112,328
123,328
113,328
138,328
197,328
127,328
116,328
103,328
134,328
125,328
13,328
113,328
120,328
125,328
123,328
126,328
112,328
111,328
115,328
113,328
113,328
117,328
115,328
137,328
137,328
122,328
25,328
122,328
118,328
124,328
149,328
106,328
124,328
119,328
121,328
97,328
119,328
110,328
128,328
118,328
127,328
115,328
88,328
119,328
106,328
106,328
140,328
117,328
121,328
132,328
108,328
141,328
107,328
121,328
135,328
39,328
126,328
122,328
114,328
111,328
105,328
119,328
115,328
109,328
132,328
125,328
102,328
116,328
120,328
128,328
133,328
127,328
216,328
116,328
131,328
115,328
142,328
111,328
88,328
123,328
84,328
140,328
129,328
111,328
128,328
105,328
124,328
115,328
130,328
127,328
123,328
109,328
95,328
115,328
108,328
119,328
102,328
109,328
124,328
113,328
103,328
106,328
38,328
85,328
128,328
141,328
105,328
117,328
127,328
238,328
134,328
124,328
120,328
109,328
148,328
114,328
127,328
128,328
98,328
131,328
110,328
98,328
133,328
137,328
112,328
115,328
126,328
118,328
123,328
122,328
138,328
117,328
143,328
121,328
120,328
118,328
126,328
72,328
100,328
109,328
109,328
111,328
113,328
128,328
129,328
125,328
134,328
77,328
123,328
122,328
133,328
115,328
129,328
219,328
125,328
90,328
89,328
115,328
115,328
116,328
112,328
131,328
126,328
119,328
117,328
115,328
148,328
100,328
117,328
127,328
118,328
108,328
117,328
98,328
74,328
120,328
132,328
112,328
122,328
104,328
128,328
92,328
103,328
135,328
104,328
135,328
114,328
125,328
127,328
125,328
128,328
134,328
163,328
120,328
126,328
106,328
110,328
119,328
129,328
112,328
121,328
129,328
120,328
112,328
60,328
97,328
14,328
120,328
117,328
115,328
130,328
78,328
109,328
124,328
122,328
121,328
105,328
176,328
113,328
111,328
108,328
126,328
142,328
81,328
128,328
151,328
78,328
350,328
102,328
124,328
115,328
122,328
123,328
117,328
116,328
10,328
134,328
102,328
116,328
226,328
97,328
131,328
133,328
121,328
112,328
127,328
123,328
133,328
120,328
126,328
89,328
125,328
123,328
107,328
114,328
127,328
135,328
118,328
128,328
102,328
120,328
77,328
137,328
130,328
115,328
110,328
126,328
115,328
137,328
139,328
116,328
127,328
17,328
131,328
106,328
127,328
131,328
124,328
119,328
119,328
113,328
131,328
176,328
133,328
126,328
124,328
132,328
129,328
113,328
125,328
125,328
221,328
110,328
122,328
82,328
131,328
105,328
129,328
115,328
88,328
94,328
122,328
118,328
112,328
131,328
112,328
122,328
128,328
129,328
131,328
131,328
123,328
119,328
117,328
111,328
189,328
105,328
127,328
103,328
127,328
111,328
103,328
106,328
117,328
124,328
121,328
146,328
98,328
136,328
76,328
118,328
106,328
113,328
135,328
121,328
106,328
115,328
170,328
107,328
129,328
99,328
119,328
136,328
134,328
126,328
219,328
119,328
126,328
132,328
125,328
120,328
112,328
136,328
117,328
126,328
122,328
121,328
109,328
144,328
122,328
120,328
107,328
108,328
147,328
38,328
110,328
105,328
112,328
123,328
136,328
97,328
112,328
210,328
150,328
117,328
191,328
127,328
127,328
131,328
103,328
111,328
95,328
129,328
159,328
120,328
130,328
116,328
115,328
132,328
121,328
81,328
123,328
129,328
124,328
115,328
114,328
102,328
116,328
111,328
106,328
114,328
106,328
97,328
130,328
149,328
100,328
128,328
119,328
122,328
118,328
136,328
128,328
127,328
129,328
109,328
105,328
132,328
94,328
130,328
111,328
117,328
112,328
114,328
120,328
120,328
112,328
133,328
139,328
128,328
118,328
120,328
125,328
214,328
127,328
119,328
110,328
109,328
119,328
207,328
126,328
124,328
126,328
120,328
103,328
109,328
120,328
16,328
124,328
111,328
131,328
98,328
112,328
114,328
103,328
115,328
122,328
121,328
109,328
125,328
115,328
118,328
120,328
116,328
127,328
126,328
116,328
123,328
