lengthDivRmsTrans,run
5.3788071,328
6.1654467,328
5.7782934,328
4.8296725,328
5.1946742,328
5.5234374,328
5.5183825,328
5.6650821,328
7.0873723,328
6.2337526,328
5.3165011,328
5.3475223,328
5.5729694,328
6.253694,328
5.0905829,328
4.5025418,328
5.6976213,328
5.2692001,328
6.5119106,328
5.9822154,328
5.7580172,328
6.2255758,328
6.0811365,328
6.1325236,328
5.07487,328
5.5687298,328
5.8605589,328
5.6550063,328
6.0378096,328
5.1766204,328
6.4118307,328
6.5806884,328
5.4993422,328
5.4206021,328
5.397099,328
6.7200177,328
5.3419899,328
6.1534155,328
5.5879142,328
7.2065765,328
5.4226944,328
5.6737752,328
5.3866542,328
6.2855965,328
5.536643,328
6.0179872,328
5.7119735,328
6.6487282,328
5.3012264,328
5.216945,328
4.3019168,328
6.1799165,328
5.001022,328
6.2225152,328
5.9884998,328
6.1521142,328
5.3908534,328
5.0917611,328
5.0092429,328
5.9170887,328
6.9877641,328
4.7141081,328
5.4332158,328
5.3052544,328
4.9393838,328
5.4555982,328
6.7821136,328
5.8182505,328
5.8063366,328
6.0843702,328
5.0445099,328
5.0186914,328
5.7974199,328
4.4587375,328
5.2044994,328
5.6036082,328
5.0691595,328
5.7504358,328
6.0214207,328
5.371528,328
4.8361305,328
5.3954203,328
5.5613732,328
6.5206196,328
5.1980912,328
5.8553651,328
5.4082478,328
5.4047164,328
5.8681753,328
4.2434912,328
7.7027,328
5.4406476,328
5.8362514,328
6.311927,328
7.9845858,328
5.1080056,328
6.1819136,328
5.3132178,328
5.319101,328
6.9617412,328
5.7981011,328
5.8714906,328
6.3454845,328
6.2665285,328
5.2453282,328
7.2325512,328
5.3665422,328
5.5138706,328
6.7124626,328
5.6251505,328
6.1239494,328
6.6365488,328
6.9686715,328
5.9845679,328
5.5925704,328
5.9470044,328
5.6345243,328
5.1422365,328
4.9931545,328
5.9199681,328
5.3339109,328
4.9207213,328
6.8656459,328
5.5088592,328
5.6507388,328
6.1081403,328
6.0298767,328
4.8729248,328
5.6686938,328
5.1838886,328
5.2209302,328
6.5787069,328
6.0822206,328
5.9353326,328
5.8149792,328
6.5924999,328
5.8761753,328
5.8105334,328
6.520016,328
5.5101439,328
5.0402506,328
7.1015634,328
5.8174743,328
4.6948349,328
5.1601834,328
5.3266678,328
6.3029642,328
5.0076706,328
6.3214348,328
6.2780027,328
5.4467147,328
4.8594419,328
5.3179176,328
6.0984399,328
6.0111108,328
6.0935756,328
5.7382968,328
5.8963392,328
5.2222072,328
5.6749411,328
6.0721135,328
5.5788921,328
5.8910649,328
5.462658,328
4.6860125,328
6.4030852,328
5.9875093,328
4.8774445,328
5.6399138,328
5.5831755,328
5.3468652,328
6.0947418,328
5.2779776,328
5.4015512,328
6.1092824,328
5.5780618,328
5.8010263,328
4.8779262,328
6.8043442,328
6.1162737,328
5.8162393,328
5.2215329,328
5.376181,328
5.5990276,328
5.3903657,328
5.5811327,328
6.0565275,328
4.9625163,328
6.6860388,328
5.9624406,328
5.1923302,328
5.8423489,328
6.1143737,328
6.1551006,328
5.8566868,328
5.5187414,328
4.6705997,328
5.1776317,328
5.3928343,328
6.5715212,328
5.5660533,328
6.3215729,328
4.7896311,328
6.2807771,328
5.4733385,328
5.7062801,328
5.9320284,328
5.929998,328
5.0357047,328
5.084479,328
5.2186923,328
6.3770873,328
4.6245187,328
6.1070566,328
6.9282225,328
4.9397404,328
6.1996523,328
5.4748841,328
6.6841111,328
5.3998961,328
4.921561,328
6.5122497,328
5.0426412,328
5.6695679,328
5.8464539,328
4.6819122,328
5.7734659,328
5.9363658,328
5.4104748,328
5.5588721,328
4.9053505,328
4.9598456,328
5.5069029,328
4.8898136,328
5.134877,328
6.7667517,328
4.9049213,328
