totalCharge,run
5.91566595e+05,328
3.27921193e+05,328
2.74681495e+05,328
2.99901875e+05,328
3.4426278e+05,328
3.13299596e+05,328
2.79612842e+05,328
2.71309077e+05,328
2.76294576e+05,328
3.38911618e+05,328
3.20336297e+05,328
3.26037408e+05,328
4.80881686e+05,328
3.22041958e+05,328
3.12291436e+05,328
2.77804465e+05,328
2.18112794e+05,328
2.95320122e+05,328
2.67967641e+05,328
2.9151049e+05,328
3.46623603e+05,328
2.89462355e+05,328
3.32136998e+05,328
3.12084032e+05,328
2.65681435e+05,328
3.64414363e+05,328
2.47915568e+05,328
3.06430818e+05,328
3.43771431e+05,328
3.58220237e+05,328
2.43304932e+05,328
3.40495404e+05,328
2.9731272e+05,328
2.81226226e+05,328
3.23069522e+05,328
3.11134529e+05,328
3.41859689e+05,328
4.93558496e+05,328
3.73133527e+05,328
2.84405902e+05,328
3.4134326e+05,328
2.7194717e+05,328
3.34377713e+05,328
2.71139068e+05,328
3.6377532e+05,328
2.96081877e+05,328
2.95020707e+05,328
3.20746321e+05,328
3.07488304e+05,328
2.80946871e+05,328
2.83527094e+05,328
2.83214575e+05,328
4.10768361e+05,328
3.36684766e+05,328
7.92982441e+05,328
5.60315672e+05,328
2.8992897e+05,328
3.94675295e+05,328
3.17571881e+05,328
2.8736884e+05,328
2.62248008e+05,328
3.16937092e+05,328
2.92296032e+05,328
2.95872158e+05,328
3.07808333e+05,328
2.6395664e+05,328
3.39198793e+05,328
5.40149211e+05,328
3.08220338e+05,328
2.9887305e+05,328
2.89969659e+05,328
3.36903279e+05,328
3.23236558e+05,328
31528.244,328
3.0668903e+05,328
3.65453134e+05,328
3.56564495e+05,328
3.31529605e+05,328
3.3902359e+05,328
2.62730463e+05,328
2.7971367e+05,328
2.9131206e+05,328
2.93930745e+05,328
3.10559277e+05,328
2.95384791e+05,328
2.96459823e+05,328
3.73201925e+05,328
3.88902173e+05,328
3.21069875e+05,328
57243.971,328
3.31713906e+05,328
2.98763663e+05,328
3.55046877e+05,328
3.83184333e+05,328
2.87983203e+05,328
3.00705159e+05,328
2.88511506e+05,328
2.90468109e+05,328
2.97730522e+05,328
3.45575e+05,328
2.73006571e+05,328
3.60103167e+05,328
2.97694724e+05,328
3.26540119e+05,328
3.13724196e+05,328
3.19239161e+05,328
3.13586392e+05,328
2.58304386e+05,328
3.8710271e+05,328
3.24891833e+05,328
3.22835107e+05,328
2.95571034e+05,328
3.67663184e+05,328
2.83373858e+05,328
3.61901934e+05,328
2.86866348e+05,328
3.20173152e+05,328
3.40615273e+05,328
92759.879,328
3.41862667e+05,328
3.17944311e+05,328
3.20729342e+05,328
2.76108449e+05,328
2.81086772e+05,328
3.10850871e+05,328
3.30483011e+05,328
2.89750036e+05,328
4.04413231e+05,328
3.15176556e+05,328
3.0544326e+05,328
2.74040825e+05,328
3.52775708e+05,328
3.69929169e+05,328
3.47876797e+05,328
3.33089592e+05,328
5.39118213e+05,328
3.05728927e+05,328
3.48756347e+05,328
3.24212679e+05,328
3.89308116e+05,328
3.08143636e+05,328
3.73710862e+05,328
3.28656572e+05,328
3.3254232e+05,328
3.49606938e+05,328
3.33667936e+05,328
3.0362672e+05,328
3.35746695e+05,328
2.38123271e+05,328
3.31765471e+05,328
2.89824613e+05,328
3.29881236e+05,328
2.9957278e+05,328
3.4689471e+05,328
3.24597426e+05,328
2.64064281e+05,328
3.06956419e+05,328
2.67788856e+05,328
3.3001502e+05,328
2.557186e+05,328
2.83588331e+05,328
3.41626856e+05,328
2.80900891e+05,328
3.58123079e+05,328
2.56848229e+05,328
3.62045996e+05,328
2.28609203e+05,328
3.08443398e+05,328
3.90681584e+05,328
2.71254339e+05,328
3.21570923e+05,328
3.29684854e+05,328
7.28829299e+05,328
3.48903955e+05,328
3.0359709e+05,328
3.06448096e+05,328
3.06345232e+05,328
3.91896532e+05,328
3.16576594e+05,328
3.29613005e+05,328
3.47769511e+05,328
3.33715454e+05,328
3.80369877e+05,328
2.92677677e+05,328
2.33728727e+05,328
3.28332358e+05,328
3.66963488e+05,328
3.07106905e+05,328
3.56012029e+05,328
3.1216489e+05,328
3.01738039e+05,328
2.7104336e+05,328
3.33556115e+05,328
3.64392843e+05,328
3.08193376e+05,328
3.98602986e+05,328
2.92959616e+05,328
3.27058429e+05,328
3.22960068e+05,328
3.55411143e+05,328
1.99074237e+05,328
2.43534998e+05,328
3.05334769e+05,328
2.53733483e+05,328
2.73018565e+05,328
2.89878045e+05,328
3.4925129e+05,328
4.04546788e+05,328
3.33808666e+05,328
3.4654775e+05,328
1.77305966e+05,328
3.21509738e+05,328
3.10537193e+05,328
3.46103003e+05,328
2.97422892e+05,328
3.90886983e+05,328
5.84741126e+05,328
2.923777e+05,328
2.3594929e+05,328
2.4739865e+05,328
2.68009177e+05,328
2.89173542e+05,328
3.15748517e+05,328
3.02928994e+05,328
3.33529458e+05,328
3.56204095e+05,328
2.84945685e+05,328
3.49950559e+05,328
3.37863648e+05,328
3.54345636e+05,328
2.75103858e+05,328
2.97201015e+05,328
3.41853927e+05,328
3.07886542e+05,328
2.79864873e+05,328
2.99211911e+05,328
2.5948493e+05,328
3.35260841e+05,328
3.71123813e+05,328
3.42458791e+05,328
3.12389067e+05,328
3.31520428e+05,328
2.66635966e+05,328
3.49502026e+05,328
2.32343373e+05,328
2.66441525e+05,328
3.5054629e+05,328
2.60719102e+05,328
3.37745915e+05,328
2.69840916e+05,328
3.13043612e+05,328
3.57514706e+05,328
3.48560509e+05,328
3.84721788e+05,328
3.45894286e+05,328
4.34311407e+05,328
