width,run
2.0158574,328
4.9304048,328
5.8578952,328
3.0971672,328
3.8682176,328
3.5345344,328
5.4996521,328
3.780118,328
2.2874545,328
2.1061022,328
4.641206,328
2.5702083,328
2.6852232,328
1.489806,328
3.0414412,328
4.2585022,328
4.981159,328
4.2051686,328
4.4856128,328
3.7414629,328
4.3995151,328
4.4361578,328
4.4062484,328
4.7711955,328
2.8413629,328
4.1494558,328
4.8910662,328
3.913838,328
4.8864333,328
4.7971828,328
4.4959994,328
4.8553135,328
4.8080848,328
4.7935898,328
4.4244684,328
4.606393,328
3.9175812,328
5.5991289,328
3.4422544,328
3.2227468,328
1.509287,328
5.1839176,328
4.3521223,328
5.6534914,328
5.5360624,328
1.2797023,328
2.5794508,328
0.99982205,328
3.5597827,328
4.9508415,328
5.5972045,328
4.001705,328
1.4077577,328
4.3896374,328
1.2514143,328
3.9763107,328
4.3025031,328
4.4419321,328
5.0568231,328
2.9555963,328
4.0963901,328
5.3908311,328
4.622706,328
2.4252455,328
3.6172279,328
2.6539361,328
4.0695261,328
4.9545133,328
5.2313213,328
4.1340688,328
3.5164791,328
4.9306574,328
4.1623611,328
2.6543155,328
3.9219069,328
3.575492,328
4.8693762,328
2.8434061,328
4.8631637,328
3.6227848,328
4.2357304,328
5.1062285,328
3.3411194,328
3.7827489,328
2.5834762,328
3.0093838,328
3.3914105,328
4.0582876,328
4.4601932,328
3.8794087,328
2.6516549,328
4.2772718,328
3.0471208,328
4.4770665,328
3.5055026,328
4.6242478,328
4.5069332,328
2.8265808,328
1.3079406,328
1.4519755,328
2.7519056,328
3.0694814,328
4.506054,328
4.6236986,328
3.1325837,328
1.0721949,328
4.7331719,328
4.1017376,328
1.0839129,328
5.4080453,328
4.1767278,328
3.7669273,328
4.8911935,328
5.5204213,328
3.0839534,328
4.451825,328
4.432937,328
4.501173,328
3.1827045,328
3.4845948,328
3.7326749,328
2.3005895,328
3.7134208,328
2.7948274,328
3.4847665,328
2.2706568,328
4.4268372,328
3.7131829,328
3.013153,328
1.9283286,328
2.3350995,328
5.2992654,328
4.0849642,328
3.9361045,328
4.2826614,328
4.865194,328
3.9545787,328
4.1559643,328
1.5848313,328
4.3404601,328
4.9296876,328
1.0492706,328
1.9472601,328
0.86397232,328
4.9576969,328
3.3101965,328
2.3742978,328
3.4212237,328
3.8644017,328
3.5206673,328
2.3570742,328
4.1521831,328
4.2383545,328
2.7624796,328
1.9882132,328
1.7432289,328
4.2916071,328
4.3172588,328
3.0922508,328
4.6947938,328
2.1323182,328
4.8048434,328
4.3383879,328
1.1205543,328
4.7095878,328
0.43023631,328
1.7305223,328
4.6116432,328
4.4785429,328
3.8992984,328
4.5122148,328
4.4749942,328
3.6347388,328
3.2391222,328
5.6158406,328
3.2987123,328
1.8755756,328
4.8633135,328
3.3410175,328
4.0776086,328
4.7708655,328
1.4266056,328
3.157518,328
2.3700225,328
5.0455371,328
4.4377292,328
5.3056697,328
3.8551464,328
3.9189204,328
5.561628,328
3.6071307,328
4.2018144,328
4.2815438,328
3.4609073,328
3.2450792,328
5.0252045,328
4.2872997,328
2.760666,328
2.9931021,328
3.9375327,328
2.5179764,328
5.2046911,328
4.1850143,328
3.4402994,328
4.3195575,328
5.4875677,328
4.6400961,328
3.5447953,328
3.8978451,328
4.5723993,328
3.9720118,328
4.3309125,328
2.982729,328
4.765141,328
4.4677752,328
4.148405,328
4.4661566,328
3.8940339,328
4.8649751,328
4.8010225,328
4.5185758,328
5.1029765,328
3.337592,328
3.6317627,328
5.0222525,328
3.4631919,328
3.7335082,328
1.4380316,328
4.5038009,328
5.3322427,328
1.6577451,328
3.6405476,328
2.4055463,328
3.4986295,328
4.7099124,328
4.2197914,328
2.310906,328
0.75431995,328
2.4568082,328
4.4254684,328
2.6068905,328
5.291879,328
4.0775136,328
4.5838315,328
4.2238325,328
3.3351866,328
5.5773793,328
4.8382389,328
5.1904305,328
4.2908168,328
4.9323004,328
5.1223507,328
4.0885588,328
4.5030886,328
4.6422366,328
4.5741371,328
3.5854104,328
3.7307448,328
2.7501702,328
2.6215269,328
4.2353103,328
5.1326546,328
4.6844138,328
2.9554751,328
4.9961609,328
4.0202312,328
4.9283549,328
0.69754045,328
1.8541738,328
3.2959162,328
3.0394006,328
4.9610485,328
4.3998389,328
3.6441702,328
0.97267536,328
3.2279611,328
3.6896899,328
5.3014678,328
3.9582498,328
1.3876065,328
3.5679191,328
4.845767,328
3.2437694,328
1.8563406,328
4.7532952,328
4.3901869,328
3.7481881,328
3.9555225,328
4.1913508,328
3.8443688,328
4.7473925,328
5.0161331,328
2.7598764,328
4.3709713,328
3.9149089,328
4.6799371,328
3.5258042,328
4.5930097,328
2.6370408,328
4.2045607,328
3.3740935,328
3.3680867,328
4.6703532,328
1.3206843,328
2.1357765,328
3.4432806,328
3.9482974,328
2.9582134,328
3.9924735,328
2.0853459,328
3.8080299,328
4.0766751,328
5.1748268,328
3.0171374,328
3.4952961,328
4.7950572,328
2.4917559,328
4.1950384,328
4.0714059,328
2.4537491,328
2.3241947,328
4.9875972,328
4.9427268,328
4.2111065,328
4.0820989,328
5.1039715,328
2.3114723,328
4.5989994,328
4.2535772,328
5.4021977,328
3.2609157,328
4.7625301,328
4.2646404,328
4.4008652,328
4.3942562,328
3.0050017,328
3.669635,328
2.2694826,328
3.8987355,328
5.5475778,328
4.1155118,328
4.7800339,328
3.3977086,328
1.6813442,328
3.2834739,328
3.8109333,328
2.8695292,328
4.5019198,328
4.9427375,328
4.2191061,328
3.4612348,328
4.8231808,328
2.7757609,328
4.4504157,328
3.440915,328
4.0636637,328
2.5495591,328
0.80916001,328
4.5422197,328
2.1255808,328
3.8082537,328
5.149806,328
3.8569792,328
4.3688037,328
4.5110774,328
2.2629451,328
3.6785618,328
3.9789525,328
2.5127641,328
2.3503215,328
6.5456924,328
4.4257233,328
4.6452188,328
3.7545323,328
3.6783003,328
5.198947,328
3.932854,328
3.2103732,328
4.2231351,328
4.4728755,328
5.700365,328
4.2206375,328
3.1972675,328
3.6914173,328
4.798642,328
2.3235596,328
4.1159969,328
3.8861568,328
5.8360148,328
4.9251286,328
4.9354689,328
4.9854326,328
4.7340506,328
4.5578207,328
1.0768537,328
4.2530432,328
4.01197,328
4.2889392,328
3.9209357,328
4.1863527,328
5.0969267,328
4.7994473,328
4.7833333,328
1.7519154,328
2.6136118,328
3.7688674,328
4.6176074,328
4.1688263,328
4.0478824,328
4.4573587,328
4.7705819,328
4.4986227,328
