Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,55,0,332,hits,Al-Al-4kV,1.4205041
Cut,59,2,332,hits,Al-Al-4kV,1.5238135
Cut,64,3,332,hits,Al-Al-4kV,1.6529503
Cut,53,4,332,hits,Al-Al-4kV,1.3688494
Cut,56,6,332,hits,Al-Al-4kV,1.4463315
Cut,58,15,332,hits,Al-Al-4kV,1.4979862
Cut,63,21,332,hits,Al-Al-4kV,1.6271229
Cut,57,22,332,hits,Al-Al-4kV,1.4721588
Cut,53,37,332,hits,Al-Al-4kV,1.3688494
Cut,53,38,332,hits,Al-Al-4kV,1.3688494
Cut,67,39,332,hits,Al-Al-4kV,1.7304323
Cut,97,40,332,hits,Al-Al-4kV,2.5052528
Cut,49,42,332,hits,Al-Al-4kV,1.2655401
Cut,103,45,332,hits,Al-Al-4kV,2.6602168
Cut,58,49,332,hits,Al-Al-4kV,1.4979862
Cut,166,50,332,hits,Al-Al-4kV,4.2873398
Cut,128,51,332,hits,Al-Al-4kV,3.3059005
Cut,118,66,332,hits,Al-Al-4kV,3.0476271
Cut,152,67,332,hits,Al-Al-4kV,3.9257569
Cut,51,69,332,hits,Al-Al-4kV,1.3171947
Cut,56,70,332,hits,Al-Al-4kV,1.4463315
Cut,57,71,332,hits,Al-Al-4kV,1.4721588
Cut,92,80,332,hits,Al-Al-4kV,2.376116
Cut,59,85,332,hits,Al-Al-4kV,1.5238135
Cut,54,89,332,hits,Al-Al-4kV,1.3946768
Cut,58,90,332,hits,Al-Al-4kV,1.4979862
Cut,57,91,332,hits,Al-Al-4kV,1.4721588
Cut,54,92,332,hits,Al-Al-4kV,1.3946768
Cut,56,94,332,hits,Al-Al-4kV,1.4463315
Cut,53,95,332,hits,Al-Al-4kV,1.3688494
Cut,60,97,332,hits,Al-Al-4kV,1.5496409
Cut,70,98,332,hits,Al-Al-4kV,1.8079144
Cut,81,99,332,hits,Al-Al-4kV,2.0920152
Cut,52,100,332,hits,Al-Al-4kV,1.3430221
Cut,56,107,332,hits,Al-Al-4kV,1.4463315
Cut,68,108,332,hits,Al-Al-4kV,1.7562597
Cut,52,109,332,hits,Al-Al-4kV,1.3430221
Cut,3,109,332,hits,Al-Al-4kV,0.077482044
Cut,60,116,332,hits,Al-Al-4kV,1.5496409
Cut,52,119,332,hits,Al-Al-4kV,1.3430221
Cut,101,122,332,hits,Al-Al-4kV,2.6085622
Cut,57,123,332,hits,Al-Al-4kV,1.4721588
Cut,56,124,332,hits,Al-Al-4kV,1.4463315
Cut,55,125,332,hits,Al-Al-4kV,1.4205041
Cut,46,127,332,hits,Al-Al-4kV,1.188058
Cut,63,133,332,hits,Al-Al-4kV,1.6271229
Cut,120,136,332,hits,Al-Al-4kV,3.0992818
Cut,52,137,332,hits,Al-Al-4kV,1.3430221
Cut,59,139,332,hits,Al-Al-4kV,1.5238135
