Type,Energy,Counts
MPFIT,28,0.00089613603
MPFIT,28.078052,0.00095305345
MPFIT,28.156104,0.0010134217
MPFIT,28.234156,0.001077439
MPFIT,28.312208,0.0011453147
MPFIT,28.39026,0.001217269
MPFIT,28.468312,0.0012935342
MPFIT,28.546364,0.0013743548
MPFIT,28.624416,0.0014599884
MPFIT,28.702468,0.0015507063
MPFIT,28.78052,0.0016467941
MPFIT,28.858572,0.0017485524
MPFIT,28.936624,0.0018562977
MPFIT,29.014676,0.0019703628
MPFIT,29.092728,0.0020910979
MPFIT,29.170781,0.0022188714
MPFIT,29.248833,0.0023540707
MPFIT,29.326885,0.0024971032
MPFIT,29.404937,0.0026483969
MPFIT,29.482989,0.0028084019
MPFIT,29.561041,0.0029775911
MPFIT,29.639093,0.0031564611
MPFIT,29.717145,0.003345534
MPFIT,29.795197,0.0035453576
MPFIT,29.873249,0.0037565075
MPFIT,29.951301,0.0039795876
MPFIT,30.029353,0.004215232
MPFIT,30.107405,0.0044641061
MPFIT,30.185457,0.0047269077
MPFIT,30.263509,0.0050043693
MPFIT,30.341561,0.0052972587
MPFIT,30.419613,0.0056063811
MPFIT,30.497665,0.0059325807
MPFIT,30.575717,0.0062767423
MPFIT,30.653769,0.006639793
MPFIT,30.731821,0.0070227044
MPFIT,30.809873,0.0074264942
MPFIT,30.887925,0.007852228
MPFIT,30.965977,0.0083010219
MPFIT,31.044029,0.0087740444
MPFIT,31.122081,0.0092725182
MPFIT,31.200133,0.0097977232
MPFIT,31.278185,0.010350998
MPFIT,31.356237,0.010933745
MPFIT,31.43429,0.011547427
MPFIT,31.512342,0.012193576
MPFIT,31.590394,0.012873795
MPFIT,31.668446,0.013589757
MPFIT,31.746498,0.014343211
MPFIT,31.82455,0.015135985
MPFIT,31.902602,0.015969988
MPFIT,31.980654,0.016847214
MPFIT,32.058706,0.017769746
MPFIT,32.136758,0.018739756
MPFIT,32.21481,0.019759514
MPFIT,32.292862,0.020831387
MPFIT,32.370914,0.021957845
MPFIT,32.448966,0.023141465
MPFIT,32.527018,0.024384934
MPFIT,32.60507,0.025691054
MPFIT,32.683122,0.027062746
MPFIT,32.761174,0.028503055
MPFIT,32.839226,0.030015154
MPFIT,32.917278,0.031602346
MPFIT,32.99533,0.033268076
MPFIT,33.073382,0.035015929
MPFIT,33.151434,0.036849637
MPFIT,33.229486,0.038773088
MPFIT,33.307538,0.040790325
MPFIT,33.38559,0.042905557
MPFIT,33.463642,0.045123162
MPFIT,33.541694,0.047447694
MPFIT,33.619746,0.049883889
MPFIT,33.697799,0.05243667
MPFIT,33.775851,0.055111153
MPFIT,33.853903,0.057912658
MPFIT,33.931955,0.060846711
MPFIT,34.010007,0.063919051
MPFIT,34.088059,0.06713564
MPFIT,34.166111,0.070502667
MPFIT,34.244163,0.07402656
MPFIT,34.322215,0.077713988
MPFIT,34.400267,0.081571871
MPFIT,34.478319,0.08560739
MPFIT,34.556371,0.089827992
MPFIT,34.634423,0.094241401
MPFIT,34.712475,0.098855623
MPFIT,34.790527,0.10367896
MPFIT,34.868579,0.10872001
MPFIT,34.946631,0.11398769
MPFIT,35.024683,0.11949122
MPFIT,35.102735,0.12524017
MPFIT,35.180787,0.13124444
MPFIT,35.258839,0.13751428
MPFIT,35.336891,0.14406029
MPFIT,35.414943,0.15089344
MPFIT,35.492995,0.15802509
MPFIT,35.571047,0.16546697
MPFIT,35.649099,0.17323124
MPFIT,35.727151,0.18133044
MPFIT,35.805203,0.18977754
MPFIT,35.883256,0.19858594
MPFIT,35.961308,0.20776951
MPFIT,36.03936,0.21734253
MPFIT,36.117412,0.22731978
MPFIT,36.195464,0.23771651
MPFIT,36.273516,0.24854846
MPFIT,36.351568,0.25983186
MPFIT,36.42962,0.27158346
MPFIT,36.507672,0.28382056
MPFIT,36.585724,0.29656097
MPFIT,36.663776,0.30982305
MPFIT,36.741828,0.32362575
MPFIT,36.81988,0.33798858
MPFIT,36.897932,0.35293162
MPFIT,36.975984,0.3684756
MPFIT,37.054036,0.38464181
MPFIT,37.132088,0.40145221
MPFIT,37.21014,0.41892938
MPFIT,37.288192,0.43709656
MPFIT,37.366244,0.45597766
MPFIT,37.444296,0.47559726
MPFIT,37.522348,0.49598064
MPFIT,37.6004,0.51715379
MPFIT,37.678452,0.53914341
MPFIT,37.756504,0.56197694
MPFIT,37.834556,0.58568256
MPFIT,37.912608,0.61028921
MPFIT,37.99066,0.6358266
MPFIT,38.068712,0.66232524
MPFIT,38.146765,0.6898164
MPFIT,38.224817,0.7183322
MPFIT,38.302869,0.74790555
MPFIT,38.380921,0.7785702
MPFIT,38.458973,0.81036077
MPFIT,38.537025,0.84331269
MPFIT,38.615077,0.87746231
MPFIT,38.693129,0.91284683
MPFIT,38.771181,0.94950434
MPFIT,38.849233,0.98747385
MPFIT,38.927285,1.0267953
MPFIT,39.005337,1.0675094
MPFIT,39.083389,1.109658
MPFIT,39.161441,1.1532839
MPFIT,39.239493,1.1984306
MPFIT,39.317545,1.2451428
MPFIT,39.395597,1.2934661
MPFIT,39.473649,1.3434469
MPFIT,39.551701,1.395133
MPFIT,39.629753,1.4485727
MPFIT,39.707805,1.5038156
MPFIT,39.785857,1.5609122
MPFIT,39.863909,1.619914
MPFIT,39.941961,1.6808736
MPFIT,40.020013,1.7438445
MPFIT,40.098065,1.8088813
MPFIT,40.176117,1.8760395
MPFIT,40.254169,1.9453758
MPFIT,40.332221,2.0169476
MPFIT,40.410274,2.0908137
MPFIT,40.488326,2.1670337
MPFIT,40.566378,2.2456683
MPFIT,40.64443,2.326779
MPFIT,40.722482,2.4104286
MPFIT,40.800534,2.4966808
MPFIT,40.878586,2.5856002
MPFIT,40.956638,2.6772524
MPFIT,41.03469,2.7717042
MPFIT,41.112742,2.869023
MPFIT,41.190794,2.9692775
MPFIT,41.268846,3.0725373
MPFIT,41.346898,3.1788726
MPFIT,41.42495,3.288355
MPFIT,41.503002,3.4010567
MPFIT,41.581054,3.5170509
MPFIT,41.659106,3.6364117
MPFIT,41.737158,3.7592139
MPFIT,41.81521,3.8855332
MPFIT,41.893262,4.0154463
MPFIT,41.971314,4.1490304
MPFIT,42.049366,4.2863638
MPFIT,42.127418,4.4275251
MPFIT,42.20547,4.572594
MPFIT,42.283522,4.7216507
MPFIT,42.361574,4.8747762
MPFIT,42.439626,5.0320518
MPFIT,42.517678,5.1935597
MPFIT,42.59573,5.3593826
MPFIT,42.673783,5.5296035
MPFIT,42.751835,5.7043062
MPFIT,42.829887,5.8835747
MPFIT,42.907939,6.0674935
MPFIT,42.985991,6.2561474
MPFIT,43.064043,6.4496214
MPFIT,43.142095,6.6480011
MPFIT,43.220147,6.8513719
MPFIT,43.298199,7.0598197
MPFIT,43.376251,7.2734302
MPFIT,43.454303,7.4922895
MPFIT,43.532355,7.7164834
MPFIT,43.610407,7.9460978
MPFIT,43.688459,8.1812185
MPFIT,43.766511,8.421931
MPFIT,43.844563,8.6683207
MPFIT,43.922615,8.9204726
MPFIT,44.000667,9.1784715
MPFIT,44.078719,9.4424016
MPFIT,44.156771,9.7123467
MPFIT,44.234823,9.9883899
MPFIT,44.312875,10.270614
MPFIT,44.390927,10.5591
MPFIT,44.468979,10.853931
MPFIT,44.547031,11.155185
MPFIT,44.625083,11.462942
MPFIT,44.703135,11.777281
MPFIT,44.781187,12.098278
MPFIT,44.859239,12.42601
MPFIT,44.937292,12.760552
MPFIT,45.015344,13.101976
MPFIT,45.093396,13.450355
MPFIT,45.171448,13.80576
MPFIT,45.2495,14.168259
MPFIT,45.327552,14.537919
MPFIT,45.405604,14.914806
MPFIT,45.483656,15.298984
MPFIT,45.561708,15.690513
MPFIT,45.63976,16.089455
MPFIT,45.717812,16.495866
MPFIT,45.795864,16.909801
MPFIT,45.873916,17.331314
MPFIT,45.951968,17.760455
MPFIT,46.03002,18.197272
MPFIT,46.108072,18.641811
MPFIT,46.186124,19.094114
MPFIT,46.264176,19.554221
MPFIT,46.342228,20.022169
MPFIT,46.42028,20.497993
MPFIT,46.498332,20.981724
MPFIT,46.576384,21.473389
MPFIT,46.654436,21.973013
MPFIT,46.732488,22.480618
MPFIT,46.81054,22.996222
MPFIT,46.888592,23.519838
MPFIT,46.966644,24.051478
MPFIT,47.044696,24.591149
MPFIT,47.122748,25.138854
MPFIT,47.200801,25.694593
MPFIT,47.278853,26.25836
MPFIT,47.356905,26.830147
MPFIT,47.434957,27.409943
MPFIT,47.513009,27.997729
MPFIT,47.591061,28.593484
MPFIT,47.669113,29.197183
MPFIT,47.747165,29.808796
MPFIT,47.825217,30.428288
MPFIT,47.903269,31.055621
MPFIT,47.981321,31.690749
MPFIT,48.059373,32.333626
MPFIT,48.137425,32.984196
MPFIT,48.215477,33.642403
MPFIT,48.293529,34.308183
MPFIT,48.371581,34.981469
MPFIT,48.449633,35.662186
MPFIT,48.527685,36.350256
MPFIT,48.605737,37.045597
MPFIT,48.683789,37.74812
MPFIT,48.761841,38.457731
MPFIT,48.839893,39.174332
MPFIT,48.917945,39.897818
MPFIT,48.995997,40.628079
MPFIT,49.074049,41.365
MPFIT,49.152101,42.108462
MPFIT,49.230153,42.858339
MPFIT,49.308205,43.6145
MPFIT,49.386258,44.376808
MPFIT,49.46431,45.145122
MPFIT,49.542362,45.919294
MPFIT,49.620414,46.699171
MPFIT,49.698466,47.484597
MPFIT,49.776518,48.275406
MPFIT,49.85457,49.071431
MPFIT,49.932622,49.872497
MPFIT,50.010674,50.678425
MPFIT,50.088726,51.489029
MPFIT,50.166778,52.304121
MPFIT,50.24483,53.123504
MPFIT,50.322882,53.946978
MPFIT,50.400934,54.774338
MPFIT,50.478986,55.605372
MPFIT,50.557038,56.439866
MPFIT,50.63509,57.277598
MPFIT,50.713142,58.118343
MPFIT,50.791194,58.961871
MPFIT,50.869246,59.807947
MPFIT,50.947298,60.65633
MPFIT,51.02535,61.506778
MPFIT,51.103402,62.35904
MPFIT,51.181454,63.212865
MPFIT,51.259506,64.067994
MPFIT,51.337558,64.924167
MPFIT,51.41561,65.781118
MPFIT,51.493662,66.638577
MPFIT,51.571714,67.496272
MPFIT,51.649767,68.353926
MPFIT,51.727819,69.211258
MPFIT,51.805871,70.067984
MPFIT,51.883923,70.923818
MPFIT,51.961975,71.77847
MPFIT,52.040027,72.631647
MPFIT,52.118079,73.483052
MPFIT,52.196131,74.332389
MPFIT,52.274183,75.179355
MPFIT,52.352235,76.023647
MPFIT,52.430287,76.864962
MPFIT,52.508339,77.70299
MPFIT,52.586391,78.537424
MPFIT,52.664443,79.367952
MPFIT,52.742495,80.194263
MPFIT,52.820547,81.016044
MPFIT,52.898599,81.832981
MPFIT,52.976651,82.644757
MPFIT,53.054703,83.451059
MPFIT,53.132755,84.251569
MPFIT,53.210807,85.045972
MPFIT,53.288859,85.833951
MPFIT,53.366911,86.61519
MPFIT,53.444963,87.389373
MPFIT,53.523015,88.156186
MPFIT,53.601067,88.915313
MPFIT,53.679119,89.666441
MPFIT,53.757171,90.409259
MPFIT,53.835223,91.143456
MPFIT,53.913276,91.868723
MPFIT,53.991328,92.584752
MPFIT,54.06938,93.291239
MPFIT,54.147432,93.987881
MPFIT,54.225484,94.674377
MPFIT,54.303536,95.350431
MPFIT,54.381588,96.015748
MPFIT,54.45964,96.670036
MPFIT,54.537692,97.313008
MPFIT,54.615744,97.944379
MPFIT,54.693796,98.563868
MPFIT,54.771848,99.1712
MPFIT,54.8499,99.766101
MPFIT,54.927952,100.3483
MPFIT,55.006004,100.91754
MPFIT,55.084056,101.47356
MPFIT,55.162108,102.01611
MPFIT,55.24016,102.54493
MPFIT,55.318212,103.05979
MPFIT,55.396264,103.56045
MPFIT,55.474316,104.04667
MPFIT,55.552368,104.51823
MPFIT,55.63042,104.97491
MPFIT,55.708472,105.4165
MPFIT,55.786524,105.84279
MPFIT,55.864576,106.25357
MPFIT,55.942628,106.64867
MPFIT,56.02068,107.02788
MPFIT,56.098732,107.39103
MPFIT,56.176785,107.73795
MPFIT,56.254837,108.06847
MPFIT,56.332889,108.38244
MPFIT,56.410941,108.6797
MPFIT,56.488993,108.96011
MPFIT,56.567045,109.22354
MPFIT,56.645097,109.46986
MPFIT,56.723149,109.69895
MPFIT,56.801201,109.91071
MPFIT,56.879253,110.10503
MPFIT,56.957305,110.28181
MPFIT,57.035357,110.44097
MPFIT,57.113409,110.58244
MPFIT,57.191461,110.70614
MPFIT,57.269513,110.81202
MPFIT,57.347565,110.90002
MPFIT,57.425617,110.9701
MPFIT,57.503669,111.02223
MPFIT,57.581721,111.05637
MPFIT,57.659773,111.07253
MPFIT,57.737825,111.07068
MPFIT,57.815877,111.05083
MPFIT,57.893929,111.01299
MPFIT,57.971981,110.95717
MPFIT,58.050033,110.88341
MPFIT,58.128085,110.79173
MPFIT,58.206137,110.68219
MPFIT,58.284189,110.55484
MPFIT,58.362241,110.40973
MPFIT,58.440294,110.24694
MPFIT,58.518346,110.06655
MPFIT,58.596398,109.86865
MPFIT,58.67445,109.65332
MPFIT,58.752502,109.42068
MPFIT,58.830554,109.17084
MPFIT,58.908606,108.90391
MPFIT,58.986658,108.62003
MPFIT,59.06471,108.31933
MPFIT,59.142762,108.00195
MPFIT,59.220814,107.66805
MPFIT,59.298866,107.31778
MPFIT,59.376918,106.95132
MPFIT,59.45497,106.56883
MPFIT,59.533022,106.1705
MPFIT,59.611074,105.75651
MPFIT,59.689126,105.32707
MPFIT,59.767178,104.88236
MPFIT,59.84523,104.42261
MPFIT,59.923282,103.94802
MPFIT,60.001334,103.45882
MPFIT,60.079386,102.95522
MPFIT,60.157438,102.43748
MPFIT,60.23549,101.90582
MPFIT,60.313542,101.36048
MPFIT,60.391594,100.80173
MPFIT,60.469646,100.2298
MPFIT,60.547698,99.644973
MPFIT,60.625751,99.047497
MPFIT,60.703803,98.437647
MPFIT,60.781855,97.815695
MPFIT,60.859907,97.181919
MPFIT,60.937959,96.5366
MPFIT,61.016011,95.880024
MPFIT,61.094063,95.212478
MPFIT,61.172115,94.534256
MPFIT,61.250167,93.845652
MPFIT,61.328219,93.146964
MPFIT,61.406271,92.438493
MPFIT,61.484323,91.720542
MPFIT,61.562375,90.993417
MPFIT,61.640427,90.257424
MPFIT,61.718479,89.512874
MPFIT,61.796531,88.760078
MPFIT,61.874583,87.999347
MPFIT,61.952635,87.230996
MPFIT,62.030687,86.455338
MPFIT,62.108739,85.672689
MPFIT,62.186791,84.883365
MPFIT,62.264843,84.087683
MPFIT,62.342895,83.285957
MPFIT,62.420947,82.478506
MPFIT,62.498999,81.665644
MPFIT,62.577051,80.847687
MPFIT,62.655103,80.02495
MPFIT,62.733155,79.197747
MPFIT,62.811207,78.366392
MPFIT,62.88926,77.531195
MPFIT,62.967312,76.692466
MPFIT,63.045364,75.850516
MPFIT,63.123416,75.005649
MPFIT,63.201468,74.158172
MPFIT,63.27952,73.308386
MPFIT,63.357572,72.456592
MPFIT,63.435624,71.603089
MPFIT,63.513676,70.74817
MPFIT,63.591728,69.892129
MPFIT,63.66978,69.035255
MPFIT,63.747832,68.177834
MPFIT,63.825884,67.32015
MPFIT,63.903936,66.462481
MPFIT,63.981988,65.605104
MPFIT,64.06004,64.748291
MPFIT,64.138092,63.892311
MPFIT,64.216144,63.037428
MPFIT,64.294196,62.183903
MPFIT,64.372248,61.331993
MPFIT,64.4503,60.481949
MPFIT,64.528352,59.634019
MPFIT,64.606404,58.788447
MPFIT,64.684456,57.945472
MPFIT,64.762508,57.105327
MPFIT,64.84056,56.268241
MPFIT,64.918612,55.43444
MPFIT,64.996664,54.604143
MPFIT,65.074716,53.777564
MPFIT,65.152769,52.954913
MPFIT,65.230821,52.136395
MPFIT,65.308873,51.322209
MPFIT,65.386925,50.51255
MPFIT,65.464977,49.707606
MPFIT,65.543029,48.90756
MPFIT,65.621081,48.112592
MPFIT,65.699133,47.322875
MPFIT,65.777185,46.538575
MPFIT,65.855237,45.759857
MPFIT,65.933289,44.986875
MPFIT,66.011341,44.219783
MPFIT,66.089393,43.458726
MPFIT,66.167445,42.703845
MPFIT,66.245497,41.955274
MPFIT,66.323549,41.213145
MPFIT,66.401601,40.477581
MPFIT,66.479653,39.748702
MPFIT,66.557705,39.026622
MPFIT,66.635757,38.311448
MPFIT,66.713809,37.603285
MPFIT,66.791861,36.902229
MPFIT,66.869913,36.208374
MPFIT,66.947965,35.521806
MPFIT,67.026017,34.842609
MPFIT,67.104069,34.170859
MPFIT,67.182121,33.506629
MPFIT,67.260173,32.849985
MPFIT,67.338225,32.200989
MPFIT,67.416278,31.5597
MPFIT,67.49433,30.926168
MPFIT,67.572382,30.300442
MPFIT,67.650434,29.682565
MPFIT,67.728486,29.072574
MPFIT,67.806538,28.470504
MPFIT,67.88459,27.876383
MPFIT,67.962642,27.290236
MPFIT,68.040694,26.712084
MPFIT,68.118746,26.141943
MPFIT,68.196798,25.579823
MPFIT,68.27485,25.025734
MPFIT,68.352902,24.479679
MPFIT,68.430954,23.941658
MPFIT,68.509006,23.411666
MPFIT,68.587058,22.889696
MPFIT,68.66511,22.375736
MPFIT,68.743162,21.869771
MPFIT,68.821214,21.371783
MPFIT,68.899266,20.881749
MPFIT,68.977318,20.399645
MPFIT,69.05537,19.92544
MPFIT,69.133422,19.459105
MPFIT,69.211474,19.000603
MPFIT,69.289526,18.549898
MPFIT,69.367578,18.106949
MPFIT,69.44563,17.671712
MPFIT,69.523682,17.244141
MPFIT,69.601734,16.824188
MPFIT,69.679787,16.411802
MPFIT,69.757839,16.00693
MPFIT,69.835891,15.609515
MPFIT,69.913943,15.2195
MPFIT,69.991995,14.836824
MPFIT,70.070047,14.461426
MPFIT,70.148099,14.093242
MPFIT,70.226151,13.732205
MPFIT,70.304203,13.378249
MPFIT,70.382255,13.031304
MPFIT,70.460307,12.691299
MPFIT,70.538359,12.358162
MPFIT,70.616411,12.031818
MPFIT,70.694463,11.712195
MPFIT,70.772515,11.399214
MPFIT,70.850567,11.092798
MPFIT,70.928619,10.792869
MPFIT,71.006671,10.499348
MPFIT,71.084723,10.212154
MPFIT,71.162775,9.9312063
MPFIT,71.240827,9.656422
MPFIT,71.318879,9.3877189
MPFIT,71.396931,9.1250135
MPFIT,71.474983,8.8682221
MPFIT,71.553035,8.6172603
MPFIT,71.631087,8.3720433
MPFIT,71.709139,8.132486
MPFIT,71.787191,7.8985029
MPFIT,71.865243,7.6700085
MPFIT,71.943296,7.446917
MPFIT,72.021348,7.2291425
MPFIT,72.0994,7.0165991
MPFIT,72.177452,6.8092008
MPFIT,72.255504,6.6068619
MPFIT,72.333556,6.4094965
MPFIT,72.411608,6.2170192
MPFIT,72.48966,6.0293446
MPFIT,72.567712,5.8463876
MPFIT,72.645764,5.6680635
MPFIT,72.723816,5.4942879
MPFIT,72.801868,5.3249768
MPFIT,72.87992,5.1600468
MPFIT,72.957972,4.9994146
MPFIT,73.036024,4.8429979
MPFIT,73.114076,4.6907145
MPFIT,73.192128,4.5424832
MPFIT,73.27018,4.3982232
MPFIT,73.348232,4.2578544
MPFIT,73.426284,4.1212973
MPFIT,73.504336,3.9884733
MPFIT,73.582388,3.8593044
MPFIT,73.66044,3.7337135
MPFIT,73.738492,3.6116241
MPFIT,73.816544,3.4929608
MPFIT,73.894596,3.3776487
MPFIT,73.972648,3.2656139
MPFIT,74.0507,3.1567836
MPFIT,74.128753,3.0510856
MPFIT,74.206805,2.9484486
MPFIT,74.284857,2.8488026
MPFIT,74.362909,2.752078
MPFIT,74.440961,2.6582066
MPFIT,74.519013,2.5671209
MPFIT,74.597065,2.4787545
MPFIT,74.675117,2.393042
MPFIT,74.753169,2.3099189
MPFIT,74.831221,2.2293217
MPFIT,74.909273,2.1511879
MPFIT,74.987325,2.0754562
MPFIT,75.065377,2.002066
MPFIT,75.143429,1.930958
MPFIT,75.221481,1.8620736
MPFIT,75.299533,1.7953556
MPFIT,75.377585,1.7307475
MPFIT,75.455637,1.668194
MPFIT,75.533689,1.6076407
MPFIT,75.611741,1.5490344
MPFIT,75.689793,1.4923226
MPFIT,75.767845,1.437454
MPFIT,75.845897,1.3843784
MPFIT,75.923949,1.3330464
MPFIT,76.002001,1.2834098
MPFIT,76.080053,1.2354211
MPFIT,76.158105,1.1890341
MPFIT,76.236157,1.1442032
MPFIT,76.314209,1.1008842
MPFIT,76.392262,1.0590336
MPFIT,76.470314,1.0186088
MPFIT,76.548366,0.97956831
MPFIT,76.626418,0.94187143
MPFIT,76.70447,0.90547847
MPFIT,76.782522,0.8703506
MPFIT,76.860574,0.83644992
MPFIT,76.938626,0.80373939
MPFIT,77.016678,0.77218289
MPFIT,77.09473,0.74174511
MPFIT,77.172782,0.71239165
MPFIT,77.250834,0.68408891
MPFIT,77.328886,0.65680414
MPFIT,77.406938,0.63050541
MPFIT,77.48499,0.60516159
MPFIT,77.563042,0.58074235
MPFIT,77.641094,0.55721814
MPFIT,77.719146,0.53456017
MPFIT,77.797198,0.51274042
MPFIT,77.87525,0.49173159
MPFIT,77.953302,0.47150714
MPFIT,78.031354,0.45204122
MPFIT,78.109406,0.4333087
MPFIT,78.187458,0.41528514
