Cut?,Counts,eventNumber,runNumber
Raw,55,0,332
Raw,55,1,332
Raw,59,2,332
Raw,64,3,332
Raw,53,4,332
Raw,98,5,332
Raw,56,6,332
Raw,150,10,332
Raw,54,11,332
Raw,84,14,332
Raw,82,14,332
Raw,58,15,332
Raw,132,17,332
Raw,119,18,332
Raw,80,19,332
Raw,63,21,332
Raw,57,22,332
Raw,51,23,332
Raw,67,24,332
Raw,35,24,332
Raw,60,25,332
Raw,159,26,332
Raw,8,28,332
Raw,59,28,332
Raw,53,29,332
Raw,43,30,332
Raw,100,30,332
Raw,55,32,332
Raw,95,33,332
Raw,57,34,332
Raw,19,35,332
Raw,53,37,332
Raw,53,38,332
Raw,36,38,332
Raw,67,39,332
Raw,97,40,332
Raw,123,41,332
Raw,49,42,332
Raw,47,43,332
Raw,159,44,332
Raw,103,45,332
Raw,59,46,332
Raw,126,47,332
Raw,109,48,332
Raw,58,49,332
Raw,166,50,332
Raw,128,51,332
Raw,90,53,332
Raw,51,53,332
Raw,49,53,332
Raw,49,55,332
Raw,41,56,332
Raw,90,56,332
Raw,58,57,332
Raw,50,57,332
Raw,53,58,332
Raw,157,59,332
Raw,27,59,332
Raw,150,60,332
Raw,91,62,332
Raw,117,63,332
Raw,130,64,332
Raw,91,65,332
Raw,118,66,332
Raw,152,67,332
Raw,93,68,332
Raw,51,69,332
Raw,56,70,332
Raw,55,71,332
Raw,57,71,332
Raw,100,72,332
Raw,60,73,332
Raw,164,74,332
Raw,105,75,332
Raw,92,75,332
Raw,123,76,332
Raw,139,78,332
Raw,39,78,332
Raw,52,79,332
Raw,92,80,332
Raw,95,81,332
Raw,137,82,332
Raw,58,83,332
Raw,121,84,332
Raw,108,84,332
Raw,59,85,332
Raw,49,86,332
Raw,57,87,332
Raw,156,88,332
Raw,54,89,332
Raw,39,90,332
Raw,58,90,332
Raw,57,91,332
Raw,38,91,332
Raw,54,92,332
Raw,50,93,332
Raw,56,94,332
Raw,53,95,332
Raw,102,96,332
Raw,60,97,332
Raw,70,98,332
Raw,81,99,332
Raw,113,99,332
Raw,52,100,332
Raw,88,101,332
Raw,55,103,332
Raw,55,104,332
Raw,83,105,332
Raw,45,105,332
Raw,116,106,332
Raw,56,107,332
Raw,41,108,332
Raw,68,108,332
Raw,52,109,332
Raw,3,109,332
Raw,169,110,332
Raw,36,111,332
Raw,91,111,332
Raw,94,112,332
Raw,58,113,332
Raw,60,116,332
Raw,47,116,332
Raw,128,118,332
Raw,52,119,332
Raw,96,121,332
Raw,101,122,332
Raw,57,123,332
Raw,56,124,332
Raw,55,125,332
Raw,61,126,332
Raw,56,127,332
Raw,61,127,332
Raw,46,127,332
Raw,120,128,332
Raw,53,129,332
Raw,18,130,332
Raw,55,130,332
Raw,74,132,332
Raw,63,133,332
Raw,114,134,332
