Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,1.44821895e+05,0,332,charge,Al-Al-4kV,1.4513792
Cut,1.46717834e+05,2,332,charge,Al-Al-4kV,1.4703799
Cut,1.46964424e+05,3,332,charge,Al-Al-4kV,1.4728512
Cut,1.5061766e+05,4,332,charge,Al-Al-4kV,1.5094633
Cut,1.7312213e+05,6,332,charge,Al-Al-4kV,1.7349991
Cut,1.5158235e+05,15,332,charge,Al-Al-4kV,1.5191312
Cut,1.98664941e+05,21,332,charge,Al-Al-4kV,1.9909846
Cut,1.46261333e+05,22,332,charge,Al-Al-4kV,1.465805
Cut,4.42688624e+05,35,332,charge,Al-Al-4kV,4.4365463
Cut,1.2755855e+05,37,332,charge,Al-Al-4kV,1.278369
Cut,1.37361594e+05,38,332,charge,Al-Al-4kV,1.3766134
Cut,1.80298486e+05,39,332,charge,Al-Al-4kV,1.8069192
Cut,2.40171958e+05,40,332,charge,Al-Al-4kV,2.4069605
Cut,1.31067321e+05,42,332,charge,Al-Al-4kV,1.3135333
Cut,2.44695978e+05,45,332,charge,Al-Al-4kV,2.4522994
Cut,1.59984662e+05,49,332,charge,Al-Al-4kV,1.6033377
Cut,3.93015563e+05,50,332,charge,Al-Al-4kV,3.9387318
Cut,3.72790512e+05,51,332,charge,Al-Al-4kV,3.73604
Cut,2.80464511e+05,66,332,charge,Al-Al-4kV,2.8107652
Cut,4.00299245e+05,67,332,charge,Al-Al-4kV,4.0117276
Cut,1.32466932e+05,69,332,charge,Al-Al-4kV,1.3275599
Cut,1.55079083e+05,70,332,charge,Al-Al-4kV,1.5541749
Cut,1.42691687e+05,71,332,charge,Al-Al-4kV,1.4300306
Cut,2.2661671e+05,80,332,charge,Al-Al-4kV,2.2711122
Cut,1.44019989e+05,85,332,charge,Al-Al-4kV,1.4433426
Cut,1.58340094e+05,89,332,charge,Al-Al-4kV,1.5868562
Cut,1.43155078e+05,90,332,charge,Al-Al-4kV,1.4346746
Cut,1.64323384e+05,91,332,charge,Al-Al-4kV,1.6468196
Cut,1.46111019e+05,92,332,charge,Al-Al-4kV,1.4642985
Cut,1.53672179e+05,94,332,charge,Al-Al-4kV,1.5400751
Cut,1.3898299e+05,95,332,charge,Al-Al-4kV,1.3928627
Cut,1.63566279e+05,97,332,charge,Al-Al-4kV,1.639232
Cut,1.62781551e+05,98,332,charge,Al-Al-4kV,1.6313676
Cut,2.30253391e+05,99,332,charge,Al-Al-4kV,2.3075584
Cut,1.22913687e+05,100,332,charge,Al-Al-4kV,1.231819
Cut,1.52396745e+05,107,332,charge,Al-Al-4kV,1.527293
Cut,1.63682203e+05,108,332,charge,Al-Al-4kV,1.6403938
Cut,1.33914391e+05,109,332,charge,Al-Al-4kV,1.3420661
Cut,3782.6241,109,332,charge,Al-Al-4kV,0.037908783
Cut,1.64706671e+05,116,332,charge,Al-Al-4kV,1.6506609
Cut,1.35694318e+05,119,332,charge,Al-Al-4kV,1.3599042
Cut,2.5064591e+05,122,332,charge,Al-Al-4kV,2.5119286
Cut,1.35104089e+05,123,332,charge,Al-Al-4kV,1.3539891
Cut,1.38454018e+05,124,332,charge,Al-Al-4kV,1.3875614
Cut,1.49378455e+05,125,332,charge,Al-Al-4kV,1.4970442
Cut,1.17242656e+05,127,332,charge,Al-Al-4kV,1.174985
Cut,1.50446406e+05,133,332,charge,Al-Al-4kV,1.507747
Cut,3.18713824e+05,136,332,charge,Al-Al-4kV,3.194093
Cut,1.38899463e+05,137,332,charge,Al-Al-4kV,1.3920256
Cut,1.73374942e+05,139,332,charge,Al-Al-4kV,1.7375327
Cut,1.45477829e+05,144,332,charge,Al-Al-4kV,1.4579528
Cut,1.54641422e+05,145,332,charge,Al-Al-4kV,1.5497887
Cut,1.20577144e+05,146,332,charge,Al-Al-4kV,1.2084026
Cut,1.71789279e+05,148,332,charge,Al-Al-4kV,1.7216415
Cut,1.22450318e+05,149,332,charge,Al-Al-4kV,1.2271752
Cut,1.75587558e+05,150,332,charge,Al-Al-4kV,1.7597072
Cut,1.35331624e+05,159,332,charge,Al-Al-4kV,1.3562694
Cut,1.78812998e+05,171,332,charge,Al-Al-4kV,1.7920319
Cut,1.45939919e+05,177,332,charge,Al-Al-4kV,1.4625838
Cut,1.74564411e+05,179,332,charge,Al-Al-4kV,1.7494534
Cut,1.58468116e+05,180,332,charge,Al-Al-4kV,1.5881392
Cut,1.97603603e+05,181,332,charge,Al-Al-4kV,1.980348
