Type,Energy,Counts
MPFIT,25000,0.048264264
MPFIT,25246.831,0.050330051
MPFIT,25493.662,0.052479337
MPFIT,25740.494,0.054715275
MPFIT,25987.325,0.057041129
MPFIT,26234.156,0.059460276
MPFIT,26480.987,0.061976209
MPFIT,26727.819,0.064592541
MPFIT,26974.65,0.06731301
MPFIT,27221.481,0.070141482
MPFIT,27468.312,0.073081953
MPFIT,27715.143,0.076138554
MPFIT,27961.975,0.079315559
MPFIT,28208.806,0.082617383
MPFIT,28455.637,0.086048589
MPFIT,28702.468,0.089613895
MPFIT,28949.3,0.093318175
MPFIT,29196.131,0.097166464
MPFIT,29442.962,0.10116396
MPFIT,29689.793,0.10531605
MPFIT,29936.624,0.10962827
MPFIT,30183.456,0.11410636
MPFIT,30430.287,0.11875623
MPFIT,30677.118,0.123584
MPFIT,30923.949,0.12859597
MPFIT,31170.781,0.13379866
MPFIT,31417.612,0.13919878
MPFIT,31664.443,0.14480328
MPFIT,31911.274,0.1506193
MPFIT,32158.105,0.15665424
MPFIT,32404.937,0.1629157
MPFIT,32651.768,0.16941155
MPFIT,32898.599,0.17614989
MPFIT,33145.43,0.18313907
MPFIT,33392.262,0.19038772
MPFIT,33639.093,0.19790471
MPFIT,33885.924,0.2056992
MPFIT,34132.755,0.21378063
MPFIT,34379.586,0.22215873
MPFIT,34626.418,0.23084352
MPFIT,34873.249,0.23984534
MPFIT,35120.08,0.24917483
MPFIT,35366.911,0.25884293
MPFIT,35613.742,0.26886096
MPFIT,35860.574,0.27924053
MPFIT,36107.405,0.28999362
MPFIT,36354.236,0.30113256
MPFIT,36601.067,0.31267004
MPFIT,36847.899,0.32461912
MPFIT,37094.73,0.33699326
MPFIT,37341.561,0.34980628
MPFIT,37588.392,0.36307243
MPFIT,37835.223,0.37680635
MPFIT,38082.055,0.39102313
MPFIT,38328.886,0.40573825
MPFIT,38575.717,0.42096767
MPFIT,38822.548,0.43672777
MPFIT,39069.38,0.45303542
MPFIT,39316.211,0.46990794
MPFIT,39563.042,0.48736315
MPFIT,39809.873,0.50541936
MPFIT,40056.704,0.52409539
MPFIT,40303.536,0.54341057
MPFIT,40550.367,0.56338478
MPFIT,40797.198,0.58403842
MPFIT,41044.029,0.60539245
MPFIT,41290.861,0.6274684
MPFIT,41537.692,0.6502884
MPFIT,41784.523,0.67387513
MPFIT,42031.354,0.69825191
MPFIT,42278.185,0.72344266
MPFIT,42525.017,0.74947193
