Cut?,Counts,eventNumber,runNumber
Raw,1.3077873e+05,138,333
Raw,2.9363531e+05,138,333
Raw,3.10683812e+05,157,333
Raw,56871.344,157,333
Raw,62157.596,161,333
Raw,2.67307438e+05,161,333
Raw,1.45177846e+05,166,333
Raw,96585.921,168,333
Raw,2.95467793e+05,171,333
Raw,1.519923e+05,174,333
Raw,1.94817637e+05,175,333
Raw,2.74522205e+05,177,333
Raw,2.18722756e+05,179,333
Raw,1.48749634e+05,182,333
Raw,2.45346915e+05,183,333
Raw,2.81838874e+05,190,333
Raw,2.17950373e+05,190,333
Raw,2.08920687e+05,200,333
Raw,2.08142344e+05,211,333
Raw,1.34160945e+05,213,333
Raw,44164.972,220,333
Raw,1.38475766e+05,229,333
Raw,1.18024262e+05,229,333
Raw,1.28896431e+05,233,333
Raw,1.25480289e+05,239,333
Raw,1.45552024e+05,240,333
Raw,3.30231052e+05,240,333
Raw,1.18665116e+05,243,333
Raw,2.77042954e+05,256,333
Raw,3.33129483e+05,259,333
Raw,76525.551,267,333
Raw,3.90556119e+05,269,333
Raw,1.64091674e+05,270,333
Raw,1.8127606e+05,277,333
Raw,2.77417847e+05,277,333
Raw,1.37794027e+05,290,333
Raw,1.4772962e+05,291,333
Raw,1.21344936e+05,298,333
Raw,1.02840212e+05,317,333
Raw,1.11403009e+05,321,333
Raw,1.09686416e+05,322,333
Raw,2.20105959e+05,322,333
Raw,2.75881923e+05,324,333
Raw,95395.68,336,333
Raw,1.04098136e+05,336,333
Raw,1.25767509e+05,344,333
Raw,1.16913279e+05,346,333
Raw,90919.898,352,333
Raw,97383.787,356,333
Raw,1.27641538e+05,362,333
Raw,1.38430099e+05,362,333
Raw,89710.92,369,333
Raw,1.65439772e+05,375,333
Raw,69529.935,376,333
Raw,1.50092872e+05,379,333
Raw,96101.28,394,333
Raw,1.2906704e+05,396,333
Raw,1.43709347e+05,400,333
Raw,2.69592131e+05,409,333
Raw,2.58356061e+05,414,333
Raw,2.41824101e+05,415,333
Raw,1.02152769e+05,418,333
Raw,64271.726,418,333
Raw,62787.319,422,333
Raw,1.4896126e+05,425,333
Raw,95207.656,434,333
Raw,96061.444,434,333
Raw,1.46694319e+05,439,333
Raw,61657.685,440,333
Raw,2.39590527e+05,442,333
Raw,84987.905,443,333
Raw,1.17577488e+05,446,333
Raw,2.50331537e+05,472,333
Raw,1.62299635e+05,484,333
Raw,2.50753016e+05,484,333
Raw,92912.298,485,333
Raw,1.15287947e+05,486,333
Raw,76238.462,487,333
Raw,85278.247,489,333
Raw,1.89440879e+05,490,333
Raw,2.30137348e+05,491,333
Raw,2.07010763e+05,499,333
Raw,1.22052509e+05,502,333
Raw,93951.479,513,333
Raw,1.3564719e+05,520,333
Raw,2.91090645e+05,520,333
Raw,1.53437444e+05,529,333
Raw,57913.631,529,333
Raw,2.10876903e+05,538,333
Raw,1.5779061e+05,539,333
Raw,90018.689,539,333
Raw,1.19480387e+05,543,333
Raw,1.30596787e+05,556,333
Raw,1.40876049e+05,558,333
Raw,96307.975,561,333
Raw,97460.503,561,333
Raw,3.07806652e+05,562,333
Raw,79260.757,568,333
Raw,1.53621186e+05,569,333
Raw,1.23608399e+05,578,333
Raw,1.06085153e+05,579,333
Raw,1.43652348e+05,585,333
Raw,1.23579879e+05,598,333
Raw,1.00505081e+05,601,333
Raw,83700.657,601,333
Raw,1.19744107e+05,603,333
Raw,1.11735281e+05,613,333
Raw,1.17466416e+05,621,333
Raw,3.49490032e+05,643,333
Raw,1.66443309e+05,655,333
Raw,1.05793674e+05,657,333
Raw,1.05705048e+05,657,333
Raw,1.32742771e+05,665,333
Raw,92051.988,665,333
Raw,1.47415672e+05,667,333
Raw,2.43000615e+05,670,333
Raw,1.11529494e+05,671,333
Raw,1.21432051e+05,671,333
Raw,1.50921626e+05,676,333
Raw,1.47241538e+05,676,333
Raw,1.76778316e+05,682,333
Raw,90804.147,687,333
Raw,1.11460434e+05,688,333
Raw,1.25648865e+05,689,333
Raw,1.21454524e+05,693,333
Raw,1.19771801e+05,704,333
Raw,1.0671648e+05,710,333
Raw,3.62959221e+05,711,333
Raw,3.72724406e+05,712,333
Raw,1.0541102e+05,713,333
Raw,2.47793523e+05,715,333
Raw,2.59379636e+05,716,333
Raw,1.35612209e+05,737,333
Raw,1.24333442e+05,737,333
Raw,73821.954,737,333
Raw,1.24601132e+05,739,333
Raw,3.62005914e+05,741,333
Raw,2.59909899e+05,755,333
Raw,2.30600093e+05,758,333
Raw,3.07811918e+05,778,333
Raw,1.11404036e+05,790,333
Raw,3.13161337e+05,795,333
Raw,1.46622091e+05,796,333
Raw,47207.124,801,333
Raw,74081.06,814,333
Raw,58523.956,827,333
Raw,1.54851656e+05,842,333
Raw,1.72897249e+05,843,333
Raw,1.16896248e+05,849,333
Raw,1.76823908e+05,850,333
Raw,1.30331817e+05,854,333
Raw,1.01346885e+05,863,333
Raw,1.4429891e+05,873,333
Raw,1.0755103e+05,878,333
Raw,1.34212586e+05,879,333
Raw,2.31961081e+05,881,333
Raw,1.56277884e+05,891,333
Raw,1.33121468e+05,897,333
Raw,1.5714962e+05,904,333
Raw,1.14705683e+05,904,333
Raw,71269.948,915,333
Raw,1.21423787e+05,921,333
Raw,2.96661895e+05,924,333
Raw,1.30274018e+05,926,333
Raw,1.1960878e+05,942,333
Raw,1.44626854e+05,949,333
Raw,1.72541806e+05,950,333
Raw,1.21376104e+05,963,333
Raw,3.78315018e+05,965,333
Raw,1.22352729e+05,973,333
Raw,1.02569257e+05,980,333
Raw,2.06341822e+05,985,333
Raw,2.18020415e+05,986,333
Raw,1.40344039e+05,987,333
Raw,1.53574209e+05,988,333
Raw,3.28706428e+05,994,333
Raw,3.38291396e+05,997,333
Raw,1.12260161e+05,1015,333
Raw,1.52877285e+05,1018,333
Raw,1.51945771e+05,1022,333
Raw,88026.072,1025,333
Raw,2.28312994e+05,1029,333
Raw,1.09577457e+05,1031,333
Raw,99514.429,1031,333
Raw,1.24926694e+05,1032,333
Raw,1.65331445e+05,1032,333
Raw,2.95606214e+05,1034,333
Raw,72595.956,1040,333
Raw,1.08015191e+05,1041,333
Raw,1.53643585e+05,1061,333
Raw,1.57013264e+05,1067,333
Raw,1.30115051e+05,1071,333
Raw,1.20961366e+05,1074,333
Raw,1.39882323e+05,1080,333
Raw,1.11751895e+05,1083,333
Raw,1.11568849e+05,1090,333
Raw,26251.459,1098,333
Raw,2.51294156e+05,1115,333
Raw,98364.012,1115,333
Raw,2.48089731e+05,1118,333
Raw,1.37604444e+05,1122,333
Raw,1.42757627e+05,1127,333
Raw,73570.948,1129,333
Raw,55008.309,1137,333
Raw,97710.234,1150,333
Raw,2.28995292e+05,1160,333
Raw,1.34362428e+05,1160,333
Raw,1.34607491e+05,1163,333
Raw,1.30631857e+05,1178,333
Raw,1.05182935e+05,1179,333
Raw,3.83650969e+05,1180,333
Raw,67349.731,1180,333
Raw,2.37059669e+05,1183,333
Raw,3.05613666e+05,1193,333
Raw,2.78163548e+05,1195,333
Raw,1.25079882e+05,1225,333
Raw,1.73198696e+05,1226,333
Raw,2.47968364e+05,1227,333
Raw,1.81654927e+05,1230,333
Raw,1.59964291e+05,1232,333
Raw,1.49206295e+05,1238,333
Raw,75373.523,1239,333
Raw,1.29536463e+05,1243,333
