eccentricity,run
1.0847659,332
1.4688125,332
1.2605698,332
1.1975337,332
1.221619,332
1.0832002,332
1.1601975,332
1.0580812,332
1.1323133,332
1.208557,332
1.0516307,332
1.425205,332
1.6545438,332
1.3697942,332
1.7806418,332
1.2917671,332
1.4769476,332
1.3226413,332
1.0611676,332
1.493156,332
1.3427914,332
1.1288173,332
1.2052688,332
1.9844751,332
1.3776263,332
1.3247049,332
1.2191812,332
1.6481,332
1.1869378,332
1.4420522,332
1.2079706,332
1.1293684,332
1.1544001,332
1.5657415,332
1.2893795,332
1.3155414,332
1.2198391,332
1.3106903,332
1.932998,332
1.3376456,332
1.144961,332
1.263523,332
1.4115338,332
1.1324725,332
1.2266111,332
1.1902819,332
1.2262539,332
1.1360678,332
1.2979598,332
1.0239273,332
1.0359401,332
1.0734665,332
1.2968043,332
1.132292,332
1.1832431,332
1.4185676,332
1.0972347,332
1.2122046,332
1.3330339,332
1.0622083,332
1.2808865,332
1.1448637,332
1.406864,332
1.1334244,332
1.6831236,332
1.1843406,332
1.3925667,332
1.036243,332
1.2338782,332
1.165934,332
1.2668639,332
1.0922411,332
1.9575486,332
1.4663065,332
1.2762659,332
1.2201944,332
1.4805711,332
1.8975706,332
1.3052944,332
1.1693611,332
1.1077094,332
1.2756249,332
1.1215309,332
1.112313,332
1.4240783,332
1.1188932,332
1.1251037,332
1.1454502,332
1.5817867,332
1.3885708,332
1.114492,332
1.3883294,332
1.1828346,332
1.1885085,332
1.3000599,332
1.3208481,332
1.124944,332
1.1328879,332
1.2551054,332
1.8220326,332
1.1568036,332
1.1856056,332
1.080237,332
1.2902381,332
1.2150154,332
1.1549148,332
1.2178861,332
1.2856293,332
1.2174843,332
1.2010837,332
1.1603267,332
1.131546,332
1.5518609,332
1.0613222,332
1.1663461,332
1.0465253,332
1.4370685,332
1.3869971,332
1.4699422,332
1.2308491,332
1.8091043,332
1.1679755,332
1.6921631,332
1.3338422,332
1.2398918,332
1.2934453,332
1.3250586,332
1.1056084,332
1.1726784,332
1.1817218,332
1.8256147,332
1.2487976,332
1.1534073,332
1.5541094,332
1.3021429,332
1.4837198,332
1.1741931,332
1.0806251,332
1.4074737,332
1.4661438,332
1.0533545,332
1.0559736,332
1.1023069,332
1.0917675,332
1.148917,332
1.0918774,332
1.1728874,332
1.3728762,332
1.6955191,332
1.7585181,332
1.1928122,332
1.7750242,332
1.1886574,332
1.1781464,332
1.386213,332
1.4103989,332
1.0453721,332
1.2401402,332
1.5414407,332
1.2047884,332
1.208044,332
1.1739176,332
1.3095091,332
1.2661043,332
1.2428551,332
1.1955378,332
1.061932,332
1.2753446,332
1.1631216,332
1.2054724,332
1.8099946,332
1.1151317,332
1.1331515,332
1.212605,332
1.3888139,332
1.0503932,332
1.2190535,332
1.4141518,332
1.0834105,332
1.4698265,332
1.1598924,332
1.234733,332
1.2203703,332
1.0484065,332
1.3801035,332
1.6157129,332
1.1036308,332
1.1481888,332
1.3231455,332
1.2737109,332
1.8703167,332
1.3887704,332
1.0538712,332
1.1296149,332
1.869682,332
1.4079806,332
1.3661771,332
1.1464266,332
1.9613843,332
1.4855201,332
1.4625193,332
1.0999829,332
1.8487232,332
1.4684964,332
1.467919,332
1.1379612,332
1.2562031,332
1.2228897,332
1.28161,332
1.2704292,332
1.1009823,332
1.7059443,332
1.1037647,332
1.3110236,332
1.3226151,332
1.3553397,332
1.235226,332
1.2618019,332
1.8851863,332
1.2176405,332
1.2367418,332
1.0829545,332
1.3369851,332
1.1445919,332
1.2279764,332
1.2560037,332
1.1759071,332
1.1004918,332
1.239519,332
1.3820282,332
1.15999,332
1.0501965,332
1.154171,332
1.3304637,332
1.0851976,332
1.9711126,332
1.3567722,332
1.2209923,332
1.141931,332
1.2910403,332
1.2179333,332
1.1349804,332
1.1556228,332
1.2391035,332
1.1502999,332
1.4976305,332
1.1836629,332
1.1359178,332
1.9682024,332
1.2346049,332
1.106142,332
1.3368216,332
1.1456346,332
1.5242145,332
1.3822494,332
1.0452313,332
1.2815124,332
1.2468218,332
1.2106924,332
1.4038076,332
1.3881788,332
1.1528181,332
1.28832,332
1.1448203,332
1.3131729,332
1.8286237,332
1.7184176,332
1.1601109,332
1.1880074,332
1.0176114,332
1.6426162,332
1.1016532,332
1.2391153,332
1.0393565,332
1.2121401,332
1.4226879,332
1.3262,332
1.0143559,332
1.1225188,332
1.2510924,332
1.2707184,332
1.1230585,332
1.4679877,332
1.4489876,332
1.1150805,332
1.1184917,332
1.5050476,332
1.1875771,332
1.4175978,332
1.1922217,332
1.1804121,332
1.2820113,332
1.0983453,332
1.1920378,332
1.3582105,332
1.5986087,332
1.4143286,332
1.3019661,332
1.125148,332
1.4166965,332
1.1366679,332
1.1769375,332
1.0423756,332
1.2967974,332
1.2750305,332
1.29371,332
1.3251246,332
1.1015114,332
1.3457983,332
1.3249267,332
1.1101369,332
1.1323021,332
1.1028696,332
1.2214994,332
1.1978663,332
1.178453,332
1.0510585,332
1.0800252,332
1.184947,332
1.3265675,332
1.6405377,332
1.2967326,332
1.1641959,332
1.1519129,332
1.8547621,332
1.1415558,332
1.3571684,332
1.8881406,332
1.9985776,332
1.2464336,332
1.1477824,332
1.191872,332
1.0404998,332
1.498229,332
1.387493,332
1.2872193,332
1.9149027,332
1.9891196,332
1.2015624,332
1.1002882,332
1.2804581,332
1.3597923,332
1.1831585,332
1.7686645,332
1.1294114,332
1.2631905,332
1.1673152,332
1.1864534,332
1.3881285,332
1.8388722,332
1.2443197,332
1.2134888,332
1.4204647,332
1.2328405,332
1.2891415,332
1.0458006,332
1.2723233,332
1.4206688,332
1.7039223,332
1.3310243,332
1.2547919,332
1.0484506,332
1.2182197,332
1.0305924,332
1.1185643,332
1.1775073,332
1.3280519,332
1.8417448,332
1.0174869,332
1.1941879,332
1.2772939,332
1.1369684,332
1.0090912,332
1.350318,332
1.1492589,332
1.6175681,332
1.2562792,332
1.264758,332
1.8219456,332
1.2542658,332
1.0613075,332
1.2382659,332
1.3835598,332
1.5234523,332
1.8650454,332
1.103221,332
1.4151941,332
1.2845989,332
1.3619981,332
1.3394335,332
1.1981099,332
1.1288276,332
1.7708674,332
1.2864446,332
1.2827183,332
1.6860193,332
1.3066166,332
1.2469109,332
1.2177574,332
1.1130255,332
1.2459255,332
1.1176697,332
1.0660121,332
1.1924771,332
1.236019,332
1.484973,332
1.2987585,332
1.2728478,332
1.1179931,332
1.0460715,332
1.1197059,332
1.8038661,332
1.0234184,332
1.4241493,332
1.1898917,332
1.1009579,332
1.5226135,332
1.1993088,332
1.3137467,332
1.1002193,332
1.1451332,332
1.2120461,332
1.5263564,332
1.7536617,332
1.1075577,332
1.2373411,332
1.2964813,332
1.8439128,332
1.1797571,332
1.354731,332
1.3456529,332
1.5019064,332
1.2807569,332
1.1175999,332
1.1241096,332
1.1101976,332
1.2869519,332
1.1416442,332
1.0350666,332
1.0440816,332
1.2187535,332
1.2834999,332
1.2630664,332
1.3336503,332
1.0808521,332
1.2097934,332
1.0466852,332
1.0128992,332
1.4169655,332
1.2842572,332
1.6990043,332
1.8303926,332
1.2310669,332
1.2651457,332
1.192703,332
1.0668965,332
1.1776675,332
1.3690851,332
1.3437711,332
1.1507394,332
1.1787855,332
1.0661791,332
1.2448008,332
1.1098079,332
1.1913698,332
1.1683557,332
1.1108107,332
1.1156307,332
1.1496607,332
1.0488136,332
1.3044681,332
1.7825366,332
1.3885215,332
1.2893959,332
1.0688771,332
1.3520162,332
1.111879,332
1.2217266,332
1.2741335,332
1.1329972,332
1.0812905,332
1.2575642,332
1.271645,332
1.1102487,332
1.2826197,332
1.1985564,332
1.3020694,332
1.0740896,332
1.1837512,332
1.038601,332
1.1495407,332
1.0899264,332
1.0329707,332
1.1241116,332
1.3188681,332
1.2721126,332
1.0718778,332
1.0953514,332
1.1175252,332
1.2363112,332
1.7470962,332
1.0750232,332
1.6952323,332
1.2398879,332
1.072442,332
1.050318,332
1.2937371,332
1.1499612,332
1.3814231,332
1.4675238,332
1.0778648,332
1.1725579,332
1.2593033,332
1.3852779,332
1.139646,332
1.5702725,332
1.6654065,332
1.3275431,332
1.4669365,332
1.5814636,332
1.1146552,332
1.2944722,332
1.0595221,332
1.1268066,332
1.8301466,332
1.1705192,332
1.1660334,332
1.3704377,332
1.1871438,332
1.3417087,332
1.0624568,332
1.144562,332
1.5661818,332
1.2727015,332
1.366936,332
1.115135,332
1.0796659,332
1.0952011,332
1.3207363,332
1.1130647,332
1.3522878,332
1.3254772,332
1.0547873,332
1.1113079,332
1.0779669,332
1.1725759,332
1.161607,332
1.270696,332
1.3315664,332
1.4542613,332
1.1824375,332
1.7157513,332
1.1066739,332
1.1141436,332
1.2027774,332
1.2624515,332
1.4177907,332
1.0995702,332
1.16218,332
1.092566,332
1.3972934,332
1.334172,332
1.10422,332
1.3291494,332
1.8945196,332
1.2320753,332
1.2284693,332
1.1775964,332
1.2994129,332
1.0590754,332
1.3931292,332
1.5525036,332
1.3290191,332
1.0148364,332
1.3087533,332
1.4766878,332
1.1287421,332
1.1289504,332
1.3459775,332
1.1485784,332
1.3578504,332
1.1109661,332
1.2268738,332
1.1798266,332
1.2564623,332
1.2690673,332
1.0605577,332
1.1079592,332
1.1940602,332
1.2657154,332
1.0564082,332
1.1617154,332
1.1004155,332
1.1358571,332
1.3843542,332
1.8374331,332
1.0951096,332
1.3035795,332
1.1943569,332
1.1656065,332
1.416872,332
1.1388746,332
1.3487989,332
1.3546637,332
1.0794194,332
1.2594402,332
1.1412733,332
1.1864649,332
1.0151857,332
1.2972492,332
1.0923217,332
1.074477,332
1.0685435,332
1.0824203,332
1.4662266,332
1.2743262,332
1.2328209,332
1.8693419,332
1.1177972,332
1.1315646,332
1.1308963,332
1.3350544,332
1.8470607,332
1.1991723,332
1.3183658,332
1.1303997,332
1.0889232,332
1.2440306,332
1.0564389,332
1.5999769,332
1.268755,332
1.173958,332
1.1905695,332
1.0322633,332
1.449749,332
1.3118602,332
1.5907854,332
1.2035017,332
1.2703214,332
1.0510688,332
1.1014379,332
1.1787513,332
1.0739218,332
1.1416459,332
1.0498796,332
1.1404854,332
1.5182687,332
1.6774093,332
1.3204813,332
1.2686091,332
1.1545466,332
1.4029363,332
1.3951717,332
1.54618,332
1.3083995,332
1.2527383,332
1.3355488,332
1.2072226,332
1.2577256,332
1.1289914,332
1.2817056,332
1.0988163,332
1.1511767,332
1.1200449,332
1.3983429,332
1.0546418,332
1.287562,332
1.2193155,332
1.3047446,332
1.158791,332
1.0896674,332
1.2215616,332
1.3727929,332
1.0504977,332
1.1839006,332
1.4089626,332
1.4781953,332
1.0456299,332
1.2080851,332
1.084401,332
1.4490394,332
1.2628195,332
1.0660265,332
1.9223928,332
1.3823391,332
1.2614211,332
1.3447738,332
1.2111671,332
1.169189,332
1.1809896,332
1.0430023,332
1.1955368,332
1.4626054,332
1.1348344,332
1.2335673,332
1.0571468,332
1.2305029,332
1.0279952,332
1.3763751,332
1.199293,332
1.0370949,332
1.106658,332
1.3188128,332
1.1847669,332
1.2742022,332
1.1585041,332
1.2263944,332
1.3052162,332
1.8467552,332
1.0385328,332
1.4164558,332
1.2621066,332
1.3311983,332
1.1904807,332
1.3751583,332
1.2390318,332
1.3569083,332
1.1214003,332
1.2459269,332
1.2013317,332
1.3673558,332
1.1178803,332
1.2080487,332
1.3913467,332
1.1090868,332
1.0938412,332
1.2373624,332
1.1080103,332
1.3547985,332
1.4084441,332
1.2333178,332
1.351189,332
1.0724209,332
1.6924352,332
1.1491003,332
1.3657899,332
1.3703019,332
1.121756,332
1.1402033,332
1.0637301,332
1.3477678,332
1.2231304,332
1.1788405,332
1.1981155,332
1.0402259,332
1.18771,332
1.0505374,332
1.2736463,332
1.0882738,332
1.930723,332
1.2929037,332
1.2718707,332
1.2152326,332
1.1595984,332
1.3620133,332
1.4476353,332
1.1398158,332
1.2039252,332
1.2797259,332
1.3677262,332
1.1313006,332
1.1177309,332
1.1450066,332
1.1948243,332
1.0590446,332
1.341479,332
1.0980445,332
1.1177052,332
1.1508592,332
1.2259447,332
1.3438106,332
1.2393977,332
1.0047341,332
1.0788072,332
1.6330579,332
1.3590448,332
1.1420793,332
1.1951303,332
1.0521594,332
1.2566508,332
1.1559445,332
1.0809619,332
1.1003955,332
1.1113756,332
1.1113644,332
1.0729978,332
1.063253,332
1.1112205,332
1.1433651,332
1.1645478,332
1.1597003,332
1.1511038,332
1.3722367,332
1.0891966,332
1.1353923,332
1.1959513,332
1.0810676,332
1.2483074,332
1.2962681,332
1.3215982,332
1.605622,332
1.3422729,332
1.2852936,332
1.5273374,332
1.2614771,332
1.1964567,332
1.2178529,332
1.4056706,332
1.1620373,332
1.2093043,332
1.0718235,332
1.8844481,332
1.3899275,332
1.3750048,332
1.2180996,332
1.1329379,332
1.6267278,332
1.2360004,332
1.5793881,332
1.0749541,332
1.4459575,332
1.1114281,332
1.3658287,332
1.1230591,332
1.3019816,332
1.20186,332
1.1179799,332
1.2418626,332
1.2507875,332
1.1869334,332
1.136994,332
1.4590327,332
1.1555259,332
1.3337344,332
1.4089136,332
1.4232673,332
1.2095899,332
1.2130959,332
1.1816392,332
1.2306563,332
1.3142117,332
1.1443804,332
1.1993311,332
1.1085917,332
1.2252095,332
1.1703879,332
1.2694132,332
1.3111419,332
1.12216,332
1.104898,332
1.4525092,332
1.1232762,332
1.4026907,332
1.3415504,332
1.1907278,332
1.1599749,332
1.0573507,332
1.3007999,332
1.233723,332
1.180503,332
1.0976384,332
1.2160562,332
1.7588936,332
1.2621975,332
1.0965117,332
1.3471129,332
1.0700432,332
1.4868653,332
1.1298456,332
1.0402543,332
1.2202537,332
1.0895507,332
1.1133022,332
1.2890069,332
1.0916359,332
1.156391,332
1.3965921,332
1.4108382,332
1.25477,332
1.1731778,332
1.8820291,332
1.0893321,332
1.2600047,332
1.304854,332
1.2396917,332
1.0310964,332
1.1504656,332
1.071572,332
1.1384154,332
1.1775832,332
1.2750144,332
1.3175931,332
1.9023592,332
1.4750832,332
1.2472031,332
1.0502298,332
1.138742,332
1.2614778,332
1.2871238,332
1.1004941,332
1.1736525,332
1.3598769,332
1.5923317,332
1.1392301,332
1.1492326,332
1.1850298,332
1.2225244,332
1.4000682,332
1.0660185,332
1.159799,332
1.2496787,332
1.1866593,332
1.0787895,332
1.1314809,332
1.1900747,332
1.8036937,332
1.2067519,332
1.0472059,332
1.3730493,332
1.3989399,332
1.0893954,332
1.3853355,332
1.1933622,332
1.1863352,332
1.5780262,332
1.1129837,332
1.9489928,332
1.2806536,332
1.0594315,332
1.0840443,332
1.9545469,332
1.0417472,332
1.1688831,332
1.4331053,332
1.2307513,332
1.095846,332
1.1755269,332
1.1712497,332
1.1015051,332
1.0761974,332
1.1343466,332
1.1672101,332
1.9307568,332
1.2659547,332
1.3636099,332
1.2310214,332
1.4188683,332
1.1719612,332
1.3529629,332
1.3659226,332
1.0155672,332
1.2353892,332
1.6104848,332
1.135587,332
1.3958629,332
1.4597741,332
1.4755768,332
1.1989105,332
1.2654149,332
1.287483,332
1.1666532,332
1.2166884,332
1.1507278,332
1.1092055,332
1.308087,332
1.3424385,332
1.1142761,332
1.0324179,332
1.4337108,332
1.1210574,332
1.1675022,332
1.187356,332
1.1560789,332
1.2071151,332
1.2232011,332
1.2691115,332
1.1715928,332
1.4245606,332
1.2280213,332
1.2982537,332
1.1657145,332
1.1097652,332
1.2510239,332
1.0511303,332
1.075046,332
1.4020041,332
1.4535326,332
1.2063834,332
1.1335912,332
1.0198765,332
1.6980759,332
1.3575561,332
1.1552021,332
1.1020824,332
1.1224515,332
1.197129,332
1.1940476,332
1.1451939,332
1.846165,332
1.2666677,332
1.3914765,332
1.2116532,332
1.1990049,332
1.427103,332
1.2891613,332
1.1245328,332
1.1970022,332
1.3202552,332
1.1591552,332
1.074821,332
1.0697088,332
1.1904524,332
1.8278634,332
1.2800605,332
1.1399684,332
1.2058791,332
1.1879025,332
1.150412,332
1.3863233,332
1.4439907,332
1.2261069,332
1.1496225,332
1.1665117,332
1.1429134,332
1.2818245,332
1.0945738,332
1.1679955,332
1.3634571,332
1.4770327,332
1.4868052,332
1.1592061,332
1.0172522,332
1.473164,332
1.7446624,332
1.5022549,332
1.4744955,332
1.0996721,332
1.1461731,332
1.1651718,332
1.1080875,332
1.1842376,332
1.2537661,332
1.434369,332
1.1646005,332
1.2929432,332
1.1527009,332
1.3463574,332
1.0756229,332
1.2066729,332
1.2056538,332
1.1568906,332
1.3815217,332
1.0762719,332
1.0317492,332
1.2456489,332
1.2939301,332
1.2858853,332
1.4251049,332
1.0814044,332
1.4178238,332
1.2493262,332
1.2831007,332
1.5059687,332
1.5064083,332
1.3527843,332
1.1624162,332
1.4880092,332
1.2064727,332
1.173944,332
1.1963553,332
1.0811734,332
1.1223161,332
1.1591103,332
1.2994379,332
1.1020796,332
1.2151795,332
1.0947941,332
1.2316771,332
1.1554296,332
1.2588031,332
1.1297922,332
1.4462334,332
1.119146,332
1.0895672,332
1.3857371,332
1.6236303,332
1.2119032,332
1.2613109,332
1.3109592,332
1.2510347,332
1.2899633,332
1.1582782,332
1.2132142,332
1.1451554,332
1.3215739,332
1.0902022,332
1.2917074,332
1.3497266,332
1.0536842,332
1.1450426,332
1.1874993,332
1.2078001,332
1.2230353,332
1.129127,332
1.2431211,332
1.1608027,332
1.1359782,332
1.431104,332
1.1555317,332
1.1869356,332
1.2318458,332
1.4571449,332
1.3073748,332
1.2775795,332
1.1995553,332
1.5423117,332
1.3333937,332
1.3166834,332
1.1195148,332
1.492844,332
1.2609289,332
1.2813948,332
1.1082604,332
1.171991,332
1.1688587,332
1.1197982,332
1.6705292,332
1.0740411,332
1.2448776,332
1.3791594,332
1.31173,332
1.1526764,332
1.069811,332
1.2842342,332
1.2002979,332
1.1879379,332
1.1673498,332
1.5159159,332
1.2247235,332
1.0849115,332
1.1794098,332
1.668927,332
1.3065625,332
1.3059212,332
1.3373518,332
1.2832893,332
1.3514899,332
1.4269523,332
1.1700837,332
1.3046414,332
1.2091549,332
1.4658074,332
1.2460114,332
1.3133864,332
1.2801972,332
1.2165204,332
1.2362512,332
1.1783608,332
1.5196656,332
1.4871269,332
1.1650966,332
1.3847628,332
1.24916,332
1.4158561,332
1.9069537,332
1.5013618,332
1.0766581,332
1.2158596,332
1.0201687,332
1.1796981,332
1.5168006,332
1.0886208,332
1.2529011,332
1.4246091,332
1.029488,332
1.4452646,332
1.2837475,332
1.1755392,332
1.0858771,332
1.1652637,332
1.3786031,332
1.1467469,332
1.0282261,332
1.2570876,332
1.4687677,332
1.1183819,332
1.2417541,332
1.2792235,332
1.5022447,332
1.3166501,332
1.0198755,332
1.5852124,332
1.2601065,332
1.1021949,332
1.3008287,332
1.1625108,332
1.25129,332
1.1650544,332
1.263742,332
1.0895581,332
1.056146,332
1.1202643,332
1.2115611,332
1.1212396,332
1.2203803,332
1.1276867,332
1.2978802,332
1.1316911,332
1.3457981,332
1.040056,332
1.3845184,332
1.0437716,332
1.2340238,332
1.1592962,332
1.4855192,332
1.4646117,332
1.25611,332
1.0999316,332
1.0738095,332
1.0678596,332
1.4526338,332
1.1944649,332
1.1256434,332
1.6519117,332
1.3776269,332
1.1585836,332
1.2236539,332
1.1563727,332
1.9083673,332
1.2232627,332
1.2579583,332
1.9780232,332
1.2559941,332
1.2222328,332
1.0404574,332
1.1840085,332
1.0929106,332
1.1951742,332
1.6822954,332
1.2154819,332
1.1813824,332
1.3699831,332
1.0896454,332
1.7303567,332
1.091073,332
1.2675907,332
1.4268201,332
1.4146501,332
1.1369534,332
1.5448979,332
1.2316527,332
1.356888,332
1.2414621,332
1.1371958,332
1.3780225,332
1.2506201,332
1.1451348,332
