fractionInTransverseRms,run
0.36363636,332
0.3220339,332
0.265625,332
0.26415094,332
0.21428571,332
0.22413793,332
0.23809524,332
0.29824561,332
0.42307692,332
0.30188679,332
0.43396226,332
0.35820896,332
0.19587629,332
0.28571429,332
0.17475728,332
0.27586207,332
0.24698795,332
0.1953125,332
0.37288136,332
0.31578947,332
0.2745098,332
0.33928571,332
0.26315789,332
0.18478261,332
0.30508475,332
0.37037037,332
0.24137931,332
0.24561404,332
0.22222222,332
0.32142857,332
0.28301887,332
0.35,332
0.31428571,332
0.25925926,332
0.26923077,332
0.19642857,332
0.19117647,332
0.32692308,332
0,332
0.35,332
0.51923077,332
0.33663366,332
0.31578947,332
0.30357143,332
0.30909091,332
0.34782609,332
0.38095238,332
0.3,332
0.30769231,332
0.30508475,332
0.29310345,332
0.34920635,332
0.36538462,332
0.34848485,332
0.40816327,332
0.37704918,332
0.29411765,332
0.37288136,332
0.26530612,332
0.28333333,332
0.33928571,332
0.37142857,332
0.35483871,332
0.29787234,332
0.27027027,332
0.1875,332
0.31034483,332
0.27272727,332
0.28571429,332
0.34848485,332
0.30769231,332
0.43548387,332
0.16197183,332
0.25,332
0.32142857,332
0.30357143,332
0.28125,332
0.12727273,332
0.31481481,332
0.25454545,332
0.36,332
0.33783784,332
0.34146341,332
0.28571429,332
0.23728814,332
0.3,332
0.28813559,332
0.34545455,332
0.29850746,332
0.23076923,332
0.33823529,332
0.14545455,332
0.36206897,332
0.3,332
0.29787234,332
0.33663366,332
0.29824561,332
0.28070175,332
0.36734694,332
0.21164021,332
0.31147541,332
0.32075472,332
0.36363636,332
0.29126214,332
0.38461538,332
0.37931034,332
0.2,332
0.37735849,332
0.19402985,332
0.28767123,332
0.33884298,332
0.30188679,332
0.36206897,332
0.26530612,332
0.39655172,332
0.40566038,332
0.32758621,332
0.25757576,332
0.13846154,332
0.38738739,332
0.13461538,332
0.28846154,332
0.22641509,332
0.32608696,332
0.3125,332
0.21153846,332
0.31034483,332
0.42592593,332
0.46551724,332
0.3,332
0.068965517,332
0.18333333,332
0.24193548,332
0.19642857,332
0.3220339,332
0.2745098,332
0.31111111,332
0.33870968,332
0.35483871,332
0.18367347,332
0.38596491,332
0.421875,332
0.33333333,332
0.35185185,332
0.38181818,332
0.37931034,332
0.34313725,332
0.30188679,332
0.16239316,332
0.22680412,332
0.32758621,332
0.077464789,332
0.34090909,332
0.375,332
0.32786885,332
0.38709677,332
0.44642857,332
0.31775701,332
0.31034483,332
0.34545455,332
0.37037037,332
0.34482759,332
0.39655172,332
0.26415094,332
0.41666667,332
0.29411765,332
0.34,332
0.35,332
0.32307692,332
0.28695652,332
0.15841584,332
0.45,332
0.36363636,332
0.375,332
0.21818182,332
0.40677966,332
0.30909091,332
0.26153846,332
0.31481481,332
0.24489796,332
0.36065574,332
0.28571429,332
0.35087719,332
0.35483871,332
0.22807018,332
0.2265625,332
0.25,332
0.375,332
0.2,332
0.32222222,332
0.20408163,332
0.39130435,332
0.44067797,332
0.34693878,332
0.11711712,332
0.3,332
0.35185185,332
0.34482759,332
0.089108911,332
0.36507937,332
0.32,332
0.31707317,332
0.12037037,332
0.37735849,332
0.22068966,332
0.32786885,332
0.22413793,332
0.28070175,332
0.32692308,332
0.37681159,332
0.40740741,332
0.24074074,332
0.376,332
0.23214286,332
0.35483871,332
0.38596491,332
0.28571429,332
0.3442623,332
0.16463415,332
0.36666667,332
0.36764706,332
0.38333333,332
0.32758621,332
0.34375,332
0.32258065,332
0.21875,332
0.25396825,332
0.37096774,332
0.35849057,332
0.27419355,332
0.40714286,332
0.35483871,332
