kurtosisLongitudinal,run
-0.66362794,332
-0.076903887,332
-0.47666747,332
-1.0159607,332
-0.84023279,332
-0.83511728,332
-0.56932551,332
-0.88091841,332
0.10693292,332
-0.55310358,332
0.21380002,332
0.66151621,332
-0.93382396,332
0.12625327,332
-0.6260877,332
-0.73099084,332
-0.4576342,332
-0.59967878,332
-0.14133866,332
0.27016963,332
-0.27773661,332
-0.061544846,332
-0.47013512,332
-0.77250273,332
0.12927528,332
-0.18498862,332
-0.5198677,332
0.37532737,332
-0.58701855,332
-0.40056997,332
-0.84353057,332
-0.36310268,332
-0.63437802,332
-1.1840158,332
-0.37709244,332
-0.76666056,332
-0.95833683,332
0.67470369,332
-1.5,332
0.2487443,332
0.5920124,332
-0.51118505,332
-0.64284163,332
-0.43496188,332
-0.50192933,332
-0.35285274,332
0.055300512,332
-0.4163882,332
0.19909277,332
-0.72970345,332
-0.51571118,332
-0.79543864,332
1.3881562,332
-0.54878182,332
0.95081392,332
-0.059098007,332
-0.6802231,332
-0.74456881,332
-0.10533036,332
-0.94958587,332
-0.88327142,332
-0.55779976,332
0.67564084,332
-0.14004303,332
-0.39923684,332
-0.60706714,332
-0.25913277,332
0.12091056,332
1.3069517,332
-0.22903771,332
-0.70093691,332
-0.08182171,332
-1.062395,332
-0.65427702,332
-0.45100118,332
-0.33639793,332
2.0422,332
-1.0243679,332
0.047768476,332
0.047938418,332
-0.030064192,332
-0.26458452,332
-0.41095166,332
-0.38034864,332
-0.82234622,332
-0.76702425,332
-0.65419191,332
1.6053567,332
0.79684,332
-0.69787837,332
-0.52251334,332
-0.98063577,332
0.177851,332
-0.63670484,332
0.14446719,332
-0.48945308,332
0.20886493,332
-0.55107432,332
0.52753111,332
-0.87251131,332
0.62657565,332
-0.49223456,332
-0.32277382,332
-0.5410643,332
0.43398547,332
0.19217466,332
-0.53044643,332
1.3439846,332
-0.54736001,332
-0.66708783,332
0.043650438,332
0.14334853,332
-0.18467663,332
-0.66171716,332
-0.68485535,332
-0.67640116,332
0.68465559,332
-0.77077255,332
-0.39841419,332
0.51652662,332
-0.49514308,332
-0.30438651,332
-0.87378964,332
-0.58835745,332
-0.62599455,332
-0.41800927,332
0.046234665,332
0.38488294,332
0.075483324,332
-0.6421183,332
-1.3300574,332
-0.30223942,332
0.15297725,332
-1.1079592,332
-0.33627785,332
0.053711391,332
-0.60780387,332
-0.41739779,332
0.22384372,332
-0.60093054,332
1.2472617,332
0.27119274,332
-0.030138602,332
-0.017475866,332
-0.097068414,332
-0.30811447,332
-0.16015154,332
1.3832403,332
-1.1264634,332
-0.6707849,332
-0.31144077,332
-1.0492343,332
-0.13900934,332
0.070252125,332
-0.098589797,332
-0.24563691,332
1.0679821,332
-0.24710996,332
-0.12428734,332
-0.22510722,332
-0.71013512,332
0.31907033,332
-0.43831704,332
-0.39649569,332
0.39399872,332
0.49423595,332
0.18767353,332
-0.4717367,332
-0.33463946,332
-0.49998561,332
-1.0623938,332
0.61013009,332
0.69094776,332
0.29631924,332
-0.83568092,332
-0.15062147,332
-0.79117292,332
-0.38679865,332
-0.82152411,332
-0.47030389,332
-0.61257944,332
-0.48117942,332
1.1135959,332
-0.44728853,332
-0.76974813,332
-0.86083774,332
0.0021211957,332
-0.17136028,332
-1.2544893,332
-0.80463231,332
-0.79020899,332
1.764984,332
-0.35632852,332
-0.050321835,332
-0.96983865,332
-0.33025839,332
-0.51375491,332
-0.20316466,332
-1.0260367,332
1.2379787,332
-0.59875368,332
-0.39370401,332
-1.2392497,332
0.29858974,332
-0.7472383,332
-0.63387352,332
-0.84617068,332
-0.31561996,332
-0.61791341,332
-0.8114689,332
0.64998886,332
-0.97495067,332
-0.092772151,332
-0.58518444,332
0.72576774,332
-0.43759334,332
-0.52361486,332
-1.0935227,332
-0.65519796,332
-0.48056625,332
-0.1249811,332
0.26425166,332
-0.47098099,332
0.38264596,332
-0.71703329,332
-0.87323256,332
0.12907127,332
