lengthDivRmsTrans,run
4.0840928,332
6.6824449,332
6.0054384,332
4.5479521,332
4.5405845,332
4.2653979,332
5.3105435,332
4.0511522,332
6.1862213,332
5.0606835,332
5.2904585,332
8.1614746,332
6.5230116,332
6.6405064,332
8.7876091,332
5.5540706,332
6.9712913,332
5.849052,332
5.0766651,332
7.9568464,332
5.8570166,332
5.5123861,332
5.1619283,332
8.4910909,332
6.5856129,332
6.5509885,332
5.2532021,332
7.4023802,332
5.1316227,332
6.5012249,332
4.6033963,332
4.8931292,332
4.7447436,332
5.4669127,332
5.8017637,332
5.1299031,332
4.4714794,332
7.4157322,332
4.7238038,332
6.5477592,332
5.4830188,332
6.0766459,332
5.6627204,332
4.9544337,332
5.0857482,332
5.4812817,332
5.786545,332
5.855005,332
5.9905139,332
4.0797852,332
4.4231054,332
4.0735084,332
7.1903771,332
5.0684096,332
5.3403762,332
6.4014304,332
4.5187606,332
4.4080532,332
6.2922854,332
4.0861102,332
5.2604772,332
4.9623608,332
6.2947564,332
5.2367375,332
7.8032939,332
4.6626999,332
6.2066538,332
5.2455219,332
7.2242434,332
5.2653655,332
5.1479251,332
5.1899867,332
6.901189,332
5.8780535,332
5.5721637,332
5.205399,332
7.74199,332
8.468181,332
6.2889999,332
5.6085708,332
5.1566874,332
5.6879156,332
5.9642615,332
4.4620777,332
5.7757412,332
4.1209689,332
4.5706519,332
5.1997399,332
8.1070585,332
6.550353,332
4.4940507,332
5.4052557,332
5.2537309,332
4.4915434,332
6.4487106,332
5.7708538,332
5.5128644,332
4.976795,332
5.9662133,332
7.3321509,332
6.19404,332
5.1357004,332
5.0575579,332
5.2275189,332
6.854674,332
5.4304632,332
5.3035928,332
7.3410635,332
5.4916478,332
4.7663987,332
6.1063028,332
5.9762726,332
6.9534432,332
4.6056915,332
4.6106272,332
4.699164,332
7.2976914,332
6.0069548,332
6.9987866,332
6.4106611,332
8.240395,332
4.8042643,332
7.2623294,332
5.0139016,332
5.6306449,332
5.6482647,332
6.0381237,332
5.5260772,332
4.7258272,332
4.8851052,332
7.0400717,332
5.4999372,332
5.984195,332
6.6079109,332
5.8392312,332
7.137538,332
4.558715,332
4.6839143,332
6.4997225,332
6.5381654,332
5.4481769,332
5.156102,332
5.339065,332
4.6811438,332
5.2339678,332
4.9395537,332
5.5724518,332
8.0826,332
6.7616006,332
7.2675931,332
5.3851854,332
6.2271077,332
5.6814581,332
5.9697395,332
6.5948637,332
5.7122041,332
5.8866353,332
5.7092972,332
7.0889165,332
5.7559352,332
4.9837161,332
6.2464655,332
5.307393,332
5.4016529,332
6.4436956,332
5.7486859,332
5.2187043,332
5.5182266,332
5.3244339,332
5.2327285,332
6.7219873,332
5.5969146,332
5.9923998,332
5.4703211,332
5.6352312,332
5.2906495,332
5.1628853,332
6.0731667,332
4.5295171,332
6.3156815,332
4.4588889,332
5.4069327,332
6.2678965,332
4.3390269,332
6.4701793,332
6.4173024,332
5.2843678,332
5.2055294,332
4.5929003,332
5.4569623,332
7.2011624,332
7.4744622,332
4.3894703,332
5.0371384,332
7.9605716,332
6.1609204,332
5.3914112,332
4.7266191,332
7.6700127,332
7.1413499,332
5.9498492,332
5.1304637,332
6.907216,332
7.2804591,332
7.1367901,332
4.6690803,332
5.1472802,332
6.2461624,332
5.2576453,332
5.2187171,332
5.3007116,332
6.6663231,332
6.0505737,332
5.6341468,332
5.6912921,332
5.7839513,332
5.0749731,332
4.4216075,332
8.8310108,332
5.6246084,332
5.7620379,332
5.756439,332
5.9632604,332
5.9867249,332
4.9378368,332
5.0194981,332
5.8306406,332
5.2058856,332
6.262558,332
5.501264,332
6.0425296,332
5.3383565,332
5.5721953,332
5.1394065,332
5.0719661,332
7.8248161,332
7.1392085,332
5.7277229,332
4.291656,332
5.4017436,332
4.7924375,332
4.6320832,332
4.8410969,332
6.488128,332
5.5428213,332
6.1710066,332
4.8403865,332
5.475845,332
8.2197535,332
5.2201871,332
4.3532575,332
5.4533979,332
6.548168,332
5.9183875,332
5.5494878,332
4.5689259,332
5.5128229,332
5.6481373,332
6.3649723,332
5.8264215,332
6.2737703,332
4.7767168,332
5.1257647,332
5.5008287,332
6.0392387,332
7.2120858,332
7.8029471,332
4.1721968,332
5.0501567,332
4.6884124,332
6.0519075,332
5.4888825,332
5.6386015,332
3.8486019,332
4.5540958,332
6.3742744,332
6.1529755,332
5.5744462,332
4.89869,332
6.1945991,332
5.9420083,332
3.705876,332
6.5184233,332
5.4135423,332
6.4173359,332
4.3391166,332
6.7075681,332
5.4837445,332
6.0754037,332
5.7894144,332
4.9622009,332
6.0730204,332
4.029511,332
5.0209736,332
6.2208431,332
7.9105656,332
6.6807954,332
5.7410579,332
5.1044516,332
7.5411875,332
5.4417293,332
5.6541945,332
4.0550381,332
6.28228,332
6.1181373,332
5.4056066,332
5.6523794,332
4.7267272,332
6.3147223,332
5.6446455,332
5.0507054,332
4.4517448,332
5.9664692,332
6.2511885,332
6.0264745,332
6.0510153,332
4.3919146,332
5.8944975,332
5.5580558,332
6.5227323,332
8.7177001,332
6.9877913,332
5.1969841,332
4.7707288,332
7.2888929,332
4.7293033,332
6.3324972,332
6.4357771,332
8.0420061,332
5.7617212,332
5.1659882,332
5.0388653,332
4.1589841,332
6.2088183,332
6.6367706,332
5.3558709,332
7.1750893,332
8.5260062,332
6.6715521,332
5.1910811,332
5.7260807,332
5.5652233,332
5.3985441,332
7.0353657,332
5.2982326,332
5.4614408,332
5.2257237,332
5.8301756,332
6.999763,332
8.0653391,332
4.8254583,332
5.1605122,332
6.7184528,332
6.6221957,332
5.2249319,332
5.2804272,332
5.5428533,332
6.6430319,332
6.7453966,332
6.5722176,332
5.2324663,332
5.5899662,332
4.9024748,332
4.5155234,332
4.7815668,332
6.1138281,332
5.7031571,332
7.7436056,332
3.5817095,332
5.8311326,332
5.2235302,332
4.8362213,332
4.2181725,332
6.497005,332
4.5393334,332
7.6351315,332
5.1204847,332
5.159482,332
8.0669279,332
5.4891342,332
4.3697267,332
5.0011924,332
5.3781031,332
6.8359405,332
7.4711722,332
5.5587008,332
5.6665485,332
6.4182599,332
5.6148237,332
6.1024783,332
5.3976088,332
4.6546409,332
7.1305923,332
6.9471157,332
6.5452519,332
6.3657714,332
5.4605455,332
5.3205632,332
6.0370966,332
5.4420917,332
5.5434976,332
5.7551853,332
5.3099834,332
5.1205502,332
6.3871995,332
6.7018778,332
4.676902,332
7.1627378,332
5.3642512,332
4.5920165,332
4.3011042,332
7.8954494,332
5.382721,332
7.2576823,332
5.0084155,332
4.8062094,332
7.2686285,332
5.5886128,332
5.5827188,332
5.8990247,332
4.8575153,332
4.6947811,332
6.5001402,332
7.3144302,332
5.3869415,332
5.2401716,332
5.9027174,332
8.2260608,332
5.408928,332
6.4214183,332
5.6191377,332
7.0023205,332
5.6562272,332
7.1670741,332
4.825751,332
4.5376856,332
6.2856905,332
4.8871207,332
4.9576844,332
4.3654959,332
5.0311125,332
5.3989217,332
5.6447637,332
5.2163339,332
5.0017319,332
4.8648776,332
4.7110266,332
5.2109208,332
7.1400881,332
6.4880968,332
7.8581132,332
6.9829236,332
5.1309025,332
6.0109772,332
5.1668563,332
4.6836517,332
5.9251118,332
6.8036549,332
5.7996901,332
4.7904584,332
5.3701932,332
5.9981673,332
5.7193255,332
5.043957,332
5.2281355,332
4.2045809,332
5.5787472,332
3.9026084,332
5.0716524,332
4.2596271,332
6.0180455,332
6.9468347,332
