totalCharge,run
1.44821895e+05,332
1.46717834e+05,332
1.46964424e+05,332
1.5061766e+05,332
1.7312213e+05,332
1.5158235e+05,332
1.98664941e+05,332
1.46261333e+05,332
4.42688624e+05,332
1.2755855e+05,332
1.37361594e+05,332
1.80298486e+05,332
2.40171958e+05,332
1.31067321e+05,332
2.44695978e+05,332
1.59984662e+05,332
3.93015563e+05,332
3.72790512e+05,332
2.80464511e+05,332
4.00299245e+05,332
1.32466932e+05,332
1.55079083e+05,332
1.42691687e+05,332
2.2661671e+05,332
1.44019989e+05,332
1.58340094e+05,332
1.43155078e+05,332
1.64323384e+05,332
1.46111019e+05,332
1.53672179e+05,332
1.3898299e+05,332
1.63566279e+05,332
1.62781551e+05,332
2.30253391e+05,332
1.22913687e+05,332
1.52396745e+05,332
1.63682203e+05,332
1.33914391e+05,332
3782.6241,332
1.64706671e+05,332
1.35694318e+05,332
2.5064591e+05,332
1.35104089e+05,332
1.38454018e+05,332
1.49378455e+05,332
1.17242656e+05,332
1.50446406e+05,332
3.18713824e+05,332
1.38899463e+05,332
1.73374942e+05,332
1.45477829e+05,332
1.54641422e+05,332
1.20577144e+05,332
1.71789279e+05,332
1.22450318e+05,332
1.75587558e+05,332
1.35331624e+05,332
1.78812998e+05,332
1.45939919e+05,332
1.74564411e+05,332
1.58468116e+05,332
1.97603603e+05,332
1.93826722e+05,332
1.20808983e+05,332
2.80536709e+05,332
1.58444173e+05,332
1.63146707e+05,332
1.42917878e+05,332
1.8384429e+05,332
1.5942861e+05,332
1.38750712e+05,332
1.70911076e+05,332
3.58926382e+05,332
1.50969139e+05,332
1.49932974e+05,332
1.45442503e+05,332
1.68735823e+05,332
3.01724143e+05,332
1.5605686e+05,332
1.38041787e+05,332
1.31644918e+05,332
1.98512102e+05,332
3.16424775e+05,332
1.42782912e+05,332
1.69647654e+05,332
1.38144703e+05,332
1.39597339e+05,332
1.53645431e+05,332
1.93965135e+05,332
3.97102923e+05,332
1.45081113e+05,332
1.49243929e+05,332
1.26515547e+05,332
1.64653283e+05,332
1.31043226e+05,332
2.39036015e+05,332
1.30348149e+05,332
1.54205175e+05,332
1.38010339e+05,332
5.29918816e+05,332
1.58661994e+05,332
1.54042268e+05,332
1.48606896e+05,332
2.41703796e+05,332
2.88616974e+05,332
1.37578088e+05,332
1.55068218e+05,332
1.51410393e+05,332
1.89752279e+05,332
1.92401105e+05,332
3.01443291e+05,332
1.39041909e+05,332
1.53862662e+05,332
1.34811155e+05,332
1.46892738e+05,332
2.79068834e+05,332
1.45841142e+05,332
1.65254081e+05,332
1.76053261e+05,332
2.8479853e+05,332
2.6150525e+05,332
1.41553309e+05,332
2.85538335e+05,332
1.19705296e+05,332
1.58258121e+05,332
1.31456108e+05,332
1.40773984e+05,332
1.45111536e+05,332
1.44374724e+05,332
1.30328729e+05,332
4.03723143e+05,332
1.67450157e+05,332
1.40644124e+05,332
3.98783047e+05,332
1.50889637e+05,332
1.39836667e+05,332
1.28204815e+05,332
1.67907603e+05,332
1.64441614e+05,332
1.4573703e+05,332
1.43709592e+05,332
1.9810911e+05,332
1.21678689e+05,332
1.35746686e+05,332
1.40768497e+05,332
1.81406359e+05,332
2.82577394e+05,332
1.29822336e+05,332
3.24950839e+05,332
2.41762125e+05,332
1.77601275e+05,332
3.77153282e+05,332
1.01863987e+05,332
1.55044266e+05,332
1.81929876e+05,332
1.47044705e+05,332
1.47632455e+05,332
2.73557327e+05,332
1.63012237e+05,332
1.54411821e+05,332
1.32812795e+05,332
2.24979191e+05,332
1.60412323e+05,332
1.38526523e+05,332
1.27997417e+05,332
1.70742446e+05,332
1.38698805e+05,332
1.60513161e+05,332
1.5103769e+05,332
2.7802851e+05,332
2.40963095e+05,332
1.56405773e+05,332
1.37488653e+05,332
1.92997788e+05,332
1.43399593e+05,332
1.41138593e+05,332
1.41754268e+05,332
1.41649418e+05,332
1.48917309e+05,332
1.37404011e+05,332
1.77986083e+05,332
1.48836407e+05,332
1.42253654e+05,332
1.61572774e+05,332
3.03072731e+05,332
3.44871883e+05,332
1.28120688e+05,332
1.8313262e+05,332
1.48782959e+05,332
2.19880773e+05,332
3.63045891e+05,332
2.43533882e+05,332
1.58463342e+05,332
1.3076957e+05,332
2.73196262e+05,332
1.30872574e+05,332
1.39658217e+05,332
1.43661114e+05,332
2.33161304e+05,332
1.60536572e+05,332
1.2327426e+05,332
3.12703059e+05,332
2.78285203e+05,332
1.64195708e+05,332
3.70819439e+05,332
1.60254988e+05,332
1.30996662e+05,332
1.29886292e+05,332
1.35723274e+05,332
2.03447259e+05,332
1.42653103e+05,332
1.36636761e+05,332
3.54003653e+05,332
1.3065602e+05,332
70582.378,332
1.5240104e+05,332
1.23849701e+05,332
1.48099087e+05,332
4.05666253e+05,332
1.55445513e+05,332
1.8893501e+05,332
1.56934132e+05,332
1.54956925e+05,332
1.6765905e+05,332
1.64661682e+05,332
1.44278363e+05,332
1.46358606e+05,332
1.29109937e+05,332
1.35299662e+05,332
1.8041258e+05,332
3.28342611e+05,332
1.57656993e+05,332
2.21282575e+05,332
2.42356292e+05,332
1.70130683e+05,332
3.03818371e+05,332
1.90857689e+05,332
1.55067157e+05,332
1.34994394e+05,332
1.50979828e+05,332
1.61171462e+05,332
1.62062172e+05,332
1.48477215e+05,332
1.76060496e+05,332
1.50431687e+05,332
2.86533833e+05,332
1.54155618e+05,332
1.67067174e+05,332
2.97512831e+05,332
1.5971676e+05,332
1.14515147e+05,332
1.82850867e+05,332
1.35180371e+05,332
2.82784943e+05,332
1.76703733e+05,332
1.89414431e+05,332
1.57598841e+05,332
1.49717625e+05,332
4.14624708e+05,332
1.58005456e+05,332
1.47967995e+05,332
1.66126387e+05,332
1.307626e+05,332
1.53139527e+05,332
1.41421481e+05,332
2.61458202e+05,332
1.82386762e+05,332
1.48470241e+05,332
1.61797678e+05,332
1.42183581e+05,332
1.30848701e+05,332
2.51475781e+05,332
1.49823673e+05,332
1.34711943e+05,332
1.19825623e+05,332
1.54786397e+05,332
1.36767123e+05,332
1.47533719e+05,332
1.9978171e+05,332
1.64896761e+05,332
1.77558801e+05,332
1.49926279e+05,332
1.40793194e+05,332
1.47616775e+05,332
1.45796693e+05,332
1.40342974e+05,332
1.68326427e+05,332
1.53440243e+05,332
1.42473279e+05,332
1.64855167e+05,332
1.37758627e+05,332
3.2624863e+05,332
1.22219092e+05,332
1.28261589e+05,332
1.56600816e+05,332
1.49709115e+05,332
1.41349387e+05,332
1.31848857e+05,332
1.31919311e+05,332
1.83536132e+05,332
1.75255493e+05,332
1.52907381e+05,332
1.70211649e+05,332
1.06533419e+05,332
1.46377492e+05,332
1.33563674e+05,332
1.96622452e+05,332
1.54513639e+05,332
1.38633354e+05,332
1.58076825e+05,332
1.83378776e+05,332
1.59407066e+05,332
1.69718653e+05,332
1.46565996e+05,332
1.34787242e+05,332
2.10240497e+05,332
1.83508999e+05,332
1.44218568e+05,332
2.1193585e+05,332
1.63807656e+05,332
2.63455281e+05,332
1.54098996e+05,332
1.26651317e+05,332
1.41236051e+05,332
2.00906524e+05,332
