width,run
2.493571,332
4.2453507,332
4.2498121,332
3.6993493,332
4.3266554,332
3.9857712,332
4.0076509,332
3.5929639,332
4.2529753,332
3.874023,332
4.3199777,332
3.6293873,332
4.5559414,332
3.6117111,332
5.4339236,332
3.7896666,332
4.7713905,332
5.4521168,332
3.2826479,332
5.7286216,332
3.4265357,332
3.7940272,332
4.1796682,332
4.4068808,332
3.6181394,332
2.7220889,332
3.7075257,332
3.1266149,332
4.3136701,332
1.5306239,332
3.5783757,332
3.6914987,332
3.3447885,332
4.712837,332
3.8357043,332
4.0523931,332
3.3063617,332
3.3277207,332
0.86052353,332
3.8089235,332
3.2541618,332
4.0303864,332
4.1535247,332
3.4837579,332
3.8330735,332
3.8830877,332
4.0646305,332
4.6616577,332
3.4831319,332
4.3692488,332
4.5172185,332
4.6607363,332
4.4676448,332
3.586808,332
5.145177,332
3.184673,332
3.6133266,332
4.4805313,332
2.3365222,332
5.0582057,332
3.9226705,332
3.9082463,332
4.3549569,332
4.3130382,332
4.6684967,332
4.1189816,332
3.5662478,332
4.1497269,332
4.2288424,332
4.0530223,332
2.5373739,332
4.5571014,332
5.2624,332
3.6911961,332
4.4613642,332
3.3974315,332
3.6601639,332
5.0735527,332
3.758316,332
3.1881435,332
4.3481678,332
4.0872864,332
5.1348294,332
3.0120338,332
2.7082049,332
4.4203647,332
3.8413051,332
3.9139416,332
4.2028953,332
5.044753,332
4.718169,332
3.0657197,332
3.3891232,332
3.0758285,332
4.3331347,332
5.6644356,332
3.6161257,332
4.3981257,332
3.212906,332
5.6617544,332
2.9175317,332
4.5099868,332
3.2069533,332
6.6186153,332
2.8881764,332
4.6454707,332
3.3120661,332
4.7376168,332
3.3237052,332
4.1203667,332
4.0108123,332
3.0853302,332
3.1122384,332
1.577596,332
4.1508518,332
4.2322143,332
2.6597936,332
4.9884945,332
3.2053355,332
4.4687937,332
4.9337258,332
3.9266128,332
4.3326414,332
3.6583449,332
3.2834321,332
2.7881994,332
3.2390345,332
3.5620374,332
3.8390726,332
4.1943507,332
5.2776305,332
3.9211369,332
3.3420323,332
5.6422353,332
3.417626,332
3.4984574,332
3.5534066,332
4.6490118,332
2.9556999,332
3.993963,332
3.0670016,332
4.5458374,332
3.4587874,332
4.0625428,332
3.9968577,332
3.1946716,332
4.5437784,332
1.7918946,332
5.5185169,332
3.5721503,332
3.9955952,332
5.3698161,332
3.766434,332
4.242058,332
3.3694367,332
4.6955378,332
4.0008734,332
4.2889614,332
3.1145465,332
3.9526121,332
3.658099,332
4.5242289,332
3.7975681,332
2.5382824,332
4.3933,332
3.6390475,332
3.7176711,332
1.7079799,332
3.103524,332
3.9506514,332
4.3634561,332
4.9199618,332
3.8585184,332
2.6557553,332
3.5154489,332
4.7812464,332
3.4799469,332
3.7753579,332
4.6568774,332
3.4251024,332
4.6099304,332
3.9753387,332
4.4575126,332
5.2314833,332
5.038264,332
5.7250812,332
3.709571,332
3.265918,332
3.1097365,332
5.0644216,332
5.1085195,332
4.5105116,332
4.3645068,332
5.0279143,332
4.4850653,332
2.8486692,332
4.8929414,332
5.1207668,332
5.0816011,332
3.3754,332
3.5388604,332
3.7634915,332
5.1561093,332
3.3138215,332
5.5717377,332
5.0956706,332
4.5250205,332
4.297367,332
3.3188751,332
2.8523915,332
4.0539198,332
3.8925021,332
4.5297242,332
3.2488145,332
3.2310471,332
3.7812328,332
3.9650065,332
3.6013878,332
5.111022,332
1.7634662,332
4.3157984,332
4.8162374,332
3.4890965,332
3.7592027,332
3.7763553,332
3.1479153,332
3.3136179,332
4.5364873,332
3.7263871,332
4.0472022,332
5.1517068,332
2.4118295,332
3.5609178,332
5.1964421,332
4.223564,332
5.1165499,332
3.7628297,332
3.6505127,332
3.4819297,332
4.1265883,332
3.4436056,332
3.9601806,332
4.1230902,332
3.8775072,332
4.0361893,332
4.7388849,332
4.4954626,332
4.7703339,332
3.8603434,332
2.9615904,332
3.3801933,332
3.5595817,332
3.7604589,332
4.8406954,332
3.4969888,332
4.2009344,332
5.3213079,332
3.3960692,332
5.3161106,332
3.7278687,332
3.198036,332
4.2907933,332
3.7234055,332
4.080039,332
3.0793673,332
4.9430277,332
4.223107,332
2.8301051,332
4.6109142,332
4.2473106,332
3.1320112,332
4.1206448,332
3.9777237,332
5.1481068,332
3.3004633,332
2.7752959,332
4.1892029,332
4.6252652,332
3.5465781,332
3.2507347,332
4.2088474,332
4.6449781,332
2.4295118,332
3.1188246,332
4.3687034,332
2.9097168,332
3.7425122,332
4.7130287,332
4.5145912,332
4.2608491,332
2.9890895,332
3.4145701,332
4.392395,332
3.6711644,332
3.7670219,332
3.4071223,332
3.7817062,332
3.0815559,332
4.5008656,332
3.5174264,332
3.9468104,332
4.6182529,332
4.2259498,332
3.8524936,332
3.4116484,332
4.2131022,332
2.5938274,332
3.6016212,332
3.4814123,332
3.2970101,332
5.5010886,332
4.0702431,332
4.8549936,332
3.1356002,332
3.4756036,332
4.4356599,332
3.614393,332
4.4542845,332
3.429812,332
3.2565484,332
3.5214992,332
3.7723002,332
3.3406147,332
3.4015476,332
4.1472897,332
3.5810166,332
3.9794434,332
5.2815912,332
4.9891931,332
3.3642734,332
1.8735599,332
2.6990537,332
3.9434048,332
3.2364673,332
3.7784901,332
3.4304896,332
2.5270264,332
4.780504,332
3.3315741,332
2.2840413,332
3.6276106,332
3.9527062,332
3.4825622,332
6.2850589,332
4.2106556,332
4.4728705,332
3.6675422,332
3.3168963,332
3.8735304,332
5.2368511,332
3.5090705,332
4.0582439,332
4.0371078,332
3.426198,332
3.639561,332
4.4397194,332
3.547998,332
3.2051567,332
5.6747739,332
3.6756419,332
3.8040833,332
3.8104178,332
4.5024838,332
4.5133303,332
4.2264594,332
4.0308383,332
3.7944902,332
5.486773,332
3.4539993,332
4.5080556,332
4.0139761,332
4.0320751,332
3.3945648,332
2.7092115,332
4.0016403,332
4.4014423,332
4.3883038,332
5.3375916,332
4.8484695,332
3.6797518,332
4.0649518,332
3.5427933,332
4.1677312,332
3.4610693,332
5.190652,332
3.0670672,332
3.1705146,332
2.0883604,332
3.6230137,332
3.204944,332
4.2290305,332
3.2347193,332
5.2803551,332
4.147542,332
3.786879,332
6.8331015,332
4.8600428,332
4.5093665,332
3.1009356,332
3.5793313,332
3.2422396,332
3.5880066,332
3.6432164,332
4.4798138,332
3.1642736,332
4.9475169,332
3.7545282,332
4.4186576,332
3.7058293,332
2.7758056,332
3.5997384,332
3.7169741,332
2.3795616,332
2.6596556,332
4.1333765,332
3.6202247,332
4.6205692,332
3.01112,332
3.0042666,332
3.477133,332
4.2287442,332
3.0692542,332
3.5049731,332
2.4906383,332
4.2147793,332
3.2491918,332
4.3240904,332
6.3666043,332
3.2680725,332
4.6058989,332
4.7653691,332
4.0349801,332
3.0235573,332
4.5343427,332
3.0137911,332
4.6709205,332
2.9943526,332
3.8976517,332
5.3136272,332
2.9773273,332
3.6365663,332
2.8520226,332
3.7608502,332
3.384239,332
5.0337844,332
3.1736622,332
4.7512095,332
4.5648612,332
2.9311038,332
3.6365976,332
6.2416311,332
5.3669912,332
4.4130757,332
3.7347817,332
4.0405905,332
4.9903058,332
2.5932937,332
5.2388914,332
5.1805184,332
3.4607005,332
3.5781641,332
5.0507476,332
2.9820237,332
4.5138253,332
4.3772384,332
2.5058208,332
4.0332856,332
3.9586729,332
2.7273867,332
5.2779162,332
3.5636455,332
5.2167366,332
4.6571879,332
4.4152259,332
4.1006111,332
4.3215722,332
2.9850655,332
3.8293652,332
2.873893,332
3.6399273,332
2.0178596,332
1.9330723,332
3.3695169,332
4.6894106,332
3.9654219,332
3.3026162,332
3.9179288,332
2.4366685,332
4.549724,332
