Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,21,1,342,hits,C-EPIC-0.6kV,0.30515017
Cut,22,2,342,hits,C-EPIC-0.6kV,0.31968113
Cut,21,3,342,hits,C-EPIC-0.6kV,0.30515017
Cut,20,4,342,hits,C-EPIC-0.6kV,0.29061921
Cut,18,6,342,hits,C-EPIC-0.6kV,0.26155728
Cut,34,7,342,hits,C-EPIC-0.6kV,0.49405265
Cut,15,9,342,hits,C-EPIC-0.6kV,0.2179644
Cut,15,18,342,hits,C-EPIC-0.6kV,0.2179644
Cut,11,19,342,hits,C-EPIC-0.6kV,0.15984056
Cut,16,21,342,hits,C-EPIC-0.6kV,0.23249536
Cut,31,23,342,hits,C-EPIC-0.6kV,0.45045977
Cut,17,24,342,hits,C-EPIC-0.6kV,0.24702632
Cut,17,32,342,hits,C-EPIC-0.6kV,0.24702632
Cut,17,35,342,hits,C-EPIC-0.6kV,0.24702632
Cut,14,36,342,hits,C-EPIC-0.6kV,0.20343344
Cut,15,39,342,hits,C-EPIC-0.6kV,0.2179644
Cut,16,40,342,hits,C-EPIC-0.6kV,0.23249536
Cut,11,42,342,hits,C-EPIC-0.6kV,0.15984056
Cut,17,43,342,hits,C-EPIC-0.6kV,0.24702632
Cut,22,45,342,hits,C-EPIC-0.6kV,0.31968113
Cut,30,46,342,hits,C-EPIC-0.6kV,0.43592881
Cut,22,47,342,hits,C-EPIC-0.6kV,0.31968113
Cut,17,48,342,hits,C-EPIC-0.6kV,0.24702632
Cut,18,50,342,hits,C-EPIC-0.6kV,0.26155728
Cut,18,51,342,hits,C-EPIC-0.6kV,0.26155728
Cut,22,52,342,hits,C-EPIC-0.6kV,0.31968113
Cut,18,53,342,hits,C-EPIC-0.6kV,0.26155728
Cut,5,54,342,hits,C-EPIC-0.6kV,0.072654801
Cut,16,55,342,hits,C-EPIC-0.6kV,0.23249536
Cut,17,56,342,hits,C-EPIC-0.6kV,0.24702632
Cut,18,60,342,hits,C-EPIC-0.6kV,0.26155728
Cut,15,67,342,hits,C-EPIC-0.6kV,0.2179644
Cut,14,74,342,hits,C-EPIC-0.6kV,0.20343344
Cut,9,77,342,hits,C-EPIC-0.6kV,0.13077864
Cut,16,78,342,hits,C-EPIC-0.6kV,0.23249536
Cut,28,81,342,hits,C-EPIC-0.6kV,0.40686689
Cut,14,82,342,hits,C-EPIC-0.6kV,0.20343344
Cut,19,83,342,hits,C-EPIC-0.6kV,0.27608824
Cut,12,86,342,hits,C-EPIC-0.6kV,0.17437152
Cut,20,89,342,hits,C-EPIC-0.6kV,0.29061921
Cut,13,93,342,hits,C-EPIC-0.6kV,0.18890248
Cut,17,93,342,hits,C-EPIC-0.6kV,0.24702632
Cut,20,96,342,hits,C-EPIC-0.6kV,0.29061921
Cut,15,98,342,hits,C-EPIC-0.6kV,0.2179644
Cut,14,101,342,hits,C-EPIC-0.6kV,0.20343344
Cut,22,105,342,hits,C-EPIC-0.6kV,0.31968113
Cut,20,107,342,hits,C-EPIC-0.6kV,0.29061921
Cut,21,115,342,hits,C-EPIC-0.6kV,0.30515017
Cut,22,116,342,hits,C-EPIC-0.6kV,0.31968113
Cut,18,120,342,hits,C-EPIC-0.6kV,0.26155728
Cut,20,122,342,hits,C-EPIC-0.6kV,0.29061921
Cut,14,132,342,hits,C-EPIC-0.6kV,0.20343344
