Cut?,Counts,eventNumber,runNumber
Raw,26,0,342
Raw,21,1,342
Raw,22,2,342
Raw,21,3,342
Raw,20,4,342
Raw,34,5,342
Raw,8,5,342
Raw,18,6,342
Raw,34,7,342
Raw,18,8,342
Raw,15,9,342
Raw,30,11,342
Raw,6,11,342
Raw,51,12,342
Raw,9,12,342
Raw,17,13,342
Raw,40,14,342
Raw,23,16,342
Raw,18,17,342
Raw,11,18,342
Raw,15,18,342
Raw,11,19,342
Raw,8,20,342
Raw,16,21,342
Raw,38,22,342
Raw,31,23,342
Raw,17,24,342
Raw,17,27,342
Raw,22,30,342
Raw,4,30,342
Raw,36,31,342
Raw,17,32,342
Raw,49,33,342
Raw,3,34,342
Raw,17,35,342
Raw,14,36,342
Raw,15,37,342
Raw,15,39,342
Raw,14,40,342
Raw,16,40,342
Raw,11,42,342
Raw,17,43,342
Raw,18,44,342
Raw,22,45,342
Raw,30,46,342
Raw,22,47,342
Raw,17,48,342
Raw,18,50,342
Raw,18,51,342
Raw,22,52,342
Raw,4,52,342
Raw,18,53,342
Raw,5,54,342
Raw,9,54,342
Raw,16,55,342
Raw,17,56,342
Raw,21,57,342
Raw,9,57,342
Raw,17,58,342
Raw,18,60,342
Raw,17,62,342
Raw,19,63,342
Raw,19,64,342
Raw,55,66,342
Raw,15,67,342
Raw,16,70,342
Raw,20,71,342
Raw,14,74,342
Raw,28,75,342
Raw,10,75,342
Raw,19,76,342
Raw,9,77,342
Raw,16,78,342
Raw,43,78,342
Raw,10,79,342
Raw,6,79,342
Raw,16,80,342
Raw,28,81,342
Raw,14,82,342
Raw,19,83,342
Raw,16,84,342
Raw,15,85,342
Raw,11,85,342
Raw,12,86,342
Raw,18,87,342
Raw,4,88,342
Raw,20,89,342
Raw,30,91,342
Raw,13,93,342
Raw,17,93,342
Raw,16,94,342
Raw,23,95,342
Raw,20,96,342
Raw,15,98,342
Raw,23,99,342
Raw,14,101,342
Raw,21,101,342
Raw,31,102,342
Raw,21,103,342
Raw,15,104,342
Raw,22,105,342
Raw,20,107,342
Raw,15,108,342
Raw,17,110,342
Raw,14,114,342
Raw,45,114,342
Raw,21,115,342
Raw,22,116,342
Raw,11,116,342
Raw,39,117,342
Raw,21,118,342
Raw,16,119,342
Raw,18,120,342
Raw,4,121,342
Raw,20,122,342
Raw,52,124,342
Raw,15,125,342
Raw,39,127,342
Raw,35,128,342
Raw,21,129,342
Raw,11,130,342
Raw,16,130,342
Raw,13,131,342
Raw,14,132,342
Raw,17,133,342
Raw,15,135,342
Raw,22,136,342
Raw,21,137,342
Raw,13,137,342
Raw,23,138,342
Raw,10,138,342
Raw,21,139,342
Raw,14,142,342
Raw,20,143,342
Raw,23,144,342
Raw,13,145,342
Raw,20,146,342
Raw,23,148,342
Raw,16,148,342
Raw,52,150,342
Raw,21,154,342
Raw,8,154,342
Raw,20,156,342
Raw,25,158,342
Raw,12,159,342
Raw,19,160,342
Raw,24,161,342
Raw,15,161,342
Raw,8,162,342
Raw,14,162,342
Raw,15,164,342
Raw,27,167,342
Raw,46,168,342
Raw,22,170,342
Raw,24,171,342
Raw,22,172,342
Raw,24,174,342
Raw,26,176,342
Raw,19,177,342
Raw,21,179,342
Raw,14,180,342
Raw,17,181,342
Raw,22,182,342
Raw,26,183,342
Raw,25,184,342
Raw,16,186,342
Raw,10,187,342
Raw,26,188,342
Raw,35,190,342
Raw,9,190,342
Raw,27,191,342
Raw,23,192,342
Raw,39,193,342
Raw,35,194,342
Raw,11,194,342
Raw,20,195,342
Raw,23,196,342
Raw,5,197,342
Raw,15,200,342
Raw,20,202,342
Raw,19,203,342
Raw,14,204,342
Raw,14,205,342
Raw,19,206,342
Raw,17,207,342
Raw,23,209,342
Raw,21,210,342
Raw,29,211,342
Raw,20,213,342
Raw,15,215,342
Raw,18,216,342
Raw,15,217,342
Raw,7,218,342
Raw,15,218,342
Raw,13,219,342
Raw,22,220,342
Raw,12,221,342
Raw,18,221,342
Raw,33,222,342
Raw,19,223,342
Raw,23,224,342
Raw,26,225,342
Raw,29,226,342
Raw,26,228,342
Raw,20,228,342
Raw,17,229,342
Raw,41,230,342
Raw,15,231,342
Raw,29,232,342
Raw,19,234,342
Raw,30,236,342
Raw,5,237,342
Raw,13,238,342
Raw,10,239,342
Raw,17,239,342
Raw,7,240,342
Raw,16,240,342
Raw,13,243,342
Raw,23,243,342
Raw,26,244,342
Raw,34,245,342
Raw,46,246,342
Raw,7,247,342
Raw,15,247,342
Raw,5,249,342
Raw,20,250,342
Raw,19,251,342
Raw,15,252,342
Raw,16,253,342
Raw,20,254,342
Raw,23,255,342
Raw,17,256,342
Raw,40,258,342
Raw,12,259,342
Raw,19,259,342
Raw,3,259,342
Raw,9,260,342
Raw,17,261,342
Raw,15,262,342
Raw,17,264,342
Raw,20,265,342
Raw,25,266,342
Raw,11,267,342
Raw,21,268,342
Raw,17,269,342
Raw,31,271,342
Raw,13,272,342
Raw,22,273,342
Raw,14,274,342
Raw,12,274,342
Raw,39,275,342
Raw,17,276,342
Raw,10,276,342
Raw,17,276,342
Raw,25,278,342
Raw,18,279,342
Raw,4,280,342
Raw,28,281,342
Raw,19,282,342
Raw,7,282,342
