Type,Energy,Counts
MPFIT,4,20.725498
MPFIT,4.024016,20.979297
MPFIT,4.048032,21.235758
MPFIT,4.072048,21.494903
MPFIT,4.096064,21.756754
MPFIT,4.1200801,22.021333
MPFIT,4.1440961,22.288661
MPFIT,4.1681121,22.558761
MPFIT,4.1921281,22.831655
MPFIT,4.2161441,23.107365
MPFIT,4.2401601,23.385914
MPFIT,4.2641761,23.667323
MPFIT,4.2881921,23.951617
MPFIT,4.3122081,24.238816
MPFIT,4.3362241,24.528945
MPFIT,4.3602402,24.822025
MPFIT,4.3842562,25.11808
MPFIT,4.4082722,25.417132
MPFIT,4.4322882,25.719205
MPFIT,4.4563042,26.024322
MPFIT,4.4803202,26.332506
MPFIT,4.5043362,26.64378
MPFIT,4.5283522,26.958168
MPFIT,4.5523682,27.275694
MPFIT,4.5763843,27.59638
MPFIT,4.6004003,27.92025
MPFIT,4.6244163,28.247328
MPFIT,4.6484323,28.577638
MPFIT,4.6724483,28.911204
MPFIT,4.6964643,29.24805
MPFIT,4.7204803,29.588199
MPFIT,4.7444963,29.931675
MPFIT,4.7685123,30.278504
MPFIT,4.7925284,30.628708
MPFIT,4.8165444,30.982313
MPFIT,4.8405604,31.339342
MPFIT,4.8645764,31.69982
MPFIT,4.8885924,32.063771
MPFIT,4.9126084,32.431221
MPFIT,4.9366244,32.802193
MPFIT,4.9606404,33.176712
MPFIT,4.9846564,33.554802
MPFIT,5.0086724,33.93649
MPFIT,5.0326885,34.321798
MPFIT,5.0567045,34.710753
MPFIT,5.0807205,35.103379
MPFIT,5.1047365,35.499701
MPFIT,5.1287525,35.899744
MPFIT,5.1527685,36.303533
MPFIT,5.1767845,36.711093
MPFIT,5.2008005,37.12245
MPFIT,5.2248165,37.537628
MPFIT,5.2488326,37.956653
MPFIT,5.2728486,38.379549
MPFIT,5.2968646,38.806343
MPFIT,5.3208806,39.23706
MPFIT,5.3448966,39.671724
MPFIT,5.3689126,40.110362
MPFIT,5.3929286,40.552998
MPFIT,5.4169446,40.999659
MPFIT,5.4409606,41.450369
