Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,49428.281,1,342,charge,C-EPIC-0.6kV,0.31477584
Cut,58108.016,2,342,charge,C-EPIC-0.6kV,0.37005129
Cut,54043.717,3,342,charge,C-EPIC-0.6kV,0.34416847
Cut,51310.698,4,342,charge,C-EPIC-0.6kV,0.3267637
Cut,48731.574,6,342,charge,C-EPIC-0.6kV,0.31033897
Cut,70907.863,7,342,charge,C-EPIC-0.6kV,0.451565
Cut,34976.08,9,342,charge,C-EPIC-0.6kV,0.22273938
Cut,29194.911,18,342,charge,C-EPIC-0.6kV,0.18592297
Cut,25865.873,19,342,charge,C-EPIC-0.6kV,0.16472253
Cut,44626.052,21,342,charge,C-EPIC-0.6kV,0.28419363
Cut,83127.984,23,342,charge,C-EPIC-0.6kV,0.52938682
Cut,41635.931,24,342,charge,C-EPIC-0.6kV,0.26515154
Cut,33834.555,32,342,charge,C-EPIC-0.6kV,0.21546977
Cut,32603.285,35,342,charge,C-EPIC-0.6kV,0.20762863
Cut,33430.408,36,342,charge,C-EPIC-0.6kV,0.21289603
Cut,57412.467,39,342,charge,C-EPIC-0.6kV,0.3656218
Cut,32141.93,40,342,charge,C-EPIC-0.6kV,0.20469056
Cut,27036.531,42,342,charge,C-EPIC-0.6kV,0.17217768
Cut,35667.634,43,342,charge,C-EPIC-0.6kV,0.22714343
Cut,58803.618,45,342,charge,C-EPIC-0.6kV,0.37448111
Cut,83708.917,46,342,charge,C-EPIC-0.6kV,0.5330864
Cut,57026,47,342,charge,C-EPIC-0.6kV,0.36316065
Cut,36988.168,48,342,charge,C-EPIC-0.6kV,0.23555303
Cut,43590.562,50,342,charge,C-EPIC-0.6kV,0.27759928
Cut,42550.227,51,342,charge,C-EPIC-0.6kV,0.27097409
Cut,52665.236,52,342,charge,C-EPIC-0.6kV,0.33538984
Cut,38130.987,53,342,charge,C-EPIC-0.6kV,0.24283088
Cut,12448.566,54,342,charge,C-EPIC-0.6kV,0.079276636
