Cut?,Counts,eventNumber,runNumber
Raw,66922.884,0,342
Raw,49428.281,1,342
Raw,58108.016,2,342
Raw,54043.717,3,342
Raw,51310.698,4,342
Raw,78976.692,5,342
Raw,18924.444,5,342
Raw,48731.574,6,342
Raw,70907.863,7,342
Raw,54347.9,8,342
Raw,34976.08,9,342
Raw,71127.439,11,342
Raw,15782.645,11,342
Raw,1.05515254e+05,12,342
Raw,23219.39,12,342
Raw,31340.82,13,342
Raw,90865.83,14,342
Raw,43146.632,16,342
Raw,46784.046,17,342
Raw,35460.468,18,342
Raw,29194.911,18,342
Raw,25865.873,19,342
Raw,22011.231,20,342
Raw,44626.052,21,342
Raw,82571.426,22,342
Raw,83127.984,23,342
Raw,41635.931,24,342
Raw,46354.851,27,342
Raw,49422.689,30,342
Raw,6724.049,30,342
Raw,88122.913,31,342
Raw,33834.555,32,342
Raw,1.11693197e+05,33,342
Raw,6886.6398,34,342
Raw,1.30056361e+05,34,342
Raw,32603.285,35,342
Raw,33430.408,36,342
Raw,41246.206,37,342
Raw,57412.467,39,342
Raw,30719.371,40,342
Raw,32141.93,40,342
Raw,27036.531,42,342
Raw,35667.634,43,342
Raw,41863.903,44,342
Raw,58803.618,45,342
Raw,83708.917,46,342
Raw,57026,47,342
Raw,36988.168,48,342
Raw,43590.562,50,342
Raw,42550.227,51,342
Raw,52665.236,52,342
Raw,8773.1259,52,342
Raw,38130.987,53,342
Raw,12448.566,54,342
Raw,23064.817,54,342
Raw,39999.857,55,342
Raw,44325.214,56,342
Raw,49651.948,57,342
Raw,24192.452,57,342
Raw,43801.85,58,342
Raw,39658.788,60,342
Raw,40124.841,62,342
Raw,45957.593,63,342
Raw,38698.829,64,342
Raw,1.18944343e+05,66,342
Raw,39830.722,67,342
Raw,38024.979,70,342
Raw,46806.13,71,342
Raw,27733.312,74,342
Raw,55687.124,75,342
Raw,23718.391,75,342
Raw,51311.594,76,342
Raw,19718.467,77,342
Raw,26999.557,78,342
Raw,91240.33,78,342
Raw,35103.646,79,342
Raw,12112.526,79,342
Raw,36648.573,80,342
Raw,77112.545,81,342
Raw,30294.411,82,342
Raw,43551.586,83,342
Raw,35816.144,84,342
Raw,32632.531,85,342
Raw,25421.133,85,342
Raw,25144.147,86,342
Raw,41849.548,87,342
Raw,9834.5484,88,342
Raw,50295.651,89,342
Raw,77124.726,91,342
Raw,29309.045,93,342
Raw,33994.092,93,342
Raw,39204.758,94,342
Raw,62168.859,95,342
Raw,37284.301,96,342
Raw,36031.962,98,342
Raw,67673.382,99,342
Raw,29371.832,101,342
Raw,45534.804,101,342
Raw,72280.318,102,342
Raw,65629.483,103,342
Raw,36874.946,104,342
Raw,38537.79,105,342
Raw,45072.672,107,342
Raw,38632.106,108,342
Raw,40112.29,110,342
Raw,41464.987,114,342
Raw,98323.781,114,342
Raw,53652.227,115,342
Raw,40716.876,116,342
Raw,23411.986,116,342
Raw,89881.427,117,342
Raw,44939.396,118,342
