Type,Energy,Counts
MPFIT,5000,47.955619
MPFIT,5060.04,48.516368
MPFIT,5120.0801,49.082681
MPFIT,5180.1201,49.6546
MPFIT,5240.1601,50.232168
MPFIT,5300.2001,50.815426
MPFIT,5360.2402,51.404417
MPFIT,5420.2802,51.999184
MPFIT,5480.3202,52.599768
MPFIT,5540.3602,53.206213
MPFIT,5600.4003,53.818561
MPFIT,5660.4403,54.436857
MPFIT,5720.4803,55.061142
MPFIT,5780.5203,55.69146
MPFIT,5840.5604,56.327855
MPFIT,5900.6004,56.97037
MPFIT,5960.6404,57.619048
MPFIT,6020.6805,58.273935
MPFIT,6080.7205,58.935073
MPFIT,6140.7605,59.602506
MPFIT,6200.8005,60.276279
MPFIT,6260.8406,60.956436
MPFIT,6320.8806,61.643021
MPFIT,6380.9206,62.336079
MPFIT,6440.9606,63.035655
MPFIT,6501.0007,63.741792
MPFIT,6561.0407,64.454537
MPFIT,6621.0807,65.173933
MPFIT,6681.1207,65.900026
MPFIT,6741.1608,66.632861
MPFIT,6801.2008,67.372483
MPFIT,6861.2408,68.118937
MPFIT,6921.2809,68.872268
MPFIT,6981.3209,69.632523
MPFIT,7041.3609,70.399746
MPFIT,7101.4009,71.173984
MPFIT,7161.441,71.955281
MPFIT,7221.481,72.743684
MPFIT,7281.521,73.539237
MPFIT,7341.561,74.341988
MPFIT,7401.6011,75.151983
MPFIT,7461.6411,75.969266
MPFIT,7521.6811,76.793884
MPFIT,7581.7211,77.625883
MPFIT,7641.7612,78.46531
MPFIT,7701.8012,79.31221
MPFIT,7761.8412,80.16663
MPFIT,7821.8813,81.028616
MPFIT,7881.9213,81.898215
MPFIT,7941.9613,82.775471
MPFIT,8002.0013,83.660433
MPFIT,8062.0414,84.553147
MPFIT,8122.0814,85.453658
MPFIT,8182.1214,86.362013
MPFIT,8242.1614,87.278259
MPFIT,8302.2015,88.202442
MPFIT,8362.2415,89.134609
MPFIT,8422.2815,90.074806
MPFIT,8482.3215,91.02308
MPFIT,8542.3616,91.979476
MPFIT,8602.4016,92.944043
MPFIT,8662.4416,93.916825
MPFIT,8722.4817,94.89787
MPFIT,8782.5217,95.887223
MPFIT,8842.5617,96.884932
MPFIT,8902.6017,97.891042
MPFIT,8962.6418,98.905601
MPFIT,9022.6818,99.928653
MPFIT,9082.7218,100.96025
MPFIT,9142.7618,102.00043
MPFIT,9202.8019,103.04924
MPFIT,9262.8419,104.10673
MPFIT,9322.8819,105.17295
MPFIT,9382.9219,106.24794
MPFIT,9442.962,107.33174
MPFIT,9503.002,108.42441
MPFIT,9563.042,109.52599
MPFIT,9623.0821,110.63652
MPFIT,9683.1221,111.75606
MPFIT,9743.1621,112.88464
MPFIT,9803.2021,114.02231
MPFIT,9863.2422,115.16911
MPFIT,9923.2822,116.3251
MPFIT,9983.3222,117.49032
MPFIT,10043.362,118.66481
MPFIT,10103.402,119.84861
MPFIT,10163.442,121.04178
MPFIT,10223.482,122.24435
MPFIT,10283.522,123.45638
MPFIT,10343.562,124.6779
MPFIT,10403.602,125.90896
MPFIT,10463.642,127.14961
MPFIT,10523.682,128.39988
MPFIT,10583.722,129.65983
MPFIT,10643.763,130.92949
MPFIT,10703.803,132.20891
MPFIT,10763.843,133.49814
MPFIT,10823.883,134.79721
MPFIT,10883.923,136.10617
MPFIT,10943.963,137.42506
MPFIT,11004.003,138.75392
MPFIT,11064.043,140.09281
MPFIT,11124.083,141.44175
MPFIT,11184.123,142.80079
MPFIT,11244.163,144.16998
MPFIT,11304.203,145.54935
MPFIT,11364.243,146.93895
MPFIT,11424.283,148.33881
MPFIT,11484.323,149.74898
MPFIT,11544.363,151.16951
MPFIT,11604.403,152.60042
MPFIT,11664.443,154.04176
MPFIT,11724.483,155.49357
MPFIT,11784.523,156.95589
MPFIT,11844.563,158.42875
MPFIT,11904.603,159.91221
MPFIT,11964.643,161.40629
MPFIT,12024.683,162.91104
MPFIT,12084.723,164.42649
MPFIT,12144.763,165.95268
MPFIT,12204.803,167.48965
MPFIT,12264.843,169.03744
MPFIT,12324.883,170.59609
MPFIT,12384.923,172.16562
MPFIT,12444.963,173.74608
MPFIT,12505.003,175.3375
MPFIT,12565.043,176.93992
MPFIT,12625.083,178.55338
MPFIT,12685.123,180.1779
MPFIT,12745.163,181.81353
MPFIT,12805.203,183.46029
MPFIT,12865.243,185.11823
MPFIT,12925.284,186.78738
MPFIT,12985.324,188.46776
MPFIT,13045.364,190.15942
MPFIT,13105.404,191.86238
MPFIT,13165.444,193.57668
MPFIT,13225.484,195.30234
MPFIT,13285.524,197.03941
MPFIT,13345.564,198.7879
MPFIT,13405.604,200.54786
MPFIT,13465.644,202.31931
MPFIT,13525.684,204.10227
MPFIT,13585.724,205.89679
MPFIT,13645.764,207.70289
MPFIT,13705.804,209.52059
MPFIT,13765.844,211.34992
MPFIT,13825.884,213.19092
MPFIT,13885.924,215.0436
MPFIT,13945.964,216.908
MPFIT,14006.004,218.78414
MPFIT,14066.044,220.67204
MPFIT,14126.084,222.57174
MPFIT,14186.124,224.48325
MPFIT,14246.164,226.4066
MPFIT,14306.204,228.34181
MPFIT,14366.244,230.2889
MPFIT,14426.284,232.24791
MPFIT,14486.324,234.21884
MPFIT,14546.364,236.20172
MPFIT,14606.404,238.19657
MPFIT,14666.444,240.20342
MPFIT,14726.484,242.22227
MPFIT,14786.524,244.25315
MPFIT,14846.564,246.29608
MPFIT,14906.604,248.35108
MPFIT,14966.644,250.41816
MPFIT,15026.684,252.49734
MPFIT,15086.724,254.58863
MPFIT,15146.765,256.69206
MPFIT,15206.805,258.80763
MPFIT,15266.845,260.93536
MPFIT,15326.885,263.07526
MPFIT,15386.925,265.22735
MPFIT,15446.965,267.39164
MPFIT,15507.005,269.56814
MPFIT,15567.045,271.75686
MPFIT,15627.085,273.95782
MPFIT,15687.125,276.17101
MPFIT,15747.165,278.39646
MPFIT,15807.205,280.63417
MPFIT,15867.245,282.88414
MPFIT,15927.285,285.14638
MPFIT,15987.325,287.42091
MPFIT,16047.365,289.70772
MPFIT,16107.405,292.00682
MPFIT,16167.445,294.31822
MPFIT,16227.485,296.64192
MPFIT,16287.525,298.97791
MPFIT,16347.565,301.32621
MPFIT,16407.605,303.68682
MPFIT,16467.645,306.05973
MPFIT,16527.685,308.44494
MPFIT,16587.725,310.84246
MPFIT,16647.765,313.25228
MPFIT,16707.805,315.67441
MPFIT,16767.845,318.10882
MPFIT,16827.885,320.55554
MPFIT,16887.925,323.01453
MPFIT,16947.965,325.48582
MPFIT,17008.005,327.96938
MPFIT,17068.045,330.4652
MPFIT,17128.085,332.97329
MPFIT,17188.125,335.49363
MPFIT,17248.165,338.02622
MPFIT,17308.205,340.57103
MPFIT,17368.245,343.12807
MPFIT,17428.286,345.69732
MPFIT,17488.326,348.27877
MPFIT,17548.366,350.87239
MPFIT,17608.406,353.47819
MPFIT,17668.446,356.09614
MPFIT,17728.486,358.72623
MPFIT,17788.526,361.36843
MPFIT,17848.566,364.02274
MPFIT,17908.606,366.68913
MPFIT,17968.646,369.36759
MPFIT,18028.686,372.05809
MPFIT,18088.726,374.7606
MPFIT,18148.766,377.47512
MPFIT,18208.806,380.20162
MPFIT,18268.846,382.94007
MPFIT,18328.886,385.69044
MPFIT,18388.926,388.45271
MPFIT,18448.966,391.22686
MPFIT,18509.006,394.01286
MPFIT,18569.046,396.81067
MPFIT,18629.086,399.62027
MPFIT,18689.126,402.44163
MPFIT,18749.166,405.27472
MPFIT,18809.206,408.1195
MPFIT,18869.246,410.97594
MPFIT,18929.286,413.844
MPFIT,18989.326,416.72366
MPFIT,19049.366,419.61488
MPFIT,19109.406,422.51761
MPFIT,19169.446,425.43182
MPFIT,19229.486,428.35747
MPFIT,19289.526,431.29452
MPFIT,19349.566,434.24294
MPFIT,19409.606,437.20267
MPFIT,19469.646,440.17368
MPFIT,19529.686,443.15592
MPFIT,19589.726,446.14934
MPFIT,19649.767,449.15391
MPFIT,19709.807,452.16957
MPFIT,19769.847,455.19627
MPFIT,19829.887,458.23398
MPFIT,19889.927,461.28263
MPFIT,19949.967,464.34218
MPFIT,20010.007,467.41257
MPFIT,20070.047,470.49376
MPFIT,20130.087,473.58569
MPFIT,20190.127,476.6883
MPFIT,20250.167,479.80153
MPFIT,20310.207,482.92534
MPFIT,20370.247,486.05966
MPFIT,20430.287,489.20444
MPFIT,20490.327,492.35961
MPFIT,20550.367,495.52512
MPFIT,20610.407,498.7009
MPFIT,20670.447,501.88689
MPFIT,20730.487,505.08302
MPFIT,20790.527,508.28923
MPFIT,20850.567,511.50546
MPFIT,20910.607,514.73164
MPFIT,20970.647,517.96769
MPFIT,21030.687,521.21356
MPFIT,21090.727,524.46916
MPFIT,21150.767,527.73444
MPFIT,21210.807,531.00931
MPFIT,21270.847,534.29371
MPFIT,21330.887,537.58755
MPFIT,21390.927,540.89077
MPFIT,21450.967,544.20329
MPFIT,21511.007,547.52504
MPFIT,21571.047,550.85592
MPFIT,21631.087,554.19587
MPFIT,21691.127,557.5448
MPFIT,21751.167,560.90263
MPFIT,21811.207,564.26928
MPFIT,21871.247,567.64467
MPFIT,21931.288,571.02871
MPFIT,21991.328,574.42132
MPFIT,22051.368,577.8224
MPFIT,22111.408,581.23188
MPFIT,22171.448,584.64966
MPFIT,22231.488,588.07565
MPFIT,22291.528,591.50977
MPFIT,22351.568,594.95192
MPFIT,22411.608,598.402
MPFIT,22471.648,601.85994
MPFIT,22531.688,605.32562
MPFIT,22591.728,608.79896
MPFIT,22651.768,612.27985
MPFIT,22711.808,615.76821
MPFIT,22771.848,619.26393
MPFIT,22831.888,622.76691
MPFIT,22891.928,626.27705
MPFIT,22951.968,629.79424
MPFIT,23012.008,633.3184
MPFIT,23072.048,636.84941
MPFIT,23132.088,640.38717
MPFIT,23192.128,643.93156
MPFIT,23252.168,647.4825
MPFIT,23312.208,651.03986
MPFIT,23372.248,654.60354
MPFIT,23432.288,658.17343
MPFIT,23492.328,661.74942
MPFIT,23552.368,665.3314
MPFIT,23612.408,668.91925
MPFIT,23672.448,672.51287
MPFIT,23732.488,676.11213
MPFIT,23792.528,679.71692
MPFIT,23852.568,683.32712
MPFIT,23912.608,686.94263
MPFIT,23972.648,690.56331
MPFIT,24032.688,694.18906
MPFIT,24092.728,697.81974
MPFIT,24152.769,701.45524
MPFIT,24212.809,705.09544
MPFIT,24272.849,708.74022
MPFIT,24332.889,712.38944
MPFIT,24392.929,716.04299
MPFIT,24452.969,719.70074
MPFIT,24513.009,723.36257
MPFIT,24573.049,727.02834
MPFIT,24633.089,730.69793
MPFIT,24693.129,734.3712
MPFIT,24753.169,738.04804
MPFIT,24813.209,741.72831
MPFIT,24873.249,745.41187
MPFIT,24933.289,749.09859
MPFIT,24993.329,752.78835
MPFIT,25053.369,756.481
MPFIT,25113.409,760.17641
MPFIT,25173.449,763.87445
MPFIT,25233.489,767.57498
MPFIT,25293.529,771.27785
MPFIT,25353.569,774.98294
MPFIT,25413.609,778.69011
MPFIT,25473.649,782.39921
MPFIT,25533.689,786.1101
MPFIT,25593.729,789.82264
MPFIT,25653.769,793.53669
MPFIT,25713.809,797.25211
MPFIT,25773.849,800.96875
MPFIT,25833.889,804.68647
MPFIT,25893.929,808.40512
MPFIT,25953.969,812.12456
MPFIT,26014.009,815.84464
MPFIT,26074.049,819.56521
MPFIT,26134.089,823.28613
MPFIT,26194.129,827.00724
MPFIT,26254.169,830.72841
MPFIT,26314.209,834.44947
MPFIT,26374.249,838.17027
MPFIT,26434.29,841.89067
MPFIT,26494.33,845.61052
MPFIT,26554.37,849.32965
MPFIT,26614.41,853.04792
MPFIT,26674.45,856.76518
MPFIT,26734.49,860.48126
MPFIT,26794.53,864.19602
MPFIT,26854.57,867.9093
MPFIT,26914.61,871.62094
MPFIT,26974.65,875.33078
MPFIT,27034.69,879.03867
MPFIT,27094.73,882.74445
MPFIT,27154.77,886.44797
MPFIT,27214.81,890.14906
MPFIT,27274.85,893.84756
MPFIT,27334.89,897.54331
MPFIT,27394.93,901.23616
MPFIT,27454.97,904.92594
MPFIT,27515.01,908.61249
MPFIT,27575.05,912.29565
MPFIT,27635.09,915.97526
MPFIT,27695.13,919.65115
MPFIT,27755.17,923.32317
MPFIT,27815.21,926.99114
MPFIT,27875.25,930.65491
MPFIT,27935.29,934.3143
MPFIT,27995.33,937.96917
MPFIT,28055.37,941.61933
MPFIT,28115.41,945.26463
MPFIT,28175.45,948.90489
MPFIT,28235.49,952.53996
MPFIT,28295.53,956.16967
MPFIT,28355.57,959.79385
MPFIT,28415.61,963.41233
MPFIT,28475.65,967.02495
MPFIT,28535.69,970.63154
MPFIT,28595.73,974.23193
MPFIT,28655.771,977.82595
MPFIT,28715.811,981.41344
MPFIT,28775.851,984.99423
MPFIT,28835.891,988.56815
MPFIT,28895.931,992.13503
MPFIT,28955.971,995.69469
MPFIT,29016.011,999.24698
MPFIT,29076.051,1002.7917
MPFIT,29136.091,1006.3288
MPFIT,29196.131,1009.8579
MPFIT,29256.171,1013.379
MPFIT,29316.211,1016.8919
MPFIT,29376.251,1020.3963
MPFIT,29436.291,1023.8922
MPFIT,29496.331,1027.3794
MPFIT,29556.371,1030.8577
MPFIT,29616.411,1034.3269
MPFIT,29676.451,1037.7868
MPFIT,29736.491,1041.2374
MPFIT,29796.531,1044.6783
MPFIT,29856.571,1048.1095
MPFIT,29916.611,1051.5308
MPFIT,29976.651,1054.942
MPFIT,30036.691,1058.3429
MPFIT,30096.731,1061.7335
MPFIT,30156.771,1065.1134
MPFIT,30216.811,1068.4825
MPFIT,30276.851,1071.8407
MPFIT,30336.891,1075.1878
MPFIT,30396.931,1078.5236
MPFIT,30456.971,1081.848
MPFIT,30517.011,1085.1607
MPFIT,30577.051,1088.4617
MPFIT,30637.091,1091.7507
MPFIT,30697.131,1095.0276
MPFIT,30757.171,1098.2923
MPFIT,30817.211,1101.5444
MPFIT,30877.252,1104.784
MPFIT,30937.292,1108.0108
MPFIT,30997.332,1111.2246
MPFIT,31057.372,1114.4253
MPFIT,31117.412,1117.6127
MPFIT,31177.452,1120.7867
MPFIT,31237.492,1123.947
MPFIT,31297.532,1127.0936
MPFIT,31357.572,1130.2263
MPFIT,31417.612,1133.3448
MPFIT,31477.652,1136.4491
MPFIT,31537.692,1139.5389
MPFIT,31597.732,1142.6141
MPFIT,31657.772,1145.6746
MPFIT,31717.812,1148.7202
MPFIT,31777.852,1151.7507
MPFIT,31837.892,1154.7659
MPFIT,31897.932,1157.7657
MPFIT,31957.972,1160.75
MPFIT,32018.012,1163.7186
MPFIT,32078.052,1166.6713
MPFIT,32138.092,1169.6079
MPFIT,32198.132,1172.5284
MPFIT,32258.172,1175.4325
MPFIT,32318.212,1178.3201
MPFIT,32378.252,1181.1911
MPFIT,32438.292,1184.0452
MPFIT,32498.332,1186.8824
