eccentricity,run
1.5664702,342
1.4437064,342
1.0956743,342
1.1929449,342
1.5371429,342
1.2341609,342
1.071035,342
1.3502127,342
1.8230872,342
1.9486636,342
1.5193212,342
1.3740512,342
1.7969361,342
1.4395998,342
1.696268,342
1.3294084,342
1.6563326,342
1.6728249,342
1.5494908,342
1.5399436,342
1.3072093,342
1.227013,342
1.3696388,342
1.4480705,342
1.0878131,342
1.6439202,342
1.4464868,342
4.0764133,342
2.1222765,342
1.3535879,342
1.1651053,342
1.1151791,342
1.2103031,342
1.9412794,342
1.1159295,342
1.2041672,342
1.1359565,342
1.1267392,342
1.3603879,342
1.5261886,342
1.4164498,342
1.4175083,342
1.1994455,342
1.6174741,342
1.1371862,342
1.1552454,342
1.2865777,342
1.4375627,342
1.522285,342
1.2049957,342
1.9464713,342
1.5100595,342
1.3693025,342
1.4328376,342
1.9073698,342
1.3075006,342
1.4044472,342
1.7020518,342
1.2704307,342
2.1640887,342
1.3759283,342
1.3583429,342
1.1664927,342
1.8005809,342
1.1605355,342
1.1259006,342
1.4225511,342
1.6104691,342
1.2682031,342
1.0723357,342
1.3922143,342
1.4068398,342
1.3829382,342
1.5539562,342
1.7251278,342
2.0738587,342
1.2723266,342
1.5460194,342
1.2318807,342
1.0238062,342
1.5589632,342
1.0947019,342
1.5348598,342
1.3026452,342
1.2646279,342
1.1851805,342
3.4559414,342
1.3542344,342
1.8867568,342
1.0879789,342
1.7352691,342
1.129989,342
1.5684276,342
1.0763256,342
1.3944355,342
1.3052427,342
1.8841528,342
1.5399756,342
1.2745848,342
1.2106906,342
1.5314912,342
1.58419,342
1.103975,342
1.1864669,342
1.160053,342
1.253738,342
1.9863712,342
1.0649364,342
1.7071362,342
1.2512165,342
1.6174126,342
1.806062,342
1.3347219,342
1.3964073,342
1.3281677,342
2.4932902,342
1.7537948,342
1.4718631,342
1.7909237,342
1.2629934,342
1.2967119,342
1.8194498,342
1.3260762,342
1.1961623,342
1.1994077,342
1.4461165,342
1.1469417,342
1.1812015,342
1.0903223,342
1.5396393,342
1.1422285,342
1.3639901,342
1.2915596,342
1.4561466,342
1.5168372,342
1.2138475,342
1.4230594,342
1.7588993,342
1.3646847,342
1.4588809,342
1.4216829,342
1.262501,342
1.5519174,342
1.7882885,342
2.1439923,342
1.2914966,342
2.3297898,342
1.632974,342
1.3455679,342
1.7734304,342
1.3619891,342
1.6573419,342
1.7602491,342
