fractionInTransverseRms,run
0.095238095,342
0.27272727,342
0.33333333,342
0.25,342
0.11111111,342
0.23529412,342
0.4,342
0.13333333,342
0.27272727,342
0.25,342
0.25806452,342
0.17647059,342
0,342
0.23529412,342
0.071428571,342
0.13333333,342
0.1875,342
0,342
0.17647059,342
0.22727273,342
0.43333333,342
0.40909091,342
0.23529412,342
0.22222222,342
0.38888889,342
0.18181818,342
0.11111111,342
0.4,342
0.125,342
0.35294118,342
0.27777778,342
0.33333333,342
0.21428571,342
0.11111111,342
0.3125,342
0.42857143,342
0.28571429,342
0.42105263,342
0.33333333,342
0.3,342
0.23076923,342
0.47058824,342
0.2,342
0.066666667,342
0.28571429,342
0.27272727,342
0.3,342
0.33333333,342
0.31818182,342
0.38888889,342
0.1,342
0.14285714,342
0.29411765,342
0.33333333,342
0,342
0.2,342
0.21052632,342
0.375,342
0.42857143,342
0.22727273,342
0.41666667,342
0.31818182,342
0.28571429,342
0.058823529,342
0.44,342
0.3125,342
0.3,342
0.2173913,342
0.15,342
0.30434783,342
0.2,342
0.25,342
0.35,342
0.13333333,342
0.055555556,342
0.16666667,342
0.29411765,342
0.14285714,342
0.39130435,342
0.33333333,342
0.3,342
0.33333333,342
0.15,342
0.2173913,342
0.23529412,342
0.52631579,342
0,342
0.058823529,342
0.11764706,342
0.3,342
0.16,342
0.14285714,342
0.5,342
0.33333333,342
0.14285714,342
0.15789474,342
0.25,342
0.44444444,342
0.33333333,342
0.26315789,342
0.26315789,342
0.20833333,342
0.26666667,342
0.10526316,342
0.095238095,342
0.27272727,342
0.24,342
0.19047619,342
0.13333333,342
0.29166667,342
0.23809524,342
0.10526316,342
0.22222222,342
0.31818182,342
0.57894737,342
0,342
0.1875,342
0.23529412,342
0.25,342
0.33333333,342
0.28,342
0.11764706,342
0.125,342
0.3,342
0.2,342
0.22222222,342
0.36363636,342
0.21052632,342
0.375,342
0.44444444,342
0.31818182,342
0.29411765,342
0.2173913,342
0.26315789,342
0.3,342
0.35714286,342
0.17857143,342
0.31578947,342
0.17241379,342
0.4,342
0.31818182,342
0.30769231,342
0.21052632,342
0.375,342
0.30769231,342
0.33333333,342
0.38461538,342
0.15,342
0.32258065,342
0.23529412,342
0.33333333,342
0.33333333,342
0,342
0.1,342
0.28571429,342
0.11111111,342
0.30232558,342
0.6,342
0.21875,342
0.25925926,342
0.34782609,342
0.52631579,342
0.31578947,342
0.25,342
0.11111111,342
0.23809524,342
0.28571429,342
0.5,342
0.29411765,342
0.1,342
0.38095238,342
0.35714286,342
0.4,342
0.2,342
0.4375,342
0.27777778,342
0.22222222,342
0.20833333,342
