hits,run
21,342
22,342
21,342
20,342
18,342
34,342
15,342
15,342
11,342
16,342
31,342
17,342
17,342
17,342
14,342
15,342
16,342
11,342
17,342
22,342
30,342
22,342
17,342
18,342
18,342
22,342
18,342
5,342
16,342
17,342
18,342
15,342
14,342
9,342
16,342
28,342
14,342
19,342
12,342
20,342
13,342
17,342
20,342
15,342
14,342
22,342
20,342
21,342
22,342
18,342
20,342
14,342
17,342
21,342
10,342
20,342
19,342
8,342
14,342
22,342
24,342
22,342
21,342
17,342
25,342
16,342
10,342
23,342
20,342
23,342
5,342
20,342
20,342
15,342
18,342
18,342
17,342
7,342
23,342
15,342
20,342
15,342
20,342
23,342
17,342
19,342
3,342
17,342
17,342
20,342
25,342
14,342
12,342
18,342
28,342
19,342
12,342
18,342
12,342
19,342
19,342
24,342
15,342
19,342
21,342
22,342
25,342
21,342
15,342
24,342
21,342
19,342
18,342
22,342
19,342
6,342
16,342
17,342
12,342
12,342
25,342
17,342
16,342
20,342
20,342
9,342
22,342
19,342
24,342
9,342
22,342
17,342
23,342
19,342
20,342
14,342
28,342
19,342
29,342
15,342
22,342
13,342
19,342
8,342
13,342
30,342
13,342
20,342
31,342
17,342
18,342
18,342
14,342
20,342
14,342
9,342
43,342
10,342
32,342
27,342
23,342
19,342
19,342
16,342
18,342
21,342
14,342
16,342
17,342
10,342
21,342
14,342
5,342
10,342
16,342
18,342
18,342
24,342
14,342
14,342
20,342
20,342
16,342
19,342
11,342
9,342
16,342
18,342
22,342
15,342
16,342
9,342
17,342
14,342
19,342
27,342
17,342
28,342
21,342
19,342
5,342
25,342
21,342
19,342
17,342
20,342
18,342
12,342
25,342
19,342
17,342
20,342
16,342
20,342
18,342
16,342
22,342
21,342
22,342
19,342
26,342
31,342
10,342
14,342
18,342
16,342
17,342
24,342
16,342
14,342
12,342
15,342
20,342
20,342
12,342
16,342
23,342
11,342
15,342
17,342
16,342
13,342
21,342
16,342
15,342
12,342
20,342
14,342
22,342
20,342
17,342
25,342
17,342
19,342
12,342
19,342
13,342
20,342
14,342
19,342
24,342
17,342
24,342
31,342
18,342
14,342
16,342
22,342
8,342
22,342
16,342
16,342
14,342
17,342
20,342
21,342
21,342
11,342
15,342
17,342
25,342
19,342
27,342
18,342
21,342
15,342
37,342
9,342
13,342
19,342
18,342
19,342
16,342
25,342
20,342
17,342
9,342
19,342
18,342
25,342
23,342
24,342
18,342
21,342
28,342
17,342
35,342
25,342
17,342
