kurtosisLongitudinal,run
-1.3652873,342
-0.91295712,342
-0.53208498,342
-1.0205863,342
-1.092423,342
-1.3428553,342
-0.047114826,342
-0.83337676,342
1.9798499,342
-1.6085653,342
-0.6613541,342
0.49577502,342
-1.5941913,342
0.10679682,342
-1.2150783,342
-1.4172675,342
-1.2219885,342
-1.7317827,342
-1.1357087,342
-0.74205675,342
0.75965694,342
1.1986745,342
-1.2792451,342
-0.59898974,342
-0.37082828,342
-0.7928367,342
-0.71572487,342
-0.79088082,342
-0.70356827,342
-0.72354767,342
0.57085685,342
0.83942772,342
-1.002772,342
-0.97343449,342
-0.92855426,342
-0.30800502,342
-0.51257053,342
0.025248089,342
-0.66537269,342
1.9175781,342
-0.74904638,342
0.5328423,342
-1.0649364,342
-1.3976911,342
-0.94518113,342
-0.69998268,342
-0.051269281,342
-0.44516726,342
-1.0087485,342
-0.037799746,342
-0.24787,342
-1.2728941,342
-0.43842192,342
-0.8261501,342
-0.98254613,342
-0.28150675,342
-0.39587133,342
0.74424956,342
-0.64978186,342
-0.91658159,342
0.36068444,342
-0.73099769,342
-0.48750772,342
-1.0584323,342
0.042046063,342
-1.4098916,342
0.83684811,342
2.8575823,342
0.036226473,342
0.69580548,342
-1.418358,342
0.31121437,342
0.63105468,342
-0.57196621,342
-0.95782932,342
1.0905272,342
-0.39282537,342
-0.96189558,342
-0.21809278,342
-0.49748132,342
-1.2007707,342
-1.1247847,342
-0.31133752,342
-1.0636701,342
0.5099249,342
2.0453064,342
-1.5,342
-1.1807262,342
-1.0020656,342
-0.75026658,342
-0.8645429,342
-1.6225666,342
-1.0134345,342
0.0018193434,342
-0.59224058,342
-0.80072857,342
-0.17026965,342
-0.26331715,342
-0.66317843,342
-0.53840064,342
-0.94249661,342
0.81285415,342
-0.83640665,342
-0.66675081,342
-0.90438215,342
-0.34175297,342
-0.88744652,342
-1.152065,342
-1.1896686,342
-0.14646938,342
-0.70749802,342
-0.30050588,342
-0.024076629,342
-0.0029821706,342
-0.70487925,342
-1.5542169,342
-1.2431069,342
-0.66264857,342
-1.178772,342
-1.296415,342
-0.86300105,342
-0.99269239,342
-0.29346172,342
-0.41794083,342
-0.8312183,342
-1.0240778,342
-1.1439878,342
0.71186342,342
-0.086669604,342
0.67314741,342
-0.47148192,342
-1.0573581,342
-0.51513396,342
-0.70410178,342
0.68096428,342
-0.62066246,342
-0.63555338,342
0.37109953,342
-1.0717155,342
-0.65036213,342
-0.53249629,342
-0.71615827,342
-1.3203865,342
0.097889826,342
0.0031004774,342
0.93153194,342
-0.61674984,342
-0.51883842,342
-0.30994622,342
-1.071817,342
