lengthDivRmsTrans,run
4.9303474,342
4.899727,342
4.0249571,342
4.166415,342
5.1605122,342
4.0716254,342
4.0330339,342
4.6827852,342
6.9759084,342
5.2444341,342
5.9198749,342
5.1620355,342
5.4119833,342
5.5852509,342
5.1343576,342
3.847398,342
4.9740358,342
4.1932792,342
5.0528903,342
6.0748115,342
5.088927,342
5.938562,342
3.9813496,342
5.4699909,342
4.4188834,342
5.8272956,342
5.070956,342
11.890859,342
7.8358484,342
4.7971435,342
4.7972437,342
4.7599005,342
4.0200922,342
5.8918038,342
3.8831909,342
5.1172518,342
4.1554775,342
4.5207997,342
4.8131207,342
6.5386423,342
4.8227128,342
5.9413489,342
4.0970367,342
4.9390802,342
3.7047497,342
4.4531018,342
5.0022897,342
5.3410836,342
5.5375142,342
4.2868012,342
7.2116009,342
4.9845235,342
5.2424918,342
5.0406274,342
6.0705769,342
5.1181854,342
5.2849945,342
6.6909385,342
4.1393255,342
8.1178735,342
5.2854356,342
4.279555,342
4.0321153,342
6.1994652,342
5.1451576,342
3.0841269,342
4.833864,342
7.993126,342
5.6124839,342
5.1300448,342
3.821234,342
5.9833309,342
5.6024414,342
5.7603414,342
5.5834642,342
8.2339063,342
4.4210067,342
4.7177795,342
5.2531445,342
3.7832811,342
5.0556747,342
3.551292,342
6.1959627,342
4.2554839,342
5.1579938,342
4.6321489,342
7.4428001,342
4.5051465,342
6.623392,342
3.8098704,342
6.5638234,342
2.9712002,342
4.8412618,342
4.197039,342
4.3791096,342
4.2941062,342
7.0666258,342
5.9438386,342
4.4109241,342
4.4113811,342
5.1441575,342
7.2146425,342
3.7921237,342
4.2763119,342
4.1570246,342
4.4440701,342
7.2301065,342
3.5144757,342
5.8385456,342
4.8296852,342
5.6033271,342
5.9743246,342
5.400819,342
6.2780529,342
4.8072838,342
6.7234144,342
5.3077148,342
5.2954996,342
5.0834399,342
3.5779295,342
4.8760445,342
5.8511136,342
5.2096074,342
4.3420392,342
4.1240439,342
3.9249471,342
3.7012966,342
5.2081116,342
4.8551019,342
5.5598817,342
4.670114,342
4.6298881,342
4.9802406,342
4.906306,342
7.0145116,342
4.4261781,342
5.4134056,342
7.7360811,342
4.4753426,342
5.434342,342
5.3340946,342
4.3658569,342
4.609336,342
6.6472939,342
8.1287369,342
5.9585726,342
8.1893095,342
6.4710931,342
5.3583525,342
5.4126044,342
5.1511464,342
5.6802292,342
5.3370208,342
3.7779699,342
5.8342254,342
4.8600432,342
9.1402109,342
6.9248151,342
6.1414026,342
5.5470131,342
7.4501265,342
4.4836236,342
4.4468687,342
5.7538544,342
5.3507518,342
4.2236003,342
4.2265298,342
5.2397392,342
4.0959257,342
5.9512168,342
4.327393,342
6.1042849,342
6.0865496,342
4.5537915,342
6.6000417,342
5.791013,342
5.6434972,342
6.8412453,342
5.1082167,342
4.4879672,342
5.5471263,342
7.3234249,342
4.5829902,342
5.267751,342
6.1614138,342
8.040023,342
4.2674111,342
3.5569481,342
7.6393175,342
4.5005167,342
4.5539838,342
5.2030958,342
4.4648663,342
5.5685348,342
4.4594746,342
5.6715353,342
3.8161179,342
7.8158763,342
4.5150565,342
4.4322998,342
3.2313146,342
5.1258975,342
5.119507,342
5.990698,342
6.0440078,342
7.1538618,342
4.5795332,342
4.5043828,342
5.3416097,342
5.6925149,342
5.1877808,342
6.7742291,342
6.6034537,342
5.3615712,342
5.8566127,342
4.8984635,342
5.5509102,342
5.6081363,342
6.1786809,342
5.105367,342
5.5212975,342
5.5487917,342
4.1738621,342
6.0434168,342
6.0744873,342
4.477528,342
4.4401996,342
4.3911933,342
5.5979149,342
3.7125115,342
4.1024312,342
6.2494357,342
4.3999072,342
4.1793003,342
3.4647705,342
9.2892195,342
5.1778402,342
6.0554361,342
6.3230113,342
4.6892888,342
4.6868996,342
3.8424196,342
6.3760302,342
3.7465894,342
8.7281755,342
5.7476758,342
5.4894102,342
4.627096,342
4.5665906,342
7.3178796,342
7.0413785,342
9.0374512,342
4.9141125,342
5.1309937,342
4.180574,342
4.3339896,342
5.5952283,342
3.2446027,342
3.8193224,342
7.082469,342
5.2375409,342
5.2405409,342
4.151767,342
4.4171542,342
4.9835196,342
7.8216633,342
4.5074799,342
4.0856479,342
6.1640215,342
4.9186688,342
5.3653496,342
4.4922125,342
5.2665495,342
5.7381373,342
3.8533345,342
5.7399268,342
4.6688293,342
5.1343155,342
5.0297786,342
4.3355852,342
4.9091597,342
5.028449,342
4.8801233,342
4.9994837,342
6.8570923,342
5.9192048,342
4.7174181,342
4.073291,342
5.4507131,342
4.6411358,342
5.6406573,342
4.8162125,342
4.1042636,342
5.4275689,342
5.1331479,342
8.4265152,342
7.1517634,342
5.2985388,342
4.8888933,342
5.3963954,342
5.6451929,342
5.67613,342
6.097632,342
5.1312735,342
4.4153938,342
4.9915367,342
4.1267258,342
5.8808085,342
4.662701,342
5.6530541,342
6.1354743,342
5.6536056,342
6.1028403,342
4.9889066,342
11.090897,342
4.6348113,342
4.0471234,342
4.0803218,342
7.0131909,342
4.7661829,342
3.6328453,342
5.5504807,342
4.2955548,342
6.0450069,342
7.4294284,342
6.5594376,342
7.1146697,342
5.602904,342
3.9447667,342
4.4238801,342
4.7708288,342
4.6076674,342
4.3380823,342
4.597204,342
11.202815,342
4.5977218,342
6.8566972,342
5.6222276,342
5.0314496,342
5.6570594,342
5.3178097,342
4.8642606,342
6.704287,342
3.6537831,342
4.2988303,342
6.3167635,342
4.7179938,342
4.7587693,342
3.3689868,342
6.8630686,342
5.5727827,342
6.1790468,342
6.6986524,342
8.5824504,342
6.6481012,342
5.2456703,342
6.0069251,342
8.6837387,342
4.7150292,342
4.3855593,342
6.6555598,342
5.4110609,342
5.2509027,342
5.0630284,342
6.1766134,342
5.7473841,342
5.4839269,342
6.0538807,342
6.2371716,342
5.7830264,342
5.7800719,342
6.3963767,342
4.4695378,342
4.591938,342
8.2952426,342
5.5020464,342
5.899794,342
5.1647761,342
5.2418444,342
7.3929628,342
8.4225723,342
5.6021064,342
5.6474831,342
5.9681116,342
6.7374787,342
5.2728978,342
5.385309,342
4.8643179,342
6.0187806,342
4.5991674,342
4.1333209,342
6.475045,342
4.8617915,342
4.512552,342
4.2628695,342
3.474778,342
5.3069029,342
3.6258367,342
6.7287538,342
5.541719,342
4.8949241,342
4.0569218,342
4.2507168,342
4.1612987,342
4.6658537,342
5.5162313,342
4.9239063,342
5.837813,342
3.932985,342
5.3759871,342
5.1142809,342
8.3480008,342
8.1574001,342
8.6488271,342
5.7435072,342
7.1762794,342
4.7459883,342
4.7876711,342
6.7416997,342
5.4921242,342
5.3956684,342
4.8732501,342
7.2633548,342
4.9117935,342
4.0467809,342
4.5060311,342
9.6372144,342
8.6481831,342
6.7556031,342
5.0772117,342
5.481233,342
4.2813996,342
5.2723665,342
6.4844545,342
5.9806215,342
3.9613698,342
4.3076736,342
4.9218827,342
4.6573835,342
4.8439695,342
4.913468,342
6.4336643,342
4.6367895,342
5.3836344,342
4.0476699,342
5.0687502,342
5.8145727,342
5.8001546,342
5.1230668,342
7.5647168,342
4.0914794,342
4.728623,342
6.9675268,342
5.1310546,342
6.0169699,342
5.9651878,342
5.5815431,342
6.3088047,342
4.3528624,342
