length,run
3.8414026,342
3.1654877,342
5.215291,342
4.1986346,342
3.186018,342
3.1573792,342
3.97974,342
3.8342086,342
4.2749913,342
4.4559408,342
5.9067699,342
4.5780105,342
4.0021879,342
3.6660439,342
4.101107,342
2.2324473,342
4.1477231,342
3.7564876,342
4.6074883,342
4.3203606,342
4.2014588,342
5.6902775,342
3.6335084,342
3.9517893,342
4.7905506,342
4.1238862,342
5.2225967,342
3.7885704,342
4.0629496,342
4.1057744,342
4.2377999,342
4.8591634,342
3.5877496,342
3.412311,342
3.8303889,342
4.7339379,342
2.9140844,342
4.9792505,342
3.4926021,342
3.9553412,342
3.1536618,342
4.0258796,342
3.6977321,342
2.7337169,342
4.1705658,342
3.4941931,342
3.8156327,342
4.7081882,342
3.7501516,342
2.9667662,342
4.463839,342
2.8447476,342
4.7694415,342
3.8833333,342
4.4119386,342
3.3786674,342
2.9566456,342
3.6080699,342
3.5725751,342
4.3328925,342
4.4721046,342
3.6788361,342
3.1775937,342
3.0914708,342
4.9875519,342
2.411738,342
3.6959327,342
4.5780419,342
3.5703273,342
4.5572908,342
2.8002058,342
3.7484995,342
4.5007986,342
4.4593474,342
4.4883816,342
5.6146202,342
3.2843386,342
2.7418249,342
4.5005431,342
3.0649661,342
3.6383566,342
2.7400428,342
4.4708801,342
3.4617472,342
3.8933868,342
4.5777346,342
1.8978792,342
3.6885669,342
4.0066565,342
3.1661779,342
5.9440113,342
2.4707752,342
2.8100842,342
4.1311218,342
3.8078683,342
3.5668763,342
3.4053832,342
5.2427613,342
3.4451954,342
4.1525295,342
3.5789435,342
4.6457103,342
2.6557733,342
3.9834465,342
3.1364251,342
3.1131876,342
4.2051293,342
3.6070795,342
4.4349101,342
4.4277516,342
5.1127499,342
4.115187,342
5.0024594,342
4.9523024,342
3.9755696,342
3.441966,342
3.7964013,342
3.5423961,342
2.8596627,342
3.3115872,342
4.3188923,342
3.3600081,342
4.097033,342
3.7561923,342
3.3352464,342
3.2756798,342
3.9144581,342
5.0181956,342
3.4023909,342
2.7937811,342
4.462087,342
2.999411,342
4.6174461,342
3.9987652,342
5.382322,342
3.8703276,342
3.3136923,342
3.7543009,342
4.5996225,342
3.7390224,342
4.3564696,342
3.3819816,342
3.4629303,342
3.6806914,342
4.9200128,342
4.1341446,342
3.3423704,342
5.5980621,342
4.2749152,342
3.8112367,342
4.6235913,342
3.7386014,342
4.0285384,342
2.9217836,342
4.0017154,342
3.4088336,342
5.91502,342
3.8447855,342
5.0936035,342
4.2838527,342
4.7245385,342
3.9528256,342
2.9289525,342
3.9115419,342
4.537752,342
4.0468207,342
2.986216,342
3.9276056,342
3.167722,342
3.3632564,342
4.1186178,342
4.5507317,342
1.3467739,342
3.7452475,342
4.993936,342
3.3044617,342
5.4836174,342
4.2044691,342
4.4176343,342
4.2373292,342
4.0847437,342
5.1231101,342
4.8070421,342
3.8141681,342
3.6373948,342
4.0785593,342
4.0280337,342
3.1860774,342
5.4448591,342
4.2680305,342
4.120208,342
3.7422969,342
3.9780131,342
5.4634213,342
4.0713015,342
5.6968292,342
3.5232487,342
5.1657726,342
2.9986237,342
4.1068495,342
2.5069967,342
4.6107216,342
5.0430758,342
4.4633523,342
5.1274247,342
5.7967672,342
4.304422,342
2.7252145,342
4.751293,342
3.9770992,342
4.1220386,342
3.5754055,342
3.4754552,342
2.8809741,342
5.7665599,342
3.8285319,342
4.3472158,342
3.4521623,342
4.0455375,342
2.9038452,342
5.7392442,342
5.950512,342
3.5049719,342
4.7063705,342
4.5977881,342
2.7650547,342
3.5383847,342
3.8860437,342
3.6818789,342
4.0339326,342
3.4813681,342
3.5012077,342
4.1058677,342
4.1952333,342
4.3664343,342
3.0973798,342
4.4814601,342
2.5920114,342
2.9009507,342
4.3332111,342
4.6573892,342
4.2638938,342
4.3283832,342
4.7421404,342
4.6759517,342
4.3902324,342
4.6935884,342
4.252989,342
3.412144,342
5.6275627,342
3.4963018,342
5.727376,342
4.8161397,342
5.1133817,342
3.8389219,342
4.2821283,342
3.5915633,342
2.6201692,342
3.0293772,342
4.3314947,342
4.9032861,342
4.0032992,342
3.3346795,342
4.0608227,342
4.4752067,342
3.9662956,342
3.7717542,342
2.5281269,342
3.474687,342
5.0191815,342
4.9423781,342
4.181965,342
3.175413,342
4.650249,342
3.4246925,342
4.2956348,342
3.3655808,342
2.5293013,342
3.4545686,342
3.9062887,342
4.6351496,342
3.9278681,342
4.2771968,342
4.1995347,342
5.1315323,342
5.1212564,342
5.4164911,342
4.4117729,342
3.9851578,342
3.6281592,342
5.0233555,342
3.6786564,342
3.056284,342
3.7890869,342
4.5409875,342
4.4996496,342
3.2915777,342
4.4157164,342
3.0861945,342
3.4556305,342
4.9313763,342
4.0546424,342
5.1718707,342
3.4621365,342
3.7746806,342
3.8584281,342
3.2966337,342
4.3024099,342
4.4061246,342
5.7516889,342
4.5377942,342
3.6106604,342
3.9186177,342
3.6320712,342
2.9378179,342
4.3324885,342
3.7642796,342
3.8493324,342
4.2841854,342
3.3712957,342
3.5503755,342
3.2251353,342
3.1418714,342
4.4192786,342
5.8776146,342
5.3257695,342
4.5659322,342
2.7326215,342
3.1608124,342
4.6729185,342
4.519529,342
4.068838,342
3.3851873,342
3.2839618,342
3.6280133,342
4.2772657,342
4.7212206,342
4.5951441,342
4.7968939,342
4.2068222,342
3.8028328,342
3.7276574,342
5.4407755,342
3.1628305,342
3.8103105,342
3.598974,342
3.1252483,342
4.0310477,342
2.6876276,342
4.0329258,342
3.1738829,342
4.7056509,342
4.6898094,342
3.8659074,342
3.9717623,342
3.8767273,342
4.3976825,342
4.7373818,342
2.3596484,342
3.4609149,342
4.0174887,342
3.4709419,342
3.8443341,342
4.2766839,342
3.8304798,342
4.574444,342
3.8530387,342
4.4249475,342
2.5351211,342
3.7690764,342
4.8919234,342
4.3642427,342
3.2344179,342
3.6216527,342
5.9067317,342
4.8505414,342
3.5459188,342
4.9388466,342
4.9927144,342
5.7825539,342
4.4609103,342
2.8026709,342
3.895002,342
4.5200801,342
4.3258695,342
3.7619141,342
2.5935116,342
4.2256827,342
4.6663264,342
3.5674099,342
4.3977554,342
4.3854043,342
3.6769028,342
4.3281312,342
3.285868,342
3.1061648,342
3.9451331,342
2.4569795,342
5.7597401,342
4.7817703,342
4.2582316,342
3.8119666,342
3.0424467,342
3.3145781,342
4.4271404,342
4.0636728,342
3.8557891,342
3.4715255,342
2.6066497,342
4.0476015,342
4.33788,342
5.2614304,342
4.5157446,342
5.301969,342
5.4187524,342
5.4764208,342
3.8675604,342
3.0966212,342
4.5735366,342
3.5012105,342
5.1956633,342
4.6454629,342
4.2104666,342
4.9572429,342
3.3532566,342
3.7157307,342
3.8472218,342
3.0895482,342
4.8460502,342
2.5498229,342
3.4059813,342
3.5521305,342
4.0549907,342
5.3775403,342
4.9247172,342
4.2463354,342
4.4057213,342
3.7425057,342
3.0804943,342
3.8588082,342
3.9646906,342
3.4170749,342
3.7468026,342
4.1014741,342
4.0907911,342
3.6173326,342
4.5020657,342
5.7243955,342
3.3551918,342
3.290894,342
4.1303124,342
3.2103062,342
4.489542,342
4.0899778,342
4.732845,342
4.5486989,342
5.0838355,342
3.4976983,342
3.8560411,342
4.5287408,342
4.7899211,342
4.0528179,342
3.2262746,342
3.3396321,342
4.3083451,342
4.036118,342
3.0718152,342
4.5330836,342
2.9815827,342
3.4598371,342
5.9056179,342
4.6153007,342
4.2744417,342
5.0639699,342
4.2975623,342
4.5308326,342
3.6013525,342
4.3318034,342
3.5321951,342
5.4124774,342
4.2356472,342
3.4330146,342
3.7868044,342
3.1173804,342
4.131573,342
4.6208457,342
4.1863713,342
3.2615186,342
4.3230827,342
3.6713531,342
4.630364,342
5.4918217,342
3.0840941,342
3.6957763,342
5.7123617,342
3.6216928,342
4.2918434,342
4.7996625,342
3.2667073,342
3.8772216,342
3.5660709,342
3.0377801,342
3.9507852,342
3.4350343,342
4.3019319,342
3.9021812,342
4.6684289,342
4.1228356,342
3.9754473,342
5.1313911,342
3.9331101,342
4.6637683,342
3.9830336,342
4.2915478,342
2.450456,342
3.8897383,342
4.1260098,342
4.1008555,342
4.5490725,342
3.1400316,342
4.8548225,342
4.639886,342
5.2388543,342
3.8293208,342
4.6227883,342
4.0203144,342
3.1288165,342
4.2746013,342
4.6962086,342
5.158691,342
4.5389236,342
3.3264404,342
4.5064277,342
4.1023776,342
3.1790174,342
4.6379439,342
3.159675,342
4.1481266,342
3.8599296,342
3.0170081,342
3.3356241,342
3.4754965,342
3.0160007,342
3.3847185,342
2.6978903,342
3.1913561,342
3.2092283,342
3.5845025,342
3.3965199,342
3.9645215,342
3.7367615,342
4.0318924,342
2.5508351,342
3.6401324,342
4.2007889,342
3.6815519,342
3.4231761,342
4.6096312,342
5.2018378,342
4.021635,342
5.4143818,342
4.3893714,342
3.6809139,342
4.1614345,342
3.4080225,342
4.3252439,342
3.5336771,342
4.0026928,342
2.9005496,342
4.077581,342
2.9767236,342
4.4270128,342
4.9346266,342
4.0686936,342
3.0757533,342
3.3787486,342
3.2984705,342
4.1277069,342
4.4909443,342
3.4442712,342
3.1500581,342
3.6331133,342
3.6709648,342
3.9021439,342
3.9812668,342
5.2348446,342
4.3868301,342
3.7364508,342
4.0618769,342
2.8616987,342
4.3886438,342
4.6865211,342
4.485998,342
5.3325138,342
3.4516213,342
3.2792979,342
5.4769034,342
4.2728777,342
4.7666148,342
4.1204447,342
4.0276062,342
4.3997653,342
4.1535126,342
3.529315,342
5.7566554,342
3.876687,342
5.0000771,342
4.7183688,342
3.4019425,342
3.771384,342
3.1189301,342
2.9964715,342
2.8773058,342
5.0713005,342
3.1526011,342
2.9567059,342
4.1346263,342
4.550744,342
3.5996053,342
4.0787673,342
5.5947679,342
4.0725696,342
5.1242534,342
5.8514336,342
3.5987318,342
3.3867729,342
3.6337967,342
4.9610116,342
3.1443509,342
5.224954,342
5.6418497,342
3.9875658,342
4.399943,342
4.5092266,342
3.8118951,342
3.1441806,342
4.7455243,342
4.3027616,342
3.44807,342
4.0081504,342
5.1279621,342
3.5692052,342
3.9756941,342
4.2682058,342
4.5479041,342
4.1419524,342
4.2407448,342
3.1186471,342
5.9464762,342
4.0719653,342
4.0316308,342
4.5297956,342
2.8686917,342
4.5250564,342
3.3315319,342
3.7232479,342
3.5997845,342
5.7711915,342
5.4842659,342
3.171152,342
5.4888164,342
4.9672349,342
4.5100023,342
3.4793204,342
3.9106667,342
