totalCharge,run
49428.281,342
58108.016,342
54043.717,342
51310.698,342
48731.574,342
70907.863,342
34976.08,342
29194.911,342
25865.873,342
44626.052,342
83127.984,342
41635.931,342
33834.555,342
32603.285,342
33430.408,342
57412.467,342
32141.93,342
27036.531,342
35667.634,342
58803.618,342
83708.917,342
57026,342
36988.168,342
43590.562,342
42550.227,342
52665.236,342
38130.987,342
12448.566,342
39999.857,342
44325.214,342
39658.788,342
39830.722,342
27733.312,342
19718.467,342
26999.557,342
77112.545,342
30294.411,342
43551.586,342
25144.147,342
50295.651,342
29309.045,342
33994.092,342
37284.301,342
36031.962,342
29371.832,342
38537.79,342
45072.672,342
53652.227,342
40716.876,342
43835.989,342
50758.497,342
39811.742,342
36716.435,342
44756.138,342
20169.649,342
45285.393,342
54408.449,342
20098.745,342
33285.179,342
53711.214,342
61032.772,342
46370.813,342
44966.996,342
38862.883,342
55329.351,342
38752.796,342
24878.015,342
56813.25,342
55361.96,342
45597.35,342
12955.784,342
66970.148,342
52234.832,342
36689.729,342
37984.523,342
37490.614,342
42672.518,342
13418.027,342
63856.142,342
33819.133,342
49199.878,342
38309.039,342
46210.717,342
57330.806,342
39765.673,342
50523.901,342
6603.1855,342
43471.107,342
38794.574,342
45546.781,342
67455.229,342
40705.266,342
25130.84,342
43261.959,342
69775.38,342
45657.35,342
30226.169,342
39303.203,342
26849.779,342
53197.729,342
47358.704,342
61745.325,342
39045.605,342
51604.603,342
41425.279,342
54522.8,342
64239.086,342
59429.981,342
33424.241,342
64739.373,342
57668.621,342
38095.933,342
32776.406,342
59604.521,342
52403.806,342
12023.659,342
36956.24,342
38685.108,342
27914.179,342
25166.688,342
69719.797,342
40578.628,342
36428.209,342
55541.292,342
55207.941,342
24049.339,342
53014.098,342
40708.353,342
49464.401,342
23030.444,342
40938.413,342
38923.634,342
48954.893,342
55121.529,342
56139.284,342
40965.254,342
75733.442,342
40863.607,342
71266.593,342
33217.399,342
43900.611,342
27412.335,342
44202.161,342
14733.99,342
29919.709,342
71019.606,342
26482.01,342
44863.298,342
65019.988,342
37907.202,342
40044.965,342
42009.115,342
28401.755,342
41747.132,342
38084.942,342
23526.299,342
1.04885423e+05,342
20286.483,342
74997.552,342
69398.583,342
51781.689,342
55406.879,342
40862.72,342
36400.642,342
41386.37,342
54027.73,342
38719.802,342
38954.456,342
35621.513,342
30801.081,342
51765.575,342
32931.545,342
9331.2357,342
20287.736,342
45618.82,342
38202.29,342
48122.984,342
61236.102,342
39901.367,342
39782.286,342
48384.029,342
47826.11,342
37730.051,342
49044.49,342
27672.445,342
23044.726,342
36149.662,342
47602.056,342
44607.07,342
38304.594,342
44244.868,342
19385.455,342
43177.979,342
35541.152,342
43158.946,342
53036.344,342
48036.399,342
82246.214,342
52036.003,342
39508.959,342
9661.6635,342
51097.086,342
57527.833,342
44760.955,342
41021.201,342
49130.143,342
39607.224,342
29075.071,342
53894.051,342
40785.903,342
36307.376,342
49182.389,342
32973.822,342
59262.052,342
43323.294,342
33449.685,342
48868.2,342
53047.987,342
51903.254,342
47691.488,342
61744.596,342
68032.073,342
32425.82,342
35110.369,342
63475.126,342
37694.449,342
45253.451,342
56073.484,342
48093.256,342
35540.884,342
22992.498,342
37499.748,342
46133.883,342
48894.97,342
27247.513,342
35388.489,342
61121.775,342
21825.461,342
38625.5,342
30445.665,342
38301.833,342
38724.8,342
46979.393,342
37272.939,342
42474.807,342
27392.031,342
46957.698,342
32103.056,342
44785.75,342
51260.755,342
43053.219,342
59877.961,342
38597.359,342
41563.517,342
27569.134,342
45729.234,342
33562.563,342
48916.471,342
39729.167,342
52810.182,342
58064.245,342
47782.534,342
62357.563,342
61878.525,342
51987.892,342
42590.314,342
39899.226,342
52370.559,342
19986.235,342
51067.941,342
36356.403,342
44057.254,342
37949.217,342
39015.606,342
54516.619,342
50089.397,342
47832.936,342
32163.802,342
39035.038,342
36583.866,342
59574.109,342
48173.068,342
80421.951,342
41068.709,342
50069.562,342
32819.21,342
1.00918921e+05,342
14480.443,342
28877.573,342
46613.656,342
50426.418,342
50507.259,342
32154.774,342
64102.137,342
45943.495,342
45292.698,342
23477.314,342
41930.87,342
39345.874,342
52952.347,342
53954.369,342
80732.398,342
44389.278,342
57612.947,342
70201.68,342
34210.06,342
95716.453,342
64757.031,342
44641.023,342
34959.873,342
47736.601,342
30231.099,342
54257.03,342
41735.429,342
17873.54,342
39107.57,342
32749.712,342
43490.588,342
42049.25,342
32603.285,342
58312.363,342
20754.896,342
60931.238,342
37834.399,342
42045.617,342
38204.837,342
51480.924,342
40533.715,342
57418.958,342
33460.98,342
49382.27,342
64298.47,342
49482.791,342
40307.524,342
28206.979,342
37885.292,342
48082.049,342
25252.108,342
59209.749,342
57955.432,342
43025.609,342
52090.734,342
41223.837,342
48931.077,342
47089.63,342
43724.461,342
32921.46,342
36875.043,342
26399.117,342
47639.017,342
50914.711,342
47427.165,342
36370.253,342
45764.487,342
38182.635,342
54334.335,342
52828.001,342
23672.107,342
33981.993,342
53471.942,342
34703.221,342
44379.301,342
27934.262,342
32164.537,342
27331.78,342
63817.055,342
38031.462,342
38983.843,342
22354.735,342
56212.069,342
74609.905,342
34895.191,342
46828.715,342
56332.503,342
55571.428,342
54193.658,342
56037.716,342
59844.372,342
39742.098,342
94866.116,342
49142.468,342
10447.104,342
34624.904,342
56291.5,342
42028.915,342
47270.48,342
26640.738,342
36230.969,342
38344.717,342
36921.587,342
74702.528,342
34819.639,342
56267.983,342
28196.479,342
38954.015,342
43085.402,342
56232.862,342
46241.54,342
59227.313,342
42890.262,342
32206.624,342
32283.715,342
58380.526,342
33960.756,342
36196.575,342
35557.124,342
42125.809,342
37795.193,342
32777.586,342
35787.855,342
56457.301,342
41358.759,342
64709.682,342
55996.215,342
81256.325,342
48343.39,342
56395.546,342
32441.365,342
58003.777,342
32790.511,342
58251.334,342
55938.661,342
45547.98,342
42511.175,342
55729.271,342
57530.098,342
42399.522,342
32072.27,342
62070.687,342
45088.937,342
24491.804,342
24128.519,342
45566.533,342
74877.618,342
57343.803,342
56756.241,342
52536.85,342
47468.994,342
57525.87,342
40534.041,342
41516.053,342
40115.625,342
79840.648,342
38780.746,342
34815.677,342
35720.632,342
42538.111,342
37894.242,342
48951.601,342
26901.347,342
58894.059,342
43871.2,342
45839.196,342
42805.617,342
41182.253,342
38855.132,342
45763.582,342
39026.952,342
37407.294,342
38916.92,342
44719.309,342
53708.167,342
47864.207,342
46185.261,342
36431.33,342
24665.798,342
43195.878,342
33559.611,342
56946.558,342
45199.761,342
40468.781,342
33407.345,342
46276.474,342
58547.865,342
54264.326,342
41563.684,342
34862.623,342
19318.742,342
29863.141,342
57697.951,342
54607.216,342
39773.817,342
40283.091,342
46279.304,342
22401.038,342
32479.741,342
54663.558,342
64001.222,342
35397.17,342
32829.676,342
43229.078,342
27362.103,342
47534.016,342
47273.12,342
50944.179,342
27093.723,342
71542.063,342
67287.335,342
41170.844,342
48521.376,342
42338.597,342
42049.885,342
47868.849,342
39061.386,342
53451.1,342
49446.352,342
36672.643,342
51066.549,342
47164.797,342
38989.886,342
26774.212,342
40707.486,342
42358.318,342
38625.546,342
45702.383,342
46581.703,342
77101.941,342
48381.116,342
32812.366,342
44698.488,342
42645.218,342
42681.886,342
95242.985,342
20733.704,342
37821.828,342
42267.844,342
54581.703,342
46183.014,342
51566.715,342
71078.026,342
40497.203,342
28151.205,342
30208.296,342
38562.454,342
30877.091,342
51349.069,342
72840.621,342
34999.178,342
54265.262,342
47450.229,342
29622.52,342
37961.596,342
33499.821,342
37935.362,342
23594.756,342
32141.573,342
42793.894,342
30155.839,342
30564.62,342
33819.458,342
18072.937,342
47904.978,342
15454.619,342
46250.95,342
37701.66,342
55147.373,342
47999.233,342
52482.321,342
73591.441,342
38229.937,342
37107.724,342
49400.983,342
48158.287,342
79686.075,342
34319.615,342
63777.502,342
44253.181,342
52825.695,342
48712.023,342
16923.849,342
18833.066,342
45304.477,342
49607.809,342
25384.026,342
32035.547,342
38314.788,342
33415.823,342
44066.927,342
61628.989,342
25510.674,342
41185.386,342
56420.558,342
42783.644,342
41565.349,342
43130.869,342
80187.944,342
45133.313,342
31387.884,342
37131.72,342
38774.628,342
49351.412,342
70027.978,342
39877.119,342
52809.651,342
43984.78,342
56816.344,342
1.39505042e+05,342
42143.623,342
39790.808,342
48851.3,342
35823.646,342
41540.904,342
54158.053,342
22563.262,342
93250.875,342
32854.458,342
39685.045,342
48724.163,342
33383.18,342
43573.163,342
33149.409,342
23211.151,342
40599.3,342
45407.503,342
15436.921,342
42825.491,342
45319.765,342
39394.551,342
29457.256,342
40970.895,342
58333.8,342
50786.505,342
44128.975,342
55051.299,342
51124.134,342
37044.544,342
52752.593,342
56347.3,342
46364.707,342
40146.59,342
43763.214,342
39914.972,342
57325.178,342
37556.489,342
43344.863,342
33946.92,342
55605.993,342
55219.884,342
40338.355,342
82554.232,342
45452.706,342
20004.142,342
38085.236,342
58401.253,342
40139.211,342
39129.213,342
48838.266,342
23535.882,342
61747.511,342
66208.123,342
38117.537,342
49378.948,342
48733.156,342
45147.487,342
67432.614,342
35749.873,342
42585.649,342
48856.21,342
44197.485,342
37180.644,342
74288.93,342
50126.564,342
55162.22,342
48140.51,342
44976.172,342
31039.882,342
31054.124,342
36560.288,342
34702.563,342
43384.204,342
47044.374,342
50314.688,342
33898.344,342
15014.996,342
55691.293,342
63491.103,342
66586.015,342
25512.258,342
35745.269,342
72931.829,342
31245.093,342
62237.249,342
59067.328,342
38613.082,342
22867.884,342
41346.363,342
69512.079,342
