Energy,PeakPos,PeakErr
8.04,9.49296029e+05,2095.1318
8.04,9.09687462e+05,2159.5753
8.04,6.67330847e+05,1210.4933
5.89,6.31347751e+05,2810.4609
5.89,6.32248626e+05,1078.891
5.89,4.94707539e+05,974.74122
4.51,4.82470983e+05,31478.39
4.51,4.61509106e+05,8484.1861
4.51,3.90622021e+05,16972.899
2.98,3.07273997e+05,963.51913
2.98,3.035936e+05,499.21724
2.98,2.54482918e+05,616.66364
1.49,1.48675568e+05,501.24299
1.49,1.35455067e+05,297.0269
0.93,89087.301,971.67274
0.93,78380.584,949.77444
0.93,78427.906,1164.4937
0.525,58196.317,945.78396
0.525,48482.859,272.76147
0.277,43496.458,354.02894
0.277,39544.657,197.23155
