Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,29,3,339,hits,Cu-EPIC-0.9kV,0.6047048
Cut,19,4,339,hits,Cu-EPIC-0.9kV,0.3961859
Cut,26,5,339,hits,Cu-EPIC-0.9kV,0.54214913
Cut,27,7,339,hits,Cu-EPIC-0.9kV,0.56300102
Cut,48,8,339,hits,Cu-EPIC-0.9kV,1.0008907
Cut,26,10,339,hits,Cu-EPIC-0.9kV,0.54214913
Cut,22,11,339,hits,Cu-EPIC-0.9kV,0.45874157
Cut,13,11,339,hits,Cu-EPIC-0.9kV,0.27107456
Cut,23,12,339,hits,Cu-EPIC-0.9kV,0.47959346
Cut,22,17,339,hits,Cu-EPIC-0.9kV,0.45874157
Cut,34,19,339,hits,Cu-EPIC-0.9kV,0.70896425
Cut,11,24,339,hits,Cu-EPIC-0.9kV,0.22937079
Cut,16,25,339,hits,Cu-EPIC-0.9kV,0.33363023
Cut,62,27,339,hits,Cu-EPIC-0.9kV,1.2928172
Cut,24,31,339,hits,Cu-EPIC-0.9kV,0.50044535
Cut,25,34,339,hits,Cu-EPIC-0.9kV,0.52129724
Cut,35,45,339,hits,Cu-EPIC-0.9kV,0.72981613
Cut,19,59,339,hits,Cu-EPIC-0.9kV,0.3961859
Cut,29,62,339,hits,Cu-EPIC-0.9kV,0.6047048
Cut,20,64,339,hits,Cu-EPIC-0.9kV,0.41703779
Cut,41,66,339,hits,Cu-EPIC-0.9kV,0.85492747
Cut,36,68,339,hits,Cu-EPIC-0.9kV,0.75066802
Cut,61,70,339,hits,Cu-EPIC-0.9kV,1.2719653
Cut,27,78,339,hits,Cu-EPIC-0.9kV,0.56300102
Cut,24,79,339,hits,Cu-EPIC-0.9kV,0.50044535
Cut,22,80,339,hits,Cu-EPIC-0.9kV,0.45874157
Cut,31,81,339,hits,Cu-EPIC-0.9kV,0.64640858
Cut,26,85,339,hits,Cu-EPIC-0.9kV,0.54214913
Cut,22,86,339,hits,Cu-EPIC-0.9kV,0.45874157
Cut,24,89,339,hits,Cu-EPIC-0.9kV,0.50044535
Cut,23,93,339,hits,Cu-EPIC-0.9kV,0.47959346
Cut,32,98,339,hits,Cu-EPIC-0.9kV,0.66726047
Cut,32,100,339,hits,Cu-EPIC-0.9kV,0.66726047
Cut,19,105,339,hits,Cu-EPIC-0.9kV,0.3961859
Cut,39,106,339,hits,Cu-EPIC-0.9kV,0.81322369
Cut,14,107,339,hits,Cu-EPIC-0.9kV,0.29192645
Cut,35,108,339,hits,Cu-EPIC-0.9kV,0.72981613
Cut,24,109,339,hits,Cu-EPIC-0.9kV,0.50044535
Cut,38,114,339,hits,Cu-EPIC-0.9kV,0.7923718
Cut,32,118,339,hits,Cu-EPIC-0.9kV,0.66726047
Cut,49,123,339,hits,Cu-EPIC-0.9kV,1.0217426
Cut,23,132,339,hits,Cu-EPIC-0.9kV,0.47959346
Cut,21,133,339,hits,Cu-EPIC-0.9kV,0.43788968
Cut,32,141,339,hits,Cu-EPIC-0.9kV,0.66726047
Cut,46,143,339,hits,Cu-EPIC-0.9kV,0.95918692
Cut,26,145,339,hits,Cu-EPIC-0.9kV,0.54214913
Cut,34,155,339,hits,Cu-EPIC-0.9kV,0.70896425
Cut,45,160,339,hits,Cu-EPIC-0.9kV,0.93833503
Cut,35,161,339,hits,Cu-EPIC-0.9kV,0.72981613
Cut,9,161,339,hits,Cu-EPIC-0.9kV,0.18766701
Cut,32,163,339,hits,Cu-EPIC-0.9kV,0.66726047
Cut,16,169,339,hits,Cu-EPIC-0.9kV,0.33363023
Cut,25,171,339,hits,Cu-EPIC-0.9kV,0.52129724
Cut,32,173,339,hits,Cu-EPIC-0.9kV,0.66726047
Cut,40,174,339,hits,Cu-EPIC-0.9kV,0.83407558
Cut,13,176,339,hits,Cu-EPIC-0.9kV,0.27107456
Cut,20,177,339,hits,Cu-EPIC-0.9kV,0.41703779
Cut,33,186,339,hits,Cu-EPIC-0.9kV,0.68811236
Cut,70,188,339,hits,Cu-EPIC-0.9kV,1.4596323
Cut,31,191,339,hits,Cu-EPIC-0.9kV,0.64640858
Cut,57,196,339,hits,Cu-EPIC-0.9kV,1.1885577
Cut,18,197,339,hits,Cu-EPIC-0.9kV,0.37533401
Cut,30,200,339,hits,Cu-EPIC-0.9kV,0.62555669
Cut,30,201,339,hits,Cu-EPIC-0.9kV,0.62555669
Cut,12,201,339,hits,Cu-EPIC-0.9kV,0.25022267
Cut,31,202,339,hits,Cu-EPIC-0.9kV,0.64640858
Cut,16,205,339,hits,Cu-EPIC-0.9kV,0.33363023
Cut,21,214,339,hits,Cu-EPIC-0.9kV,0.43788968
Cut,29,218,339,hits,Cu-EPIC-0.9kV,0.6047048
Cut,28,220,339,hits,Cu-EPIC-0.9kV,0.58385291
Cut,11,222,339,hits,Cu-EPIC-0.9kV,0.22937079
Cut,26,227,339,hits,Cu-EPIC-0.9kV,0.54214913
Cut,56,229,339,hits,Cu-EPIC-0.9kV,1.1677058
Cut,21,233,339,hits,Cu-EPIC-0.9kV,0.43788968
Cut,20,235,339,hits,Cu-EPIC-0.9kV,0.41703779
Cut,31,237,339,hits,Cu-EPIC-0.9kV,0.64640858
Cut,30,238,339,hits,Cu-EPIC-0.9kV,0.62555669
Cut,18,240,339,hits,Cu-EPIC-0.9kV,0.37533401
Cut,28,242,339,hits,Cu-EPIC-0.9kV,0.58385291
