Type,Energy,Counts
MPFIT,6,0.90540232
MPFIT,6.0400267,0.9210332
MPFIT,6.0800534,0.93691955
MPFIT,6.1200801,0.95306506
MPFIT,6.1601067,0.96947343
MPFIT,6.2001334,0.9861484
MPFIT,6.2401601,1.0030938
MPFIT,6.2801868,1.0203134
MPFIT,6.3202135,1.0378111
MPFIT,6.3602402,1.0555909
MPFIT,6.4002668,1.0736566
MPFIT,6.4402935,1.0920124
MPFIT,6.4803202,1.1106621
MPFIT,6.5203469,1.12961
MPFIT,6.5603736,1.1488601
MPFIT,6.6004003,1.1684166
MPFIT,6.640427,1.1882837
MPFIT,6.6804536,1.2084657
MPFIT,6.7204803,1.2289668
MPFIT,6.760507,1.2497915
MPFIT,6.8005337,1.270944
MPFIT,6.8405604,1.2924289
MPFIT,6.8805871,1.3142505
MPFIT,6.9206137,1.3364134
MPFIT,6.9606404,1.3589221
MPFIT,7.0006671,1.3817813
MPFIT,7.0406938,1.4049956
MPFIT,7.0807205,1.4285696
MPFIT,7.1207472,1.4525082
MPFIT,7.1607738,1.476816
MPFIT,7.2008005,1.5014979
MPFIT,7.2408272,1.5265587
MPFIT,7.2808539,1.5520034
MPFIT,7.3208806,1.5778369
MPFIT,7.3609073,1.6040642
MPFIT,7.400934,1.6306904
MPFIT,7.4409606,1.6577204
MPFIT,7.4809873,1.6851594
MPFIT,7.521014,1.7130127
MPFIT,7.5610407,1.7412853
MPFIT,7.6010674,1.7699826
MPFIT,7.6410941,1.7991099
MPFIT,7.6811207,1.8286724
MPFIT,7.7211474,1.8586757
MPFIT,7.7611741,1.889125
MPFIT,7.8012008,1.920026
MPFIT,7.8412275,1.951384
MPFIT,7.8812542,1.9832047
MPFIT,7.9212809,2.0154936
MPFIT,7.9613075,2.0482564
MPFIT,8.0013342,2.0814988
MPFIT,8.0413609,2.1152265
MPFIT,8.0813876,2.1494453
MPFIT,8.1214143,2.1841609
MPFIT,8.161441,2.2193794
MPFIT,8.2014676,2.2551064
MPFIT,8.2414943,2.291348
MPFIT,8.281521,2.3281101
MPFIT,8.3215477,2.3653989
MPFIT,8.3615744,2.4032202
MPFIT,8.4016011,2.4415803
MPFIT,8.4416278,2.4804852
MPFIT,8.4816544,2.5199412
MPFIT,8.5216811,2.5599544
MPFIT,8.5617078,2.6005312
MPFIT,8.6017345,2.6416777
MPFIT,8.6417612,2.6834004
MPFIT,8.6817879,2.7257056
MPFIT,8.7218145,2.7685998
MPFIT,8.7618412,2.8120893
MPFIT,8.8018679,2.8561807
MPFIT,8.8418946,2.9008805
MPFIT,8.8819213,2.9461952
MPFIT,8.921948,2.9921314
MPFIT,8.9619746,3.0386958
MPFIT,9.0020013,3.085895
MPFIT,9.042028,3.1337357
MPFIT,9.0820547,3.1822246
MPFIT,9.1220814,3.2313686
MPFIT,9.1621081,3.2811743
MPFIT,9.2021348,3.3316487
MPFIT,9.2421614,3.3827985
MPFIT,9.2821881,3.4346307
MPFIT,9.3222148,3.4871521
MPFIT,9.3622415,3.5403698
MPFIT,9.4022682,3.5942907
MPFIT,9.4422949,3.6489218
MPFIT,9.4823215,3.7042701
MPFIT,9.5223482,3.7603427
MPFIT,9.5623749,3.8171466
MPFIT,9.6024016,3.8746891
MPFIT,9.6424283,3.9329772
MPFIT,9.682455,3.992018
MPFIT,9.7224817,4.0518188
MPFIT,9.7625083,4.1123867
MPFIT,9.802535,4.173729
MPFIT,9.8425617,4.2358529
MPFIT,9.8825884,4.2987657
MPFIT,9.9226151,4.3624747
MPFIT,9.9626418,4.4269871
MPFIT,10.002668,4.4923103
MPFIT,10.042695,4.5584516
MPFIT,10.082722,4.6254184
MPFIT,10.122748,4.693218
MPFIT,10.162775,4.7618578
MPFIT,10.202802,4.8313451
MPFIT,10.242829,4.9016874
MPFIT,10.282855,4.9728922
MPFIT,10.322882,5.0449667
MPFIT,10.362909,5.1179185
MPFIT,10.402935,5.1917549
MPFIT,10.442962,5.2664834
MPFIT,10.482989,5.3421115
MPFIT,10.523015,5.4186465
MPFIT,10.563042,5.496096
MPFIT,10.603069,5.5744674
MPFIT,10.643095,5.6537681
MPFIT,10.683122,5.7340057
MPFIT,10.723149,5.8151874
MPFIT,10.763175,5.8973209
MPFIT,10.803202,5.9804134
MPFIT,10.843229,6.0644725
MPFIT,10.883256,6.1495056
MPFIT,10.923282,6.2355201
MPFIT,10.963309,6.3225234
MPFIT,11.003336,6.4105229
MPFIT,11.043362,6.499526
MPFIT,11.083389,6.58954
MPFIT,11.123416,6.6805723
MPFIT,11.163442,6.7726303
MPFIT,11.203469,6.8657212
