Cut?,Counts,eventNumber,runNumber
Raw,21,2,340
Raw,6,10,340
Raw,19,11,340
Raw,12,13,340
Raw,27,23,340
Raw,12,25,340
Raw,60,30,340
Raw,22,31,340
Raw,35,39,340
Raw,12,39,340
Raw,46,45,340
Raw,54,59,340
Raw,20,62,340
Raw,19,67,340
Raw,7,67,340
Raw,14,75,340
Raw,19,88,340
Raw,11,88,340
Raw,43,94,340
Raw,20,101,340
Raw,10,101,340
Raw,28,111,340
Raw,20,111,340
Raw,19,113,340
Raw,23,113,340
Raw,14,116,340
Raw,20,118,340
Raw,18,118,340
Raw,11,121,340
Raw,26,124,340
Raw,38,125,340
Raw,26,135,340
Raw,20,141,340
Raw,44,149,340
Raw,19,157,340
Raw,55,161,340
Raw,13,161,340
Raw,18,164,340
Raw,23,164,340
Raw,14,166,340
Raw,27,168,340
Raw,58,171,340
Raw,14,172,340
Raw,13,172,340
Raw,29,175,340
Raw,6,177,340
Raw,18,179,340
Raw,19,187,340
Raw,20,200,340
Raw,16,206,340
Raw,17,208,340
Raw,26,208,340
Raw,16,213,340
Raw,21,224,340
Raw,22,229,340
Raw,20,239,340
Raw,19,241,340
Raw,44,241,340
Raw,29,251,340
Raw,21,251,340
Raw,46,256,340
Raw,57,259,340
Raw,24,269,340
Raw,19,270,340
Raw,20,277,340
Raw,20,282,340
Raw,13,290,340
Raw,29,290,340
Raw,16,290,340
Raw,5,291,340
Raw,11,298,340
Raw,25,301,340
Raw,13,301,340
Raw,14,303,340
Raw,33,303,340
Raw,20,310,340
Raw,19,315,340
Raw,9,315,340
Raw,29,317,340
Raw,22,324,340
Raw,21,332,340
Raw,63,332,340
Raw,21,333,340
Raw,14,333,340
Raw,18,337,340
Raw,16,342,340
Raw,18,346,340
Raw,20,352,340
Raw,21,361,340
Raw,16,361,340
Raw,20,362,340
Raw,27,364,340
Raw,44,370,340
Raw,38,375,340
Raw,26,376,340
Raw,5,378,340
Raw,7,394,340
Raw,28,396,340
Raw,13,399,340
Raw,14,400,340
Raw,19,409,340
Raw,23,414,340
Raw,62,415,340
Raw,16,422,340
Raw,12,422,340
Raw,43,434,340
Raw,5,439,340
Raw,17,439,340
Raw,21,439,340
Raw,21,440,340
Raw,22,442,340
Raw,34,443,340
Raw,27,469,340
Raw,12,469,340
Raw,42,472,340
Raw,43,484,340
Raw,17,485,340
Raw,10,486,340
Raw,42,487,340
Raw,23,487,340
Raw,9,489,340
Raw,19,491,340
Raw,8,494,340
Raw,48,494,340
Raw,11,499,340
Raw,27,502,340
Raw,20,502,340
Raw,36,504,340
Raw,21,504,340
Raw,11,507,340
Raw,43,513,340
Raw,16,518,340
Raw,21,524,340
Raw,24,529,340
Raw,6,538,340
Raw,22,539,340
Raw,19,556,340
Raw,14,556,340
Raw,47,556,340
Raw,44,558,340
Raw,17,563,340
Raw,26,568,340
Raw,24,569,340
Raw,16,578,340
Raw,16,579,340
Raw,17,579,340
Raw,16,585,340
Raw,21,587,340
Raw,16,587,340
Raw,25,588,340
Raw,15,588,340
Raw,14,589,340
Raw,52,589,340
Raw,46,591,340
Raw,17,591,340
Raw,18,593,340
Raw,19,593,340
Raw,17,600,340
Raw,33,601,340
Raw,45,605,340
Raw,24,613,340
