Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,57781.58,3,339,charge,Cu-EPIC-0.9kV,0.52125858
Cut,38859.788,4,339,charge,Cu-EPIC-0.9kV,0.35056151
Cut,59099.502,5,339,charge,Cu-EPIC-0.9kV,0.5331478
Cut,52851.074,7,339,charge,Cu-EPIC-0.9kV,0.47677955
Cut,1.03591763e+05,8,339,charge,Cu-EPIC-0.9kV,0.93452092
Cut,58511.697,10,339,charge,Cu-EPIC-0.9kV,0.5278451
Cut,42207.498,11,339,charge,Cu-EPIC-0.9kV,0.38076183
Cut,30276.212,11,339,charge,Cu-EPIC-0.9kV,0.27312744
Cut,51372.481,12,339,charge,Cu-EPIC-0.9kV,0.46344088
Cut,50503.722,17,339,charge,Cu-EPIC-0.9kV,0.45560365
Cut,80112.763,19,339,charge,Cu-EPIC-0.9kV,0.72271241
Cut,24193.477,24,339,charge,Cu-EPIC-0.9kV,0.21825394
Cut,31480.893,25,339,charge,Cu-EPIC-0.9kV,0.2839951
Cut,1.30493053e+05,27,339,charge,Cu-EPIC-0.9kV,1.1772026
Cut,57459.778,31,339,charge,Cu-EPIC-0.9kV,0.51835554
Cut,55237.22,34,339,charge,Cu-EPIC-0.9kV,0.49830543
Cut,75258.895,45,339,charge,Cu-EPIC-0.9kV,0.67892475
Cut,41506.834,59,339,charge,Cu-EPIC-0.9kV,0.37444101
Cut,82913.135,62,339,charge,Cu-EPIC-0.9kV,0.7479751
Cut,37930.553,64,339,charge,Cu-EPIC-0.9kV,0.3421787
Cut,99868.753,66,339,charge,Cu-EPIC-0.9kV,0.90093494
Cut,84540.021,68,339,charge,Cu-EPIC-0.9kV,0.76265154
Cut,1.6011766e+05,70,339,charge,Cu-EPIC-0.9kV,1.4444517
Cut,76546.27,78,339,charge,Cu-EPIC-0.9kV,0.69053841
Cut,59591.853,79,339,charge,Cu-EPIC-0.9kV,0.53758939
Cut,57022.403,80,339,charge,Cu-EPIC-0.9kV,0.5144099
Cut,87880.316,81,339,charge,Cu-EPIC-0.9kV,0.79278498
Cut,68252.092,85,339,charge,Cu-EPIC-0.9kV,0.61571505
Cut,51441.354,86,339,charge,Cu-EPIC-0.9kV,0.4640622
Cut,47678.496,89,339,charge,Cu-EPIC-0.9kV,0.43011675
Cut,53360.009,93,339,charge,Cu-EPIC-0.9kV,0.48137075
Cut,77290.106,98,339,charge,Cu-EPIC-0.9kV,0.69724869
Cut,81722.989,100,339,charge,Cu-EPIC-0.9kV,0.73723857
Cut,48034.405,105,339,charge,Cu-EPIC-0.9kV,0.43332747
Cut,82743.21,106,339,charge,Cu-EPIC-0.9kV,0.74644218
Cut,28710.403,107,339,charge,Cu-EPIC-0.9kV,0.25900199
Cut,67857.596,108,339,charge,Cu-EPIC-0.9kV,0.61215622
Cut,65485.003,109,339,charge,Cu-EPIC-0.9kV,0.59075262
Cut,76848.256,114,339,charge,Cu-EPIC-0.9kV,0.69326268
Cut,71914.101,118,339,charge,Cu-EPIC-0.9kV,0.64875073
Cut,1.22163036e+05,123,339,charge,Cu-EPIC-0.9kV,1.1020559
Cut,68223.313,132,339,charge,Cu-EPIC-0.9kV,0.61545543
Cut,58994.217,133,339,charge,Cu-EPIC-0.9kV,0.532198
Cut,80517.789,141,339,charge,Cu-EPIC-0.9kV,0.72636623
Cut,1.02350762e+05,143,339,charge,Cu-EPIC-0.9kV,0.92332562
Cut,64414.382,145,339,charge,Cu-EPIC-0.9kV,0.58109434
Cut,72760.627,155,339,charge,Cu-EPIC-0.9kV,0.6563874
Cut,1.09768493e+05,160,339,charge,Cu-EPIC-0.9kV,0.99024237
Cut,89688.579,161,339,charge,Cu-EPIC-0.9kV,0.80909767
Cut,25393.657,161,339,charge,Cu-EPIC-0.9kV,0.22908099
Cut,67059.655,163,339,charge,Cu-EPIC-0.9kV,0.60495785
Cut,40798.442,169,339,charge,Cu-EPIC-0.9kV,0.36805048
Cut,58364.561,171,339,charge,Cu-EPIC-0.9kV,0.52651776
Cut,80294.587,173,339,charge,Cu-EPIC-0.9kV,0.72435268
Cut,83625.545,174,339,charge,Cu-EPIC-0.9kV,0.75440188
Cut,35224.328,176,339,charge,Cu-EPIC-0.9kV,0.31776534
Cut,40804.508,177,339,charge,Cu-EPIC-0.9kV,0.3681052
Cut,82985.124,186,339,charge,Cu-EPIC-0.9kV,0.74862453
Cut,1.68145524e+05,188,339,charge,Cu-EPIC-0.9kV,1.5168726
Cut,89076.654,191,339,charge,Cu-EPIC-0.9kV,0.80357737
Cut,1.2551214e+05,196,339,charge,Cu-EPIC-0.9kV,1.1322688
Cut,33610.297,197,339,charge,Cu-EPIC-0.9kV,0.30320486
Cut,74764.771,200,339,charge,Cu-EPIC-0.9kV,0.67446716
Cut,66558.145,201,339,charge,Cu-EPIC-0.9kV,0.60043363
Cut,33321.368,201,339,charge,Cu-EPIC-0.9kV,0.30059837
Cut,81240.23,202,339,charge,Cu-EPIC-0.9kV,0.7328835
Cut,33680.872,205,339,charge,Cu-EPIC-0.9kV,0.30384152
Cut,53044.898,214,339,charge,Cu-EPIC-0.9kV,0.47852808
Cut,76426.53,218,339,charge,Cu-EPIC-0.9kV,0.68945821
Cut,81430.943,220,339,charge,Cu-EPIC-0.9kV,0.73460396
Cut,28441.641,222,339,charge,Cu-EPIC-0.9kV,0.25657743
Cut,62239.696,227,339,charge,Cu-EPIC-0.9kV,0.56147609
Cut,1.15235279e+05,229,339,charge,Cu-EPIC-0.9kV,1.0395593
Cut,53662.182,233,339,charge,Cu-EPIC-0.9kV,0.48409671
Cut,39979.345,235,339,charge,Cu-EPIC-0.9kV,0.36066125
Cut,72932.428,237,339,charge,Cu-EPIC-0.9kV,0.65793725
Cut,62455.901,238,339,charge,Cu-EPIC-0.9kV,0.56342651
Cut,45861.744,240,339,charge,Cu-EPIC-0.9kV,0.41372748
Cut,65215.216,242,339,charge,Cu-EPIC-0.9kV,0.58831881
Cut,76841.924,244,339,charge,Cu-EPIC-0.9kV,0.69320555
Cut,58764.827,249,339,charge,Cu-EPIC-0.9kV,0.53012864
Cut,1.08038142e+05,250,339,charge,Cu-EPIC-0.9kV,0.97463255
Cut,41391.527,252,339,charge,Cu-EPIC-0.9kV,0.37340081
Cut,44945.604,252,339,charge,Cu-EPIC-0.9kV,0.40546281
Cut,30591.686,257,339,charge,Cu-EPIC-0.9kV,0.27597339
Cut,77916.009,262,339,charge,Cu-EPIC-0.9kV,0.70289507
Cut,32831.054,265,339,charge,Cu-EPIC-0.9kV,0.29617516
Cut,72306.73,266,339,charge,Cu-EPIC-0.9kV,0.65229271
