Type,Energy,Counts
MPFIT,10000,5.0537394
MPFIT,10093.396,5.1105737
MPFIT,10186.791,5.1678686
MPFIT,10280.187,5.2256257
MPFIT,10373.582,5.2838468
MPFIT,10466.978,5.3425337
MPFIT,10560.374,5.401688
MPFIT,10653.769,5.4613115
MPFIT,10747.165,5.5214058
MPFIT,10840.56,5.5819728
MPFIT,10933.956,5.643014
MPFIT,11027.352,5.7045313
MPFIT,11120.747,5.7665262
MPFIT,11214.143,5.8290007
MPFIT,11307.538,5.8919563
MPFIT,11400.934,5.9553948
MPFIT,11494.33,6.0193179
MPFIT,11587.725,6.0837273
MPFIT,11681.121,6.1486248
MPFIT,11774.516,6.2140122
MPFIT,11867.912,6.279891
MPFIT,11961.308,6.3462632
MPFIT,12054.703,6.4131305
MPFIT,12148.099,6.4804945
MPFIT,12241.494,6.5483571
MPFIT,12334.89,6.6167201
MPFIT,12428.286,6.6855853
MPFIT,12521.681,6.7549544
MPFIT,12615.077,6.8248292
MPFIT,12708.472,6.8952117
MPFIT,12801.868,6.9661035
MPFIT,12895.264,7.0375066
MPFIT,12988.659,7.1094228
MPFIT,13082.055,7.1818541
MPFIT,13175.45,7.2548021
MPFIT,13268.846,7.328269
MPFIT,13362.241,7.4022566
MPFIT,13455.637,7.4767669
MPFIT,13549.033,7.5518018
MPFIT,13642.428,7.6273632
MPFIT,13735.824,7.7034533
MPFIT,13829.219,7.780074
MPFIT,13922.615,7.8572274
MPFIT,14016.011,7.9349155
MPFIT,14109.406,8.0131405
MPFIT,14202.802,8.0919045
MPFIT,14296.197,8.1712095
MPFIT,14389.593,8.2510579
MPFIT,14482.989,8.3314518
MPFIT,14576.384,8.4123934
MPFIT,14669.78,8.493885
MPFIT,14763.175,8.5759289
MPFIT,14856.571,8.6585274
MPFIT,14949.967,8.741683
MPFIT,15043.362,8.8253979
MPFIT,15136.758,8.9096747
MPFIT,15230.153,8.9945158
MPFIT,15323.549,9.0799238
MPFIT,15416.945,9.1659011
MPFIT,15510.34,9.2524505
MPFIT,15603.736,9.3395744
MPFIT,15697.131,9.4272757
MPFIT,15790.527,9.515557
MPFIT,15883.923,9.6044211
MPFIT,15977.318,9.6938708
MPFIT,16070.714,9.7839091
MPFIT,16164.109,9.8745387
MPFIT,16257.505,9.9657627
MPFIT,16350.901,10.057584
MPFIT,16444.296,10.150006
MPFIT,16537.692,10.243031
MPFIT,16631.087,10.336664
MPFIT,16724.483,10.430906
MPFIT,16817.879,10.525761
MPFIT,16911.274,10.621234
MPFIT,17004.67,10.717326
MPFIT,17098.065,10.814042
MPFIT,17191.461,10.911385
MPFIT,17284.857,11.009359
MPFIT,17378.252,11.107967
MPFIT,17471.648,11.207213
MPFIT,17565.043,11.307101
MPFIT,17658.439,11.407635
MPFIT,17751.835,11.508819
MPFIT,17845.23,11.610656
MPFIT,17938.626,11.713152
MPFIT,18032.021,11.816309
MPFIT,18125.417,11.920133
MPFIT,18218.813,12.024627
MPFIT,18312.208,12.129796
MPFIT,18405.604,12.235645
MPFIT,18498.999,12.342178
MPFIT,18592.395,12.449399
MPFIT,18685.791,12.557314
MPFIT,18779.186,12.665927
MPFIT,18872.582,12.775244
MPFIT,18965.977,12.885268
MPFIT,19059.373,12.996005
MPFIT,19152.769,13.107461
MPFIT,19246.164,13.21964
MPFIT,19339.56,13.332549
MPFIT,19432.955,13.446191
MPFIT,19526.351,13.560574
MPFIT,19619.746,13.675701
MPFIT,19713.142,13.79158
MPFIT,19806.538,13.908217
MPFIT,19899.933,14.025616
MPFIT,19993.329,14.143783
MPFIT,20086.724,14.262726
MPFIT,20180.12,14.382451
MPFIT,20273.516,14.502962
MPFIT,20366.911,14.624268
MPFIT,20460.307,14.746374
MPFIT,20553.702,14.869288
MPFIT,20647.098,14.993015
MPFIT,20740.494,15.117563
MPFIT,20833.889,15.242938
MPFIT,20927.285,15.369149
MPFIT,21020.68,15.496201
MPFIT,21114.076,15.624102
MPFIT,21207.472,15.75286
MPFIT,21300.867,15.882481
MPFIT,21394.263,16.012975
MPFIT,21487.658,16.144347
MPFIT,21581.054,16.276607
MPFIT,21674.45,16.409762
MPFIT,21767.845,16.54382
MPFIT,21861.241,16.67879
MPFIT,21954.636,16.814679
MPFIT,22048.032,16.951496
MPFIT,22141.428,17.089249
MPFIT,22234.823,17.227948
MPFIT,22328.219,17.367601
MPFIT,22421.614,17.508216
MPFIT,22515.01,17.649804
MPFIT,22608.406,17.792372
MPFIT,22701.801,17.93593
MPFIT,22795.197,18.080488
MPFIT,22888.592,18.226055
MPFIT,22981.988,18.37264
MPFIT,23075.384,18.520254
MPFIT,23168.779,18.668905
MPFIT,23262.175,18.818604
MPFIT,23355.57,18.969362
MPFIT,23448.966,19.121187
MPFIT,23542.362,19.274091
MPFIT,23635.757,19.428084
MPFIT,23729.153,19.583176
MPFIT,23822.548,19.739378
MPFIT,23915.944,19.896701
MPFIT,24009.34,20.055156
MPFIT,24102.735,20.214753
MPFIT,24196.131,20.375503
MPFIT,24289.526,20.537419
MPFIT,24382.922,20.700511
MPFIT,24476.318,20.86479
MPFIT,24569.713,21.030268
MPFIT,24663.109,21.196958
MPFIT,24756.504,21.364869
MPFIT,24849.9,21.534016
MPFIT,24943.296,21.704408
MPFIT,25036.691,21.876059
MPFIT,25130.087,22.048981
MPFIT,25223.482,22.223185
MPFIT,25316.878,22.398685
MPFIT,25410.274,22.575493
MPFIT,25503.669,22.753621
MPFIT,25597.065,22.933083
MPFIT,25690.46,23.11389
MPFIT,25783.856,23.296056
MPFIT,25877.252,23.479593
MPFIT,25970.647,23.664516
MPFIT,26064.043,23.850836
MPFIT,26157.438,24.038567
MPFIT,26250.834,24.227723
MPFIT,26344.229,24.418317
MPFIT,26437.625,24.610363
MPFIT,26531.021,24.803873
MPFIT,26624.416,24.998862
MPFIT,26717.812,25.195343
MPFIT,26811.207,25.393331
MPFIT,26904.603,25.592838
MPFIT,26997.999,25.793879
MPFIT,27091.394,25.996469
MPFIT,27184.79,26.20062
MPFIT,27278.185,26.406347
MPFIT,27371.581,26.613665
MPFIT,27464.977,26.822587
MPFIT,27558.372,27.033128
MPFIT,27651.768,27.245302
MPFIT,27745.163,27.459124
MPFIT,27838.559,27.674607
MPFIT,27931.955,27.891767
MPFIT,28025.35,28.110618
MPFIT,28118.746,28.331174
MPFIT,28212.141,28.55345
MPFIT,28305.537,28.777461
MPFIT,28398.933,29.00322
MPFIT,28492.328,29.230744
MPFIT,28585.724,29.460046
MPFIT,28679.119,29.691141
MPFIT,28772.515,29.924043
MPFIT,28865.911,30.158768
MPFIT,28959.306,30.39533
MPFIT,29052.702,30.633744
MPFIT,29146.097,30.874023
MPFIT,29239.493,31.116184
MPFIT,29332.889,31.360241
MPFIT,29426.284,31.606207
MPFIT,29519.68,31.854098
MPFIT,29613.075,32.103929
MPFIT,29706.471,32.355713
MPFIT,29799.867,32.609466
MPFIT,29893.262,32.865201
MPFIT,29986.658,33.122933
MPFIT,30080.053,33.382677
MPFIT,30173.449,33.644446
MPFIT,30266.845,33.908255
MPFIT,30360.24,34.174118
MPFIT,30453.636,34.442049
MPFIT,30547.031,34.712062
MPFIT,30640.427,34.984171
MPFIT,30733.823,35.25839
MPFIT,30827.218,35.534733
MPFIT,30920.614,35.813212
MPFIT,31014.009,36.093842
MPFIT,31107.405,36.376637
MPFIT,31200.801,36.661609
MPFIT,31294.196,36.948771
MPFIT,31387.592,37.238138
MPFIT,31480.987,37.529721
MPFIT,31574.383,37.823533
MPFIT,31667.779,38.119588
MPFIT,31761.174,38.417898
MPFIT,31854.57,38.718474
MPFIT,31947.965,39.02133
MPFIT,32041.361,39.326477
MPFIT,32134.757,39.633928
MPFIT,32228.152,39.943693
MPFIT,32321.548,40.255785
MPFIT,32414.943,40.570215
MPFIT,32508.339,40.886994
MPFIT,32601.734,41.206134
MPFIT,32695.13,41.527644
MPFIT,32788.526,41.851535
MPFIT,32881.921,42.177818
MPFIT,32975.317,42.506503
MPFIT,33068.712,42.8376
MPFIT,33162.108,43.171118
MPFIT,33255.504,43.507067
MPFIT,33348.899,43.845456
MPFIT,33442.295,44.186294
MPFIT,33535.69,44.52959
MPFIT,33629.086,44.875352
MPFIT,33722.482,45.223589
MPFIT,33815.877,45.574307
MPFIT,33909.273,45.927515
MPFIT,34002.668,46.28322
MPFIT,34096.064,46.64143
MPFIT,34189.46,47.00215
MPFIT,34282.855,47.365387
MPFIT,34376.251,47.731148
MPFIT,34469.646,48.099438
MPFIT,34563.042,48.470262
MPFIT,34656.438,48.843627
MPFIT,34749.833,49.219536
MPFIT,34843.229,49.597993
MPFIT,34936.624,49.979005
MPFIT,35030.02,50.362573
MPFIT,35123.416,50.748701
MPFIT,35216.811,51.137393
MPFIT,35310.207,51.528651
MPFIT,35403.602,51.922477
MPFIT,35496.998,52.318874
MPFIT,35590.394,52.717842
MPFIT,35683.789,53.119384
MPFIT,35777.185,53.523499
MPFIT,35870.58,53.930189
MPFIT,35963.976,54.339453
MPFIT,36057.372,54.75129
MPFIT,36150.767,55.1657
MPFIT,36244.163,55.582681
MPFIT,36337.558,56.002232
MPFIT,36430.954,56.424351
MPFIT,36524.35,56.849034
MPFIT,36617.745,57.276279
MPFIT,36711.141,57.706082
MPFIT,36804.536,58.13844
MPFIT,36897.932,58.573347
MPFIT,36991.328,59.010799
MPFIT,37084.723,59.450791
MPFIT,37178.119,59.893317
MPFIT,37271.514,60.33837
MPFIT,37364.91,60.785943
MPFIT,37458.306,61.23603
MPFIT,37551.701,61.688622
MPFIT,37645.097,62.143712
MPFIT,37738.492,62.601289
MPFIT,37831.888,63.061346
MPFIT,37925.284,63.523872
MPFIT,38018.679,63.988857
MPFIT,38112.075,64.45629
MPFIT,38205.47,64.926159
MPFIT,38298.866,65.398454
MPFIT,38392.262,65.873161
MPFIT,38485.657,66.350267
MPFIT,38579.053,66.829759
MPFIT,38672.448,67.311623
MPFIT,38765.844,67.795844
MPFIT,38859.239,68.282408
MPFIT,38952.635,68.771298
MPFIT,39046.031,69.262499
MPFIT,39139.426,69.755993
MPFIT,39232.822,70.251763
MPFIT,39326.217,70.749791
MPFIT,39419.613,71.25006
MPFIT,39513.009,71.752549
MPFIT,39606.404,72.25724
MPFIT,39699.8,72.764112
MPFIT,39793.195,73.273144
MPFIT,39886.591,73.784316
MPFIT,39979.987,74.297604
MPFIT,40073.382,74.812988
MPFIT,40166.778,75.330444
MPFIT,40260.173,75.849948
MPFIT,40353.569,76.371477
MPFIT,40446.965,76.895005
MPFIT,40540.36,77.420507
MPFIT,40633.756,77.947958
MPFIT,40727.151,78.47733
MPFIT,40820.547,79.008597
MPFIT,40913.943,79.541732
MPFIT,41007.338,80.076706
MPFIT,41100.734,80.61349
MPFIT,41194.129,81.152055
MPFIT,41287.525,81.692371
MPFIT,41380.921,82.234408
MPFIT,41474.316,82.778134
MPFIT,41567.712,83.323518
MPFIT,41661.107,83.870528
MPFIT,41754.503,84.419131
MPFIT,41847.899,84.969293
MPFIT,41941.294,85.520981
MPFIT,42034.69,86.07416
MPFIT,42128.085,86.628795
MPFIT,42221.481,87.184851
MPFIT,42314.877,87.742291
MPFIT,42408.272,88.301079
MPFIT,42501.668,88.861177
MPFIT,42595.063,89.422547
MPFIT,42688.459,89.985152
MPFIT,42781.855,90.548952
MPFIT,42875.25,91.113908
MPFIT,42968.646,91.679979
MPFIT,43062.041,92.247126
MPFIT,43155.437,92.815307
MPFIT,43248.833,93.384481
MPFIT,43342.228,93.954605
MPFIT,43435.624,94.525638
MPFIT,43529.019,95.097535
MPFIT,43622.415,95.670253
MPFIT,43715.811,96.243748
MPFIT,43809.206,96.817976
MPFIT,43902.602,97.392891
MPFIT,43995.997,97.968447
MPFIT,44089.393,98.544599
MPFIT,44182.789,99.1213
MPFIT,44276.184,99.698504
MPFIT,44369.58,100.27616
MPFIT,44462.975,100.85423
MPFIT,44556.371,101.43265
MPFIT,44649.767,102.01138
MPFIT,44743.162,102.59037
MPFIT,44836.558,103.16957
MPFIT,44929.953,103.74893
MPFIT,45023.349,104.32841
MPFIT,45116.744,104.90794
MPFIT,45210.14,105.48747
MPFIT,45303.536,106.06697
MPFIT,45396.931,106.64636
MPFIT,45490.327,107.22561
MPFIT,45583.722,107.80466
MPFIT,45677.118,108.38345
MPFIT,45770.514,108.96193
MPFIT,45863.909,109.54005
MPFIT,45957.305,110.11775
MPFIT,46050.7,110.69498
MPFIT,46144.096,111.27168
MPFIT,46237.492,111.8478
MPFIT,46330.887,112.42329
MPFIT,46424.283,112.99808
MPFIT,46517.678,113.57212
MPFIT,46611.074,114.14536
MPFIT,46704.47,114.71773
MPFIT,46797.865,115.28919
MPFIT,46891.261,115.85966
MPFIT,46984.656,116.42911
MPFIT,47078.052,116.99747
MPFIT,47171.448,117.56467
MPFIT,47264.843,118.13067
MPFIT,47358.239,118.69541
MPFIT,47451.634,119.25882
MPFIT,47545.03,119.82085
MPFIT,47638.426,120.38144
MPFIT,47731.821,120.94053
MPFIT,47825.217,121.49806
MPFIT,47918.612,122.05398
MPFIT,48012.008,122.60822
MPFIT,48105.404,123.16072
MPFIT,48198.799,123.71143
MPFIT,48292.195,124.26029
MPFIT,48385.59,124.80723
MPFIT,48478.986,125.3522
MPFIT,48572.382,125.89514
MPFIT,48665.777,126.43598
MPFIT,48759.173,126.97467
MPFIT,48852.568,127.51115
MPFIT,48945.964,128.04536
MPFIT,49039.36,128.57724
MPFIT,49132.755,129.10673
MPFIT,49226.151,129.63377
MPFIT,49319.546,130.1583
MPFIT,49412.942,130.68027
MPFIT,49506.338,131.1996
MPFIT,49599.733,131.71625
MPFIT,49693.129,132.23015
MPFIT,49786.524,132.74125
MPFIT,49879.92,133.24948
MPFIT,49973.316,133.75479
MPFIT,50066.711,134.25712
MPFIT,50160.107,134.75641
MPFIT,50253.502,135.2526
MPFIT,50346.898,135.74563
MPFIT,50440.294,136.23546
MPFIT,50533.689,136.72201
MPFIT,50627.085,137.20523
MPFIT,50720.48,137.68507
MPFIT,50813.876,138.16146
MPFIT,50907.272,138.63436
MPFIT,51000.667,139.1037
MPFIT,51094.063,139.56943
MPFIT,51187.458,140.03149
MPFIT,51280.854,140.48983
MPFIT,51374.249,140.9444
MPFIT,51467.645,141.39513
MPFIT,51561.041,141.84197
MPFIT,51654.436,142.28488
MPFIT,51747.832,142.72379
MPFIT,51841.227,143.15865
MPFIT,51934.623,143.58941
MPFIT,52028.019,144.01602
MPFIT,52121.414,144.43843
MPFIT,52214.81,144.85658
MPFIT,52308.205,145.27042
MPFIT,52401.601,145.67991
MPFIT,52494.997,146.08499
MPFIT,52588.392,146.48561
MPFIT,52681.788,146.88172
MPFIT,52775.183,147.27328
MPFIT,52868.579,147.66024
MPFIT,52961.975,148.04254
MPFIT,53055.37,148.42015
MPFIT,53148.766,148.79301
MPFIT,53242.161,149.16108
MPFIT,53335.557,149.52432
MPFIT,53428.953,149.88267
MPFIT,53522.348,150.23611
MPFIT,53615.744,150.58457
MPFIT,53709.139,150.92802
MPFIT,53802.535,151.26642
MPFIT,53895.931,151.59972
MPFIT,53989.326,151.92789
MPFIT,54082.722,152.25088
MPFIT,54176.117,152.56865
MPFIT,54269.513,152.88117
MPFIT,54362.909,153.1884
MPFIT,54456.304,153.49029
MPFIT,54549.7,153.78681
MPFIT,54643.095,154.07793
MPFIT,54736.491,154.36361
MPFIT,54829.887,154.64382
MPFIT,54923.282,154.91851
MPFIT,55016.678,155.18766
MPFIT,55110.073,155.45124
MPFIT,55203.469,155.70921
MPFIT,55296.865,155.96154
MPFIT,55390.26,156.20821
MPFIT,55483.656,156.44917
MPFIT,55577.051,156.68441
MPFIT,55670.447,156.9139
MPFIT,55763.843,157.1376
MPFIT,55857.238,157.3555
MPFIT,55950.634,157.56756
MPFIT,56044.029,157.77376
MPFIT,56137.425,157.97408
MPFIT,56230.821,158.1685
MPFIT,56324.216,158.35699
MPFIT,56417.612,158.53953
MPFIT,56511.007,158.7161
MPFIT,56604.403,158.88668
MPFIT,56697.799,159.05126
MPFIT,56791.194,159.20981
MPFIT,56884.59,159.36232
MPFIT,56977.985,159.50876
MPFIT,57071.381,159.64914
MPFIT,57164.777,159.78343
MPFIT,57258.172,159.91161
MPFIT,57351.568,160.03368
MPFIT,57444.963,160.14962
MPFIT,57538.359,160.25943
MPFIT,57631.755,160.36309
MPFIT,57725.15,160.46059
MPFIT,57818.546,160.55192
MPFIT,57911.941,160.63709
MPFIT,58005.337,160.71608
MPFIT,58098.732,160.78888
MPFIT,58192.128,160.85549
MPFIT,58285.524,160.91591
MPFIT,58378.919,160.97014
MPFIT,58472.315,161.01817
MPFIT,58565.71,161.06
MPFIT,58659.106,161.09563
MPFIT,58752.502,161.12507
MPFIT,58845.897,161.14831
MPFIT,58939.293,161.16535
MPFIT,59032.688,161.17621
MPFIT,59126.084,161.18088
MPFIT,59219.48,161.17938
MPFIT,59312.875,161.17169
MPFIT,59406.271,161.15785
MPFIT,59499.666,161.13784
MPFIT,59593.062,161.11168
MPFIT,59686.458,161.07939
MPFIT,59779.853,161.04096
MPFIT,59873.249,160.99642
MPFIT,59966.644,160.94577
MPFIT,60060.04,160.88903
MPFIT,60153.436,160.82621
MPFIT,60246.831,160.75733
MPFIT,60340.227,160.6824
MPFIT,60433.622,160.60144
MPFIT,60527.018,160.51447
MPFIT,60620.414,160.42151
MPFIT,60713.809,160.32257
MPFIT,60807.205,160.21767
MPFIT,60900.6,160.10685
MPFIT,60993.996,159.99011
MPFIT,61087.392,159.86748
MPFIT,61180.787,159.73899
MPFIT,61274.183,159.60466
MPFIT,61367.578,159.46451
MPFIT,61460.974,159.31857
MPFIT,61554.37,159.16687
MPFIT,61647.765,159.00943
MPFIT,61741.161,158.84628
MPFIT,61834.556,158.67746
MPFIT,61927.952,158.50299
MPFIT,62021.348,158.3229
MPFIT,62114.743,158.13722
MPFIT,62208.139,157.94599
MPFIT,62301.534,157.74924
MPFIT,62394.93,157.547
MPFIT,62488.326,157.3393
MPFIT,62581.721,157.12619
MPFIT,62675.117,156.90769
MPFIT,62768.512,156.68385
MPFIT,62861.908,156.4547
MPFIT,62955.304,156.22028
MPFIT,63048.699,155.98062
MPFIT,63142.095,155.73577
MPFIT,63235.49,155.48576
MPFIT,63328.886,155.23065
MPFIT,63422.282,154.97045
MPFIT,63515.677,154.70523
MPFIT,63609.073,154.43502
MPFIT,63702.468,154.15986
MPFIT,63795.864,153.8798
MPFIT,63889.26,153.59488
MPFIT,63982.655,153.30515
MPFIT,64076.051,153.01065
MPFIT,64169.446,152.71142
MPFIT,64262.842,152.40752
MPFIT,64356.237,152.09899
MPFIT,64449.633,151.78587
MPFIT,64543.029,151.46822
MPFIT,64636.424,151.14609
MPFIT,64729.82,150.81951
MPFIT,64823.215,150.48855
MPFIT,64916.611,150.15325
MPFIT,65010.007,149.81366
MPFIT,65103.402,149.46983
MPFIT,65196.798,149.12181
MPFIT,65290.193,148.76966
MPFIT,65383.589,148.41343
MPFIT,65476.985,148.05316
MPFIT,65570.38,147.68891
MPFIT,65663.776,147.32074
MPFIT,65757.171,146.94869
MPFIT,65850.567,146.57283
MPFIT,65943.963,146.1932
MPFIT,66037.358,145.80986
MPFIT,66130.754,145.42286
MPFIT,66224.149,145.03226
MPFIT,66317.545,144.63812
MPFIT,66410.941,144.24049
MPFIT,66504.336,143.83942
MPFIT,66597.732,143.43497
MPFIT,66691.127,143.0272
MPFIT,66784.523,142.61616
MPFIT,66877.919,142.20191
MPFIT,66971.314,141.78451
MPFIT,67064.71,141.36402
MPFIT,67158.105,140.94048
MPFIT,67251.501,140.51397
MPFIT,67344.897,140.08453
MPFIT,67438.292,139.65222
MPFIT,67531.688,139.21711
MPFIT,67625.083,138.77924
MPFIT,67718.479,138.33869
MPFIT,67811.875,137.89549
MPFIT,67905.27,137.44973
MPFIT,67998.666,137.00144
MPFIT,68092.061,136.5507
MPFIT,68185.457,136.09755
MPFIT,68278.853,135.64206
MPFIT,68372.248,135.18428
MPFIT,68465.644,134.72428
MPFIT,68559.039,134.26211
MPFIT,68652.435,133.79783
MPFIT,68745.831,133.3315
MPFIT,68839.226,132.86317
MPFIT,68932.622,132.39291
MPFIT,69026.017,131.92077
MPFIT,69119.413,131.44682
MPFIT,69212.809,130.9711
MPFIT,69306.204,130.49368
