Cut?,Counts,eventNumber,runNumber
Raw,57757.267,0,339
Raw,1.44377819e+05,1,339
Raw,52130.114,2,339
Raw,57781.58,3,339
Raw,71455.3,4,339
Raw,38859.788,4,339
Raw,59099.502,5,339
Raw,37344.513,6,339
Raw,58544.104,6,339
Raw,52851.074,7,339
Raw,24187.42,7,339
Raw,1.03591763e+05,8,339
Raw,1.60353931e+05,9,339
Raw,58511.697,10,339
Raw,10478.337,10,339
Raw,42207.498,11,339
Raw,30276.212,11,339
Raw,51372.481,12,339
Raw,1.40193964e+05,13,339
Raw,76569.407,14,339
Raw,66771.666,14,339
Raw,1.02970159e+05,15,339
Raw,1.57721073e+05,16,339
Raw,50503.722,17,339
Raw,80112.763,19,339
Raw,47261.414,23,339
Raw,71536.017,23,339
Raw,52311.261,24,339
Raw,24193.477,24,339
Raw,1.27891468e+05,25,339
Raw,45789.061,25,339
Raw,31480.893,25,339
Raw,66835.506,26,339
Raw,1.30493053e+05,27,339
Raw,97723.569,30,339
Raw,57459.778,31,339
Raw,52685.843,31,339
Raw,55237.22,34,339
Raw,99084.173,36,339
Raw,12084.213,37,339
Raw,41212.17,37,339
Raw,1.42884261e+05,38,339
Raw,1.66788086e+05,39,339
Raw,87326.172,40,339
Raw,84039.17,42,339
Raw,32298.031,42,339
Raw,56101.327,43,339
Raw,25605.681,43,339
Raw,75258.895,45,339
Raw,89799.838,46,339
Raw,60073.824,47,339
Raw,26747.019,47,339
Raw,1.206285e+05,49,339
Raw,1.08716086e+05,50,339
Raw,1.25582182e+05,51,339
Raw,57714.662,52,339
Raw,21060.002,52,339
Raw,65502.747,53,339
Raw,1.11675686e+05,53,339
Raw,38884.706,54,339
Raw,30058.779,56,339
Raw,1.73816172e+05,56,339
Raw,59917.068,57,339
Raw,89095.653,58,339
Raw,31768.936,59,339
Raw,41506.834,59,339
Raw,1.59723217e+05,60,339
Raw,34043.53,61,339
Raw,82913.135,62,339
Raw,48403.587,63,339
Raw,50967.293,64,339
Raw,37930.553,64,339
Raw,1.69356569e+05,65,339
Raw,99868.753,66,339
Raw,84540.021,68,339
Raw,88893.615,69,339
Raw,1.6011766e+05,70,339
Raw,1.14308639e+05,72,339
Raw,1.2368855e+05,73,339
Raw,1.71942474e+05,74,339
Raw,23915.389,74,339
Raw,81738.858,75,339
Raw,1.46549427e+05,77,339
Raw,31547.155,77,339
Raw,76546.27,78,339
Raw,68802.431,78,339
Raw,59591.853,79,339
Raw,57022.403,80,339
Raw,87880.316,81,339
Raw,1.10458648e+05,82,339
Raw,72608.794,83,339
Raw,45372.454,84,339
Raw,30440.185,84,339
Raw,68252.092,85,339
Raw,51441.354,86,339
Raw,43932.767,87,339
Raw,51741.848,88,339
Raw,51802.547,88,339
Raw,47678.496,89,339
Raw,41137.349,91,339
Raw,80576.403,92,339
Raw,53360.009,93,339
Raw,95147.052,94,339
Raw,33882.753,95,339
Raw,27202.74,96,339
Raw,21148.97,97,339
Raw,46198.367,97,339
Raw,77290.106,98,339
Raw,52775.078,99,339
Raw,81722.989,100,339
Raw,1.08613894e+05,102,339
Raw,39725.1,102,339
Raw,36253.955,103,339
Raw,72597.724,103,339
Raw,48034.405,105,339
Raw,82743.21,106,339
Raw,28710.403,107,339
Raw,67857.596,108,339
Raw,65485.003,109,339
Raw,38587.752,110,339
Raw,1.2692907e+05,111,339
Raw,77538.826,112,339
Raw,50986.394,113,339
Raw,76848.256,114,339
Raw,29757.715,114,339
Raw,56346.727,115,339
Raw,60363.667,116,339
Raw,27640.076,118,339
Raw,35786.818,118,339
Raw,71914.101,118,339
Raw,1.09593133e+05,119,339
Raw,1.22163036e+05,123,339
Raw,1.5315548e+05,124,339
Raw,81454.697,124,339
Raw,20234.045,126,339
Raw,65255.807,127,339
Raw,74767.402,127,339
Raw,99260.217,130,339
Raw,34273.16,130,339
Raw,64568.111,131,339
Raw,26572.037,131,339
Raw,68223.313,132,339
Raw,58994.217,133,339
Raw,97641.538,134,339
Raw,55609.488,135,339
Raw,1.0049445e+05,136,339
Raw,35029.675,136,339
Raw,38058.649,138,339
Raw,50998.891,138,339
Raw,22493.318,138,339
Raw,85519.52,139,339
Raw,45308.471,140,339
Raw,80517.789,141,339
Raw,66854.239,142,339
Raw,1.02350762e+05,143,339
Raw,64414.382,145,339
Raw,68961.666,146,339
Raw,37283.508,146,339
Raw,1.58362436e+05,147,339
Raw,32866.626,148,339
Raw,1.04541015e+05,149,339
Raw,18495.397,149,339
Raw,52916.64,150,339
Raw,33798.142,151,339
Raw,1.08526177e+05,153,339
Raw,48733.765,154,339
Raw,72760.627,155,339
Raw,77903.26,156,339
Raw,1.34187991e+05,157,339
Raw,57631.199,157,339
Raw,33804.583,158,339
Raw,1.51688465e+05,159,339
Raw,1.09768493e+05,160,339
Raw,89688.579,161,339
Raw,13812.623,161,339
Raw,25393.657,161,339
Raw,67059.655,163,339
Raw,35890.696,164,339
Raw,58626.311,165,339
Raw,32312.745,165,339
Raw,54612.656,166,339
Raw,1.52550533e+05,168,339
Raw,60868.652,169,339
Raw,40798.442,169,339
Raw,58364.561,171,339
Raw,46217.5,172,339
Raw,80294.587,173,339
Raw,83625.545,174,339
Raw,1.33447295e+05,174,339
Raw,39533.688,176,339
Raw,35224.328,176,339
Raw,40804.508,177,339
Raw,1.07376884e+05,178,339
Raw,1.03197298e+05,179,339
Raw,1.59302427e+05,180,339
Raw,83520.174,181,339
Raw,70001.31,182,339
Raw,24173.925,182,339
Raw,36050.579,182,339
Raw,1.26193854e+05,184,339
Raw,77878.189,185,339
Raw,82985.124,186,339
Raw,89715.365,187,339
Raw,1.68145524e+05,188,339
Raw,23933.11,189,339
Raw,36281.491,189,339
Raw,23581.265,189,339
Raw,1.00551413e+05,190,339
Raw,47466.575,190,339
Raw,89076.654,191,339
Raw,41683.175,192,339
Raw,85163.391,193,339
Raw,98649.826,193,339
Raw,1.03934215e+05,194,339
Raw,1.2551214e+05,196,339
Raw,39750.348,196,339
Raw,33610.297,197,339
Raw,13710.556,197,339
Raw,13196.218,197,339
Raw,1.66742597e+05,198,339
Raw,47832.569,199,339
Raw,71246.387,199,339
Raw,25247.087,200,339
Raw,74764.771,200,339
Raw,66558.145,201,339
Raw,33321.368,201,339
Raw,81240.23,202,339
Raw,23236.395,203,339
Raw,88551.264,203,339
Raw,49979.207,204,339
Raw,33680.872,205,339
Raw,1.67338436e+05,208,339
Raw,1.62312179e+05,209,339
Raw,55651.842,210,339
Raw,1.50401168e+05,211,339
Raw,40182.509,211,339
Raw,1.21006526e+05,212,339
Raw,1.40637202e+05,213,339
Raw,94908.608,214,339
Raw,53044.898,214,339
Raw,42507.518,216,339
Raw,23335.577,216,339
Raw,1.73394931e+05,217,339
Raw,76426.53,218,339
Raw,53530.258,219,339
Raw,81430.943,220,339
Raw,1.20469093e+05,221,339
Raw,73060.299,222,339
Raw,28441.641,222,339
Raw,72460.384,224,339
Raw,28097.162,225,339
Raw,79759.049,225,339
Raw,62239.696,227,339
Raw,1.15235279e+05,229,339
Raw,1.32455962e+05,230,339
Raw,39863.407,231,339
Raw,92065.934,231,339
Raw,43889.711,232,339
Raw,1.20505403e+05,232,339
Raw,53662.182,233,339
Raw,39979.345,235,339
Raw,89110.589,235,339
Raw,74107.858,236,339
Raw,72932.428,237,339
Raw,62455.901,238,339
Raw,49407.196,239,339
Raw,45861.744,240,339
Raw,25292.657,240,339
Raw,1.41782362e+05,241,339
Raw,49783.707,241,339
Raw,82600.786,242,339
Raw,65215.216,242,339
Raw,70349.118,243,339
Raw,83585.796,243,339
Raw,76841.924,244,339
Raw,18039.067,247,339
Raw,58764.827,249,339
Raw,1.08038142e+05,250,339
Raw,1.54110462e+05,251,339
Raw,41391.527,252,339
Raw,44945.604,252,339
Raw,71153.357,253,339
Raw,85435.644,254,339
Raw,1.49596428e+05,255,339
Raw,1.05376937e+05,256,339
Raw,24222.919,256,339
Raw,30591.686,257,339
Raw,1.42454624e+05,258,339
Raw,1.53161835e+05,259,339
Raw,56734.328,260,339
Raw,86365.646,260,339
Raw,97662.935,261,339
Raw,1.03561274e+05,261,339
Raw,77916.009,262,339
Raw,1.03428906e+05,263,339
Raw,98526.56,264,339
Raw,32831.054,265,339
Raw,72306.73,266,339
Raw,1.17485017e+05,267,339
Raw,20440.94,267,339
Raw,1.46085345e+05,268,339
Raw,59247.171,269,339
Raw,1.6705226e+05,270,339
Raw,88834.288,271,339
Raw,1.70562616e+05,272,339
Raw,20607.237,272,339
Raw,91241.099,275,339
Raw,58204.153,276,339
Raw,54491.089,278,339
Raw,36510.31,278,339
Raw,35744.019,280,339
Raw,21902.483,280,339
Raw,32097.7,282,339
Raw,92124.059,282,339
Raw,53007.648,283,339
Raw,67787.152,284,339
Raw,32404.757,287,339
Raw,65727.412,288,339
Raw,55451.082,289,339
Raw,36639.592,289,339
Raw,29330.218,289,339
Raw,1.16928076e+05,291,339
Raw,1.10061429e+05,293,339
Raw,58995.117,295,339
Raw,58194.947,296,339
Raw,1.14288703e+05,297,339
Raw,1.1714125e+05,299,339
Raw,60796.455,303,339
Raw,61761.414,304,339
Raw,49760.02,304,339
Raw,46922.761,305,339
Raw,55005.646,307,339
Raw,79734.191,308,339
Raw,20433.355,308,339
Raw,34203.286,311,339
Raw,1.30095913e+05,312,339
Raw,63342.276,314,339
Raw,34182.994,314,339
Raw,55513.239,316,339
Raw,81804.308,317,339
Raw,59890.206,318,339
Raw,77774.849,320,339
Raw,30916.288,321,339
Raw,75178.926,321,339
Raw,1.4857281e+05,323,339
Raw,42595.845,326,339
Raw,58570.986,327,339
Raw,70840.112,328,339
Raw,77523.991,330,339
Raw,73052.402,332,339
Raw,31664.196,333,339
Raw,1.1608998e+05,333,339
Raw,96477.986,334,339
Raw,23555.586,334,339
Raw,70352.622,335,339
Raw,34541.951,337,339
Raw,32618.144,338,339
Raw,99614.581,338,339
Raw,1.11980496e+05,341,339
Raw,36285.21,342,339
Raw,37232.641,342,339
Raw,1.12220131e+05,343,339
Raw,80466.219,343,339
Raw,54204.508,345,339
Raw,24000.818,346,339
Raw,45048.954,346,339
Raw,40501.221,347,339
Raw,62338.57,348,339
Raw,40955.955,350,339
Raw,1.11142026e+05,350,339
Raw,1.29910275e+05,351,339
Raw,1.08722655e+05,352,339
Raw,22778.658,353,339
Raw,6827.2519,353,339
