eccentricity,run
1.3586982,339
1.3982395,339
1.192735,339
1.1409574,339
1.2547694,339
1.1259083,339
1.1598207,339
1.9495609,339
1.1002132,339
1.6442266,339
1.438673,339
1.9203276,339
1.9493079,339
1.9933841,339
1.4134251,339
1.1633296,339
1.3690913,339
1.3727516,339
1.5521916,339
1.4270052,339
1.3008313,339
1.1803227,339
1.6565894,339
1.7630341,339
1.0406445,339
1.5579273,339
1.1911256,339
1.2266192,339
1.5668165,339
1.7266505,339
1.2733961,339
1.8432579,339
1.3249113,339
1.5469999,339
1.2268899,339
1.6150613,339
1.3778746,339
1.1677516,339
1.3988249,339
1.1363922,339
1.2144672,339
1.6855125,339
1.1031562,339
1.5248279,339
1.3721165,339
1.2341312,339
1.0478201,339
1.4672171,339
1.8077232,339
1.3091417,339
1.3417556,339
1.352478,339
1.4246966,339
1.6816957,339
1.7053075,339
1.4586266,339
1.3145874,339
1.152069,339
1.7953807,339
1.4429563,339
1.7529697,339
1.3274457,339
1.9365027,339
1.1015034,339
1.5011588,339
1.6877081,339
1.5096964,339
1.3988792,339
1.3304357,339
1.346495,339
1.3785085,339
1.3165841,339
1.2926818,339
1.1522206,339
1.435839,339
1.6273164,339
1.4092633,339
1.0441954,339
1.423022,339
1.2855389,339
1.82958,339
1.0967299,339
1.1407953,339
1.3728071,339
1.8614498,339
1.4260536,339
1.3759057,339
1.1853342,339
1.2184901,339
1.1227111,339
1.2840544,339
1.7331075,339
1.4909366,339
1.6696912,339
1.0970318,339
1.6181647,339
1.5545158,339
1.4982521,339
1.1893744,339
1.6099837,339
1.1913163,339
1.1198453,339
1.4191165,339
1.4689964,339
1.2198443,339
1.2648313,339
1.5775794,339
1.5902687,339
1.3484182,339
1.18485,339
1.3762252,339
1.3166852,339
1.305017,339
1.4500247,339
1.2623924,339
1.7127345,339
1.5622519,339
1.755612,339
1.3010113,339
1.1310935,339
1.1185577,339
1.8027116,339
1.6075348,339
1.5083204,339
1.5407297,339
1.3444474,339
1.2906593,339
1.2243902,339
1.317069,339
1.2447229,339
1.462341,339
1.213767,339
1.4243624,339
1.3261931,339
1.2414291,339
1.5443228,339
1.2058038,339
1.1288395,339
1.1015525,339
1.2383541,339
1.9882782,339
1.1368751,339
1.4791044,339
1.8009391,339
1.961606,339
1.3066131,339
1.4427107,339
1.2466337,339
1.1795722,339
1.6173979,339
1.1297682,339
1.6803137,339
1.6422679,339
1.1504781,339
1.5234273,339
1.2741109,339
1.6168513,339
1.4474265,339
1.0475649,339
1.2573374,339
1.8055795,339
1.9807179,339
1.5211671,339
1.0788394,339
1.8655374,339
1.3966684,339
1.1816977,339
1.8500652,339
1.3350455,339
1.479099,339
1.2798737,339
1.7061261,339
1.2016809,339
1.5285098,339
1.2405808,339
1.5103191,339
1.5196985,339
1.2970703,339
1.5713069,339
1.1521506,339
1.3520541,339
1.607996,339
1.6511416,339
1.306595,339
1.1720531,339
1.2795906,339
1.6764032,339
1.4532398,339
1.0046042,339
1.1879709,339
1.200667,339
1.3565008,339
1.2337878,339
1.1748534,339
1.2518405,339
1.1427548,339
1.0921681,339
1.5044834,339
1.8636394,339
1.7379975,339
1.2944903,339
1.8327189,339
1.6972058,339
1.2747536,339
1.4918159,339
1.841901,339
1.5573474,339
1.2977218,339
1.4281204,339
1.3953141,339
1.3459107,339
1.4488086,339
1.4253988,339
1.3884247,339
1.229943,339
1.4018143,339
1.1058273,339
1.7986066,339
1.2810241,339
1.9972576,339
1.5986077,339
1.2425129,339
1.1127628,339
1.2753307,339
1.4479165,339
1.596401,339
1.432458,339
1.2622315,339
1.9453552,339
1.1484603,339
1.7865448,339
1.7436732,339
1.9073555,339
