fractionInTransverseRms,run
0.4137931,339
0.31578947,339
0.42307692,339
0.33333333,339
0.29166667,339
0.5,339
0.31818182,339
0.30769231,339
0.2173913,339
0.40909091,339
0.38235294,339
0.18181818,339
0.125,339
0.096774194,339
0.20833333,339
0.36,339
0.22857143,339
0.15789474,339
0.24137931,339
0.4,339
0.3902439,339
0.33333333,339
0.13114754,339
0.33333333,339
0.375,339
0.45454545,339
0.4516129,339
0.23076923,339
0.13636364,339
0.083333333,339
0.30434783,339
0.3125,339
0.375,339
0.21052632,339
0.41025641,339
0.14285714,339
0.31428571,339
0.41666667,339
0.23684211,339
0.375,339
0.3877551,339
0.30434783,339
0.42857143,339
0.28125,339
0.30434783,339
0.30769231,339
0.32352941,339
0.28888889,339
0.22857143,339
0.11111111,339
0.28125,339
0.25,339
0.28,339
0.25,339
0.15,339
0.30769231,339
0.3,339
0.42424242,339
0.24285714,339
0.19354839,339
0.21052632,339
0.33333333,339
0.1,339
0.26666667,339
0.25,339
0.32258065,339
0.25,339
0.23809524,339
0.24137931,339
0.32142857,339
0.18181818,339
0.23076923,339
0.26785714,339
0.33333333,339
0.35,339
0.19354839,339
0.3,339
0.27777778,339
0.10714286,339
0.4137931,339
0.14285714,339
0.34782609,339
0.37777778,339
0.16666667,339
0.055555556,339
0,339
0.26923077,339
0.22222222,339
0.20588235,339
0.31372549,339
0.26923077,339
0.12820513,339
0.25,339
0.4,339
0.375,339
0.16666667,339
0.14285714,339
0.043478261,339
0.32,339
0.23404255,339
0.32142857,339
0.42105263,339
0.29032258,339
0.066666667,339
0.27272727,339
0.23529412,339
0.27272727,339
0.25925926,339
0.16216216,339
0.2962963,339
0.33333333,339
0.24137931,339
0.25714286,339
0.4,339
0.39130435,339
0.2,339
0.13043478,339
0.16666667,339
0.41666667,339
0.3,339
0.33333333,339
0.13333333,339
0.17857143,339
0.25925926,339
0.36363636,339
0.2173913,339
0.34285714,339
0.26923077,339
0.13333333,339
0.29032258,339
0.34482759,339
0.29166667,339
0.28,339
0.27906977,339
0.25,339
0.25806452,339
0.19230769,339
0.40740741,339
0.33333333,339
0.25925926,339
0.21212121,339
0.22580645,339
0.38461538,339
0.14285714,339
0.075471698,339
0.29411765,339
0.375,339
0.375,339
0.35714286,339
0.2962963,339
0.090909091,339
0.25641026,339
0.39285714,339
0.22727273,339
0.40909091,339
0.39130435,339
0.23404255,339
0.14814815,339
0.3,339
0.25,339
0.11111111,339
0.13043478,339
0.25,339
0.38,339
0.11320755,339
0.26315789,339
0.45714286,339
0.33333333,339
0.13636364,339
0.3,339
0.41666667,339
0.13636364,339
0.36842105,339
0.28,339
0.36111111,339
0.045454545,339
0.27272727,339
0.28947368,339
0.12,339
0.13043478,339
0.51612903,339
0.065217391,339
0.15789474,339
0.11428571,339
0.3030303,339
0.39285714,339
0.18,339
0.2173913,339
0.29411765,339
0.42857143,339
0.23076923,339
0.2,339
0.39130435,339
0.42105263,339
0.2173913,339
0.34782609,339
0.36,339
0.34482759,339
0.125,339
0.40909091,339
0.26666667,339
0.24074074,339
0.13043478,339
0.16666667,339
0.22727273,339
0.078947368,339
0.10638298,339
0.2173913,339
0.28571429,339
0.22222222,339
0.28125,339
0.27586207,339
0.2,339
0.43478261,339
0.30434783,339
0.3125,339
0.31818182,339
0.06122449,339
0.33333333,339
0.15625,339
0.24358974,339
0.25925926,339
0.21428571,339
0.2,339
0.27777778,339
0.21052632,339
0.43478261,339
