hits,run
29,339
19,339
26,339
27,339
48,339
26,339
22,339
13,339
23,339
22,339
34,339
11,339
16,339
62,339
24,339
25,339
35,339
19,339
29,339
20,339
41,339
36,339
61,339
27,339
24,339
22,339
31,339
26,339
22,339
24,339
23,339
32,339
32,339
19,339
39,339
14,339
35,339
24,339
38,339
32,339
49,339
23,339
21,339
32,339
46,339
26,339
34,339
45,339
35,339
9,339
32,339
16,339
25,339
32,339
40,339
13,339
20,339
33,339
70,339
31,339
57,339
18,339
30,339
30,339
12,339
31,339
16,339
21,339
29,339
28,339
11,339
26,339
56,339
21,339
20,339
31,339
30,339
18,339
28,339
29,339
63,339
23,339
45,339
18,339
18,339
13,339
26,339
18,339
34,339
51,339
26,339
39,339
24,339
10,339
40,339
24,339
49,339
23,339
25,339
47,339
28,339
19,339
31,339
15,339
22,339
34,339
11,339
27,339
37,339
27,339
27,339
29,339
35,339
30,339
23,339
20,339
23,339
24,339
24,339
40,339
42,339
45,339
28,339
27,339
22,339
23,339
35,339
26,339
15,339
31,339
29,339
24,339
25,339
43,339
16,339
31,339
26,339
27,339
27,339
27,339
33,339
31,339
26,339
21,339
53,339
17,339
16,339
24,339
28,339
27,339
22,339
39,339
28,339
22,339
22,339
23,339
47,339
27,339
30,339
20,339
27,339
46,339
12,339
50,339
53,339
19,339
35,339
21,339
22,339
20,339
36,339
22,339
19,339
25,339
36,339
22,339
22,339
38,339
25,339
23,339
31,339
46,339
19,339
35,339
33,339
28,339
50,339
23,339
34,339
28,339
26,339
30,339
23,339
19,339
23,339
23,339
25,339
29,339
24,339
22,339
15,339
54,339
23,339
24,339
22,339
38,339
47,339
23,339
14,339
27,339
32,339
29,339
60,339
23,339
23,339
16,339
22,339
49,339
36,339
32,339
78,339
27,339
14,339
20,339
18,339
57,339
23,339
35,339
27,339
37,339
28,339
55,339
59,339
79,339
30,339
22,339
33,339
20,339
25,339
36,339
30,339
29,339
40,339
29,339
31,339
18,339
22,339
20,339
51,339
23,339
27,339
17,339
31,339
25,339
49,339
28,339
38,339
27,339
43,339
8,339
19,339
36,339
91,339
24,339
26,339
44,339
29,339
28,339
18,339
26,339
17,339
49,339
18,339
33,339
24,339
31,339
29,339
34,339
24,339
19,339
19,339
46,339
36,339
64,339
17,339
46,339
22,339
45,339
34,339
33,339
34,339
29,339
29,339
18,339
19,339
24,339
35,339
27,339
17,339
21,339
42,339
13,339
34,339
25,339
38,339
18,339
27,339
22,339
24,339
17,339
26,339
15,339
10,339
29,339
28,339
48,339
23,339
33,339
24,339
26,339
49,339
30,339
28,339
28,339
35,339
17,339
15,339
35,339
13,339
21,339
43,339
32,339
22,339
17,339
28,339
21,339
21,339
20,339
36,339
40,339
28,339
14,339
74,339
33,339
30,339
31,339
30,339
25,339
28,339
23,339
31,339
23,339
29,339
24,339
18,339
23,339
55,339
24,339
32,339
26,339
21,339
10,339
24,339
31,339
30,339
15,339
28,339
19,339
28,339
56,339
18,339
25,339
25,339
24,339
65,339
30,339
8,339
36,339
28,339
37,339
34,339
28,339
22,339
18,339
16,339
20,339
20,339
31,339
32,339
19,339
16,339
23,339
14,339
27,339
34,339
38,339
26,339
38,339
21,339
41,339
43,339
25,339
33,339
40,339
36,339
46,339
38,339
37,339
31,339
22,339
48,339
23,339
54,339
17,339
24,339
27,339
48,339
28,339
35,339
23,339
16,339
19,339
37,339
26,339
24,339
17,339
29,339
32,339
56,339
20,339
15,339
19,339
20,339
57,339
32,339
21,339
26,339
29,339
21,339
25,339
45,339
18,339
16,339
37,339
15,339
24,339
20,339
30,339
48,339
51,339
18,339
71,339
20,339
18,339
24,339
26,339
31,339
39,339
24,339
67,339
27,339
22,339
16,339
26,339
54,339
66,339
23,339
34,339
21,339
54,339
42,339
34,339
24,339
11,339
9,339
27,339
39,339
21,339
27,339
18,339
29,339
22,339
19,339
26,339
28,339
54,339
30,339
22,339
37,339
74,339
21,339
14,339
26,339
23,339
34,339
31,339
23,339
30,339
42,339
31,339
25,339
22,339
83,339
22,339
51,339
26,339
23,339
19,339
51,339
35,339
31,339
52,339
24,339
53,339
24,339
21,339
26,339
22,339
21,339
14,339
30,339
24,339
33,339
20,339
58,339
29,339
24,339
16,339
35,339
23,339
31,339
36,339
32,339
44,339
24,339
62,339
27,339
32,339
80,339
18,339
55,339
48,339
17,339
36,339
40,339
54,339
29,339
23,339
40,339
22,339
25,339
5,339
17,339
24,339
48,339
48,339
27,339
28,339
21,339
19,339
31,339
28,339
35,339
40,339
22,339
27,339
21,339
24,339
15,339
20,339
23,339
26,339
52,339
22,339
27,339
32,339
35,339
23,339
23,339
17,339
23,339
55,339
30,339
24,339
10,339
19,339
33,339
22,339
27,339
52,339
25,339
25,339
30,339
45,339
20,339
21,339
28,339
17,339
44,339
29,339
44,339
42,339
38,339
22,339
56,339
29,339
25,339
38,339
19,339
84,339
25,339
24,339
24,339
12,339
28,339
12,339
49,339
38,339
28,339
16,339
15,339
29,339
30,339
25,339
27,339
20,339
20,339
17,339
64,339
37,339
50,339
24,339
59,339
28,339
35,339
