kurtosisTransverse,run
0.87139095,339
-0.9652213,339
-0.8981276,339
-0.60009896,339
-0.26123998,339
0.95267914,339
-0.020303783,339
1.4496252,339
-0.67720473,339
1.3437385,339
1.8772832,339
-0.45733826,339
-0.57041228,339
-0.78709417,339
-1.5430462,339
-0.43417652,339
-0.93958447,339
-1.2604207,339
-0.058526862,339
0.3105507,339
-0.027857747,339
0.060907143,339
-0.48393258,339
-0.77231417,339
-0.38081411,339
1.1854219,339
1.7076508,339
2.5929367,339
0.081694636,339
-0.86993954,339
-1.1145688,339
0.10942399,339
-0.1480929,339
-0.7700159,339
-0.70042981,339
-1.3659361,339
0.22547759,339
-0.97863394,339
-0.77984609,339
0.94946229,339
0.21990667,339
-0.21803045,339
0.42411741,339
0.10786433,339
-0.36614131,339
-0.24075598,339
-0.25447475,339
-0.90691915,339
-0.22286273,339
-1.0071187,339
-1.0834087,339
-0.17680838,339
-0.22392106,339
3.6889169,339
-0.015179563,339
0.066668564,339
-1.0284069,339
0.1654378,339
0.22425754,339
-0.63456063,339
-0.98801579,339
-0.59051273,339
-0.010874648,339
-1.1229554,339
-0.17668022,339
-0.047055426,339
-0.70064849,339
-1.0476151,339
-1.3429507,339
-0.41541756,339
-0.84338463,339
-0.51069387,339
-0.049397266,339
-1.0246387,339
0.60121567,339
-0.70541822,339
-1.1886517,339
-0.79555813,339
-0.96097745,339
-1.3538949,339
-0.67222188,339
1.385328,339
-0.44872512,339
0.64503017,339
0.45417751,339
0.65063952,339
0.09995365,339
-0.39445436,339
-0.039815093,339
-0.39831365,339
-0.23668834,339
-0.19470378,339
-1.0910764,339
2.5019321,339
-1.0312425,339
-1.181481,339
0.07351712,339
-0.45834364,339
-0.25489765,339
0.48058564,339
0.24720268,339
-0.35299567,339
-0.55172161,339
-1.2470691,339
0.16517438,339
0.91419347,339
1.2724419,339
-0.69685357,339
-0.494146,339
-0.38729788,339
0.89702267,339
-0.44839235,339
-1.0677426,339
-1.0386386,339
-0.56152547,339
-0.51138428,339
0.22406387,339
-0.25543864,339
-0.013357883,339
-0.6738302,339
0.37039428,339
-0.46544359,339
-0.7059332,339
-0.31019594,339
0.66442358,339
-0.92348316,339
0.6751642,339
0.38771382,339
-0.90748949,339
-0.5893617,339
-0.4861271,339
0.37499892,339
0.53327845,339
0.19521251,339
-0.19113969,339
-0.072711538,339
-0.50752277,339
0.95916215,339
-0.34360963,339
-1.2103298,339
-1.054366,339
-0.66493308,339
-0.95803134,339
-0.77390144,339
0.28251431,339
0.65385611,339
0.49573077,339
-0.50098292,339
-0.54938135,339
2.7902193,339
-0.79016268,339
-0.61208403,339
-0.52203615,339
-0.86333546,339
-0.20353292,339
-0.27645584,339
-0.28577104,339
-0.99851858,339
-0.68162937,339
-0.76789297,339
-0.74371266,339
-0.85879372,339
-0.83124507,339
-0.20114253,339
-0.45093506,339
-0.39104063,339
0.020294145,339
-1.2158469,339
-1.0260348,339
0.00443661,339
0.1054121,339
-0.87648597,339
-0.65224744,339
1.3112505,339
1.5140941,339
1.8985675,339
0.14093944,339
-0.8430339,339
-0.759663,339
-0.53720451,339
0.48111146,339
-0.76158524,339
-1.0631345,339
-1.0574521,339
-0.18798927,339
-0.3906226,339
-0.27304201,339
-0.9569728,339
-1.0679152,339
-0.71601123,339
-1.2572937,339
-1.5754543,339
0.29882251,339
-1.3465021,339
1.0833765,339
0.57628311,339
-1.0449786,339
0.77802067,339
-0.74579594,339
-0.1421723,339
-0.24080725,339
-0.41192277,339
-0.7139361,339
-0.6402143,339
-0.23793136,339
0.57267366,339
-0.71851892,339
-0.79702985,339
-0.070049243,339
-1.1645789,339
0.082274396,339
-0.45587665,339
-0.60478805,339
1.7417107,339
1.0282,339
-0.27937258,339
-0.62766814,339
-0.58584994,339
-0.21585413,339
-0.3651506,339
0.20821726,339
-0.76997443,339
-0.11746991,339
-0.45288356,339
-1.0735255,339
0.042426972,339
1.2981172,339
-0.55446729,339
-1.2850465,339
-0.77204961,339
-0.78031104,339
1.5346582,339
-0.036119311,339
-0.17916375,339
-0.36864328,339
-0.28255194,339
-0.23319243,339
-0.85644346,339
-0.33721418,339
-0.73296769,339
-0.24849099,339
0.22866967,339
0.34304174,339
