lengthDivRmsTrans,run
6.1301234,339
6.0052077,339
5.3222338,339
5.0083632,339
5.3468585,339
4.9568485,339
4.1752152,339
6.6025958,339
4.1534612,339
5.6323384,339
5.7480858,339
6.1576497,339
5.9637812,339
8.4319361,339
5.4403116,339
4.7264092,339
6.3502625,339
4.8420518,339
7.015205,339
5.3218999,339
6.5484657,339
5.376317,339
6.1063149,339
8.602611,339
3.8280213,339
7.3274375,339
4.5370973,339
3.8597954,339
6.0598559,339
7.5482429,339
5.7652743,339
6.9789946,339
6.5142586,339
5.5677497,339
5.4473628,339
5.0799541,339
5.8861381,339
5.982376,339
5.5629015,339
4.3029108,339
6.1744913,339
6.3904948,339
3.899699,339
6.0617575,339
5.9718601,339
4.3496244,339
4.5390356,339
6.2446623,339
6.4003704,339
3.2194203,339
5.4903217,339
5.0131714,339
5.3406943,339
6.2555175,339
6.8855033,339
4.641313,339
4.5635186,339
5.0188554,339
6.8932172,339
5.4365848,339
6.1749456,339
5.3116483,339
7.2608452,339
5.1229921,339
4.9006351,339
7.6768198,339
5.5270282,339
4.7246397,339
6.0324679,339
5.4694905,339
5.2565988,339
4.5669834,339
6.2600172,339
4.0898026,339
5.280632,339
6.5967352,339
5.004636,339
3.0554018,339
5.2072854,339
6.0053626,339
7.3022143,339
3.5523389,339
5.495881,339
4.61076,339
5.3888777,339
4.4027939,339
5.3922359,339
4.4873286,339
4.5228341,339
4.6526445,339
5.5102881,339
6.3433009,339
4.8747826,339
6.4873319,339
3.7325922,339
6.6207946,339
7.0309491,339
4.7412207,339
4.9920419,339
5.6722557,339
4.3650726,339
4.2680478,339
4.8502173,339
5.1212014,339
4.0556505,339
4.4918239,339
4.7516535,339
5.2419098,339
5.6112765,339
4.5063492,339
4.8689895,339
4.8030171,339
5.7823506,339
5.7771084,339
4.6162307,339
5.9358724,339
4.9754517,339
6.9399232,339
4.6674598,339
4.5917863,339
4.6168679,339
6.8372121,339
4.8942635,339
6.3526581,339
5.4689888,339
4.6517526,339
5.0281315,339
4.496319,339
4.892823,339
6.2412707,339
5.5850905,339
4.0386039,339
5.8728222,339
4.6953069,339
4.6019222,339
5.0182037,339
4.8883632,339
4.4071862,339
4.1631035,339
5.3635545,339
9.4241666,339
4.075198,339
7.0841704,339
6.4714274,339
6.680693,339
4.8950944,339
5.7554131,339
5.1991088,339
4.7416365,339
7.1748809,339
3.8391568,339
6.7374945,339
7.8851503,339
3.8440418,339
5.8847604,339
6.3827714,339
6.216123,339
5.5708003,339
4.1055754,339
4.8600475,339
6.2133625,339
7.3074517,339
5.8912181,339
4.9096486,339
7.0009813,339
5.295548,339
4.6983035,339
6.1916072,339
4.5418636,339
6.8659206,339
5.2516124,339
6.1672068,339
4.6358735,339
5.4264743,339
5.1574252,339
4.5609656,339
