totalCharge,run
57781.58,339
38859.788,339
59099.502,339
52851.074,339
1.03591763e+05,339
58511.697,339
42207.498,339
30276.212,339
51372.481,339
50503.722,339
80112.763,339
24193.477,339
31480.893,339
1.30493053e+05,339
57459.778,339
55237.22,339
75258.895,339
41506.834,339
82913.135,339
37930.553,339
99868.753,339
84540.021,339
1.6011766e+05,339
76546.27,339
59591.853,339
57022.403,339
87880.316,339
68252.092,339
51441.354,339
47678.496,339
53360.009,339
77290.106,339
81722.989,339
48034.405,339
82743.21,339
28710.403,339
67857.596,339
65485.003,339
76848.256,339
71914.101,339
1.22163036e+05,339
68223.313,339
58994.217,339
80517.789,339
1.02350762e+05,339
64414.382,339
72760.627,339
1.09768493e+05,339
89688.579,339
25393.657,339
67059.655,339
40798.442,339
58364.561,339
80294.587,339
83625.545,339
35224.328,339
40804.508,339
82985.124,339
1.68145524e+05,339
89076.654,339
1.2551214e+05,339
33610.297,339
74764.771,339
66558.145,339
33321.368,339
81240.23,339
33680.872,339
53044.898,339
76426.53,339
81430.943,339
28441.641,339
62239.696,339
1.15235279e+05,339
53662.182,339
39979.345,339
72932.428,339
62455.901,339
45861.744,339
65215.216,339
76841.924,339
1.7531813e+05,339
58764.827,339
1.08038142e+05,339
41391.527,339
44945.604,339
30591.686,339
77916.009,339
32831.054,339
72306.73,339
1.17485017e+05,339
59247.171,339
91241.099,339
58204.153,339
21902.483,339
92124.059,339
53007.648,339
1.16928076e+05,339
58995.117,339
58194.947,339
1.1714125e+05,339
60796.455,339
46922.761,339
79734.191,339
34182.994,339
55513.239,339
81804.308,339
30916.288,339
58570.986,339
1.12220131e+05,339
62338.57,339
58218.975,339
64483.787,339
75159.391,339
56784.406,339
45322.101,339
51388.938,339
55207.666,339
71355.183,339
56978.439,339
92774.136,339
99768.146,339
1.15617508e+05,339
65342.183,339
55199.044,339
53519.923,339
53840.33,339
86634.595,339
64730.132,339
35165.611,339
80817.013,339
70705.249,339
55812.07,339
68087.697,339
1.05833453e+05,339
30146.13,339
65839.8,339
55438.199,339
61716.212,339
62054.537,339
68598.974,339
83672.757,339
68398.879,339
65451.373,339
77874.938,339
1.29810102e+05,339
40434.091,339
31398.029,339
55504.203,339
74501.967,339
59130.85,339
60056.159,339
1.02245376e+05,339
55762.635,339
52916.247,339
55280.638,339
63817.838,339
1.08450252e+05,339
63633.828,339
75166.87,339
50888.007,339
54450.079,339
1.10377701e+05,339
28064.18,339
1.23823828e+05,339
1.14446885e+05,339
53099.955,339
88502.729,339
46409.305,339
48997.551,339
55821.508,339
1.14629501e+05,339
39989.157,339
48747.495,339
59913.314,339
77447.101,339
63740.715,339
44051.611,339
94734.652,339
68613.973,339
54822.53,339
65058.338,339
96887.358,339
45851.984,339
88325.183,339
70540.476,339
59794.15,339
1.29593e+05,339
54787.085,339
91539.204,339
62934.164,339
58078.062,339
65152.164,339
63859.242,339
38635.854,339
61449.538,339
53924.24,339
54457.287,339
67252.673,339
56871.323,339
60934.813,339
39982.904,339
1.36911445e+05,339
52970.87,339
72145.87,339
48066.928,339
81547.231,339
1.16585308e+05,339
52664.872,339
34584.56,339
71043.675,339
81060.155,339
82408.512,339
1.48418059e+05,339
45814.526,339
46861.02,339
29860.859,339
67232.549,339
1.17216159e+05,339
85705.338,339
71013.321,339
1.83304936e+05,339
60280.686,339
30796.787,339
50007.509,339
31356.794,339
1.33204809e+05,339
59933.123,339
82598.519,339
55851.936,339
90013.349,339
60373.197,339
1.52300939e+05,339
1.15735066e+05,339
1.75005888e+05,339
69257.238,339
56057.2,339
83831.962,339
59180.058,339
66747.622,339
87369.097,339
80520.559,339
72425.979,339
80542.782,339
66212.12,339
77227.053,339
43217.991,339
62952.701,339
59438.624,339
1.32406729e+05,339
60568.653,339
62295.289,339
37056.216,339
77282.649,339
62000.079,339
1.16804735e+05,339
53135.357,339
94037.895,339
60013.44,339
98714.837,339
15260.193,339
54780.717,339
78765.786,339
1.8781632e+05,339
61939.377,339
63625.592,339
95820.376,339
60638.899,339
60360.452,339
36406.369,339
67167.441,339
41939.862,339
1.03652048e+05,339
40852.731,339
87282.396,339
59022.892,339
77489.967,339
60391.731,339
1.06083685e+05,339
44564.444,339
59819.286,339
40420.206,339
97341.488,339
87507.903,339
1.46852041e+05,339
35607.32,339
1.00677676e+05,339
51413.119,339
1.10578026e+05,339
91275.566,339
76242.115,339
90126.37,339
67686.374,339
79706.489,339
44627.129,339
39505.848,339
50605.87,339
93315.143,339
56436.839,339
36428.018,339
49436.744,339
1.18648524e+05,339
37915.492,339
85437.254,339
58586.36,339
98957.107,339
53009.381,339
73843.412,339
57911.314,339
50307.727,339
48829.415,339
83670.333,339
47058.766,339
19481.672,339
67036.567,339
80760.427,339
1.13173942e+05,339
50234.868,339
78971.072,339
62783.11,339
