Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,44,4,335,hits,Cu-EPIC-2kV,1.1552317
Cut,18,5,335,hits,Cu-EPIC-2kV,0.47259479
Cut,17,8,335,hits,Cu-EPIC-2kV,0.44633953
Cut,28,8,335,hits,Cu-EPIC-2kV,0.73514746
Cut,47,9,335,hits,Cu-EPIC-2kV,1.2339975
Cut,66,13,335,hits,Cu-EPIC-2kV,1.7328476
Cut,37,14,335,hits,Cu-EPIC-2kV,0.97144486
Cut,34,15,335,hits,Cu-EPIC-2kV,0.89267906
Cut,42,16,335,hits,Cu-EPIC-2kV,1.1027212
Cut,42,17,335,hits,Cu-EPIC-2kV,1.1027212
Cut,59,19,335,hits,Cu-EPIC-2kV,1.5490607
Cut,30,21,335,hits,Cu-EPIC-2kV,0.78765799
Cut,29,26,335,hits,Cu-EPIC-2kV,0.76140272
Cut,34,27,335,hits,Cu-EPIC-2kV,0.89267906
Cut,40,28,335,hits,Cu-EPIC-2kV,1.0502107
Cut,50,30,335,hits,Cu-EPIC-2kV,1.3127633
Cut,39,32,335,hits,Cu-EPIC-2kV,1.0239554
Cut,51,35,335,hits,Cu-EPIC-2kV,1.3390186
Cut,58,38,335,hits,Cu-EPIC-2kV,1.5228054
Cut,39,43,335,hits,Cu-EPIC-2kV,1.0239554
Cut,58,45,335,hits,Cu-EPIC-2kV,1.5228054
Cut,58,51,335,hits,Cu-EPIC-2kV,1.5228054
Cut,19,52,335,hits,Cu-EPIC-2kV,0.49885006
Cut,34,53,335,hits,Cu-EPIC-2kV,0.89267906
Cut,34,54,335,hits,Cu-EPIC-2kV,0.89267906
Cut,47,55,335,hits,Cu-EPIC-2kV,1.2339975
Cut,71,56,335,hits,Cu-EPIC-2kV,1.8641239
Cut,54,58,335,hits,Cu-EPIC-2kV,1.4177844
Cut,46,62,335,hits,Cu-EPIC-2kV,1.2077423
Cut,25,65,335,hits,Cu-EPIC-2kV,0.65638166
Cut,26,66,335,hits,Cu-EPIC-2kV,0.68263693
Cut,57,72,335,hits,Cu-EPIC-2kV,1.4965502
Cut,46,75,335,hits,Cu-EPIC-2kV,1.2077423
Cut,38,78,335,hits,Cu-EPIC-2kV,0.99770012
Cut,53,80,335,hits,Cu-EPIC-2kV,1.3915291
Cut,56,81,335,hits,Cu-EPIC-2kV,1.4702949
Cut,28,83,335,hits,Cu-EPIC-2kV,0.73514746
Cut,58,84,335,hits,Cu-EPIC-2kV,1.5228054
Cut,34,87,335,hits,Cu-EPIC-2kV,0.89267906
Cut,66,89,335,hits,Cu-EPIC-2kV,1.7328476
Cut,54,93,335,hits,Cu-EPIC-2kV,1.4177844
Cut,36,94,335,hits,Cu-EPIC-2kV,0.94518959
Cut,45,95,335,hits,Cu-EPIC-2kV,1.181487
Cut,48,101,335,hits,Cu-EPIC-2kV,1.2602528
Cut,39,104,335,hits,Cu-EPIC-2kV,1.0239554
Cut,26,105,335,hits,Cu-EPIC-2kV,0.68263693
Cut,35,107,335,hits,Cu-EPIC-2kV,0.91893432
Cut,39,110,335,hits,Cu-EPIC-2kV,1.0239554
Cut,34,112,335,hits,Cu-EPIC-2kV,0.89267906
Cut,27,113,335,hits,Cu-EPIC-2kV,0.70889219
Cut,27,115,335,hits,Cu-EPIC-2kV,0.70889219
Cut,51,116,335,hits,Cu-EPIC-2kV,1.3390186
Cut,33,118,335,hits,Cu-EPIC-2kV,0.86642379
Cut,43,130,335,hits,Cu-EPIC-2kV,1.1289765
Cut,34,131,335,hits,Cu-EPIC-2kV,0.89267906
Cut,72,132,335,hits,Cu-EPIC-2kV,1.8903792
Cut,36,134,335,hits,Cu-EPIC-2kV,0.94518959
Cut,23,136,335,hits,Cu-EPIC-2kV,0.60387113
Cut,33,139,335,hits,Cu-EPIC-2kV,0.86642379
Cut,37,140,335,hits,Cu-EPIC-2kV,0.97144486
Cut,38,141,335,hits,Cu-EPIC-2kV,0.99770012
Cut,33,144,335,hits,Cu-EPIC-2kV,0.86642379
Cut,54,145,335,hits,Cu-EPIC-2kV,1.4177844
Cut,59,147,335,hits,Cu-EPIC-2kV,1.5490607
Cut,43,150,335,hits,Cu-EPIC-2kV,1.1289765
Cut,32,156,335,hits,Cu-EPIC-2kV,0.84016852
Cut,23,158,335,hits,Cu-EPIC-2kV,0.60387113
Cut,33,159,335,hits,Cu-EPIC-2kV,0.86642379
Cut,42,162,335,hits,Cu-EPIC-2kV,1.1027212
Cut,32,166,335,hits,Cu-EPIC-2kV,0.84016852
Cut,41,171,335,hits,Cu-EPIC-2kV,1.0764659
Cut,41,178,335,hits,Cu-EPIC-2kV,1.0764659
Cut,60,179,335,hits,Cu-EPIC-2kV,1.575316
Cut,30,182,335,hits,Cu-EPIC-2kV,0.78765799
Cut,43,184,335,hits,Cu-EPIC-2kV,1.1289765
Cut,41,185,335,hits,Cu-EPIC-2kV,1.0764659
Cut,33,186,335,hits,Cu-EPIC-2kV,0.86642379
Cut,62,188,335,hits,Cu-EPIC-2kV,1.6278265
Cut,33,192,335,hits,Cu-EPIC-2kV,0.86642379
Cut,72,194,335,hits,Cu-EPIC-2kV,1.8903792
Cut,72,195,335,hits,Cu-EPIC-2kV,1.8903792
Cut,25,197,335,hits,Cu-EPIC-2kV,0.65638166
Cut,38,201,335,hits,Cu-EPIC-2kV,0.99770012
Cut,25,204,335,hits,Cu-EPIC-2kV,0.65638166
Cut,31,205,335,hits,Cu-EPIC-2kV,0.81391326
Cut,35,206,335,hits,Cu-EPIC-2kV,0.91893432
Cut,63,211,335,hits,Cu-EPIC-2kV,1.6540818
Cut,30,220,335,hits,Cu-EPIC-2kV,0.78765799
Cut,37,221,335,hits,Cu-EPIC-2kV,0.97144486
Cut,46,224,335,hits,Cu-EPIC-2kV,1.2077423
Cut,38,225,335,hits,Cu-EPIC-2kV,0.99770012
Cut,40,227,335,hits,Cu-EPIC-2kV,1.0502107
Cut,35,233,335,hits,Cu-EPIC-2kV,0.91893432
Cut,33,234,335,hits,Cu-EPIC-2kV,0.86642379
Cut,26,235,335,hits,Cu-EPIC-2kV,0.68263693
Cut,54,236,335,hits,Cu-EPIC-2kV,1.4177844
Cut,41,239,335,hits,Cu-EPIC-2kV,1.0764659
Cut,28,240,335,hits,Cu-EPIC-2kV,0.73514746
Cut,38,244,335,hits,Cu-EPIC-2kV,0.99770012
Cut,30,247,335,hits,Cu-EPIC-2kV,0.78765799
Cut,42,248,335,hits,Cu-EPIC-2kV,1.1027212
Cut,29,249,335,hits,Cu-EPIC-2kV,0.76140272
Cut,71,251,335,hits,Cu-EPIC-2kV,1.8641239
Cut,24,254,335,hits,Cu-EPIC-2kV,0.63012639
Cut,60,255,335,hits,Cu-EPIC-2kV,1.575316
Cut,14,257,335,hits,Cu-EPIC-2kV,0.36757373
Cut,44,261,335,hits,Cu-EPIC-2kV,1.1552317
Cut,47,268,335,hits,Cu-EPIC-2kV,1.2339975
Cut,34,274,335,hits,Cu-EPIC-2kV,0.89267906
Cut,37,275,335,hits,Cu-EPIC-2kV,0.97144486
Cut,42,280,335,hits,Cu-EPIC-2kV,1.1027212
Cut,31,282,335,hits,Cu-EPIC-2kV,0.81391326
Cut,34,283,335,hits,Cu-EPIC-2kV,0.89267906
Cut,53,285,335,hits,Cu-EPIC-2kV,1.3915291
Cut,26,289,335,hits,Cu-EPIC-2kV,0.68263693
Cut,38,291,335,hits,Cu-EPIC-2kV,0.99770012
Cut,22,298,335,hits,Cu-EPIC-2kV,0.57761586
Cut,30,299,335,hits,Cu-EPIC-2kV,0.78765799
Cut,19,301,335,hits,Cu-EPIC-2kV,0.49885006
Cut,25,305,335,hits,Cu-EPIC-2kV,0.65638166
Cut,38,306,335,hits,Cu-EPIC-2kV,0.99770012
Cut,56,307,335,hits,Cu-EPIC-2kV,1.4702949
Cut,41,312,335,hits,Cu-EPIC-2kV,1.0764659
Cut,33,313,335,hits,Cu-EPIC-2kV,0.86642379
Cut,48,316,335,hits,Cu-EPIC-2kV,1.2602528
Cut,32,321,335,hits,Cu-EPIC-2kV,0.84016852
Cut,73,322,335,hits,Cu-EPIC-2kV,1.9166344
Cut,51,324,335,hits,Cu-EPIC-2kV,1.3390186
Cut,33,325,335,hits,Cu-EPIC-2kV,0.86642379
Cut,28,326,335,hits,Cu-EPIC-2kV,0.73514746
Cut,21,330,335,hits,Cu-EPIC-2kV,0.55136059
Cut,34,332,335,hits,Cu-EPIC-2kV,0.89267906
Cut,63,333,335,hits,Cu-EPIC-2kV,1.6540818
Cut,29,334,335,hits,Cu-EPIC-2kV,0.76140272
Cut,33,336,335,hits,Cu-EPIC-2kV,0.86642379
Cut,32,339,335,hits,Cu-EPIC-2kV,0.84016852
Cut,31,340,335,hits,Cu-EPIC-2kV,0.81391326
Cut,37,341,335,hits,Cu-EPIC-2kV,0.97144486
Cut,59,348,335,hits,Cu-EPIC-2kV,1.5490607
Cut,37,350,335,hits,Cu-EPIC-2kV,0.97144486
Cut,49,352,335,hits,Cu-EPIC-2kV,1.2865081
Cut,35,354,335,hits,Cu-EPIC-2kV,0.91893432
Cut,55,359,335,hits,Cu-EPIC-2kV,1.4440397
Cut,40,360,335,hits,Cu-EPIC-2kV,1.0502107
Cut,40,364,335,hits,Cu-EPIC-2kV,1.0502107
Cut,46,365,335,hits,Cu-EPIC-2kV,1.2077423
Cut,13,368,335,hits,Cu-EPIC-2kV,0.34131846
Cut,63,369,335,hits,Cu-EPIC-2kV,1.6540818
Cut,40,373,335,hits,Cu-EPIC-2kV,1.0502107
Cut,44,374,335,hits,Cu-EPIC-2kV,1.1552317
Cut,36,375,335,hits,Cu-EPIC-2kV,0.94518959
Cut,51,376,335,hits,Cu-EPIC-2kV,1.3390186
Cut,35,377,335,hits,Cu-EPIC-2kV,0.91893432
Cut,27,378,335,hits,Cu-EPIC-2kV,0.70889219
Cut,32,379,335,hits,Cu-EPIC-2kV,0.84016852
Cut,88,380,335,hits,Cu-EPIC-2kV,2.3104634
Cut,49,381,335,hits,Cu-EPIC-2kV,1.2865081
Cut,31,382,335,hits,Cu-EPIC-2kV,0.81391326
Cut,24,384,335,hits,Cu-EPIC-2kV,0.63012639
Cut,40,393,335,hits,Cu-EPIC-2kV,1.0502107
Cut,41,395,335,hits,Cu-EPIC-2kV,1.0764659
Cut,49,401,335,hits,Cu-EPIC-2kV,1.2865081
Cut,41,403,335,hits,Cu-EPIC-2kV,1.0764659
Cut,73,404,335,hits,Cu-EPIC-2kV,1.9166344
Cut,34,405,335,hits,Cu-EPIC-2kV,0.89267906
Cut,39,406,335,hits,Cu-EPIC-2kV,1.0239554
Cut,45,409,335,hits,Cu-EPIC-2kV,1.181487
Cut,29,410,335,hits,Cu-EPIC-2kV,0.76140272
Cut,34,413,335,hits,Cu-EPIC-2kV,0.89267906
Cut,55,414,335,hits,Cu-EPIC-2kV,1.4440397
Cut,30,415,335,hits,Cu-EPIC-2kV,0.78765799
Cut,56,419,335,hits,Cu-EPIC-2kV,1.4702949
Cut,52,422,335,hits,Cu-EPIC-2kV,1.3652739
Cut,49,423,335,hits,Cu-EPIC-2kV,1.2865081
Cut,44,425,335,hits,Cu-EPIC-2kV,1.1552317
Cut,27,434,335,hits,Cu-EPIC-2kV,0.70889219
Cut,28,437,335,hits,Cu-EPIC-2kV,0.73514746
Cut,56,440,335,hits,Cu-EPIC-2kV,1.4702949
Cut,53,441,335,hits,Cu-EPIC-2kV,1.3915291
Cut,28,442,335,hits,Cu-EPIC-2kV,0.73514746
Cut,30,447,335,hits,Cu-EPIC-2kV,0.78765799
Cut,69,453,335,hits,Cu-EPIC-2kV,1.8116134
Cut,22,454,335,hits,Cu-EPIC-2kV,0.57761586
Cut,65,455,335,hits,Cu-EPIC-2kV,1.7065923
Cut,34,459,335,hits,Cu-EPIC-2kV,0.89267906
Cut,48,460,335,hits,Cu-EPIC-2kV,1.2602528
Cut,26,462,335,hits,Cu-EPIC-2kV,0.68263693
Cut,34,464,335,hits,Cu-EPIC-2kV,0.89267906
Cut,41,465,335,hits,Cu-EPIC-2kV,1.0764659
Cut,62,466,335,hits,Cu-EPIC-2kV,1.6278265
Cut,25,468,335,hits,Cu-EPIC-2kV,0.65638166
Cut,20,470,335,hits,Cu-EPIC-2kV,0.52510533
Cut,33,473,335,hits,Cu-EPIC-2kV,0.86642379
Cut,49,474,335,hits,Cu-EPIC-2kV,1.2865081
