Type,Energy,Counts
MPFIT,7,3.3477255
MPFIT,7.06004,3.4215166
MPFIT,7.1200801,3.496826
MPFIT,7.1801201,3.5736795
MPFIT,7.2401601,3.6521029
MPFIT,7.3002001,3.7321223
MPFIT,7.3602402,3.8137641
MPFIT,7.4202802,3.8970547
MPFIT,7.4803202,3.9820208
MPFIT,7.5403602,4.0686892
MPFIT,7.6004003,4.1570869
MPFIT,7.6604403,4.2472409
MPFIT,7.7204803,4.3391786
MPFIT,7.7805203,4.4329274
MPFIT,7.8405604,4.5285147
MPFIT,7.9006004,4.6259681
MPFIT,7.9606404,4.7253154
MPFIT,8.0206805,4.8265844
MPFIT,8.0807205,4.9298029
MPFIT,8.1407605,5.0349989
MPFIT,8.2008005,5.1422002
MPFIT,8.2608406,5.2514351
MPFIT,8.3208806,5.3627314
MPFIT,8.3809206,5.4761172
MPFIT,8.4409606,5.5916206
MPFIT,8.5010007,5.7092696
MPFIT,8.5610407,5.8290921
MPFIT,8.6210807,5.9511162
MPFIT,8.6811207,6.0753696
MPFIT,8.7411608,6.2018802
MPFIT,8.8012008,6.3306756
MPFIT,8.8612408,6.4617835
MPFIT,8.9212809,6.5952314
MPFIT,8.9813209,6.7310464
MPFIT,9.0413609,6.8692558
MPFIT,9.1014009,7.0098866
MPFIT,9.161441,7.1529655
MPFIT,9.221481,7.2985191
MPFIT,9.281521,7.4465737
MPFIT,9.341561,7.5971554
MPFIT,9.4016011,7.75029
MPFIT,9.4616411,7.906003
MPFIT,9.5216811,8.0643196
MPFIT,9.5817211,8.2252646
MPFIT,9.6417612,8.3888627
MPFIT,9.7018012,8.5551379
MPFIT,9.7618412,8.7241141
MPFIT,9.8218813,8.8958146
MPFIT,9.8819213,9.0702623
MPFIT,9.9419613,9.2474797
MPFIT,10.002001,9.4274889
MPFIT,10.062041,9.6103113
MPFIT,10.122081,9.7959681
MPFIT,10.182121,9.9844796
MPFIT,10.242161,10.175866
MPFIT,10.302201,10.370146
MPFIT,10.362241,10.567339
MPFIT,10.422282,10.767463
MPFIT,10.482322,10.970536
MPFIT,10.542362,11.176574
MPFIT,10.602402,11.385594
MPFIT,10.662442,11.597611
MPFIT,10.722482,11.812639
MPFIT,10.782522,12.030694
MPFIT,10.842562,12.251787
MPFIT,10.902602,12.475933
MPFIT,10.962642,12.703142
MPFIT,11.022682,12.933425
MPFIT,11.082722,13.166793
MPFIT,11.142762,13.403255
MPFIT,11.202802,13.642818
MPFIT,11.262842,13.885491
MPFIT,11.322882,14.13128
MPFIT,11.382922,14.380191
MPFIT,11.442962,14.632228
MPFIT,11.503002,14.887395
MPFIT,11.563042,15.145695
MPFIT,11.623082,15.40713
MPFIT,11.683122,15.671701
MPFIT,11.743162,15.939406
MPFIT,11.803202,16.210246
MPFIT,11.863242,16.484217
MPFIT,11.923282,16.761317
MPFIT,11.983322,17.041541
MPFIT,12.043362,17.324883
MPFIT,12.103402,17.611337
MPFIT,12.163442,17.900895
MPFIT,12.223482,18.193548
MPFIT,12.283522,18.489287
MPFIT,12.343562,18.7881
MPFIT,12.403602,19.089975
MPFIT,12.463642,19.394899
MPFIT,12.523682,19.702857
MPFIT,12.583722,20.013834
MPFIT,12.643763,20.327813
MPFIT,12.703803,20.644776
MPFIT,12.763843,20.964704
MPFIT,12.823883,21.287577
MPFIT,12.883923,21.613373
MPFIT,12.943963,21.94207
MPFIT,13.004003,22.273644
MPFIT,13.064043,22.608069
MPFIT,13.124083,22.945321
MPFIT,13.184123,23.285372
MPFIT,13.244163,23.628194
MPFIT,13.304203,23.973756
MPFIT,13.364243,24.322029
MPFIT,13.424283,24.672981
MPFIT,13.484323,25.026579
MPFIT,13.544363,25.382789
MPFIT,13.604403,25.741577
MPFIT,13.664443,26.102905
MPFIT,13.724483,26.466738
MPFIT,13.784523,26.833036
MPFIT,13.844563,27.20176
MPFIT,13.904603,27.572871
MPFIT,13.964643,27.946328
MPFIT,14.024683,28.322087
MPFIT,14.084723,28.700105
MPFIT,14.144763,29.08034
MPFIT,14.204803,29.462745
MPFIT,14.264843,29.847274
MPFIT,14.324883,30.233882
MPFIT,14.384923,30.62252
MPFIT,14.444963,31.01314
MPFIT,14.505003,31.405692
MPFIT,14.565043,31.800127
MPFIT,14.625083,32.196394
MPFIT,14.685123,32.594441
MPFIT,14.745163,32.994217
MPFIT,14.805203,33.395668
MPFIT,14.865243,33.798741
MPFIT,14.925284,34.203382
MPFIT,14.985324,34.609537
MPFIT,15.045364,35.01715
MPFIT,15.105404,35.426166
MPFIT,15.165444,35.836529
MPFIT,15.225484,36.248182
MPFIT,15.285524,36.661069
MPFIT,15.345564,37.075133
MPFIT,15.405604,37.490316
MPFIT,15.465644,37.90656
MPFIT,15.525684,38.323808
MPFIT,15.585724,38.742001
MPFIT,15.645764,39.161081
MPFIT,15.705804,39.58099
MPFIT,15.765844,40.001669
MPFIT,15.825884,40.42306
MPFIT,15.885924,40.845105
MPFIT,15.945964,41.267745
MPFIT,16.006004,41.690921
MPFIT,16.066044,42.114576
MPFIT,16.126084,42.538651
MPFIT,16.186124,42.963089
MPFIT,16.246164,43.387833
MPFIT,16.306204,43.812824
MPFIT,16.366244,44.238007
MPFIT,16.426284,44.663324
MPFIT,16.486324,45.08872
MPFIT,16.546364,45.514139
MPFIT,16.606404,45.939526
MPFIT,16.666444,46.364827
MPFIT,16.726484,46.789987
MPFIT,16.786524,47.214953
MPFIT,16.846564,47.639673
MPFIT,16.906604,48.064094
MPFIT,16.966644,48.488165
MPFIT,17.026684,48.911836
MPFIT,17.086724,49.335058
MPFIT,17.146765,49.757781
MPFIT,17.206805,50.179958
MPFIT,17.266845,50.601541
MPFIT,17.326885,51.022485
MPFIT,17.386925,51.442745
MPFIT,17.446965,51.862277
MPFIT,17.507005,52.281037
MPFIT,17.567045,52.698984
MPFIT,17.627085,53.116078
MPFIT,17.687125,53.532278
MPFIT,17.747165,53.947546
MPFIT,17.807205,54.361846
MPFIT,17.867245,54.775141
MPFIT,17.927285,55.187396
MPFIT,17.987325,55.598578
MPFIT,18.047365,56.008655
MPFIT,18.107405,56.417596
MPFIT,18.167445,56.825372
MPFIT,18.227485,57.231954
MPFIT,18.287525,57.637316
MPFIT,18.347565,58.041433
MPFIT,18.407605,58.44428
MPFIT,18.467645,58.845835
MPFIT,18.527685,59.246077
MPFIT,18.587725,59.644986
MPFIT,18.647765,60.042544
MPFIT,18.707805,60.438735
MPFIT,18.767845,60.833543
MPFIT,18.827885,61.226954
MPFIT,18.887925,61.618956
MPFIT,18.947965,62.009539
MPFIT,19.008005,62.398693
MPFIT,19.068045,62.78641
MPFIT,19.128085,63.172683
MPFIT,19.188125,63.557509
MPFIT,19.248165,63.940883
MPFIT,19.308205,64.322804
MPFIT,19.368245,64.703271
MPFIT,19.428286,65.082286
MPFIT,19.488326,65.459849
MPFIT,19.548366,65.835967
MPFIT,19.608406,66.210643
MPFIT,19.668446,66.583884
MPFIT,19.728486,66.955699
MPFIT,19.788526,67.326097
MPFIT,19.848566,67.695089
MPFIT,19.908606,68.062687
MPFIT,19.968646,68.428904
MPFIT,20.028686,68.793755
MPFIT,20.088726,69.157257
MPFIT,20.148766,69.519425
MPFIT,20.208806,69.88028
MPFIT,20.268846,70.23984
MPFIT,20.328886,70.598127
MPFIT,20.388926,70.955161
MPFIT,20.448966,71.310968
MPFIT,20.509006,71.665569
MPFIT,20.569046,72.018992
MPFIT,20.629086,72.371261
MPFIT,20.689126,72.722404
MPFIT,20.749166,73.07245
MPFIT,20.809206,73.421426
MPFIT,20.869246,73.769364
MPFIT,20.929286,74.116294
MPFIT,20.989326,74.462246
MPFIT,21.049366,74.807255
MPFIT,21.109406,75.151351
MPFIT,21.169446,75.49457
MPFIT,21.229486,75.836945
MPFIT,21.289526,76.178511
MPFIT,21.349566,76.519304
MPFIT,21.409606,76.85936
MPFIT,21.469646,77.198715
MPFIT,21.529686,77.537405
MPFIT,21.589726,77.875468
MPFIT,21.649767,78.212942
MPFIT,21.709807,78.549864
MPFIT,21.769847,78.886273
MPFIT,21.829887,79.222206
MPFIT,21.889927,79.557702
MPFIT,21.949967,79.8928
MPFIT,22.010007,80.227539
MPFIT,22.070047,80.561957
