Cut?,Counts,eventNumber,runNumber
Raw,71,5,337
Raw,76,9,337
Raw,6,11,337
Raw,40,13,337
Raw,27,14,337
Raw,67,17,337
Raw,33,19,337
Raw,16,20,337
Raw,16,39,337
Raw,34,39,337
Raw,47,40,337
Raw,17,43,337
Raw,67,45,337
Raw,73,48,337
Raw,37,55,337
Raw,27,56,337
Raw,43,56,337
Raw,34,63,337
Raw,27,65,337
Raw,71,66,337
Raw,67,66,337
Raw,26,67,337
Raw,46,70,337
Raw,56,79,337
Raw,33,82,337
Raw,19,84,337
Raw,38,88,337
Raw,21,88,337
Raw,14,89,337
Raw,8,94,337
Raw,59,95,337
Raw,20,98,337
Raw,39,101,337
Raw,69,105,337
Raw,42,108,337
Raw,44,109,337
Raw,62,112,337
Raw,42,112,337
Raw,32,114,337
Raw,46,120,337
Raw,10,121,337
Raw,28,125,337
Raw,31,130,337
Raw,36,133,337
Raw,17,136,337
Raw,41,138,337
Raw,41,139,337
Raw,38,140,337
Raw,40,141,337
Raw,80,142,337
Raw,34,145,337
Raw,30,151,337
Raw,56,151,337
Raw,28,157,337
Raw,13,164,337
Raw,34,173,337
Raw,57,176,337
Raw,28,177,337
Raw,45,182,337
Raw,11,185,337
Raw,29,187,337
Raw,12,188,337
Raw,36,188,337
Raw,19,188,337
Raw,60,189,337
Raw,23,190,337
Raw,44,191,337
Raw,14,192,337
Raw,67,200,337
Raw,27,201,337
Raw,45,201,337
Raw,37,206,337
Raw,81,208,337
Raw,28,211,337
Raw,28,220,337
Raw,35,221,337
Raw,28,221,337
Raw,33,222,337
Raw,18,222,337
Raw,31,224,337
Raw,21,224,337
Raw,31,225,337
Raw,42,229,337
Raw,40,229,337
Raw,10,232,337
Raw,36,233,337
Raw,33,240,337
Raw,60,244,337
Raw,29,251,337
Raw,29,252,337
Raw,15,253,337
Raw,35,259,337
Raw,21,267,337
Raw,63,275,337
Raw,14,279,337
Raw,45,284,337
Raw,65,286,337
Raw,40,288,337
Raw,17,290,337
Raw,39,291,337
Raw,43,291,337
Raw,50,298,337
Raw,39,298,337
Raw,56,300,337
Raw,39,301,337
Raw,60,303,337
Raw,16,303,337
Raw,41,309,337
Raw,57,310,337
Raw,48,314,337
Raw,85,316,337
Raw,61,317,337
Raw,33,326,337
Raw,33,330,337
Raw,24,331,337
Raw,76,333,337
Raw,43,336,337
Raw,34,339,337
Raw,24,339,337
Raw,26,341,337
Raw,38,346,337
Raw,64,352,337
Raw,42,361,337
Raw,16,361,337
Raw,52,362,337
Raw,16,363,337
Raw,51,365,337
Raw,49,369,337
Raw,15,378,337
Raw,42,387,337
Raw,23,389,337
Raw,12,392,337
Raw,31,395,337
Raw,37,395,337
Raw,25,396,337
Raw,35,397,337
Raw,21,398,337
Raw,46,399,337
Raw,33,400,337
Raw,21,401,337
Raw,23,409,337
Raw,40,410,337
Raw,35,415,337
Raw,28,421,337
Raw,38,429,337
Raw,55,430,337
Raw,69,436,337
Raw,11,440,337
Raw,61,442,337
Raw,16,446,337
Raw,90,453,337
Raw,27,465,337
Raw,39,467,337
Raw,28,469,337
Raw,29,471,337
Raw,70,472,337
Raw,61,482,337
Raw,3,482,337
Raw,34,483,337
Raw,81,484,337
Raw,37,489,337
Raw,51,490,337
Raw,51,494,337
Raw,21,504,337
Raw,31,509,337
Raw,28,510,337
Raw,14,513,337
Raw,38,514,337
Raw,18,515,337
Raw,15,518,337
Raw,30,526,337
Raw,50,529,337
Raw,13,535,337
Raw,37,535,337
Raw,11,538,337
Raw,13,542,337
Raw,24,549,337
Raw,49,562,337
Raw,15,566,337
Raw,31,571,337
Raw,16,578,337
Raw,35,579,337
Raw,99,583,337
Raw,36,583,337
Raw,20,585,337
Raw,27,585,337
Raw,26,587,337
Raw,36,588,337
Raw,30,589,337
Raw,41,589,337
Raw,21,589,337
Raw,45,596,337
Raw,30,596,337
Raw,78,598,337
Raw,28,600,337
Raw,11,602,337
Raw,31,608,337
Raw,22,609,337
Raw,49,611,337
Raw,55,613,337
Raw,12,614,337
Raw,14,617,337
Raw,20,619,337
Raw,62,621,337
Raw,37,627,337
Raw,22,628,337
Raw,15,631,337
Raw,62,635,337
Raw,24,636,337
Raw,34,646,337
Raw,25,650,337
Raw,11,650,337
Raw,9,651,337
Raw,76,653,337
Raw,22,656,337
Raw,79,657,337
Raw,19,664,337
Raw,36,667,337
Raw,26,667,337
Raw,14,668,337
Raw,14,670,337
Raw,65,675,337
Raw,41,676,337
Raw,40,680,337
Raw,74,683,337
Raw,30,683,337
Raw,87,692,337
Raw,52,693,337
Raw,45,698,337
Raw,40,704,337
Raw,67,705,337
Raw,48,708,337
Raw,73,711,337
Raw,53,711,337
Raw,36,712,337
Raw,10,715,337
Raw,62,716,337
Raw,36,720,337
Raw,30,728,337
Raw,32,732,337
Raw,40,734,337
Raw,10,737,337
Raw,54,758,337
Raw,39,758,337
Raw,34,760,337
Raw,38,768,337
Raw,45,769,337
Raw,38,771,337
Raw,84,773,337
Raw,28,774,337
Raw,50,775,337
Raw,7,778,337
Raw,31,788,337
Raw,18,788,337
Raw,17,792,337
Raw,36,793,337
Raw,60,796,337
Raw,36,800,337
Raw,55,803,337
Raw,26,803,337
Raw,28,804,337
Raw,76,808,337
Raw,72,809,337
Raw,59,812,337
Raw,50,813,337
Raw,13,813,337
Raw,21,814,337
Raw,56,815,337
Raw,63,818,337
Raw,43,820,337
Raw,79,826,337
Raw,49,829,337
Raw,44,836,337
Raw,26,849,337
Raw,16,849,337
Raw,36,851,337
Raw,34,852,337
Raw,73,854,337
Raw,4,855,337
Raw,63,862,337
Raw,6,862,337
Raw,36,864,337
Raw,18,867,337
Raw,80,871,337
Raw,55,875,337
Raw,26,877,337
Raw,26,878,337
Raw,66,881,337
Raw,46,881,337
Raw,56,888,337
Raw,27,895,337
Raw,49,897,337
Raw,9,898,337
Raw,48,902,337
Raw,16,903,337
Raw,25,905,337
Raw,32,907,337
Raw,6,915,337
Raw,65,916,337
Raw,28,918,337
Raw,34,921,337
Raw,35,924,337
Raw,56,925,337
Raw,16,926,337
Raw,25,926,337
Raw,31,931,337
Raw,33,942,337
Raw,24,942,337
Raw,43,945,337
Raw,78,948,337
Raw,57,949,337
Raw,67,950,337
Raw,19,950,337
Raw,36,964,337
Raw,15,965,337
Raw,36,965,337
Raw,16,973,337
Raw,37,974,337
Raw,90,979,337
Raw,38,980,337
Raw,29,981,337
Raw,36,984,337
Raw,15,986,337
Raw,29,993,337
Raw,23,994,337
Raw,37,997,337
Raw,12,1007,337
Raw,43,1008,337
Raw,18,1009,337
Raw,28,1017,337
Raw,60,1021,337
Raw,37,1022,337
Raw,21,1026,337
Raw,46,1027,337
Raw,23,1031,337
Raw,44,1032,337
Raw,67,1034,337
Raw,41,1040,337
Raw,16,1041,337
Raw,30,1041,337
Raw,47,1047,337
Raw,26,1047,337
Raw,33,1049,337
Raw,26,1053,337
Raw,17,1055,337
Raw,45,1061,337
Raw,83,1062,337
Raw,25,1064,337
Raw,72,1066,337
Raw,12,1066,337
Raw,18,1076,337
Raw,58,1080,337
Raw,34,1081,337
Raw,26,1082,337
Raw,75,1082,337
Raw,44,1083,337
Raw,14,1084,337
Raw,14,1087,337
Raw,29,1090,337
Raw,34,1094,337
Raw,23,1098,337
Raw,15,1098,337
Raw,26,1100,337
Raw,29,1115,337
Raw,66,1118,337
Raw,20,1120,337
Raw,47,1126,337
Raw,52,1127,337
Raw,19,1129,337
Raw,21,1130,337
Raw,32,1133,337
Raw,33,1135,337
Raw,19,1137,337
Raw,10,1139,337
Raw,13,1142,337
Raw,23,1144,337
Raw,35,1144,337
Raw,37,1150,337
Raw,31,1152,337
Raw,62,1160,337
Raw,37,1162,337
Raw,40,1162,337
Raw,22,1167,337
Raw,72,1168,337
Raw,51,1173,337
Raw,38,1177,337
Raw,23,1177,337
Raw,74,1178,337
Raw,40,1179,337
Raw,50,1183,337
Raw,43,1189,337
Raw,42,1190,337
Raw,34,1193,337
Raw,81,1195,337
Raw,82,1196,337
Raw,37,1197,337
Raw,59,1197,337
Raw,15,1214,337
Raw,38,1215,337
Raw,23,1218,337
Raw,23,1219,337
Raw,57,1226,337
Raw,11,1227,337
Raw,7,1228,337
Raw,13,1233,337
Raw,34,1236,337
Raw,20,1236,337
Raw,21,1238,337
Raw,35,1241,337
Raw,25,1241,337
Raw,32,1243,337
Raw,16,1251,337
Raw,82,1251,337
Raw,12,1256,337
Raw,18,1257,337
Raw,62,1259,337
Raw,23,1259,337
Raw,33,1261,337
Raw,15,1261,337
Raw,65,1262,337
Raw,32,1266,337
Raw,15,1267,337
Raw,90,1270,337
Raw,20,1270,337
Raw,44,1275,337
Raw,68,1276,337
Raw,18,1280,337
Raw,23,1280,337
Raw,33,1286,337
Raw,35,1287,337
Raw,28,1297,337
Raw,33,1297,337
Raw,25,1300,337
Raw,65,1303,337
Raw,61,1305,337
Raw,31,1307,337
Raw,11,1309,337
Raw,42,1309,337
Raw,42,1316,337
Raw,14,1321,337
Raw,44,1324,337
Raw,46,1329,337
Raw,41,1332,337
Raw,24,1332,337
Raw,50,1346,337
Raw,33,1348,337
Raw,40,1348,337
Raw,35,1353,337
Raw,60,1357,337
Raw,85,1367,337
Raw,41,1367,337
Raw,39,1375,337
Raw,13,1377,337
Raw,55,1381,337
Raw,17,1383,337
Raw,91,1386,337
Raw,65,1390,337
Raw,34,1395,337
Raw,21,1395,337
Raw,32,1396,337
Raw,72,1399,337
Raw,60,1400,337
Raw,62,1402,337
Raw,45,1404,337
Raw,31,1405,337
Raw,53,1408,337
Raw,45,1418,337
Raw,11,1419,337
Raw,80,1420,337
Raw,20,1424,337
Raw,37,1424,337
Raw,47,1435,337
Raw,65,1436,337
Raw,35,1438,337
Raw,32,1442,337
Raw,44,1442,337
Raw,36,1454,337
Raw,98,1456,337
Raw,90,1466,337
Raw,75,1466,337
Raw,64,1470,337
Raw,51,1473,337
Raw,28,1478,337
Raw,30,1481,337
Raw,35,1481,337
Raw,78,1482,337
Raw,45,1493,337
Raw,13,1494,337
Raw,59,1497,337
Raw,33,1498,337
Raw,35,1500,337
Raw,20,1505,337
Raw,20,1511,337
Raw,78,1519,337
Raw,72,1524,337
Raw,18,1529,337
Raw,40,1529,337
Raw,55,1530,337
Raw,31,1531,337
Raw,67,1536,337
Raw,33,1537,337
Raw,19,1537,337
Raw,40,1538,337
Raw,81,1540,337
Raw,13,1547,337
Raw,58,1548,337
Raw,61,1551,337
Raw,27,1555,337
Raw,34,1561,337
Raw,72,1564,337
Raw,39,1566,337
Raw,5,1567,337
Raw,17,1568,337
Raw,21,1571,337
Raw,15,1571,337
Raw,23,1572,337
Raw,43,1572,337
Raw,49,1575,337
Raw,26,1575,337
Raw,67,1576,337
Raw,25,1580,337
Raw,94,1582,337
Raw,35,1583,337
Raw,35,1585,337
Raw,22,1590,337
Raw,28,1593,337
Raw,34,1596,337
Raw,19,1599,337
Raw,37,1604,337
Raw,31,1605,337
Raw,33,1607,337
Raw,82,1609,337
Raw,39,1610,337
Raw,83,1613,337
Raw,37,1622,337
Raw,33,1622,337
Raw,42,1625,337
Raw,14,1626,337
Raw,40,1628,337
Raw,35,1629,337
Raw,67,1630,337
Raw,59,1634,337
Raw,20,1634,337
Raw,12,1636,337
Raw,67,1640,337
Raw,15,1641,337
Raw,26,1643,337
Raw,13,1643,337
Raw,33,1647,337
Raw,29,1650,337
Raw,36,1651,337
Raw,42,1655,337
Raw,27,1656,337
Raw,59,1661,337
Raw,41,1665,337
Raw,13,1667,337
Raw,21,1668,337
Raw,32,1669,337
Raw,28,1671,337
Raw,12,1671,337
Raw,23,1671,337
Raw,93,1673,337
Raw,58,1674,337
Raw,18,1683,337
Raw,23,1686,337
Raw,11,1686,337
Raw,20,1691,337
Raw,31,1692,337
Raw,29,1692,337
Raw,15,1694,337
Raw,39,1701,337
Raw,41,1706,337
Raw,23,1708,337
Raw,18,1709,337
Raw,21,1710,337
Raw,37,1714,337
Raw,36,1717,337
Raw,57,1719,337
Raw,32,1719,337
Raw,7,1729,337
Raw,70,1731,337
Raw,18,1733,337
Raw,69,1734,337
Raw,15,1743,337
Raw,29,1744,337
Raw,21,1745,337
Raw,36,1745,337
Raw,46,1748,337
