Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,1.13216473e+05,4,335,charge,Cu-EPIC-2kV,1.1818892
Cut,50593.623,5,335,charge,Cu-EPIC-2kV,0.52815686
Cut,46833.418,8,335,charge,Cu-EPIC-2kV,0.48890334
Cut,65083.213,8,335,charge,Cu-EPIC-2kV,0.67941656
Cut,1.15228597e+05,9,335,charge,Cu-EPIC-2kV,1.2028942
Cut,1.73654418e+05,13,335,charge,Cu-EPIC-2kV,1.8128129
Cut,92893.452,14,335,charge,Cu-EPIC-2kV,0.96973316
Cut,89697.47,15,335,charge,Cu-EPIC-2kV,0.93636967
Cut,1.08467255e+05,16,335,charge,Cu-EPIC-2kV,1.1323112
Cut,1.15412791e+05,17,335,charge,Cu-EPIC-2kV,1.204817
Cut,1.62297535e+05,19,335,charge,Cu-EPIC-2kV,1.6942561
Cut,85876.352,21,335,charge,Cu-EPIC-2kV,0.89648026
Cut,59369.956,26,335,charge,Cu-EPIC-2kV,0.61977474
Cut,89061.126,27,335,charge,Cu-EPIC-2kV,0.92972675
Cut,99736.884,28,335,charge,Cu-EPIC-2kV,1.0411731
Cut,1.48811086e+05,30,335,charge,Cu-EPIC-2kV,1.5534684
Cut,1.08318249e+05,32,335,charge,Cu-EPIC-2kV,1.1307557
Cut,1.12612127e+05,35,335,charge,Cu-EPIC-2kV,1.1755803
Cut,1.51960962e+05,38,335,charge,Cu-EPIC-2kV,1.5863506
Cut,1.11577804e+05,43,335,charge,Cu-EPIC-2kV,1.1647828
Cut,1.45114655e+05,45,335,charge,Cu-EPIC-2kV,1.5148807
Cut,1.3883492e+05,51,335,charge,Cu-EPIC-2kV,1.4493253
Cut,60102.365,52,335,charge,Cu-EPIC-2kV,0.62742051
Cut,92826.457,53,335,charge,Cu-EPIC-2kV,0.96903379
Cut,84938.528,54,335,charge,Cu-EPIC-2kV,0.88669013
Cut,1.19442098e+05,55,335,charge,Cu-EPIC-2kV,1.2468797
Cut,1.7937123e+05,56,335,charge,Cu-EPIC-2kV,1.8724918
Cut,1.27844566e+05,58,335,charge,Cu-EPIC-2kV,1.3345948
Cut,1.27099809e+05,62,335,charge,Cu-EPIC-2kV,1.3268201
Cut,68735.648,65,335,charge,Cu-EPIC-2kV,0.71754506
Cut,65976.711,66,335,charge,Cu-EPIC-2kV,0.68874397
Cut,1.42554326e+05,72,335,charge,Cu-EPIC-2kV,1.4881529
Cut,1.094828e+05,75,335,charge,Cu-EPIC-2kV,1.1429127
Cut,99969.174,78,335,charge,Cu-EPIC-2kV,1.043598
Cut,1.3713766e+05,80,335,charge,Cu-EPIC-2kV,1.4316072
Cut,1.38594745e+05,81,335,charge,Cu-EPIC-2kV,1.446818
Cut,71238.359,83,335,charge,Cu-EPIC-2kV,0.74367136
Cut,1.55869064e+05,84,335,charge,Cu-EPIC-2kV,1.6271481
Cut,85646.876,87,335,charge,Cu-EPIC-2kV,0.89408472
Cut,1.63139205e+05,89,335,charge,Cu-EPIC-2kV,1.7030425
Cut,1.38822874e+05,93,335,charge,Cu-EPIC-2kV,1.4491995
Cut,95593.884,94,335,charge,Cu-EPIC-2kV,0.99792351
Cut,1.10981749e+05,95,335,charge,Cu-EPIC-2kV,1.1585605
Cut,1.34362165e+05,101,335,charge,Cu-EPIC-2kV,1.4026333
Cut,92273.297,104,335,charge,Cu-EPIC-2kV,0.96325924
Cut,68105.952,105,335,charge,Cu-EPIC-2kV,0.71097153
Cut,86525.943,107,335,charge,Cu-EPIC-2kV,0.90326147
Cut,83135.434,110,335,charge,Cu-EPIC-2kV,0.86786728
Cut,84622.956,112,335,charge,Cu-EPIC-2kV,0.88339581
Cut,74177.522,113,335,charge,Cu-EPIC-2kV,0.77435386
Cut,77335.246,115,335,charge,Cu-EPIC-2kV,0.80731797
Cut,1.21202348e+05,116,335,charge,Cu-EPIC-2kV,1.2652553
Cut,94359.253,118,335,charge,Cu-EPIC-2kV,0.98503495
Cut,1.06834199e+05,130,335,charge,Cu-EPIC-2kV,1.1152634
Cut,79725.662,131,335,charge,Cu-EPIC-2kV,0.83227199
Cut,1.81600395e+05,132,335,charge,Cu-EPIC-2kV,1.8957625
Cut,88957.821,134,335,charge,Cu-EPIC-2kV,0.92864833
Cut,70417.825,136,335,charge,Cu-EPIC-2kV,0.73510564
Cut,1.00222514e+05,139,335,charge,Cu-EPIC-2kV,1.0462427
Cut,89967.047,140,335,charge,Cu-EPIC-2kV,0.93918385
Cut,95442.639,141,335,charge,Cu-EPIC-2kV,0.99634463
Cut,91238.951,144,335,charge,Cu-EPIC-2kV,0.9524615
Cut,1.42865079e+05,145,335,charge,Cu-EPIC-2kV,1.4913969
Cut,1.59133768e+05,147,335,charge,Cu-EPIC-2kV,1.661229
Cut,1.01562177e+05,150,335,charge,Cu-EPIC-2kV,1.0602277
Cut,76235.516,156,335,charge,Cu-EPIC-2kV,0.79583767
Cut,77270.938,158,335,charge,Cu-EPIC-2kV,0.80664664
Cut,84801.434,159,335,charge,Cu-EPIC-2kV,0.88525899
Cut,1.20742256e+05,162,335,charge,Cu-EPIC-2kV,1.2604524
Cut,74235.379,166,335,charge,Cu-EPIC-2kV,0.77495784
Cut,1.02728031e+05,171,335,charge,Cu-EPIC-2kV,1.0723983
Cut,97684.524,178,335,charge,Cu-EPIC-2kV,1.0197481
Cut,1.70920711e+05,179,335,charge,Cu-EPIC-2kV,1.7842752
Cut,73337.4,182,335,charge,Cu-EPIC-2kV,0.76558366
Cut,1.04300468e+05,184,335,charge,Cu-EPIC-2kV,1.0888133
Cut,1.07516355e+05,185,335,charge,Cu-EPIC-2kV,1.1223846
Cut,1.00111734e+05,186,335,charge,Cu-EPIC-2kV,1.0450862
Cut,1.75182524e+05,188,335,charge,Cu-EPIC-2kV,1.8287651
Cut,87472.322,192,335,charge,Cu-EPIC-2kV,0.91314091
Cut,1.83885567e+05,194,335,charge,Cu-EPIC-2kV,1.9196179
Cut,1.70992442e+05,195,335,charge,Cu-EPIC-2kV,1.785024
Cut,60434.572,197,335,charge,Cu-EPIC-2kV,0.63088848
Cut,95155.728,201,335,charge,Cu-EPIC-2kV,0.99334951
Cut,67788.717,204,335,charge,Cu-EPIC-2kV,0.70765986
Cut,89248.453,205,335,charge,Cu-EPIC-2kV,0.9316823
Cut,84987.787,206,335,charge,Cu-EPIC-2kV,0.88720436
Cut,1.54230146e+05,211,335,charge,Cu-EPIC-2kV,1.6100391
Cut,81487.808,220,335,charge,Cu-EPIC-2kV,0.85066738
Cut,96362.311,221,335,charge,Cu-EPIC-2kV,1.0059453
Cut,1.1440121e+05,224,335,charge,Cu-EPIC-2kV,1.1942569
Cut,86361.82,225,335,charge,Cu-EPIC-2kV,0.90154817
Cut,1.11774552e+05,227,335,charge,Cu-EPIC-2kV,1.1668367
Cut,98278.413,233,335,charge,Cu-EPIC-2kV,1.0259478
Cut,89694.315,234,335,charge,Cu-EPIC-2kV,0.93633674
Cut,59753.937,235,335,charge,Cu-EPIC-2kV,0.6237832
Cut,1.3651796e+05,236,335,charge,Cu-EPIC-2kV,1.425138
Cut,1.14851707e+05,239,335,charge,Cu-EPIC-2kV,1.1989597
Cut,66022.324,240,335,charge,Cu-EPIC-2kV,0.68922013
Cut,1.06356629e+05,244,335,charge,Cu-EPIC-2kV,1.1102779
Cut,77182.997,247,335,charge,Cu-EPIC-2kV,0.80572861
Cut,1.06509221e+05,248,335,charge,Cu-EPIC-2kV,1.1118709
Cut,96243.6,249,335,charge,Cu-EPIC-2kV,1.004706
Cut,1.73756772e+05,251,335,charge,Cu-EPIC-2kV,1.8138814
Cut,68509.028,254,335,charge,Cu-EPIC-2kV,0.71517932
Cut,1.40611499e+05,255,335,charge,Cu-EPIC-2kV,1.4678713
Cut,33998.565,257,335,charge,Cu-EPIC-2kV,0.35491776
Cut,1.16489337e+05,261,335,charge,Cu-EPIC-2kV,1.2160553
Cut,1.3820396e+05,268,335,charge,Cu-EPIC-2kV,1.4427385
Cut,1.03339295e+05,274,335,charge,Cu-EPIC-2kV,1.0787794
Cut,1.15059303e+05,275,335,charge,Cu-EPIC-2kV,1.2011269
Cut,1.06375887e+05,280,335,charge,Cu-EPIC-2kV,1.110479
Cut,81318.943,282,335,charge,Cu-EPIC-2kV,0.84890457
Cut,86260.569,283,335,charge,Cu-EPIC-2kV,0.90049118
Cut,1.42021049e+05,285,335,charge,Cu-EPIC-2kV,1.4825859
Cut,78532.814,289,335,charge,Cu-EPIC-2kV,0.81981961
Cut,1.20056365e+05,291,335,charge,Cu-EPIC-2kV,1.2532922
Cut,52851.96,298,335,charge,Cu-EPIC-2kV,0.55173209
Cut,75354.171,299,335,charge,Cu-EPIC-2kV,0.78663713
Cut,45391.326,301,335,charge,Cu-EPIC-2kV,0.47384905
Cut,59900.373,305,335,charge,Cu-EPIC-2kV,0.62531187
Cut,1.13851084e+05,306,335,charge,Cu-EPIC-2kV,1.188514
Cut,1.41090419e+05,307,335,charge,Cu-EPIC-2kV,1.4728709
Cut,99280.727,312,335,charge,Cu-EPIC-2kV,1.0364112
Cut,88344.669,313,335,charge,Cu-EPIC-2kV,0.92224751
Cut,1.25561305e+05,316,335,charge,Cu-EPIC-2kV,1.3107594
Cut,81329.797,321,335,charge,Cu-EPIC-2kV,0.84901787
Cut,1.69095683e+05,322,335,charge,Cu-EPIC-2kV,1.7652234
Cut,1.32523101e+05,324,335,charge,Cu-EPIC-2kV,1.3834349
Cut,88154.461,325,335,charge,Cu-EPIC-2kV,0.92026189
Cut,68745.869,326,335,charge,Cu-EPIC-2kV,0.71765176
Cut,54489.158,330,335,charge,Cu-EPIC-2kV,0.56882312
Cut,82251.116,332,335,charge,Cu-EPIC-2kV,0.85863571
Cut,1.40786353e+05,333,335,charge,Cu-EPIC-2kV,1.4696967
Cut,76247.291,334,335,charge,Cu-EPIC-2kV,0.79596059
Cut,87831.943,336,335,charge,Cu-EPIC-2kV,0.91689507
Cut,91434.424,339,335,charge,Cu-EPIC-2kV,0.95450208
Cut,64165.961,340,335,charge,Cu-EPIC-2kV,0.66984119
Cut,91510.886,341,335,charge,Cu-EPIC-2kV,0.95530028
Cut,1.57700934e+05,348,335,charge,Cu-EPIC-2kV,1.6462713
Cut,1.07131858e+05,350,335,charge,Cu-EPIC-2kV,1.1183707
Cut,1.08255269e+05,352,335,charge,Cu-EPIC-2kV,1.1300982
Cut,72020.257,354,335,charge,Cu-EPIC-2kV,0.75183375
Cut,1.42140531e+05,359,335,charge,Cu-EPIC-2kV,1.4838332
Cut,1.0714804e+05,360,335,charge,Cu-EPIC-2kV,1.1185396
Cut,1.07688012e+05,364,335,charge,Cu-EPIC-2kV,1.1241765
Cut,1.18747229e+05,365,335,charge,Cu-EPIC-2kV,1.2396259
Cut,33482.592,368,335,charge,Cu-EPIC-2kV,0.34953142
Cut,1.74977912e+05,369,335,charge,Cu-EPIC-2kV,1.8266291
Cut,99812.284,373,335,charge,Cu-EPIC-2kV,1.0419602
Cut,1.16338597e+05,374,335,charge,Cu-EPIC-2kV,1.2144817
Cut,99456.429,375,335,charge,Cu-EPIC-2kV,1.0382454
Cut,1.27046965e+05,376,335,charge,Cu-EPIC-2kV,1.3262685
