Cut?,Counts,eventNumber,runNumber
Raw,69642.868,0,335
Raw,75595.448,1,335
Raw,79927.423,2,335
Raw,54443.574,3,335
Raw,1.13216473e+05,4,335
Raw,64379.11,5,335
Raw,50593.623,5,335
Raw,35860.928,6,335
Raw,65917.935,6,335
Raw,69997.943,7,335
Raw,46833.418,8,335
Raw,65083.213,8,335
Raw,1.15228597e+05,9,335
Raw,88883.207,10,335
Raw,1.57410965e+05,11,335
Raw,1.56514885e+05,12,335
Raw,90947.786,13,335
Raw,1.73654418e+05,13,335
Raw,92893.452,14,335
Raw,89697.47,15,335
Raw,1.08467255e+05,16,335
Raw,1.15412791e+05,17,335
Raw,1.62297535e+05,19,335
Raw,85876.352,21,335
Raw,82417.514,22,335
Raw,95131.65,23,335
Raw,8068.7495,23,335
Raw,84285.022,24,335
Raw,1.30226131e+05,25,335
Raw,59369.956,26,335
Raw,89061.126,27,335
Raw,99736.884,28,335
Raw,1.44054186e+05,29,335
Raw,1.48811086e+05,30,335
Raw,1.08318249e+05,32,335
Raw,72426.179,33,335
Raw,83610.149,34,335
Raw,53320.886,35,335
Raw,1.12612127e+05,35,335
Raw,87147.638,36,335
Raw,74647.747,37,335
Raw,1.51960962e+05,38,335
Raw,1.17594498e+05,39,335
Raw,2.63870888e+05,41,335
Raw,1.35780874e+05,42,335
Raw,1.11577804e+05,43,335
Raw,74088.824,44,335
Raw,1.45114655e+05,45,335
Raw,85229.292,47,335
Raw,53382.979,47,335
Raw,1.55029537e+05,48,335
Raw,1.58295935e+05,49,335
Raw,82472.013,50,335
Raw,1.3883492e+05,51,335
Raw,60102.365,52,335
Raw,92826.457,53,335
Raw,84938.528,54,335
Raw,1.19442098e+05,55,335
Raw,1.7937123e+05,56,335
Raw,1.27844566e+05,58,335
Raw,31046.933,59,335
Raw,1.0969106e+05,59,335
Raw,1.01966816e+05,60,335
Raw,1.27099809e+05,62,335
Raw,87136.921,63,335
Raw,83038.398,64,335
Raw,68735.648,65,335
Raw,65976.711,66,335
Raw,1.85585491e+05,67,335
Raw,80975.913,68,335
Raw,1.21677076e+05,70,335
Raw,1.14803131e+05,71,335
Raw,42259.294,71,335
Raw,1.42554326e+05,72,335
Raw,1.12709155e+05,73,335
Raw,86337.718,74,335
Raw,1.094828e+05,75,335
Raw,98974.784,76,335
Raw,63894.878,77,335
Raw,99969.174,78,335
Raw,2.37681048e+05,79,335
Raw,1.3713766e+05,80,335
Raw,1.38594745e+05,81,335
Raw,1.16875213e+05,82,335
Raw,71238.359,83,335
Raw,1.55869064e+05,84,335
Raw,2.00887009e+05,85,335
Raw,86312.839,86,335
Raw,44503.901,86,335
Raw,85646.876,87,335
Raw,77173.128,88,335
Raw,1.63139205e+05,89,335
Raw,50167.678,90,335
Raw,1.27271053e+05,90,335
Raw,1.21509317e+05,91,335
Raw,1.21275368e+05,92,335
Raw,1.38822874e+05,93,335
Raw,95593.884,94,335
Raw,1.10981749e+05,95,335
Raw,79243.429,96,335
Raw,44283.495,97,335
Raw,1.10747002e+05,97,335
Raw,90739.014,98,335
Raw,83345.545,99,335
Raw,67946.809,99,335
Raw,91790.409,100,335
Raw,1.34362165e+05,101,335
Raw,1.64691055e+05,102,335
Raw,1.99995111e+05,103,335
Raw,92273.297,104,335
Raw,68105.952,105,335
Raw,1.69916993e+05,106,335
Raw,86525.943,107,335
Raw,1.19786406e+05,108,335
Raw,1.04731622e+05,109,335
Raw,83135.434,110,335
Raw,1.19292997e+05,111,335
Raw,84622.956,112,335
Raw,74177.522,113,335
Raw,1.05054601e+05,114,335
Raw,77335.246,115,335
Raw,1.21202348e+05,116,335
Raw,1.35046932e+05,117,335
Raw,94359.253,118,335
Raw,82146.954,119,335
Raw,56805.907,120,335
Raw,29969.589,120,335
Raw,51160.784,121,335
Raw,34792.394,121,335
Raw,2.10635095e+05,122,335
Raw,1.15345418e+05,123,335
Raw,43241.016,123,335
Raw,1.52092259e+05,124,335
Raw,77837.305,125,335
Raw,2.24963305e+05,127,335
Raw,73676.336,128,335
Raw,74337.199,129,335
Raw,1.06834199e+05,130,335
Raw,79725.662,131,335
Raw,1.81600395e+05,132,335
Raw,87648.928,133,335
Raw,88957.821,134,335
Raw,70417.825,136,335
Raw,1.61875348e+05,138,335
Raw,43665.026,138,335
Raw,1.00222514e+05,139,335
Raw,61422.247,140,335
Raw,89967.047,140,335
Raw,95442.639,141,335
Raw,91238.951,144,335
Raw,1.42865079e+05,145,335
Raw,61342.638,146,335
Raw,31275.152,146,335
Raw,1.59133768e+05,147,335
Raw,99513.35,148,335
Raw,16383.322,148,335
Raw,74758.722,149,335
Raw,1.01562177e+05,150,335
Raw,89111.788,151,335
Raw,61621.43,151,335
Raw,45652.476,152,335
Raw,1.20074866e+05,152,335
Raw,1.66284907e+05,153,335
Raw,32297.769,153,335
Raw,1.0335256e+05,154,335
Raw,1.51070497e+05,155,335
Raw,76235.516,156,335
Raw,2.07236246e+05,157,335
Raw,77270.938,158,335
Raw,84801.434,159,335
Raw,87673.869,160,335
Raw,99024.252,161,335
Raw,1.20742256e+05,162,335
Raw,1.31688877e+05,164,335
Raw,87283.62,165,335
Raw,74235.379,166,335
Raw,99094.074,167,335
Raw,1.48090951e+05,168,335
Raw,1.90590254e+05,169,335
Raw,54660.355,169,335
Raw,77701.167,170,335
Raw,1.02728031e+05,171,335
Raw,1.97852985e+05,172,335
Raw,2.61682225e+05,174,335
Raw,38376.636,174,335
Raw,85843.557,176,335
Raw,97684.524,178,335
Raw,1.70920711e+05,179,335
Raw,1.77379368e+05,180,335
Raw,73337.4,182,335
Raw,77812.264,183,335
Raw,1.04300468e+05,184,335
Raw,25436.254,184,335
Raw,55997.297,184,335
Raw,1.07516355e+05,185,335
Raw,1.00111734e+05,186,335
Raw,1.75182524e+05,188,335
