Type,Energy,Counts
MPFIT,10000,5.9071239
MPFIT,10153.436,6.0104106
MPFIT,10306.871,6.1155922
MPFIT,10460.307,6.2227019
MPFIT,10613.742,6.3317732
MPFIT,10767.178,6.4428402
MPFIT,10920.614,6.5559372
MPFIT,11074.049,6.6710992
MPFIT,11227.485,6.7883614
MPFIT,11380.921,6.9077595
MPFIT,11534.356,7.0293295
MPFIT,11687.792,7.153108
MPFIT,11841.227,7.2791318
MPFIT,11994.663,7.4074382
MPFIT,12148.099,7.5380649
MPFIT,12301.534,7.6710499
MPFIT,12454.97,7.8064318
MPFIT,12608.406,7.9442492
MPFIT,12761.841,8.0845414
MPFIT,12915.277,8.2273479
MPFIT,13068.712,8.3727086
MPFIT,13222.148,8.5206637
MPFIT,13375.584,8.6712538
MPFIT,13529.019,8.8245198
MPFIT,13682.455,8.9805027
MPFIT,13835.891,9.1392443
MPFIT,13989.326,9.3007861
MPFIT,14142.762,9.4651704
MPFIT,14296.197,9.6324394
MPFIT,14449.633,9.8026358
MPFIT,14603.069,9.9758024
MPFIT,14756.504,10.151982
MPFIT,14909.94,10.331219
MPFIT,15063.376,10.513555
MPFIT,15216.811,10.699035
MPFIT,15370.247,10.887703
MPFIT,15523.682,11.079603
MPFIT,15677.118,11.274778
MPFIT,15830.554,11.473273
MPFIT,15983.989,11.675133
MPFIT,16137.425,11.880402
MPFIT,16290.861,12.089124
MPFIT,16444.296,12.301344
MPFIT,16597.732,12.517107
MPFIT,16751.167,12.736457
MPFIT,16904.603,12.959438
MPFIT,17058.039,13.186097
MPFIT,17211.474,13.416476
MPFIT,17364.91,13.650621
MPFIT,17518.346,13.888575
MPFIT,17671.781,14.130383
MPFIT,17825.217,14.37609
MPFIT,17978.652,14.625738
MPFIT,18132.088,14.879372
MPFIT,18285.524,15.137035
MPFIT,18438.959,15.39877
MPFIT,18592.395,15.664621
MPFIT,18745.831,15.934629
MPFIT,18899.266,16.208838
MPFIT,19052.702,16.487288
MPFIT,19206.137,16.770023
MPFIT,19359.573,17.057082
MPFIT,19513.009,17.348507
MPFIT,19666.444,17.644338
MPFIT,19819.88,17.944614
MPFIT,19973.316,18.249375
MPFIT,20126.751,18.558659
MPFIT,20280.187,18.872505
MPFIT,20433.622,19.190949
MPFIT,20587.058,19.514029
MPFIT,20740.494,19.841781
MPFIT,20893.929,20.17424
MPFIT,21047.365,20.511441
MPFIT,21200.801,20.853417
MPFIT,21354.236,21.200201
MPFIT,21507.672,21.551827
MPFIT,21661.107,21.908324
MPFIT,21814.543,22.269724
MPFIT,21967.979,22.636056
MPFIT,22121.414,23.007348
MPFIT,22274.85,23.383629
MPFIT,22428.286,23.764923
MPFIT,22581.721,24.151258
MPFIT,22735.157,24.542657
MPFIT,22888.592,24.939143
MPFIT,23042.028,25.340738
MPFIT,23195.464,25.747464
MPFIT,23348.899,26.159339
MPFIT,23502.335,26.576383
MPFIT,23655.771,26.998612
MPFIT,23809.206,27.426042
MPFIT,23962.642,27.858687
MPFIT,24116.077,28.296561
MPFIT,24269.513,28.739676
MPFIT,24422.949,29.188041
MPFIT,24576.384,29.641666
MPFIT,24729.82,30.100557
MPFIT,24883.256,30.564721
MPFIT,25036.691,31.034162
MPFIT,25190.127,31.508883
MPFIT,25343.562,31.988884
MPFIT,25496.998,32.474167
MPFIT,25650.434,32.964727
MPFIT,25803.869,33.460563
MPFIT,25957.305,33.961669
MPFIT,26110.74,34.468037
MPFIT,26264.176,34.97966
MPFIT,26417.612,35.496526
MPFIT,26571.047,36.018623
MPFIT,26724.483,36.545939
MPFIT,26877.919,37.078456
MPFIT,27031.354,37.616159
MPFIT,27184.79,38.159027
MPFIT,27338.225,38.707039
MPFIT,27491.661,39.260173
MPFIT,27645.097,39.818405
MPFIT,27798.532,40.381708
MPFIT,27951.968,40.950053
MPFIT,28105.404,41.523411
MPFIT,28258.839,42.10175
MPFIT,28412.275,42.685035
MPFIT,28565.71,43.273232
MPFIT,28719.146,43.866304
MPFIT,28872.582,44.46421
MPFIT,29026.017,45.06691
MPFIT,29179.453,45.674361
MPFIT,29332.889,46.286518
MPFIT,29486.324,46.903334
MPFIT,29639.76,47.524763
MPFIT,29793.195,48.150752
MPFIT,29946.631,48.781251
MPFIT,30100.067,49.416205
MPFIT,30253.502,50.05556
MPFIT,30406.938,50.699258
MPFIT,30560.374,51.347241
MPFIT,30713.809,51.999447
MPFIT,30867.245,52.655815
MPFIT,31020.68,53.316281
MPFIT,31174.116,53.980779
MPFIT,31327.552,54.649242
MPFIT,31480.987,55.321602
MPFIT,31634.423,55.997788
MPFIT,31787.859,56.677729
MPFIT,31941.294,57.361352
MPFIT,32094.73,58.048581
MPFIT,32248.165,58.739341
MPFIT,32401.601,59.433554
MPFIT,32555.037,60.131142
MPFIT,32708.472,60.832025
MPFIT,32861.908,61.536121
MPFIT,33015.344,62.243347
MPFIT,33168.779,62.953621
MPFIT,33322.215,63.666857
MPFIT,33475.65,64.382969
MPFIT,33629.086,65.10187
MPFIT,33782.522,65.823473
MPFIT,33935.957,66.547688
MPFIT,34089.393,67.274426
MPFIT,34242.829,68.003596
MPFIT,34396.264,68.735107
MPFIT,34549.7,69.468867
MPFIT,34703.135,70.204782
MPFIT,34856.571,70.942759
MPFIT,35010.007,71.682705
MPFIT,35163.442,72.424525
MPFIT,35316.878,73.168124
MPFIT,35470.314,73.913406
MPFIT,35623.749,74.660276
MPFIT,35777.185,75.408637
MPFIT,35930.62,76.158395
MPFIT,36084.056,76.909451
MPFIT,36237.492,77.66171
MPFIT,36390.927,78.415076
MPFIT,36544.363,79.169451
MPFIT,36697.799,79.92474
MPFIT,36851.234,80.680846
MPFIT,37004.67,81.437673
MPFIT,37158.105,82.195125
MPFIT,37311.541,82.953107
MPFIT,37464.977,83.711524
MPFIT,37618.412,84.470282
MPFIT,37771.848,85.229285
MPFIT,37925.284,85.988442
MPFIT,38078.719,86.747658
MPFIT,38232.155,87.506842
MPFIT,38385.59,88.265902
MPFIT,38539.026,89.024749
MPFIT,38692.462,89.783291
MPFIT,38845.897,90.54144
