eccentricity,run
1.1992647,335
1.3080221,335
1.5260993,335
1.2367822,335
1.4270727,335
1.0645913,335
1.2950187,335
1.2077512,335
1.3898112,335
1.6209132,335
1.2099133,335
1.760192,335
1.4985274,335
1.1756845,335
1.0844904,335
1.2501579,335
1.1835671,335
1.1562295,335
1.8738466,335
1.0280939,335
1.0505453,335
1.1348313,335
1.0522795,335
1.1644234,335
1.0880807,335
1.4219058,335
1.3781742,335
1.0582087,335
1.536394,335
1.3519374,335
1.1848742,335
1.085828,335
1.1328914,335
1.2603094,335
1.4094885,335
1.6564808,335
1.4568475,335
1.233523,335
1.0292149,335
1.2542217,335
1.2013294,335
1.4153547,335
1.3459975,335
1.1369719,335
1.0832497,335
1.2167997,335
1.0310744,335
1.7607738,335
1.3984667,335
1.2067012,335
1.3337822,335
1.9466114,335
1.1450864,335
1.0984341,335
1.2033883,335
1.1164625,335
1.2313544,335
1.1133118,335
1.4414632,335
1.2367654,335
1.17858,335
1.515156,335
1.3095398,335
1.0234019,335
1.0765097,335
1.1494318,335
1.4151126,335
1.1355974,335
1.251185,335
1.4337934,335
1.1460398,335
1.3210828,335
1.8848897,335
1.1669565,335
1.3020381,335
1.1327514,335
1.2508905,335
1.3510875,335
1.052364,335
1.278822,335
1.3486884,335
1.2287332,335
1.324043,335
1.2453617,335
1.212448,335
1.7828677,335
1.3842206,335
1.6147283,335
1.140517,335
1.1795535,335
1.1721212,335
1.1968481,335
1.181007,335
1.2562396,335
1.1670928,335
1.0930455,335
1.2001093,335
1.1405856,335
1.2534433,335
1.4394105,335
1.3360057,335
1.2457376,335
1.7980113,335
1.1992662,335
1.1894674,335
1.2545548,335
1.3016471,335
1.1684493,335
1.1605674,335
1.4275506,335
1.249496,335
1.7706869,335
1.5605025,335
1.7848778,335
1.11893,335
1.3126412,335
1.479404,335
1.1381044,335
1.5561291,335
1.3089553,335
1.1700831,335
1.0871595,335
1.092554,335
1.3042721,335
1.3257706,335
1.2222061,335
1.9235225,335
1.214258,335
1.229902,335
1.3586238,335
1.304703,335
1.2891545,335
1.6954734,335
1.2944226,335
1.1839899,335
1.1160497,335
1.2511904,335
1.5448396,335
1.1556463,335
1.3266381,335
1.4151098,335
1.211884,335
1.0511033,335
1.0643292,335
1.2877213,335
1.3754927,335
1.4085378,335
1.6282884,335
1.3194917,335
1.2368998,335
1.3094338,335
1.2899388,335
1.3554356,335
1.1252672,335
1.1491558,335
1.6289664,335
1.5900574,335
1.2603329,335
1.1442474,335
1.1682695,335
1.4903324,335
1.2358309,335
1.2427282,335
1.514429,335
1.8827679,335
1.155221,335
1.2298016,335
1.2675109,335
1.2464576,335
1.3511989,335
1.1799522,335
1.0801693,335
1.0815691,335
1.6064412,335
1.5428283,335
1.1763453,335
1.7527144,335
1.606418,335
1.3658602,335
1.180109,335
1.1516893,335
1.7558997,335
1.4254856,335
1.4425962,335
1.0713694,335
1.273524,335
1.2545299,335
1.4909748,335
1.3791183,335
1.4357754,335
1.4164832,335
1.5805039,335
1.2089177,335
1.0837798,335
1.3249454,335
1.0382223,335
1.4923259,335
1.5371975,335
1.0738188,335
1.0813495,335
1.7290279,335
1.6710345,335
1.1696623,335
1.2374142,335
1.4144885,335
1.338886,335
1.0577627,335
1.2463876,335
1.6576045,335
1.2808925,335
1.3510643,335
1.2250819,335
1.3743424,335
1.3514402,335
1.1701493,335
1.088506,335
1.2210418,335
1.2276467,335
1.9222323,335
1.6730002,335
1.2453653,335
1.2814792,335
1.2130867,335
1.5126346,335
1.1677253,335
1.2578979,335
1.3605378,335
