fractionInTransverseRms,run
0.36363636,335
0.33333333,335
0.35294118,335
0.35714286,335
0.23404255,335
0.3030303,335
0.37837838,335
0.35294118,335
0.19047619,335
0.38095238,335
0.33898305,335
0.16666667,335
0.20689655,335
0.47058824,335
0.325,335
0.32,335
0.28205128,335
0.33333333,335
0.18965517,335
0.33333333,335
0.37931034,335
0.29310345,335
0.42105263,335
0.38235294,335
0.29411765,335
0.31914894,335
0.21126761,335
0.37037037,335
0.30434783,335
0.28,335
0.30769231,335
0.38596491,335
0.17391304,335
0.34210526,335
0.32075472,335
0.21428571,335
0.32142857,335
0.27586207,335
0.47058824,335
0.27272727,335
0.31481481,335
0.27777778,335
0.33333333,335
0.375,335
0.33333333,335
0.34615385,335
0.37142857,335
0.28205128,335
0.29411765,335
0.33333333,335
0.22222222,335
0.11764706,335
0.36363636,335
0.3255814,335
0.26470588,335
0.375,335
0.27777778,335
0.34782609,335
0.24242424,335
0.18918919,335
0.36842105,335
0.39393939,335
0.42592593,335
0.28813559,335
0.30232558,335
0.375,335
0.30434783,335
0.42424242,335
0.26190476,335
0.28125,335
0.43902439,335
0.26829268,335
0.15,335
0.33333333,335
0.44186047,335
0.17073171,335
0.21212121,335
0.38709677,335
0.39393939,335
0.30555556,335
0.29166667,335
0.28,335
0.18421053,335
0.24,335
0.32258065,335
0.17142857,335
0.28571429,335
0.2,335
0.2972973,335
0.30434783,335
0.28947368,335
0.275,335
0.45714286,335
0.36363636,335
0.30769231,335
0.31481481,335
0.29268293,335
0.5,335
0.39473684,335
0.26666667,335
0.30952381,335
0.34482759,335
0.18309859,335
0.25,335
0.4,335
0.071428571,335
0.29545455,335
0.27659574,335
0.35294118,335
0.45945946,335
0.21428571,335
0.19354839,335
0.35294118,335
0.1509434,335
0.30769231,335
0.10526316,335
0.18181818,335
0.43333333,335
0.31578947,335
0.28,335
0.21052632,335
0.32142857,335
0.31707317,335
0.39393939,335
0.22916667,335
0.15625,335
0.2739726,335
0.33333333,335
0.33333333,335
0.32142857,335
0.28571429,335
0.32352941,335
0.26984127,335
0.24137931,335
0.33333333,335
0.34375,335
0.35483871,335
0.2972973,335
0.33898305,335
0.32432432,335
0.34693878,335
0.28571429,335
0.43636364,335
0.325,335
0.175,335
0.30434783,335
0.30769231,335
0.23809524,335
0.3,335
0.38636364,335
0.16666667,335
0.2745098,335
0.17142857,335
0.14814815,335
0.34375,335
0.20454545,335
0.24489796,335
0.41935484,335
0.20833333,335
0.325,335
0.29268293,335
0.32653061,335
0.19512195,335
0.17808219,335
0.26470588,335
0.30769231,335
0.44444444,335
0.20689655,335
0.29411765,335
0.27272727,335
0.26666667,335
0.32142857,335
0.46153846,335
0.18367347,335
0.36363636,335
0.33333333,335
0.14285714,335
0.23214286,335
0.30188679,335
0.21428571,335
0.4,335
0.24637681,335
0.27272727,335
0.29230769,335
0.38235294,335
0.29166667,335
0.30769231,335
0.29411765,335
0.29268293,335
0.27419355,335
0.28,335
0.2,335
0.27272727,335
0.2244898,335
0.31428571,335
0.3125,335
0.31707317,335
0.29565217,335
0.38235294,335
