kurtosisLongitudinal,run
2.2699387,335
-0.85266053,335
0.29024568,335
-0.17118387,335
0.10909396,335
-0.25685003,335
0.19856366,335
-0.43078875,335
0.64052524,335
0.79323015,335
0.19222442,335
-0.84964133,335
0.30382727,335
-0.35730546,335
0.1858529,335
-0.70524967,335
-0.84802129,335
-1.310904,335
-0.89078083,335
-0.35077427,335
-0.56801413,335
-0.54150715,335
0.52875124,335
0.89371279,335
-1.1254149,335
-0.54564172,335
-1.001309,335
-0.92145021,335
-0.35157591,335
0.30986385,335
-0.16903974,335
-0.43876592,335
-0.80646854,335
-0.54848985,335
-0.14198525,335
-1.1729878,335
-0.45423124,335
-0.91521371,335
0.41679406,335
-0.70107753,335
-0.85327688,335
0.066864815,335
-0.64027231,335
-0.78357573,335
-0.40415119,335
-0.65212784,335
-0.11479894,335
-0.43456503,335
-0.43548989,335
-0.98263198,335
-0.30745889,335
-0.62795123,335
0.17079508,335
-0.69275698,335
-0.35186275,335
-0.44818736,335
-0.78738331,335
-0.72960047,335
-0.67950358,335
-0.7918161,335
-0.6452951,335
0.45175571,335
-0.084161085,335
0.17378944,335
-0.68106665,335
-0.72234808,335
1.3408666,335
0.5959764,335
-0.38506171,335
-0.90451448,335
0.14254992,335
-0.98133766,335
-0.32683828,335
-0.17891781,335
-0.020129915,335
-1.1189919,335
-1.0806601,335
-0.076018147,335
-1.0251606,335
-0.76599296,335
0.22087887,335
-1.0328739,335
-0.76975032,335
-0.46758778,335
0.25870577,335
-1.1428198,335
-0.72502043,335
-0.65128949,335
-1.0600891,335
1.3918389,335
-0.66342463,335
-0.88590274,335
0.27758867,335
-0.8464801,335
-0.52615998,335
-0.2672645,335
0.016329462,335
-0.11848334,335
-0.36947809,335
-0.3465454,335
-0.6880446,335
0.031829437,335
-0.41275052,335
-1.0673048,335
1.5723548,335
-1.4988793,335
-0.37049766,335
-0.70667434,335
-0.81258908,335
-0.022243643,335
-1.3017868,335
-0.81337084,335
-0.24115107,335
-0.37867278,335
-0.032449813,335
-0.11643687,335
-1.266697,335
1.1488064,335
-0.58485628,335
-0.55191396,335
-1.0882396,335
-0.21700048,335
-0.29069982,335
1.4071684,335
0.60838298,335
-0.34110642,335
-0.68805336,335
-0.12297161,335
0.019349498,335
-0.44812431,335
0.37146308,335
-0.25851539,335
-0.16187946,335
1.2984539,335
-0.029867479,335
-0.21555325,335
-0.41784908,335
0.40438844,335
-0.6722284,335
-0.18257291,335
0.62091291,335
-0.30636334,335
0.15765282,335
-0.087026357,335
-0.69993498,335
-0.078630254,335
-0.025883453,335
-0.28271779,335
0.74373014,335
-0.34281789,335
-0.50614089,335
-0.36567225,335
-1.0665058,335
-0.35677047,335
-0.32596908,335
-0.029717552,335
-0.65403062,335
7.2889088,335
-0.81233933,335
-0.10365581,335
-0.62712012,335
0.14261691,335
-1.2212806,335
-0.19422324,335
-0.32823066,335
0.51905128,335
1.2543785,335
-0.08776045,335
0.26310764,335
-0.79442048,335
-0.24146095,335
-0.49408444,335
-0.078292467,335
-0.94824148,335
-0.26460832,335
-0.37672815,335
-0.66316044,335
-1.0607078,335
-0.49341726,335
-0.50905742,335
0.21146147,335
1.4565022,335
-0.33968,335
-0.606373,335
-0.86838656,335
-0.38339294,335
-0.53719094,335
-0.84071001,335
-0.60440953,335
0.14515346,335
-0.87086626,335
-1.2047303,335
-1.0498023,335
-0.45755153,335
-0.6333144,335
0.059135551,335
0.51580112,335
-0.37894466,335
-0.25921798,335
0.7283386,335
-0.077235869,335
-0.23738639,335
-0.26212814,335
-0.13424198,335
-0.56630195,335
-0.43268368,335
-0.98445071,335
-0.40913974,335
0.96495548,335
-0.4338938,335
-0.85924242,335
-0.37748943,335
0.66152858,335
-1.1593944,335
0.24548152,335
-0.95060863,335
-0.40829872,335
-0.55049167,335
-1.131021,335
-1.3612548,335
-0.79360712,335
-0.70127145,335
-0.076519643,335
1.1052776,335
-0.46043438,335
-0.054917069,335
0.13700805,335
-1.0608681,335
1.453121,335
0.39905166,335
-0.66269484,335
-0.30772988,335
1.5200238,335
-0.10229416,335
0.001169982,335
2.5778552,335
-0.33900276,335
-1.0074679,335
