kurtosisTransverse,run
0.017647718,335
0.42081297,335
-0.78434226,335
-0.83366125,335
-0.33228248,335
-0.20885581,335
-0.092094701,335
-0.57814797,335
0.1275945,335
0.3952384,335
-0.13366876,335
-0.36724008,335
0.1015117,335
1.9695226,335
-0.48816815,335
-0.64705749,335
0.22217143,335
-0.18751575,335
0.04761057,335
-0.52026981,335
-0.53424529,335
0.31097593,335
0.48139071,335
-0.78506108,335
-0.31768019,335
0.27857456,335
-0.33713794,335
-0.010388999,335
-0.27509051,335
-0.78922394,335
-0.45971495,335
-0.1480578,335
-0.98283806,335
0.56518756,335
-0.60542283,335
-0.046798441,335
-0.41293336,335
-0.34336925,335
-0.35098533,335
-0.72073997,335
-0.18720467,335
0.35833208,335
-0.12990219,335
-0.23966575,335
-0.29058626,335
0.041386013,335
-0.46620923,335
-0.58849962,335
1.0658577,335
-0.10098883,335
-0.6310878,335
-0.88754514,335
-0.64381264,335
-0.012449287,335
-1.2451474,335
-0.77102643,335
-0.5398107,335
-0.10006575,335
-0.67479517,335
-0.033624849,335
0.44329217,335
-0.17311478,335
0.22585767,335
-0.78858203,335
-0.4058272,335
1.029034,335
-0.8091303,335
1.0844233,335
-0.81996515,335
0.019130534,335
-0.63423366,335
-0.063066383,335
-0.44071806,335
1.1055299,335
1.5083649,335
-0.92623677,335
-0.96231602,335
-0.059594964,335
-0.8494133,335
-0.77913419,335
-0.16551332,335
-0.31000249,335
-0.75139817,335
-1.1110532,335
-1.4168045,335
0.44364191,335
-0.1032925,335
-0.019827612,335
-0.28092923,335
-0.18640999,335
-0.68706006,335
0.073275891,335
-0.34815918,335
-0.15443094,335
-0.86850568,335
-0.22494678,335
-0.62937647,335
-0.31180446,335
-0.24028629,335
-0.78308782,335
2.5588984,335
-1.1789797,335
-0.50311194,335
-0.090150447,335
-0.12436958,335
-0.54993473,335
-0.87225912,335
-0.89273958,335
1.3878049,335
0.20055996,335
0.7758973,335
0.26546531,335
1.1735703,335
-0.70569471,335
0.2794194,335
-1.2524253,335
-1.1212741,335
1.8243158,335
0.88280363,335
0.59098609,335
-0.36166374,335
-1.0520367,335
0.75663793,335
-0.40034226,335
-0.56616374,335
-1.078213,335
-0.16279881,335
-0.65934956,335
-1.1125183,335
-0.88855705,335
-0.86408558,335
-0.038918345,335
-0.30235635,335
-0.69245855,335
-0.42140805,335
-0.37773098,335
-0.55716265,335
-0.46413286,335
0.17823751,335
0.99400578,335
-0.2004937,335
-0.48696445,335
1.2267777,335
-0.53224391,335
-0.086097252,335
-0.51262309,335
-0.78503903,335
-0.84665253,335
-0.55310291,335
-0.90319826,335
-0.7481231,335
-0.21072767,335
-0.91240487,335
-1.0251161,335
-0.72828708,335
-0.31649588,335
0.30948998,335
-0.57005429,335
-0.5487137,335
-0.77219655,335
-0.31368406,335
0.057753891,335
-0.93653103,335
-0.64094458,335
-0.88381712,335
0.21519478,335
0.63879501,335
0.68286978,335
-0.44541602,335
-0.79464585,335
0.0087371348,335
-0.72628734,335
2.9416882,335
-0.60720776,335
0.76108933,335
-0.5783478,335
-0.45022911,335
0.0073205708,335
-0.032032735,335
0.092578684,335
-0.11201454,335
-0.36269542,335
0.63378999,335
-0.11866258,335
-0.38234017,335
-1.1291089,335
0.45397162,335
-0.57483779,335
-0.4621919,335
1.9317879,335
-0.6096019,335
1.1238181,335
0.49582436,335
-0.95961648,335
0.7824811,335
-0.28193417,335
0.65395673,335
-0.15667551,335
-0.20679291,335
0.13961881,335
-0.26354786,335
-0.31647646,335
-0.51623622,335
-0.12140653,335
0.3534637,335
-0.42888079,335
-0.74201914,335
-0.76892873,335
0.39507075,335
-0.5740825,335
0.094172198,335
0.53466472,335
-0.60938551,335
-0.24236537,335
0.34644564,335
0.032500151,335
-0.33249667,335
0.078093196,335
-0.40537526,335
-0.39361212,335
-0.49105343,335
1.0437059,335
-0.74557181,335
-0.46325925,335
-1.1094506,335
-0.58252886,335
0.065364236,335
-0.13993911,335
0.055532642,335
-0.91388803,335
1.1671306,335
-0.27577479,335
0.63533713,335
-0.14827701,335
-0.67766127,335
-0.48632407,335
-0.26032314,335
-0.70672302,335
-0.29877195,335
-0.0026038125,335
2.022813,335
-0.14466295,335
-0.55145722,335
-0.18917469,335
-0.083338011,335
-0.5324945,335
0.09596074,335
-0.58559159,335
-0.18159126,335
-0.33544258,335
-0.72312646,335
0.14134919,335
-0.0054510808,335
-0.28580448,335
0.34272136,335
-0.83929288,335
-1.2109886,335
0.34258203,335
1.4505748,335
0.46092232,335
-0.43017111,335
1.5368026,335
0.30947639,335
0.00070478453,335
-0.51498492,335
-0.59611189,335
0.1121087,335
-0.046997704,335
-0.098828411,335
-0.35311083,335
-0.64593683,335
2.1789761,335
-0.24547472,335
-0.11959477,335
-0.96513074,335
0.97241004,335
-0.35385993,335
-0.70301708,335
-0.39831226,335
1.1533558,335
-0.028186309,335
-0.29753818,335
-0.42963469,335
-0.56998113,335
0.15610952,335
1.2595159,335
0.50610895,335
0.0083021455,335
-1.1040473,335
-0.44691545,335
-0.16702376,335
0.29786701,335
-1.0920479,335
-1.1489698,335
-0.37297796,335
-0.31077821,335
-0.61978666,335
-0.33009611,335
-0.55152,335
-0.93302353,335
-0.97777794,335
-1.1696156,335
2.0881674,335
-1.0145787,335
-0.060689351,335
1.8754606,335
0.65816736,335
-0.41012591,335
-0.57284231,335
0.49125247,335
-0.054313981,335
-0.34702857,335
-0.052602278,335
0.38374611,335
0.97996349,335
-0.45151693,335
-0.25899445,335
-0.86589283,335
-0.047631705,335
1.3062335,335
0.044911194,335
2.3831731,335
0.70147655,335
-0.5441941,335
-0.80456444,335
-0.4036459,335
0.032075157,335
-0.32192016,335
1.4075073,335
-0.28608091,335
1.7856733,335
-0.19734858,335
0.57683454,335
0.77219163,335
0.58156702,335
-0.36056244,335
-0.88958101,335
-0.10411384,335
-0.23586334,335
-0.41865478,335
-0.59340554,335
-1.1161048,335
-0.91193523,335
-0.49247603,335
0.54303123,335
-0.26448188,335
-1.0392494,335
-0.72619506,335
-0.10641247,335
-0.16730955,335
-0.46666035,335
0.13698498,335
1.052228,335
-0.85237957,335
-1.0734861,335
0.62222397,335
-0.013160972,335
2.7237168,335
-0.96510766,335
1.1426169,335
0.32657113,335
-0.5346511,335
-1.4684231,335
0.21555565,335
-0.009017346,335
-0.71960879,335
1.705793,335
0.70647576,335
-0.18945811,335
-0.35732953,335
-0.44480763,335
-0.18371915,335
-0.37355364,335
-1.2645253,335
0.0031070294,335
-0.98077713,335
-0.57112784,335
-0.14790504,335
-0.29551691,335
-0.98077766,335
0.78455467,335
-0.75310951,335
-0.29391671,335
-1.5470415,335
-0.43558203,335
-0.88746304,335
0.1603761,335
1.181449,335
0.34588007,335
0.74447493,335
-0.44196633,335
0.18476461,335
0.25465699,335
1.8205303,335
-0.27650186,335
0.1973678,335
-0.10669779,335
0.014971375,335
-0.60619632,335
0.31095921,335
-0.74410254,335
-0.86392994,335
-0.48478809,335
0.58859796,335
-0.5086454,335
-0.46569986,335
-0.16688872,335
0.63339908,335
-1.0752906,335
-0.19733604,335
0.17145338,335
-0.19658245,335
2.9801881,335
-0.51075437,335
-0.84580606,335
0.14607366,335
0.15362848,335
0.21173536,335
-0.77183821,335
-0.1645914,335
-0.56107072,335
-0.92588283,335
-0.024816234,335
0.25748594,335
-0.37100994,335
-0.47642398,335
-0.09336579,335
-0.24062752,335
-0.28919539,335
-0.26047471,335
0.20257372,335
0.20611336,335
0.9350183,335
-0.50576731,335
0.10224848,335
0.19417027,335
-0.11214614,335
-0.84364794,335
0.7118029,335
-0.54760555,335
-0.013151119,335
0.27747352,335
-0.2160714,335
-1.5815374,335
-0.43339011,335
0.80222979,335
0.56281728,335
-0.83396098,335
0.73601072,335
-0.67134343,335
-0.53877817,335
0.40949366,335
-0.59854383,335
-0.52050132,335
0.6006657,335
0.75546939,335
-0.7931212,335
-0.32070955,335
0.93012453,335
-0.92210402,335
1.3656906,335
-0.48811414,335
0.010918938,335
0.45247528,335
-0.042053448,335
1.2740392,335
1.1691718,335
-0.26950788,335
-1.5146604,335
2.2429243,335
1.7333598,335
-0.93079592,335
-0.90360866,335
1.1137293,335
1.4018491,335
-0.060656607,335
-0.75688813,335
-0.21494756,335
-1.0024309,335
0.54989856,335
0.072883447,335
-0.72529944,335
-0.71062145,335
0.11047197,335
0.17211041,335
1.5591912,335
-0.95693346,335
0.28963503,335
-0.38490304,335
-0.91720599,335
-0.79107901,335
-0.85368592,335
1.040718,335
2.7581485,335
-0.097302502,335
0.81304136,335
-0.62858002,335
0.32901888,335
-0.19160379,335
1.1104048,335
0.39266115,335
-0.41860478,335
-0.98369089,335
1.0198605,335
-0.019730651,335
-0.41740636,335
-0.33809628,335
-0.21409392,335
0.0087377913,335
-0.84456581,335
0.70449334,335
-1.1521095,335
-0.84159294,335
-0.15288317,335
-0.81602486,335
0.68706232,335
-0.69010621,335
-0.97511744,335
-0.89541883,335
-0.0016871919,335
-0.84729217,335
0.39882653,335
-0.93029046,335
-0.37265051,335
-0.27641816,335
0.15968202,335
-0.49715177,335
-0.16458531,335
-0.99419595,335
-0.66825167,335
-0.25811112,335
-0.24268316,335
-1.0548796,335
0.89246668,335
0.13707643,335
0.37592622,335
-0.52883896,335
-0.11559957,335
-0.26575118,335
1.056443,335
-0.70870232,335
-1.0506654,335
-0.55739929,335
0.44815278,335
0.050135433,335
-0.19232922,335
-0.13518686,335
-0.18004524,335
-0.34100502,335
-0.55519555,335
-1.2370642,335
-0.73558311,335
-1.1803916,335
0.17974677,335
0.3047574,335
-0.3973073,335
-0.60154901,335
-0.2256389,335
-0.52630373,335
0.34533903,335
-0.30762956,335
-0.62318766,335
-0.65870641,335
-0.69904919,335
1.19333,335
0.35856323,335
0.72850238,335
-0.096991791,335
0.9575135,335
-0.89172958,335
-0.96894894,335
-0.039868398,335
-0.72213464,335
-0.14638873,335
-1.0310687,335
-0.51037475,335
-0.69039103,335
-0.60060252,335
-0.80424228,335
-0.8534911,335
-0.17623712,335
-0.5865152,335
0.02724329,335
-0.84684092,335
2.0368183,335
-0.32567712,335
-0.21508443,335
0.44818051,335
-0.72775206,335
-0.5299864,335
0.3017285,335
-0.31949618,335
-0.34615069,335
-1.0888864,335
-0.50621068,335
-0.3709151,335
0.029399892,335
-0.35164448,335
0.18815091,335
-1.2632177,335
-0.020038052,335
1.1178752,335
0.71674468,335
-0.57555946,335
0.79812887,335
-0.10961919,335
-0.34878493,335
1.538929,335
-0.079075701,335
-0.21653423,335
-0.96071758,335
-0.31169109,335
-0.97671629,335
-0.73997466,335
-1.1716024,335
0.18070997,335
-0.75731145,335
-1.3150458,335
0.74129085,335
1.0936294,335
-0.091424757,335
-0.87726845,335
-1.1393174,335
0.2684009,335
-0.061255251,335
2.4119773,335
-0.73580315,335
0.42766721,335
-0.82031645,335
1.2626259,335
0.04536164,335
-0.35814541,335
-0.7712445,335
-0.81800837,335
0.0074905229,335
-0.71232817,335
-1.1014878,335
-0.66845799,335
-0.29467772,335
0.21160755,335
-0.83122898,335
-0.99690959,335
0.7424723,335
-0.77067291,335
-0.37561025,335
-0.79555652,335
-0.32977289,335
-0.79071196,335
-0.41438498,335
0.29041391,335
0.71637947,335
0.43970343,335
0.0056563994,335
0.1879577,335
-0.42209235,335
-1.0423444,335
0.6121633,335
-0.29127242,335
0.14255832,335
-0.038920948,335
-0.82822667,335
0.63286549,335
1.2204227,335
0.185485,335
0.77099812,335
-0.058790927,335
-0.72283293,335
-0.013945739,335
0.77901133,335
-0.13162494,335
1.6256412,335
-0.1520326,335
-0.42064283,335
-0.26162988,335
-0.38099829,335
2.7027254,335
-0.50947425,335
0.45675267,335
-0.38438592,335
-0.55952051,335
-0.63360595,335
4.7506744,335
0.16807634,335
0.018619469,335
2.4403137,335
-0.11050049,335
-0.39709332,335
0.19322309,335
0.86468451,335
-0.81702717,335
0.52480522,335
-0.088809453,335
-0.13279849,335
-0.23699489,335
-0.12763158,335
-0.10604042,335
-0.2974066,335
-1.0633218,335
-0.8482776,335
-0.59271366,335
-0.51892498,335
-0.40040413,335
0.35617182,335
-1.2964858,335
-0.39268178,335
-0.44339215,335
0.091605827,335
-0.72711079,335
0.2728473,335
0.39328335,335
-0.049850905,335
-0.23108401,335
0.097627532,335
-0.70597087,335
-0.63758649,335
-0.55711246,335
-0.18207224,335
-0.21099395,335
-0.3791142,335
-0.49462793,335
-0.4897894,335
0.13647692,335
-1.0349207,335
-0.21975102,335
-0.59854612,335
0.42583587,335
-0.64710473,335
0.4931062,335
0.98922206,335
0.26866183,335
-1.1605244,335
-0.33990465,335
-0.040656028,335
0.54985909,335
-0.14108117,335
0.073811179,335
-1.067612,335
-0.91960972,335
2.5279591,335
-0.45958283,335
-0.32092501,335
-0.95981111,335
-0.42121209,335
-0.75461978,335
-0.66196008,335
-0.010886237,335
-0.46921837,335
-0.085633667,335
-0.75625757,335
0.57134162,335
-0.13056094,335
0.65852788,335
-1.0489809,335
-0.74158743,335
0.23463234,335
0.074587481,335
0.16606513,335
-0.51650708,335
0.87120295,335
-0.76938849,335
-1.0820877,335
-0.38584601,335
0.45543061,335
-0.52244226,335
0.36965178,335
0.63388965,335
-1.1665502,335
0.28152246,335
-0.69914655,335
-1.2340891,335
0.10398979,335
-1.0224391,335
-0.069793524,335
-0.010549773,335
0.014052734,335
-0.32974645,335
-0.58303458,335
-0.088084277,335
-0.85405632,335
-0.52371587,335
-0.98738502,335
0.031589359,335
-0.88313242,335
0.76398121,335
0.11180221,335
0.088443115,335
0.0289,335
1.6134051,335
0.45785276,335
-0.35367576,335
-0.56917529,335
-0.27797169,335
0.032676037,335
-0.31447215,335
-1.224465,335
2.1670152,335
-0.052963124,335
-0.96767445,335
0.4822542,335
0.12559505,335
-0.23940102,335
-0.6512095,335
-0.39573556,335
-0.85372899,335
0.90492105,335
-0.030872731,335
0.14493329,335
-0.47950537,335
-0.25298431,335
-0.72990851,335
-0.54895151,335
-0.13694401,335
2.0409695,335
-0.43962362,335
-0.20600341,335
-0.70447835,335
-0.90163654,335
-0.11409924,335
-0.41313873,335
-0.15350227,335
-0.086048221,335
0.98519261,335
-0.84685635,335
-0.85286083,335
0.046728569,335
0.18066183,335
-0.82865236,335
-0.88233344,335
-1.1063027,335
-0.048773881,335
-0.87163166,335
-0.4174254,335
-0.27281471,335
-0.7285007,335
-0.54795449,335
-1.4107128,335
0.42097522,335
0.3178733,335
3.0622199,335
-0.91638361,335
0.032952604,335
-0.53891181,335
-0.63219059,335
0.64382051,335
-0.18529319,335
-0.69421406,335
0.76941467,335
0.42728024,335
-0.16489315,335
2.5935636,335
-0.53383928,335
0.47039861,335
0.50204257,335
-0.35638436,335
-0.4015677,335
-0.95779207,335
-1.0705192,335
-0.44077711,335
-0.065877885,335
-0.21127432,335
-0.32490177,335
-0.815384,335
-0.43575326,335
2.2960232,335
-0.72280213,335
-0.36339249,335
1.0334222,335
-0.81513722,335
-0.57839691,335
0.06063551,335
0.64248426,335
0.68930923,335
-0.12130035,335
-0.39905131,335
-0.13884192,335
0.67549167,335
-0.78868783,335
1.2838921,335
-0.88899968,335
-0.42993585,335
-0.42630512,335
-0.2325966,335
-0.54100003,335
0.16999611,335
3.206303,335
-0.55676476,335
-1.0090718,335
-0.7968048,335
-0.97121443,335
-0.98477275,335
-0.24253456,335
-0.77628945,335
-0.63809681,335
2.2536931,335
0.2905599,335
-0.48745791,335
-0.22312177,335
-0.69831778,335
-0.52551423,335
-0.81273129,335
1.3308651,335
-0.24518714,335
-1.1217922,335
-0.26686243,335
-0.83319967,335
0.21543476,335
-0.49225609,335
0.54079018,335
-0.3614967,335
-0.61706352,335
-0.85517877,335
1.1149122,335
-0.38257698,335
0.081409977,335
0.19443633,335
0.49164459,335
-0.20402683,335
0.65754239,335
-0.55648439,335
-0.50113012,335
-0.4149183,335
0.99170283,335
1.6505732,335
-0.83597249,335
1.8415882,335
-0.75982144,335
-0.20418527,335
-0.52133358,335
-0.49884461,335
-0.88285584,335
-0.30149382,335
-0.76632069,335
2.2994,335
2.6265683,335
0.085960695,335
-0.39006901,335
-0.55299531,335
-0.51878209,335
0.12422567,335
-1.1164126,335
0.2810549,335
-0.086963799,335
-0.82936476,335
-0.2290386,335
-0.69864225,335
-0.52325167,335
-0.012805562,335
0.79943503,335
-0.67302573,335
-0.18232696,335
-0.23621585,335
1.1981892,335
0.8020436,335
-0.10092194,335
-0.46826574,335
-0.21405662,335
-0.23003666,335
-1.0399049,335
-1.0657956,335
-0.52508566,335
-0.34163263,335
-0.7964613,335
-0.72258441,335
0.0047071278,335
0.063885309,335
-0.34023246,335
-0.53987224,335
0.42338473,335
-1.1312983,335
0.89045028,335
-0.46085684,335
-0.77805973,335
0.26019834,335
0.69019805,335
0.45013829,335
0.71653335,335
-0.03205238,335
-1.0182618,335
-0.58015609,335
-0.84467997,335
0.070401009,335
1.4414751,335
-0.1059503,335
-0.20395567,335
0.22811077,335
0.49667988,335
0.82915651,335
-0.45181924,335
-0.63780861,335
-0.43737737,335
0.19250682,335
