lengthDivRmsTrans,run
5.7323976,335
4.4619363,335
6.2978147,335
4.8894955,335
6.6064354,335
5.0720657,335
5.513911,335
4.9434885,335
6.9728284,335
7.1923944,335
5.247475,335
7.0931475,335
6.0600645,335
5.1451205,335
4.8808757,335
5.3028477,335
4.3596472,335
3.9790145,335
7.7331656,335
4.8803707,335
4.8014067,335
4.8404978,335
3.8787955,335
4.8112117,335
3.5659733,335
6.2090404,335
5.8911681,335
3.9375966,335
6.3424317,335
5.8317339,335
5.0620021,335
4.5315721,335
4.1346908,335
5.6766477,335
6.2010596,335
6.0821872,335
5.7557628,335
4.4981983,335
4.9443388,335
5.3271883,335
5.1248093,335
5.7917007,335
6.1608662,335
4.6327483,335
4.5015086,335
4.5933828,335
4.4206838,335
6.9075277,335
5.7297237,335
4.4491125,335
5.9450881,335
6.662206,335
5.2380586,335
4.150288,335
4.7809097,335
5.172952,335
4.8665844,335
4.0581411,335
5.8652822,335
4.7112294,335
4.528227,335
6.8454674,335
6.4171215,335
5.3572047,335
4.0340138,335
4.6752383,335
6.4106402,335
5.0649207,335
5.5686278,335
5.5709276,335
4.8142811,335
4.9579343,335
7.3795557,335
5.1828152,335
5.2466843,335
3.7833584,335
4.8020361,335
6.2763319,335
3.7930988,335
5.3942958,335
6.6164658,335
4.3664462,335
5.258434,335
4.5138436,335
4.9782212,335
6.0841645,335
5.7821823,335
6.1754397,335
3.9374895,335
6.4506338,335
4.249291,335
4.3302571,335
5.4034136,335
4.6239447,335
4.4043844,335
5.001853,335
5.4650354,335
4.8450787,335
5.5327838,335
5.2955303,335
5.4425469,335
5.095585,335
7.6801477,335
4.3407098,335
6.09789,335
3.0394378,335
5.4703588,335
4.4683509,335
4.283018,335
5.8763711,335
4.0044693,335
6.6954154,335
6.1010288,335
6.7330689,335
4.9269439,335
5.8948323,335
4.7412326,335
4.822618,335
6.263396,335
5.2566664,335
4.033272,335
4.85658,335
4.3102993,335
6.4648412,335
6.7307653,335
5.4072679,335
7.8843228,335
5.4799322,335
5.2145313,335
5.5908997,335
5.9572717,335
5.5900494,335
6.1368138,335
6.6198359,335
5.0943574,335
4.6422506,335
5.0865132,335
7.5086772,335
4.6970229,335
5.963259,335
7.2128054,335
5.0177041,335
4.7734258,335
4.3215299,335
4.2835469,335
6.3961555,335
5.15885,335
7.6107756,335
6.8688546,335
5.2681375,335
4.9758901,335
5.7986945,335
5.3093769,335
4.175932,335
4.3981236,335
7.0713715,335
6.5269521,335
6.7087866,335
4.2936904,335
5.0700092,335
5.388699,335
5.9721531,335
4.3261048,335
7.7463379,335
7.8621611,335
5.5689937,335
6.7044163,335
5.0532272,335
5.4882708,335
5.195513,335
4.5638556,335
4.6795742,335
4.75824,335
6.3845253,335
7.0454576,335
4.5780204,335
6.0212225,335
5.7348497,335
5.7113662,335
4.6190051,335
5.1001138,335
8.767144,335
5.4115217,335
5.7787906,335
4.0640268,335
5.1056577,335
4.9499441,335
5.086667,335
5.1503308,335
7.7915728,335
5.0555334,335
5.1288832,335
4.4595183,335
4.4133514,335
4.9930326,335
4.6203667,335
7.8057647,335
7.0833614,335
4.5751807,335
5.4323455,335
6.4609509,335
7.2011054,335
4.8218098,335
5.3398778,335
6.3039594,335
5.1269,335
3.49072,335
5.1453018,335
8.5790707,335
4.4208784,335
5.2605544,335
5.6256129,335
6.9274389,335
5.0755079,335
5.0614032,335
4.4815973,335
5.044697,335
4.9080281,335
6.5742548,335
5.9005488,335
4.9780023,335
5.4081284,335
5.8204897,335
5.76856,335
4.7316393,335
6.0807276,335
6.10777,335
5.6470136,335
6.9030982,335
6.9617219,335
6.1978214,335
5.9556294,335
4.8552212,335
7.74397,335
4.6330412,335
7.8788301,335
5.1335832,335
4.9463055,335
8.5275198,335
5.6470229,335
7.2134223,335
4.1129723,335
5.031231,335
4.5135193,335
6.0757885,335
5.3312378,335
5.145661,335
5.8568153,335
6.7983118,335
8.9068276,335
8.8930469,335
5.6436155,335
6.531864,335
3.8589113,335
6.1060456,335
6.3352024,335
4.687266,335
6.9903408,335
5.5431953,335
4.8182128,335
5.9496433,335
4.7243914,335
5.2171804,335
4.4141936,335
6.0979927,335
4.647552,335
4.7609551,335
5.2563558,335
5.2222369,335
6.784614,335
5.5618543,335
7.381792,335
4.5170973,335
6.1656999,335
4.6079904,335
6.8559507,335
6.4638608,335
5.346997,335
5.1683765,335
5.0438169,335
6.6388628,335
6.187677,335
4.8967373,335
5.6938735,335
4.8154235,335
5.5534724,335
5.7846354,335
5.4705498,335
4.9201951,335
5.5797533,335
4.40222,335
5.7231741,335
5.5292062,335
3.9179768,335
5.0476329,335
5.6914531,335
4.4485342,335
6.3345784,335
6.3257405,335
6.7066337,335
4.2971774,335
4.5062479,335
4.8164141,335
6.6764297,335
4.2825276,335
4.3176768,335
4.6629197,335
5.9909855,335
5.9108413,335
7.5430688,335
6.3210781,335
5.1974172,335
5.4927688,335
5.9843353,335
5.0190887,335
7.3831875,335
9.3403934,335
3.9450079,335
4.2350411,335
4.4771366,335
6.8184614,335
4.1824324,335
3.8403069,335
4.7695837,335
4.9470391,335
5.8586684,335
4.7202966,335
8.1178905,335
4.2996143,335
5.4157782,335
5.2569979,335
4.3602075,335
4.5184747,335
7.5807309,335
4.7413245,335
5.0401716,335
6.5805346,335
4.4101381,335
5.4600339,335
3.9726923,335
7.2293816,335
5.7532929,335
5.0533845,335
7.618369,335
6.8449032,335
5.3311351,335
4.4938864,335
5.9486236,335
4.9356469,335
5.7574572,335
5.0819121,335
6.2143592,335
6.29184,335
4.8766119,335
5.0135716,335
5.1775455,335
3.5973768,335
5.6517114,335
4.7400751,335
6.6335567,335
5.7276901,335
4.7980697,335
5.8234547,335
5.6808706,335
4.9285907,335
5.1748479,335
4.1646507,335
6.9936885,335
6.0177053,335
4.4983466,335
4.4130372,335
4.6933634,335
5.8271279,335
5.6313202,335
5.5933129,335
7.2379638,335
5.8661319,335
5.9140573,335
6.5387799,335
4.9242436,335
5.5988652,335
5.5451573,335
5.5894225,335
5.9907919,335
6.0154711,335
5.742447,335
4.8317107,335
7.0771989,335
