length,run
5.0495404,335
3.53925,335
5.9860053,335
4.4295826,335
4.6404932,335
3.4155078,335
5.9680182,335
4.1517187,335
5.4909273,335
5.7831755,335
4.8798368,335
5.0851787,335
4.9661147,335
4.416624,335
4.5656987,335
5.5855239,335
3.0220687,335
3.4100749,335
7.657546,335
4.6976393,335
4.057145,335
4.3200051,335
4.236725,335
4.2770111,335
2.6255204,335
5.2898081,335
4.4822983,335
3.7615795,335
4.942704,335
5.8859189,335
3.8070557,335
4.4659673,335
3.6003461,335
4.3370661,335
5.0527432,335
6.7497686,335
5.4894597,335
2.9981571,335
4.7884318,335
5.5363917,335
5.7298201,335
5.6602642,335
4.1223835,335
4.5224151,335
4.3737139,335
4.5336542,335
4.5393342,335
5.0239896,335
4.1414635,335
4.2949585,335
4.7202698,335
6.8988403,335
5.0366996,335
3.72723,335
4.3293794,335
4.2899177,335
4.5691888,335
3.0099359,335
5.6037212,335
4.3870026,335
4.6218824,335
4.8937527,335
4.4365396,335
4.6044843,335
3.6163506,335
4.7422261,335
4.7971301,335
5.0901401,335
4.9390648,335
5.2826569,335
4.0009518,335
4.4808977,335
7.6943473,335
4.759175,335
4.9429933,335
3.6847096,335
3.7665308,335
5.2003319,335
3.6916945,335
5.3594574,335
5.3240759,335
3.6091064,335
4.0387065,335
4.4239707,335
5.2851134,335
4.1077119,335
3.8593526,335
4.1641605,335
3.7554654,335
6.2603603,335
4.0201965,335
3.9892956,335
4.1844103,335
4.7303183,335
4.0025132,335
3.7315355,335
6.0404051,335
4.393842,335
4.7296,335
4.4425122,335
4.2828611,335
4.5150564,335
8.9557583,335
4.9418017,335
5.5104014,335
2.4199473,335
4.5598503,335
5.0168294,335
4.7373737,335
4.8215232,335
3.5339516,335
5.1977277,335
4.2477088,335
7.2483048,335
3.8810963,335
5.8546912,335
3.7221411,335
4.5846989,335
5.2151949,335
5.1576618,335
3.8511024,335
4.5443959,335
4.1577358,335
4.6917918,335
5.4772757,335
4.6190008,335
6.0419163,335
3.7443559,335
3.5397159,335
4.6839977,335
4.179041,335
4.8270146,335
5.622536,335
5.7956524,335
4.2317653,335
4.2189814,335
4.7149117,335
5.1017168,335
4.2602001,335
4.5263591,335
4.3975148,335
4.8965428,335
4.4173541,335
3.9289512,335
3.4736554,335
4.6433532,335
4.2161834,335
8.0769068,335
5.2888768,335
4.9469749,335
4.1051527,335
4.6607331,335
3.9372368,335
4.4603233,335
3.2372936,335
6.4194204,335
5.3842234,335
5.2915588,335
2.9477251,335
4.1694581,335
4.6109533,335
5.2622356,335
3.4198024,335
5.986015,335
5.4029762,335
5.3052473,335
7.0723749,335
4.0285284,335
4.6104768,335
3.8583032,335
4.0281215,335
4.4644291,335
4.3973452,335
5.109994,335
4.3183203,335
4.2176121,335
4.4666574,335
4.1735068,335
4.3432706,335
3.6730074,335
5.1800889,335
7.7516468,335
3.7121801,335
4.2790203,335
3.3845193,335
5.1611443,335
3.4840491,335
4.3255763,335
4.4023203,335
5.4704313,335
3.8613843,335
3.2904953,335
3.967381,335
3.7571557,335
4.7194503,335
4.7779392,335
5.88531,335
7.0798031,335
4.1760859,335
5.0359166,335
4.3942767,335
7.7964102,335
4.2182438,335
4.2176803,335
5.4195453,335
4.8780079,335
3.3556721,335
3.7914669,335
6.52168,335
2.8993665,335
4.5028054,335
4.7522432,335
6.0497144,335
4.0439435,335
3.2933815,335
4.3647788,335
4.1499188,335
4.4328228,335
4.6159556,335
6.5267915,335
4.2971173,335
4.2439509,335
5.164211,335
5.2145316,335
3.7995574,335
6.27228,335
5.5165615,335
4.4289973,335
6.3555692,335
6.1893676,335
4.5320108,335
4.4623467,335
4.4183831,335
4.4692781,335
3.7460879,335
6.2933257,335
4.801842,335
3.4161847,335
6.6187367,335
4.8389256,335
5.9086369,335
3.6174076,335
4.4593028,335
4.0396162,335
4.8153028,335
4.4014808,335
3.9410273,335
6.1807313,335
4.5064379,335
5.5224204,335
6.5718497,335
4.632019,335
5.1812217,335
3.7455027,335
5.3177308,335
4.8681117,335
4.4141851,335
7.5213756,335
4.603193,335
3.207007,335
5.2580884,335
4.6998786,335
4.3070412,335
4.1906635,335
5.961773,335
4.1243591,335
4.0811066,335
5.4124742,335
4.741727,335
8.4736312,335
5.0479334,335
9.1654548,335
3.6507419,335
3.7688114,335
3.6036576,335
5.7829483,335
5.7442414,335
3.8248972,335
4.9018721,335
5.3530369,335
5.9447589,335
7.1479255,335
4.7894569,335
4.4184406,335
4.0731425,335
3.9979403,335
4.4272514,335
3.9834245,335
4.1972965,335
4.8316445,335
4.5652684,335
4.4344865,335
4.234023,335
3.4993409,335
5.3101356,335
5.5010006,335
4.7574217,335
5.7264628,335
5.2059134,335
6.6805412,335
3.7109268,335
3.8808295,335
4.0777481,335
5.609496,335
3.6867276,335
3.443286,335
3.3665694,335
5.8610578,335
6.3429957,335
7.9674403,335
6.3106355,335
4.4529853,335
5.5181066,335
5.2163835,335
4.233408,335
4.8423091,335
8.255442,335
3.8978879,335
3.8766398,335
4.2916819,335
5.233063,335
4.0392162,335
3.6520893,335
4.4183255,335
4.3027531,335
4.7593657,335
4.5109152,335
6.326033,335
2.7906,335
4.8061855,335
3.8588075,335
4.237131,335
3.7927711,335
5.2457598,335
3.8313882,335
4.1124008,335
4.8173007,335
4.1755991,335
4.5146597,335
4.3469762,335
5.7359039,335
4.459369,335
4.1983645,335
7.8436386,335
6.7130306,335
3.7768247,335
3.7651397,335
5.002713,335
4.9366517,335
4.4484914,335
4.3714911,335
5.1181065,335
4.6104101,335
4.401447,335
4.6330626,335
4.5878955,335
2.9707861,335
6.1429106,335
4.3764976,335
5.0178124,335
5.4196756,335
4.0304168,335
4.3914295,335
4.9851411,335
3.292594,335
5.5196055,335
3.4251741,335
6.4525812,335
3.043577,335
3.6850945,335
3.9694461,335
3.6799633,335
5.032295,335
4.011488,335
3.7278433,335
5.984406,335
4.6954829,335
5.8085716,335
6.024388,335
3.5813404,335
4.4475148,335
5.3647775,335
4.7126032,335
4.7278953,335
3.813288,335
5.3974629,335
3.4366296,335
6.9760722,335
4.9458219,335
5.3214274,335
4.1369397,335
3.5674559,335
4.6614903,335
3.8750599,335
4.3934937,335
4.5753118,335
5.0122553,335
4.5765194,335
4.1787957,335
5.197492,335
4.5841793,335
3.8324342,335
4.5317693,335
4.4942115,335
4.5097178,335
4.166075,335
4.4489393,335
4.6722476,335
4.3203776,335
3.6524292,335
5.1928664,335
3.4173496,335
4.6345788,335
3.0707021,335
4.7175872,335
7.7793237,335
3.7686799,335
4.5396311,335
6.027059,335
4.0039975,335
3.9831408,335
4.882292,335
