rmsTransverse,run
0.88087756,335
0.79320945,335
0.95048926,335
0.90593857,335
0.70242013,335
0.67339582,335
1.0823566,335
0.83983581,335
0.78747489,335
0.80406818,335
0.92993997,335
0.71691427,335
0.81948214,335
0.85841023,335
0.93542614,335
1.0533065,335
0.69319111,335
0.85701497,335
0.99022139,335
0.96255789,335
0.84499092,335
0.89247126,335
1.0922785,335
0.88896757,335
0.73627034,335
0.85195261,335
0.76085052,335
0.95529833,335
0.77930741,335
1.0092914,335
0.75208497,335
0.98552273,335
0.87076549,335
0.76401889,335
0.81481933,335
1.1097601,335
0.95373278,335
0.66652399,335
0.96846758,335
1.0392709,335
1.1180553,335
0.97730608,335
0.66912401,335
0.97618407,335
0.9716107,335
0.98699682,335
1.0268398,335
0.72732095,335
0.72280334,335
0.96535173,335
0.79397811,335
1.0355189,335
0.96155846,335
0.89806538,335
0.90555557,335
0.8292978,335
0.93889028,335
0.74170311,335
0.95540521,335
0.93118001,335
1.0206826,335
0.71488949,335
0.69135976,335
0.85949381,335
0.8964646,335
1.0143282,335
0.74830749,335
1.0049792,335
0.88694467,335
0.94825445,335
0.83105904,335
0.9037832,335
1.0426573,335
0.91826059,335
0.94211755,335
0.9739256,335
0.78436121,335
0.82856229,335
0.97326611,335
0.99354162,335
0.80467067,335
0.82655466,335
0.76804358,335
0.9800895,335
1.061647,335
0.67514807,335
0.66745607,335
0.67430996,335
0.95377153,335
0.97050313,335
0.94608641,335
0.92126067,335
0.77440126,335
1.0230049,335
0.90875657,335
0.74603061,335
1.105282,335
0.906867,335
0.8548319,335
0.83891734,335
0.78692221,335
0.88607224,335
1.1660919,335
1.1384778,335
0.90365706,335
0.79618253,335
0.83355598,335
1.1227474,335
1.1060831,335
0.82049332,335
0.88250184,335
0.77631146,335
0.69622828,335
1.0765232,335
0.78772896,335
0.99319046,335
0.7850577,335
0.95066598,335
0.83264653,335
0.9811659,335
0.9548333,335
0.93571936,335
0.96460488,335
0.72573968,335
0.81376715,335
0.85422081,335
0.76632027,335
0.68328507,335
0.67881765,335
0.83778962,335
0.7015025,335
0.86350124,335
0.91619791,335
0.8754979,335
0.83067695,335
0.90882242,335
0.92694376,335
0.67944281,335
0.90700007,335
0.75904118,335
0.60968162,335
0.97585325,335
0.92540543,335
0.90915747,335
0.8109297,335
0.72596002,335
0.81727195,335
1.0612462,335
0.76997944,335
0.93903679,335
0.82500871,335
0.80375558,335
0.74156287,335
1.0681025,335
0.73606245,335
0.90780416,335
0.82492154,335
0.7887505,335
0.68652483,335
0.82237683,335
0.85567099,335
0.88112871,335
0.79050382,335
0.77275419,335
0.6872126,335
0.95264021,335
1.054883,335
0.79721893,335
0.84006001,335
0.74262218,335
0.8826137,335
0.95402463,335
0.92415372,335
0.8003718,335
0.61292262,335
0.9212742,335
0.74181902,335
0.72774475,335
0.7604609,335
0.79519449,335
1.015681,335
0.88417012,335
0.68597713,335
0.74046986,335
0.83279945,335
1.0108677,335
0.70385625,335
0.85037537,335
0.85476457,335
0.70209589,335
0.76379365,335
0.64156176,335
0.8896434,335
0.85131578,335
0.94520718,335
1.0341039,335
0.75396968,335
0.99949765,335
0.9127696,335
0.92702436,335
0.68012849,335
1.0826685,335
0.87482583,335
0.78984585,335
0.85970499,335
0.95145368,335
0.96131231,335
0.7368794,335
0.7601849,335
0.65583494,335
0.85595644,335
0.8447512,335
0.87329741,335
0.79675641,335
0.65068546,335
0.97393372,335
0.82262995,335
0.90317795,335
0.70212606,335
1.106133,335
0.86322124,335
0.7847356,335
0.88724682,335
0.90395724,335
0.8030108,335
1.0315016,335
0.90320387,335
0.7843079,335
0.92068358,335
0.889057,335
0.73122643,335
