totalCharge,run
1.13216473e+05,335
50593.623,335
46833.418,335
65083.213,335
1.15228597e+05,335
1.73654418e+05,335
92893.452,335
89697.47,335
1.08467255e+05,335
1.15412791e+05,335
1.62297535e+05,335
85876.352,335
59369.956,335
89061.126,335
99736.884,335
1.48811086e+05,335
1.08318249e+05,335
1.12612127e+05,335
1.51960962e+05,335
1.11577804e+05,335
1.45114655e+05,335
1.3883492e+05,335
60102.365,335
92826.457,335
84938.528,335
1.19442098e+05,335
1.7937123e+05,335
1.27844566e+05,335
1.27099809e+05,335
68735.648,335
65976.711,335
1.42554326e+05,335
1.094828e+05,335
99969.174,335
1.3713766e+05,335
1.38594745e+05,335
71238.359,335
1.55869064e+05,335
85646.876,335
1.63139205e+05,335
1.38822874e+05,335
95593.884,335
1.10981749e+05,335
1.34362165e+05,335
92273.297,335
68105.952,335
86525.943,335
83135.434,335
84622.956,335
74177.522,335
77335.246,335
1.21202348e+05,335
94359.253,335
1.06834199e+05,335
79725.662,335
1.81600395e+05,335
88957.821,335
70417.825,335
1.00222514e+05,335
89967.047,335
95442.639,335
91238.951,335
1.42865079e+05,335
1.59133768e+05,335
1.01562177e+05,335
76235.516,335
77270.938,335
84801.434,335
1.20742256e+05,335
74235.379,335
1.02728031e+05,335
97684.524,335
1.70920711e+05,335
73337.4,335
1.04300468e+05,335
1.07516355e+05,335
1.00111734e+05,335
1.75182524e+05,335
87472.322,335
1.83885567e+05,335
1.70992442e+05,335
60434.572,335
95155.728,335
67788.717,335
89248.453,335
84987.787,335
1.54230146e+05,335
81487.808,335
96362.311,335
1.1440121e+05,335
86361.82,335
1.11774552e+05,335
98278.413,335
89694.315,335
59753.937,335
1.3651796e+05,335
1.14851707e+05,335
66022.324,335
1.06356629e+05,335
77182.997,335
1.06509221e+05,335
96243.6,335
1.73756772e+05,335
68509.028,335
1.40611499e+05,335
33998.565,335
1.16489337e+05,335
1.3820396e+05,335
1.03339295e+05,335
1.15059303e+05,335
1.06375887e+05,335
81318.943,335
86260.569,335
1.42021049e+05,335
78532.814,335
1.20056365e+05,335
52851.96,335
75354.171,335
45391.326,335
59900.373,335
1.13851084e+05,335
1.41090419e+05,335
99280.727,335
88344.669,335
1.25561305e+05,335
81329.797,335
1.69095683e+05,335
1.32523101e+05,335
88154.461,335
68745.869,335
54489.158,335
82251.116,335
1.40786353e+05,335
76247.291,335
87831.943,335
91434.424,335
64165.961,335
91510.886,335
1.57700934e+05,335
1.07131858e+05,335
1.08255269e+05,335
72020.257,335
1.42140531e+05,335
1.0714804e+05,335
1.07688012e+05,335
1.18747229e+05,335
33482.592,335
1.74977912e+05,335
99812.284,335
1.16338597e+05,335
99456.429,335
1.27046965e+05,335
93531.896,335
75329.275,335
86033.685,335
1.98223173e+05,335
1.33763409e+05,335
78075.639,335
53894.101,335
93319.726,335
1.04869569e+05,335
1.38982128e+05,335
1.07856946e+05,335
1.95705181e+05,335
1.06701304e+05,335
90365.335,335
1.24052001e+05,335
81948.047,335
75258.844,335
1.34544434e+05,335
73069.137,335
1.43986967e+05,335
1.50284877e+05,335
1.21377088e+05,335
1.02947764e+05,335
74030.195,335
80368.482,335
1.4180638e+05,335
1.29532237e+05,335
76829.961,335
68907.684,335
1.9680385e+05,335
67691.438,335
1.69273325e+05,335
90932.765,335
1.2307915e+05,335
82545.128,335
87677.306,335
1.16530694e+05,335
1.58402463e+05,335
54978.994,335
54769.704,335
89260.722,335
1.28771844e+05,335
99358.27,335
72585.972,335
1.08179492e+05,335
2.95219133e+05,335
88132.987,335
96017.222,335
81978.012,335
2.78551467e+05,335
67185.044,335
2.11381392e+05,335
1.35549953e+05,335
93361.449,335
41701.26,335
1.1600253e+05,335
85759.968,335
41042.361,335
1.26138734e+05,335
1.21593911e+05,335
1.54086268e+05,335
1.15075819e+05,335
45352.679,335
1.94398369e+05,335
95912.102,335
56659.118,335
1.33260365e+05,335
1.5287163e+05,335
81413.971,335
79500.011,335
1.0710186e+05,335
74126.159,335
85028.63,335
1.46841845e+05,335
82691.996,335
1.22778459e+05,335
79525.053,335
1.54216099e+05,335
1.04798163e+05,335
67943.154,335
66047.327,335
69542.914,335
1.15241969e+05,335
90652.515,335
87933.381,335
80457.311,335
1.46859038e+05,335
92857.231,335
1.0707015e+05,335
83095.639,335
1.33415662e+05,335
56473.355,335
76682.242,335
1.23792025e+05,335
81408.986,335
1.01688471e+05,335
72468.564,335
1.04791755e+05,335
98636.342,335
1.2808697e+05,335
94748.909,335
64901.537,335
99892.842,335
66847.718,335
72282.463,335
1.62344888e+05,335
96593.717,335
89129.049,335
1.93786897e+05,335
1.55036425e+05,335
78889.715,335
80712.681,335
1.07941799e+05,335
1.08020377e+05,335
1.62516814e+05,335
99435.293,335
72914.251,335
1.91138827e+05,335
74693.887,335
1.26642653e+05,335
88422.51,335
92260.673,335
68971.231,335
69575.554,335
81735.554,335
93592.479,335
73958.447,335
96400.313,335
1.554638e+05,335
94471.277,335
94698.069,335
92443.441,335
74965.587,335
78954.701,335
85377.243,335
99788.387,335
72901.5,335
1.07970591e+05,335
1.07673908e+05,335
73318.537,335
56005.691,335
1.01273124e+05,335
1.09657157e+05,335
83107.299,335
1.17068972e+05,335
1.58438202e+05,335
1.11472141e+05,335
1.36995491e+05,335
86502.765,335
1.31578538e+05,335
85384.688,335
78242.744,335
68286.165,335
83369.044,335
95310.601,335
1.3143255e+05,335
1.7870587e+05,335
1.79215354e+05,335
1.05112227e+05,335
84531.958,335
1.64472402e+05,335
96779.053,335
1.26147224e+05,335
89546.921,335
2.0373466e+05,335
1.32327414e+05,335
86211.239,335
1.01768097e+05,335
81850.029,335
1.02306714e+05,335
1.39655092e+05,335
75727.869,335
1.36682581e+05,335
80133.832,335
97488.482,335
1.20265153e+05,335
76696.044,335
1.00757245e+05,335
1.53552192e+05,335
82448.132,335
93556.826,335
1.11062378e+05,335
1.40738183e+05,335
85683.379,335
1.42007657e+05,335
99946.195,335
1.67728311e+05,335
51638.118,335
1.08805417e+05,335
80536.473,335
89917.785,335
1.16735961e+05,335
1.4768175e+05,335
90862.478,335
66572.429,335
1.04395281e+05,335
1.26433767e+05,335
65898.922,335
82368.906,335
93989.465,335
89680.91,335
1.41325274e+05,335
1.12897203e+05,335
1.90824915e+05,335
1.17121336e+05,335
1.6872402e+05,335
69488.023,335
93151.12,335
1.62331865e+05,335
94761.381,335
50540.471,335
65961.849,335
28941.327,335
1.20384893e+05,335
56556.75,335
1.30986964e+05,335
1.1273929e+05,335
1.49453426e+05,335
1.20272534e+05,335
66118.871,335
99482.8,335
69835.593,335
99973.351,335
1.05344889e+05,335
1.24140605e+05,335
1.48758693e+05,335
98642.333,335
64485.502,335
89588.879,335
1.43938655e+05,335
1.73341452e+05,335
83426.109,335
76075.16,335
59052.455,335
96113.74,335
